Time,PrimT,HwActive,ChActive,ActPow,HwTSet,HwTOutlet,PrimTSet
2018-01-11T00:18:39.162Z,34.4,,,,0,32.3,
2018-01-11T00:18:49.157Z,34.5,,,,0,32.2,
2018-01-11T00:18:59.454Z,34.4,,,,0,32.2,
2018-01-11T00:19:09.157Z,,,,,0,32.1,
2018-01-11T00:19:19.160Z,,,,,0,32,
2018-01-11T00:19:29.157Z,,,,,0,32,
2018-01-11T00:19:39.159Z,,,,,0,31.9,
2018-01-11T00:19:49.258Z,,,,,0,31.8,
2018-01-11T00:20:04.328Z,,,,,0,31.6,
2018-01-11T00:20:09.157Z,,,,,0,31.6,
2018-01-11T00:20:24.330Z,,,,,0,31.5,
2018-01-11T00:20:29.162Z,,,,,0,31.4,
2018-01-11T00:20:39.165Z,,,,,0,31.4,
2018-01-11T00:20:49.157Z,,,,,0,31.3,
2018-01-11T00:20:59.248Z,,,,,0,31.2,
2018-01-11T00:21:09.159Z,,,,,0,31.2,
2018-01-11T00:21:19.163Z,,,,,0,31,
2018-01-11T00:21:29.162Z,,,,,0,30.9,
2018-01-11T00:21:39.165Z,,,,,0,30.9,
2018-01-11T00:21:49.160Z,,,,,0,30.8,
2018-01-11T00:21:59.258Z,,,,,0,30.7,
2018-01-11T00:22:09.158Z,,,,,0,30.7,
2018-01-11T00:22:19.157Z,,,,,0,30.6,
2018-01-11T00:22:29.158Z,,,,,0,30.6,
2018-01-11T00:22:39.170Z,,,,,0,30.4,
2018-01-11T00:22:49.158Z,,,,,0,30.3,
2018-01-11T00:22:59.274Z,,,,,0,30.2,
2018-01-11T00:23:09.160Z,,,,,0,30.2,
2018-01-11T00:23:19.157Z,,,,,0,30.1,
2018-01-11T00:23:29.158Z,34.3,,,,0,30.1,
2018-01-11T00:23:39.158Z,,,,,0,30,
2018-01-11T00:23:49.159Z,34.4,,,,0,30,
2018-01-11T00:23:59.247Z,34.3,,,,0,29.8,
2018-01-11T00:24:09.158Z,,,,,0,29.7,
2018-01-11T00:24:19.158Z,,,,,0,29.7,
2018-01-11T00:24:29.157Z,,,,,0,29.6,
2018-01-11T00:24:39.158Z,,,,,0,29.6,
2018-01-11T00:24:49.158Z,,,,,0,29.5,
2018-01-11T00:24:59.248Z,,,,,0,29.5,
2018-01-11T00:25:09.158Z,34.2,,,,0,29.3,
2018-01-11T00:25:19.158Z,,,,,0,29.2,
2018-01-11T00:25:29.160Z,,,,,0,29.2,
2018-01-11T00:25:39.158Z,,,,,0,29.1,
2018-01-11T00:25:49.158Z,,,,,0,29.1,
2018-01-11T00:25:59.270Z,,,,,0,29,
2018-01-11T00:26:09.160Z,,,,,0,29,
2018-01-11T00:26:19.161Z,,,,,0,28.9,
2018-01-11T00:26:29.162Z,,,,,0,28.9,
2018-01-11T00:26:39.306Z,,,,,0,28.7,
2018-01-11T00:26:49.169Z,,,,,0,28.7,
2018-01-11T00:26:59.309Z,34.1,,,,0,28.6,
2018-01-11T00:27:09.162Z,,,,,0,28.6,
2018-01-11T00:27:19.160Z,,,,,0,28.5,
2018-01-11T00:27:29.159Z,,,,,0,28.5,
2018-01-11T00:27:39.167Z,,,,,0,28.4,
2018-01-11T00:27:49.160Z,,,,,0,28.4,
2018-01-11T00:27:59.292Z,,,,,0,28.4,
2018-01-11T00:28:09.158Z,,,,,0,28.3,
2018-01-11T00:28:19.159Z,,,,,0,28.3,
2018-01-11T00:28:29.159Z,,,,,0,28.1,
2018-01-11T00:28:39.176Z,,,,,0,28.1,
2018-01-11T00:28:54.259Z,34,,,,0,28,
2018-01-11T00:28:59.272Z,,,,,0,28,
2018-01-11T00:29:09.163Z,,,,,0,27.9,
2018-01-11T00:29:19.166Z,,,,,0,27.9,
2018-01-11T00:29:29.164Z,,,,,0,27.9,
2018-01-11T00:29:39.162Z,,,,,0,27.8,
2018-01-11T00:29:49.183Z,,,,,0,27.8,
2018-01-11T00:29:59.270Z,,,,,0,27.7,
2018-01-11T00:30:09.168Z,,,,,0,27.7,
2018-01-11T00:30:19.159Z,33.9,,,,0,27.5,
2018-01-11T00:30:29.161Z,,,,,0,27.5,
2018-01-11T00:30:39.364Z,,,,,0,27.5,
2018-01-11T00:30:49.161Z,,,,,0,27.4,
2018-01-11T00:30:59.349Z,,,,,0,27.4,
2018-01-11T00:31:09.158Z,,,,,0,27.3,
2018-01-11T00:31:19.167Z,,,,,0,27.3,
2018-01-11T00:31:29.158Z,,,,,0,27.3,
2018-01-11T00:31:39.175Z,,,,,0,27.2,
2018-01-11T00:31:49.167Z,,,,,0,27.2,
2018-01-11T00:31:59.890Z,33.8,,,,0,27.1,
2018-01-11T00:32:09.335Z,33.9,,,,0,27.1,
2018-01-11T00:32:19.160Z,33.8,,,,0,27.1,
2018-01-11T00:32:29.160Z,,,,,0,26.9,
2018-01-11T00:32:39.159Z,,,,,0,26.9,
2018-01-11T00:32:49.161Z,,,,,0,26.9,
2018-01-11T00:32:59.282Z,,,,,0,26.8,
2018-01-11T00:33:09.163Z,,,,,0,26.8,
2018-01-11T00:33:19.159Z,,,,,0,26.8,
2018-01-11T00:33:29.159Z,,,,,0,26.7,
2018-01-11T00:33:39.326Z,,,,,0,26.7,
2018-01-11T00:33:49.159Z,,,,,0,26.7,
2018-01-11T00:33:59.281Z,,,,,0,26.6,
2018-01-11T00:34:09.162Z,33.7,,,,0,26.6,
2018-01-11T00:34:19.160Z,,,,,0,26.5,
2018-01-11T00:34:29.162Z,,,,,0,26.5,
2018-01-11T00:34:39.161Z,,,,,0,26.5,
2018-01-11T00:34:49.162Z,,,,,0,26.5,
2018-01-11T00:34:59.249Z,,,,,0,26.3,
2018-01-11T00:35:09.160Z,,,,,0,26.3,
2018-01-11T00:35:19.166Z,,,,,0,26.3,
2018-01-11T00:35:29.166Z,,,,,0,26.2,
2018-01-11T00:35:39.161Z,,,,,0,26.2,
2018-01-11T00:35:49.160Z,,,,,0,26.2,
2018-01-11T00:35:59.254Z,,,,,0,26.1,
2018-01-11T00:36:09.160Z,,,,,0,26.1,
2018-01-11T00:36:19.160Z,,,,,0,26.1,
2018-01-11T00:36:29.160Z,33.6,,,,0,26,
2018-01-11T00:36:39.168Z,,,,,0,26,
2018-01-11T00:36:49.160Z,,,,,0,26,
2018-01-11T00:36:59.292Z,,,,,0,26,
2018-01-11T00:37:14.251Z,,,,,0,25.9,
2018-01-11T00:37:19.160Z,,,,,0,25.9,
2018-01-11T00:37:29.163Z,,,,,0,25.9,
2018-01-11T00:37:39.161Z,,,,,0,25.7,
2018-01-11T00:37:49.160Z,,,,,0,25.7,
2018-01-11T00:37:59.250Z,,,,,0,25.7,
2018-01-11T00:38:09.160Z,,,,,0,25.7,
2018-01-11T00:38:19.160Z,33.5,,,,0,25.6,
2018-01-11T00:38:29.168Z,,,,,0,25.6,
2018-01-11T00:38:39.160Z,,,,,0,25.6,
2018-01-11T00:38:49.160Z,,,,,0,25.6,
2018-01-11T00:38:59.518Z,,,,,0,25.5,
2018-01-11T00:39:09.164Z,,,,,0,25.5,
2018-01-11T00:39:19.160Z,,,,,0,25.5,
2018-01-11T00:39:29.178Z,,,,,0,25.4,
2018-01-11T00:39:39.161Z,,,,,0,25.4,
2018-01-11T00:39:49.165Z,,,,,0,25.4,
2018-01-11T00:39:59.263Z,,,,,0,25.4,
2018-01-11T00:40:14.462Z,,,,,0,25.3,
2018-01-11T00:40:19.161Z,,,,,0,25.3,
2018-01-11T00:40:29.163Z,,,,,0,25.3,
2018-01-11T00:40:39.160Z,33.4,,,,0,25.3,
2018-01-11T00:40:49.162Z,,,,,0,25.1,
2018-01-11T00:40:59.262Z,,,,,0,25.1,
2018-01-11T00:41:09.175Z,,,,,0,25.1,
2018-01-11T00:41:19.435Z,,,,,0,25.1,
2018-01-11T00:41:29.161Z,,,,,0,25.1,
2018-01-11T00:41:39.167Z,,,,,0,25,
2018-01-11T00:41:49.163Z,,,,,0,25,
2018-01-11T00:41:59.291Z,,,,,0,25,
2018-01-11T00:42:09.161Z,,,,,0,25,
2018-01-11T00:42:19.164Z,,,,,0,24.9,
2018-01-11T00:42:29.168Z,,,,,0,24.9,
2018-01-11T00:42:39.187Z,,,,,0,24.9,
2018-01-11T00:42:49.170Z,,,,,0,24.9,
2018-01-11T00:42:59.282Z,,,,,0,24.8,
2018-01-11T00:43:09.161Z,33.3,,,,0,24.8,
2018-01-11T00:43:19.161Z,,,,,0,24.8,
2018-01-11T00:43:29.161Z,33.3,0,0,0,0,24.8,5
2018-01-11T00:43:39.164Z,,,,,0,24.8,
2018-01-11T00:43:49.163Z,,,,,0,24.7,
2018-01-11T00:43:59.262Z,,,,,0,24.7,
2018-01-11T00:44:09.160Z,,,,,0,24.7,
2018-01-11T00:44:19.165Z,,,,,0,24.7,
2018-01-11T00:44:29.163Z,,,,,0,24.7,
2018-01-11T00:44:39.164Z,,,,,0,24.7,
2018-01-11T00:44:49.161Z,,,,,0,24.5,
2018-01-11T00:44:59.262Z,,,,,0,24.5,
2018-01-11T00:45:09.169Z,,,,,0,24.5,
2018-01-11T00:45:19.161Z,,,,,0,24.5,
2018-01-11T00:45:29.161Z,33.2,,,,0,24.4,
2018-01-11T00:45:39.435Z,,,,,0,24.4,
2018-01-11T00:45:49.161Z,,,,,0,24.4,
2018-01-11T00:45:59.251Z,,,,,0,24.4,
2018-01-11T00:46:09.164Z,,,,,0,24.3,
2018-01-11T00:46:19.162Z,,,,,0,24.3,
2018-01-11T00:46:29.162Z,,,,,0,24.3,
2018-01-11T00:46:39.165Z,,,,,0,24.3,
2018-01-11T00:46:49.161Z,,,,,0,24.3,
2018-01-11T00:46:59.253Z,,,,,0,24.3,
2018-01-11T00:47:09.170Z,,,,,0,24.2,
2018-01-11T00:47:19.162Z,,,,,0,24.2,
2018-01-11T00:47:29.161Z,,,,,0,24.2,
2018-01-11T00:47:39.163Z,33.1,,,,0,24.2,
2018-01-11T00:47:49.163Z,33.2,,,,0,24.2,
2018-01-11T00:47:59.261Z,33.1,,,,0,24.2,
2018-01-11T00:48:09.193Z,,,,,0,24,
2018-01-11T00:48:19.162Z,,,,,0,24,
2018-01-11T00:48:29.161Z,,,,,0,24,
2018-01-11T00:48:39.163Z,,,,,0,24,
2018-01-11T00:48:49.161Z,,,,,0,24,
2018-01-11T00:48:59.298Z,,,,,0,24,
2018-01-11T00:49:09.161Z,,,,,0,24,
2018-01-11T00:49:19.162Z,,,,,0,23.9,
2018-01-11T00:49:29.164Z,,,,,0,23.9,
2018-01-11T00:49:39.170Z,,,,,0,23.9,
2018-01-11T00:49:49.165Z,33.1,,,,0,23.9,
2018-01-11T00:49:59.267Z,32.9,,,,0,23.9,
2018-01-11T00:50:09.162Z,32.9,,,,0,23.8,
2018-01-11T00:50:19.163Z,,,,,0,23.8,
2018-01-11T00:50:29.192Z,,,,,0,23.8,
2018-01-11T00:50:39.162Z,,,,,0,23.8,
2018-01-11T00:50:49.161Z,,,,,0,23.8,
2018-01-11T00:50:59.254Z,,,,,0,23.8,
2018-01-11T00:51:09.162Z,,,,,0,23.7,
2018-01-11T00:51:19.409Z,,,,,0,23.7,
2018-01-11T00:51:34.316Z,,,,,0,23.7,
2018-01-11T00:51:39.162Z,,,,,0,23.7,
2018-01-11T00:51:49.162Z,,,,,0,23.7,
2018-01-11T00:51:59.302Z,,,,,0,23.7,
2018-01-11T00:52:09.169Z,,,,,0,23.7,
2018-01-11T00:52:19.170Z,,,,,0,23.7,
2018-01-11T00:52:29.161Z,32.8,,,,0,23.6,
2018-01-11T00:52:39.162Z,,,,,0,23.6,
2018-01-11T00:52:49.162Z,,,,,0,23.6,
2018-01-11T00:52:59.253Z,,,,,0,23.6,
2018-01-11T00:53:09.162Z,,,,,0,23.6,
2018-01-11T00:53:19.162Z,,,,,0,23.6,
2018-01-11T00:53:29.162Z,,,,,0,23.6,
2018-01-11T00:53:39.162Z,,,,,0,23.4,
2018-01-11T00:53:49.162Z,,,,,0,23.4,
2018-01-11T00:53:59.273Z,,,,,0,23.4,
2018-01-11T00:54:09.168Z,,,,,0,23.4,
2018-01-11T00:54:19.163Z,,,,,0,23.4,
2018-01-11T00:54:29.163Z,,,,,0,23.4,
2018-01-11T00:54:39.163Z,32.7,,,,0,23.4,
2018-01-11T00:54:49.162Z,,,,,0,23.4,
2018-01-11T00:54:59.253Z,,,,,0,23.4,
2018-01-11T00:55:09.163Z,,,,,0,23.4,
2018-01-11T00:55:19.162Z,,,,,0,23.3,
2018-01-11T00:55:29.163Z,,,,,0,23.3,
2018-01-11T00:55:39.165Z,,,,,0,23.3,
2018-01-11T00:55:49.166Z,,,,,0,23.3,
2018-01-11T00:55:59.289Z,,,,,0,23.3,
2018-01-11T00:56:09.167Z,,,,,0,23.3,
2018-01-11T00:56:19.162Z,,,,,0,23.3,
2018-01-11T00:56:29.162Z,,,,,0,23.3,
2018-01-11T00:56:39.164Z,,,,,0,23.2,
2018-01-11T00:56:49.166Z,,,,,0,23.2,
2018-01-11T00:56:59.252Z,,,,,0,23.2,
2018-01-11T00:57:09.338Z,,,,,0,23.2,
2018-01-11T00:57:19.165Z,,,,,0,23.2,
2018-01-11T00:57:29.163Z,32.6,,,,0,23.2,
2018-01-11T00:57:39.163Z,,,,,0,23.2,
2018-01-11T00:57:49.164Z,,,,,0,23.2,
2018-01-11T00:57:59.252Z,,,,,0,23.2,
2018-01-11T00:58:09.168Z,,,,,0,23.1,
2018-01-11T00:58:19.166Z,,,,,0,23.1,
2018-01-11T00:58:29.335Z,,,,,0,23.1,
2018-01-11T00:58:39.164Z,,,,,0,23.1,
2018-01-11T00:58:49.163Z,,,,,0,23.1,
2018-01-11T00:58:59.253Z,,,,,0,23.1,
2018-01-11T00:59:09.194Z,,,,,0,23.1,
2018-01-11T00:59:19.163Z,,,,,0,23.1,
2018-01-11T00:59:29.162Z,,,,,0,23.1,
2018-01-11T00:59:39.164Z,,,,,0,23,
2018-01-11T00:59:49.163Z,32.5,,,,0,23,
2018-01-11T00:59:59.314Z,,,,,0,23,
2018-01-11T01:00:09.164Z,,,,,0,23,
2018-01-11T01:00:19.165Z,,,,,0,23,
2018-01-11T01:00:29.170Z,,,,,0,23,
2018-01-11T01:00:39.169Z,,,,,0,23,
2018-01-11T01:00:49.163Z,,,,,0,23,
2018-01-11T01:00:59.256Z,,,,,0,23,
2018-01-11T01:01:09.332Z,,,,,0,22.8,
2018-01-11T01:01:19.163Z,,,,,0,23,
2018-01-11T01:01:29.165Z,,,,,0,22.8,
2018-01-11T01:01:39.172Z,,,,,0,22.8,
2018-01-11T01:01:49.169Z,32.4,,,,0,22.8,
2018-01-11T01:01:59.284Z,,,,,0,22.8,
2018-01-11T01:02:09.163Z,,,,,0,22.8,
2018-01-11T01:02:19.172Z,,,,,0,22.8,
2018-01-11T01:02:29.170Z,,,,,0,22.8,
2018-01-11T01:02:39.165Z,,,,,0,22.8,
2018-01-11T01:02:49.164Z,,,,,0,22.7,
2018-01-11T01:02:59.286Z,,,,,0,22.7,
2018-01-11T01:03:09.166Z,,,,,0,22.7,
2018-01-11T01:03:19.178Z,,,,,0,22.7,
2018-01-11T01:03:29.164Z,,,,,0,22.7,
2018-01-11T01:03:39.166Z,,,,,0,22.7,
2018-01-11T01:03:49.164Z,,,,,0,22.7,
2018-01-11T01:03:59.294Z,,,,,0,22.7,
2018-01-11T01:04:09.325Z,,,,,0,22.7,
2018-01-11T01:04:19.163Z,,,,,0,22.7,
2018-01-11T01:04:29.400Z,32.3,,,,0,22.6,
2018-01-11T01:04:39.164Z,,,,,0,22.6,
2018-01-11T01:04:49.163Z,,,,,0,22.6,
2018-01-11T01:04:59.254Z,,,,,0,22.6,
2018-01-11T01:05:09.164Z,,,,,0,22.6,
2018-01-11T01:05:19.164Z,,,,,0,22.6,
2018-01-11T01:05:29.164Z,,,,,0,22.6,
2018-01-11T01:05:39.163Z,,,,,0,22.6,
2018-01-11T01:05:49.164Z,,,,,0,22.6,
2018-01-11T01:05:59.257Z,,,,,0,22.6,
2018-01-11T01:06:09.164Z,,,,,0,22.6,
2018-01-11T01:06:19.166Z,,,,,0,22.6,
2018-01-11T01:06:29.164Z,,,,,0,22.6,
2018-01-11T01:06:39.164Z,,,,,0,22.6,
2018-01-11T01:06:49.169Z,,,,,0,22.5,
2018-01-11T01:06:59.254Z,32.2,,,,0,22.5,
2018-01-11T01:07:09.164Z,,,,,0,22.5,
2018-01-11T01:07:19.170Z,,,,,0,22.5,
2018-01-11T01:07:29.164Z,,,,,0,22.5,
2018-01-11T01:07:39.165Z,,,,,0,22.5,
2018-01-11T01:07:49.164Z,,,,,0,22.5,
2018-01-11T01:07:59.254Z,,,,,0,22.5,
2018-01-11T01:08:09.164Z,,,,,0,22.5,
2018-01-11T01:08:19.164Z,,,,,0,22.5,
2018-01-11T01:08:29.167Z,,,,,0,22.5,
2018-01-11T01:08:39.164Z,,,,,0,22.5,
2018-01-11T01:08:49.165Z,,,,,0,22.4,
2018-01-11T01:08:59.257Z,,,,,0,22.4,
2018-01-11T01:09:09.321Z,,,,,0,22.4,
2018-01-11T01:09:19.170Z,32.1,,,,0,22.4,
2018-01-11T01:09:29.164Z,,,,,0,22.4,
2018-01-11T01:09:39.165Z,,,,,0,22.4,
