Time,ActPow,HwActive,HwTSet,PrimTSet,ChActive,PrimT,HwTOutlet
2017-11-10T00:00:05.841Z,,,0,,,,26.9
2017-11-10T00:00:16.685Z,,,0,,,,26.9
2017-11-10T00:00:25.832Z,,,0,,,,26.9
2017-11-10T00:00:35.832Z,,,0,,,,26.9
2017-11-10T00:00:45.849Z,,,0,,,44.4,26.8
2017-11-10T00:00:55.903Z,,,0,,,,26.8
2017-11-10T00:01:05.834Z,,,0,,,,26.8
2017-11-10T00:01:18.554Z,,,0,,,,26.8
2017-11-10T00:01:25.833Z,,,0,,,,26.8
2017-11-10T00:01:35.864Z,,,0,,,,26.8
2017-11-10T00:01:45.849Z,,,0,,,,26.7
2017-11-10T00:01:55.840Z,,,0,,,44.3,26.7
2017-11-10T00:02:05.830Z,,,0,,,,26.7
2017-11-10T00:02:16.785Z,,,0,,,,26.7
2017-11-10T00:02:25.906Z,,,0,,,,26.7
2017-11-10T00:02:35.848Z,,,0,,,,26.7
2017-11-10T00:02:45.855Z,,,0,,,,26.7
2017-11-10T00:02:55.836Z,,,0,,,,26.6
2017-11-10T00:03:05.852Z,,,0,,,44.2,26.6
2017-11-10T00:03:16.932Z,,,0,,,,26.6
2017-11-10T00:03:25.837Z,,,0,,,,26.6
2017-11-10T00:03:35.830Z,,,0,,,,26.6
2017-11-10T00:03:45.846Z,,,0,,,,26.6
2017-11-10T00:03:55.849Z,,,0,,,,26.6
2017-11-10T00:04:05.841Z,,,0,,,,26.6
2017-11-10T00:04:15.932Z,,,0,,,,26.6
2017-11-10T00:04:25.876Z,,,0,,,44.1,26.5
2017-11-10T00:04:35.836Z,,,0,,,,26.5
2017-11-10T00:04:45.835Z,,,0,,,,26.5
2017-11-10T00:04:55.833Z,,,0,,,,26.5
2017-11-10T00:05:05.839Z,,,0,,,,26.5
2017-11-10T00:05:16.179Z,,,0,,,,26.6
2017-11-10T00:05:25.985Z,,,0,,,,26.6
2017-11-10T00:05:35.890Z,,,0,,,44,26.6
2017-11-10T00:05:45.843Z,,,0,,,,26.6
2017-11-10T00:05:55.842Z,,,0,,,,26.6
2017-11-10T00:06:06.125Z,,,0,,,,26.6
2017-11-10T00:06:16.115Z,,,0,,,,26.6
2017-11-10T00:06:25.839Z,,,0,,,,26.6
2017-11-10T00:06:35.831Z,,,0,,,43.9,26.7
2017-11-10T00:06:45.836Z,,,0,,,43.9,26.6
2017-11-10T00:06:55.840Z,0,0,0,5,0,43.9,26.6
2017-11-10T00:07:05.838Z,,,0,,,,26.6
2017-11-10T00:07:15.993Z,,,0,,,,26.6
2017-11-10T00:07:25.831Z,,,0,,,,26.6
2017-11-10T00:07:35.945Z,,,0,,,,26.6
2017-11-10T00:07:45.876Z,,,0,,,,26.6
2017-11-10T00:07:55.844Z,,,0,,,43.8,26.6
2017-11-10T00:08:05.832Z,,,0,,,,26.6
2017-11-10T00:08:16.407Z,,,0,,,,26.6
2017-11-10T00:08:25.916Z,,,0,,,,26.6
2017-11-10T00:08:35.861Z,,,0,,,,26.6
2017-11-10T00:08:45.892Z,,,0,,,,26.6
2017-11-10T00:08:55.842Z,,,0,,,,26.5
2017-11-10T00:09:05.894Z,,,0,,,,26.5
2017-11-10T00:09:15.965Z,,,0,,,43.7,26.5
