Time,HwActive,HwTOutlet,ChActive,ActPow,PrimTSet,PrimT,HwTSet
2018-02-01T00:18:37.729Z,,19.7,,,,,0
2018-02-01T00:18:47.724Z,,19.7,,,,,0
2018-02-01T00:18:57.892Z,,19.7,,,,,0
2018-02-01T00:19:07.720Z,,19.7,,,,,0
2018-02-01T00:19:17.713Z,,19.7,,,,,0
2018-02-01T00:19:27.714Z,,19.7,,,,,0
2018-02-01T00:19:37.715Z,,19.8,,,,40.5,0
2018-02-01T00:19:47.711Z,,19.8,,,,,0
2018-02-01T00:19:57.840Z,,19.8,,,,,0
2018-02-01T00:20:07.708Z,,19.8,,,,,0
2018-02-01T00:20:17.715Z,,19.8,,,,,0
2018-02-01T00:20:27.708Z,,19.8,,,,,0
2018-02-01T00:20:37.735Z,,19.8,,,,,0
2018-02-01T00:20:47.708Z,,19.8,,,,,0
2018-02-01T00:20:57.797Z,,19.8,,,,,0
2018-02-01T00:21:07.811Z,,19.8,,,,40.4,0
2018-02-01T00:21:17.726Z,,20,,,,,0
2018-02-01T00:21:27.708Z,,20,,,,,0
2018-02-01T00:21:37.710Z,,20,,,,,0
2018-02-01T00:21:47.709Z,,20,,,,,0
2018-02-01T00:21:57.798Z,,20,,,,,0
2018-02-01T00:22:07.710Z,,20,,,,,0
2018-02-01T00:22:17.715Z,,20,,,,,0
2018-02-01T00:22:27.708Z,,20,,,,40.3,0
2018-02-01T00:22:37.714Z,,20.1,,,,,0
2018-02-01T00:22:47.709Z,,20.1,,,,,0
2018-02-01T00:22:57.850Z,,20.1,,,,,0
2018-02-01T00:23:07.708Z,,20.1,,,,,0
2018-02-01T00:23:17.716Z,,20.1,,,,,0
2018-02-01T00:23:27.710Z,,20.1,,,,,0
2018-02-01T00:23:37.963Z,,20.1,,,,40.2,0
2018-02-01T00:23:52.843Z,,20.1,,,,,0
2018-02-01T00:23:58.062Z,,20.1,,,,,0
2018-02-01T00:24:07.714Z,,20.1,,,,,0
2018-02-01T00:24:22.941Z,,20.1,,,,,0
2018-02-01T00:24:27.718Z,,20.1,,,,,0
2018-02-01T00:24:37.713Z,,20.2,,,,,0
2018-02-01T00:24:47.905Z,,20.2,,,,,0
2018-02-01T00:24:57.835Z,,20.2,,,,40.1,0
2018-02-01T00:25:07.714Z,,20.2,,,,,0
2018-02-01T00:25:17.716Z,,20.2,,,,,0
2018-02-01T00:25:27.711Z,,20.2,,,,,0
2018-02-01T00:25:37.721Z,,20.2,,,,,0
2018-02-01T00:25:47.709Z,,20.2,,,,,0
2018-02-01T00:25:57.898Z,,20.2,,,,,0
2018-02-01T00:26:07.715Z,,20.2,,,,,0
2018-02-01T00:26:17.724Z,,20.2,,,,,0
2018-02-01T00:26:27.714Z,,20.4,,,,40,0
2018-02-01T00:26:37.903Z,,20.4,,,,,0
2018-02-01T00:26:48.203Z,,20.2,,,,,0
2018-02-01T00:26:57.932Z,,20.4,,,,,0
2018-02-01T00:27:07.710Z,,20.4,,,,,0
2018-02-01T00:27:17.715Z,,20.4,,,,,0
2018-02-01T00:27:27.776Z,,20.4,,,,,0
2018-02-01T00:27:37.729Z,,20.4,,,,39.9,0
2018-02-01T00:27:47.710Z,,20.4,,,,39.9,0
2018-02-01T00:27:57.849Z,,20.4,,,,,0
2018-02-01T00:28:07.821Z,,20.4,,,,,0
2018-02-01T00:28:17.722Z,,20.4,,,,,0
2018-02-01T00:28:27.713Z,,20.4,,,,,0
2018-02-01T00:28:37.718Z,,20.5,,,,,0
