Time,PrimT,HwActive,ActPow,PrimTSet,ChActive,HwTOutlet,HwTSet
2017-12-02T00:17:00.943Z,50.2,0,0,,0,47.1,54
2017-12-02T00:17:10.911Z,50,,,,,46.4,0
2017-12-02T00:17:20.911Z,49.9,,,,,46.1,0
2017-12-02T00:17:30.918Z,49.8,,,,,46,0
2017-12-02T00:17:40.908Z,,,,,,45.9,0
2017-12-02T00:17:50.911Z,49.7,,,,,45.7,0
2017-12-02T00:18:01.294Z,51.1,0,45,61,2,45.6,0
2017-12-02T00:18:10.922Z,57.4,,33,,,45.5,0
2017-12-02T00:18:20.920Z,62.1,,29,,,45.3,0
2017-12-02T00:18:31.252Z,64,,29,,,45.2,0
2017-12-02T00:18:40.912Z,64.7,0,0,,2,45.1,0
2017-12-02T00:18:50.917Z,59.8,,,,,45,0
2017-12-02T00:19:00.909Z,57.9,,,,,44.9,0
2017-12-02T00:19:10.906Z,55.9,,,,,44.7,0
2017-12-02T00:19:20.909Z,54.9,,,,,44.6,0
2017-12-02T00:19:30.908Z,53.9,,,,,44.4,0
2017-12-02T00:19:40.928Z,52.9,,,,,44.3,0
2017-12-02T00:19:50.905Z,51.9,,,60,,44.2,0
2017-12-02T00:20:00.905Z,51.6,,,,,44,0
2017-12-02T00:20:11.213Z,50.9,,,,,43.9,0
2017-12-02T00:20:20.906Z,50.4,,,61,,43.8,0
2017-12-02T00:20:30.906Z,50,,,60,,43.7,0
2017-12-02T00:20:40.963Z,,,,,,43.5,0
2017-12-02T00:20:50.906Z,51,,,,,43.4,0
2017-12-02T00:21:00.906Z,51.1,,,,,43.3,0
2017-12-02T00:21:10.907Z,52,,,,,43.2,0
2017-12-02T00:21:20.905Z,52.6,,,,,43.1,0
2017-12-02T00:21:30.906Z,53,,,,,42.9,0
2017-12-02T00:21:40.905Z,53.1,,,,,42.8,0
2017-12-02T00:21:50.905Z,52.9,,,,,42.7,0
2017-12-02T00:22:00.906Z,52.7,,,,,42.6,0
2017-12-02T00:22:10.906Z,51.9,,,,,42.5,0
2017-12-02T00:22:20.907Z,51.6,,,,,42.4,0
2017-12-02T00:22:30.906Z,50.9,,,,,42.3,0
2017-12-02T00:22:40.906Z,49.9,,,,,42.2,0
2017-12-02T00:22:50.912Z,,,,,,42.1,0
2017-12-02T00:23:00.909Z,49.2,0,44,,2,42,0
2017-12-02T00:23:10.907Z,56.5,,33,,,41.9,0
2017-12-02T00:23:20.920Z,60,,30,,,41.7,0
2017-12-02T00:23:30.906Z,61.2,,29,,,41.7,0
2017-12-02T00:23:40.963Z,62,,,,,41.6,0
2017-12-02T00:23:50.926Z,62.1,,30,,,41.4,0
2017-12-02T00:24:00.906Z,63.1,,29,,,41.4,0
2017-12-02T00:24:11.185Z,62.6,0,0,,2,41.3,0
2017-12-02T00:24:20.925Z,57.7,,,,,41.2,0
2017-12-02T00:24:30.907Z,54.8,,,,,41.1,0
2017-12-02T00:24:40.910Z,52.8,,,,,40.9,0
2017-12-02T00:24:50.917Z,51.9,,,,,40.8,0
2017-12-02T00:25:00.912Z,50.9,,,,,40.7,0
2017-12-02T00:25:10.944Z,49.9,,,,,40.6,0
2017-12-02T00:25:20.914Z,48.9,,,,,40.6,0
