Time,HwTSet,HwActive,PrimTSet,ChActive,ActPow,PrimT,HwTOutlet
2018-01-14T00:18:47.795Z,0,,,,,42.7,26.8
2018-01-14T00:18:57.795Z,0,,,,,,26.8
2018-01-14T00:19:07.800Z,0,,,,,,26.8
2018-01-14T00:19:17.798Z,0,,,,,,26.8
2018-01-14T00:19:27.797Z,0,,,,,,26.8
2018-01-14T00:19:37.797Z,0,,,,,,26.8
2018-01-14T00:19:47.795Z,0,,,,,,26.7
2018-01-14T00:19:57.797Z,0,,,,,42.6,26.7
2018-01-14T00:20:07.797Z,0,,,,,,26.7
2018-01-14T00:20:17.936Z,0,,,,,,26.7
2018-01-14T00:20:27.795Z,0,,,,,,26.7
2018-01-14T00:20:37.796Z,0,,,,,,26.7
2018-01-14T00:20:47.795Z,0,,,,,,26.7
2018-01-14T00:20:57.795Z,0,,,,,,26.7
2018-01-14T00:21:07.795Z,0,,,,,,26.6
2018-01-14T00:21:17.798Z,0,,,,,42.4,26.6
2018-01-14T00:21:27.803Z,0,,,,,,26.6
2018-01-14T00:21:37.796Z,0,,,,,,26.6
2018-01-14T00:21:47.796Z,0,,,,,,26.6
2018-01-14T00:21:57.802Z,0,,,,,,26.6
2018-01-14T00:22:07.804Z,0,,,,,,26.6
2018-01-14T00:22:17.812Z,0,,,,,,26.5
2018-01-14T00:22:27.970Z,0,,,,,,26.5
2018-01-14T00:22:37.796Z,0,,,,,,26.5
2018-01-14T00:22:47.796Z,0,,,,,42.3,26.5
2018-01-14T00:22:57.795Z,0,,,,,,26.5
2018-01-14T00:23:07.796Z,0,,,,,,26.5
2018-01-14T00:23:17.812Z,0,,,,,,26.5
2018-01-14T00:23:27.798Z,0,,,,,,26.3
2018-01-14T00:23:37.796Z,0,,,,,,26.3
2018-01-14T00:23:47.803Z,0,,,,,,26.3
2018-01-14T00:24:02.820Z,0,,,,,,26.3
2018-01-14T00:24:07.795Z,0,,,,,42.2,26.3
2018-01-14T00:24:17.796Z,0,,,,,,26.5
2018-01-14T00:24:27.797Z,0,,,,,,26.5
2018-01-14T00:24:37.801Z,0,,,,,,26.5
2018-01-14T00:24:47.798Z,0,,,,,,26.5
2018-01-14T00:24:57.796Z,0,,,,,,26.5
2018-01-14T00:25:07.795Z,0,,,,,,26.5
2018-01-14T00:25:17.799Z,0,,,,,,26.5
2018-01-14T00:25:27.795Z,0,,,,,,26.5
2018-01-14T00:25:37.796Z,0,,,,,42.1,26.5
2018-01-14T00:25:47.806Z,0,,,,,,26.5
2018-01-14T00:26:02.925Z,0,,,,,,26.6
2018-01-14T00:26:07.798Z,0,,,,,,26.6
2018-01-14T00:26:17.926Z,0,,,,,,26.7
2018-01-14T00:26:28.302Z,0,,,,,,26.7
2018-01-14T00:26:37.797Z,0,,,,,,26.7
2018-01-14T00:26:47.797Z,0,,,,,,26.7
2018-01-14T00:26:57.796Z,0,,,,,42,26.7
2018-01-14T00:27:07.798Z,0,,,,,,26.7
2018-01-14T00:27:17.799Z,0,,,,,,26.7
2018-01-14T00:27:27.796Z,0,,,,,,26.7
2018-01-14T00:27:37.796Z,0,,,,,,26.7
2018-01-14T00:27:47.796Z,0,,,,,,26.7
2018-01-14T00:27:57.796Z,0,,,,,,26.7
2018-01-14T00:28:12.816Z,0,,,,,,26.7
2018-01-14T00:28:17.800Z,0,,,,,42,26.7
2018-01-14T00:28:27.796Z,0,,,,,41.9,26.7
2018-01-14T00:28:37.796Z,0,,,,,,26.6
2018-01-14T00:28:47.797Z,0,,,,,,26.6
2018-01-14T00:28:57.796Z,0,,,,,,26.6
2018-01-14T00:29:07.798Z,0,,,,,,26.6
2018-01-14T00:29:17.803Z,0,,,,,,26.6
2018-01-14T00:29:27.961Z,0,,,,,,26.6
2018-01-14T00:29:37.796Z,0,,,,,,26.6
2018-01-14T00:29:47.799Z,0,,,,,41.8,26.6
2018-01-14T00:29:57.962Z,0,,,,,,26.6
2018-01-14T00:30:07.797Z,0,,,,,,26.6
2018-01-14T00:30:17.797Z,0,,,,,,26.6
2018-01-14T00:30:27.799Z,0,,,,,,26.5
2018-01-14T00:30:37.797Z,0,,,,,,26.5
2018-01-14T00:30:47.799Z,0,,,,,,26.5
2018-01-14T00:30:57.800Z,0,,,,,,26.5
2018-01-14T00:31:07.796Z,0,,,,,,26.5
2018-01-14T00:31:17.797Z,0,,,,,41.7,26.5
2018-01-14T00:31:27.797Z,0,,,,,,26.5
2018-01-14T00:31:37.797Z,0,,,,,,26.3
2018-01-14T00:31:47.798Z,0,,,,,,26.3
2018-01-14T00:31:57.799Z,0,,,,,,26.3
2018-01-14T00:32:07.798Z,0,,,,,,26.3
2018-01-14T00:32:17.807Z,0,,,,,,26.3
2018-01-14T00:32:27.799Z,0,,,,,,26.3
2018-01-14T00:32:37.799Z,0,,,,,41.6,26.3
2018-01-14T00:32:47.965Z,0,,,,,,26.2
2018-01-14T00:32:57.797Z,0,,,,,,26.2
2018-01-14T00:33:07.803Z,0,,,,,,26.2
2018-01-14T00:33:17.797Z,0,,,,,,26.2
2018-01-14T00:33:27.797Z,0,,,,,,26.2
2018-01-14T00:33:37.799Z,0,,,,,,26.2
2018-01-14T00:33:47.798Z,0,,,,,41.5,26.2
2018-01-14T00:33:57.801Z,0,,,,,,26.1
2018-01-14T00:34:07.797Z,0,,,,,,26.1
2018-01-14T00:34:17.797Z,0,,,,,,26.1
2018-01-14T00:34:27.797Z,0,,,,,,26.1
2018-01-14T00:34:37.797Z,0,,,,,,26.1
2018-01-14T00:34:47.797Z,0,,,,,,26.1
2018-01-14T00:34:57.799Z,0,,,,,,26.1
2018-01-14T00:35:07.797Z,0,,,,,,26
2018-01-14T00:35:17.838Z,0,,,,,,26
2018-01-14T00:35:27.797Z,0,,,,,41.4,26
2018-01-14T00:35:37.798Z,0,,,,,,26
2018-01-14T00:35:47.798Z,0,,,,,,26
2018-01-14T00:35:57.952Z,0,,,,,,26
2018-01-14T00:36:07.798Z,0,,,,,,26
2018-01-14T00:36:17.798Z,0,,,,,,25.9
2018-01-14T00:36:27.799Z,0,,,,,,25.9
2018-01-14T00:36:37.798Z,0,,,,,,25.9
2018-01-14T00:36:47.798Z,0,,,,,,25.9
2018-01-14T00:36:57.798Z,0,,,,,41.3,25.9
2018-01-14T00:37:07.798Z,0,,,,,,25.9
2018-01-14T00:37:17.798Z,0,,,,,,25.9
2018-01-14T00:37:27.801Z,0,,,,,,25.9
2018-01-14T00:37:37.798Z,0,,,,,,25.7
2018-01-14T00:37:47.801Z,0,,,,,,25.7
2018-01-14T00:37:58.043Z,0,,,,,,25.7
2018-01-14T00:38:07.798Z,0,,,,,,25.7
2018-01-14T00:38:17.799Z,0,,,,,41.2,25.7
2018-01-14T00:38:27.799Z,0,,,,,,25.7
2018-01-14T00:38:37.798Z,0,,,,,,25.7
2018-01-14T00:38:48.046Z,0,,,,,,25.6
2018-01-14T00:38:57.800Z,0,,,,,,25.6
2018-01-14T00:39:07.798Z,0,,,,,,25.6
2018-01-14T00:39:17.798Z,0,,,,,,25.6
2018-01-14T00:39:27.798Z,0,,,,,,25.6
2018-01-14T00:39:37.804Z,0,,,,,,25.6
2018-01-14T00:39:47.803Z,0,,,,,41.1,25.6
2018-01-14T00:39:57.799Z,0,,,,,,25.6
2018-01-14T00:40:07.798Z,0,,,,,,25.5
2018-01-14T00:40:17.798Z,0,,,,,,25.5
2018-01-14T00:40:27.798Z,0,,,,,,25.5
2018-01-14T00:40:37.798Z,0,,,,,,25.5
2018-01-14T00:40:47.801Z,0,,,,,,25.5
2018-01-14T00:40:57.898Z,0,,,,,,25.5
2018-01-14T00:41:07.803Z,0,,,,,,25.5
2018-01-14T00:41:17.798Z,0,,,,,41,25.5
2018-01-14T00:41:27.798Z,0,,,,,,25.4
2018-01-14T00:41:37.805Z,0,,,,,,25.4
2018-01-14T00:41:47.801Z,0,,,,,,25.4
2018-01-14T00:41:57.798Z,0,,,,,,25.4
