Time,HwTSet,HwTOutlet,HwActive,ChActive,PrimTSet,ActPow,PrimT
2018-01-24T00:18:43.964Z,0,24,,,,,31.3
2018-01-24T00:18:54.052Z,0,24,,,,,
2018-01-24T00:19:03.962Z,0,24,,,,,
2018-01-24T00:19:18.982Z,0,24,,,,,
2018-01-24T00:19:24.189Z,0,24,,,,,
2018-01-24T00:19:33.969Z,0,24,,,,,
2018-01-24T00:19:43.963Z,0,24,,,,,
2018-01-24T00:19:54.073Z,0,24,,,,,
2018-01-24T00:20:03.973Z,0,24,,,,,
2018-01-24T00:20:13.963Z,0,24,,,,,
2018-01-24T00:20:23.966Z,0,24,,,,,
2018-01-24T00:20:33.967Z,0,24,,,,,
2018-01-24T00:20:43.964Z,0,24,,,,,
2018-01-24T00:20:59.285Z,0,23.9,,,,,
2018-01-24T00:21:03.965Z,0,23.9,,,,,
2018-01-24T00:21:14.001Z,0,23.9,,,,,
2018-01-24T00:21:23.964Z,0,23.9,,,,,
2018-01-24T00:21:33.963Z,0,23.9,,,,,31.2
2018-01-24T00:21:43.980Z,0,23.9,,,,,
2018-01-24T00:21:54.436Z,0,23.9,,,,,
2018-01-24T00:22:03.963Z,0,23.9,,,,,
2018-01-24T00:22:13.969Z,0,23.9,,,,,
2018-01-24T00:22:23.963Z,0,23.9,,,,,
2018-01-24T00:22:33.971Z,0,23.9,,,,,
2018-01-24T00:22:43.963Z,0,23.9,,,,,
2018-01-24T00:22:54.063Z,0,23.9,,,,,
2018-01-24T00:23:03.965Z,0,23.9,,,,,
2018-01-24T00:23:13.962Z,0,23.9,,,,,
2018-01-24T00:23:23.981Z,0,23.9,,,,,
2018-01-24T00:23:33.963Z,0,23.9,,,,,
2018-01-24T00:23:43.963Z,0,23.9,,,,,
2018-01-24T00:23:54.063Z,0,23.9,,,,,
2018-01-24T00:24:03.963Z,0,23.9,,,,,
2018-01-24T00:24:14.134Z,0,23.9,,,,,
2018-01-24T00:24:23.974Z,0,23.9,,,,,31.1
2018-01-24T00:24:34.418Z,0,23.9,,,,,
2018-01-24T00:24:43.963Z,0,23.9,,,,,
2018-01-24T00:24:54.410Z,0,23.9,,,,,
2018-01-24T00:25:09.106Z,0,23.9,,,,,
2018-01-24T00:25:13.977Z,0,23.9,,,,,
2018-01-24T00:25:23.963Z,0,23.9,,,,,
2018-01-24T00:25:33.963Z,0,23.9,,,,,
2018-01-24T00:25:43.969Z,0,23.9,,,,,
2018-01-24T00:25:54.086Z,0,23.8,,,,,
2018-01-24T00:26:03.963Z,0,23.9,,,,,
2018-01-24T00:26:13.968Z,0,23.8,,,,,
2018-01-24T00:26:23.972Z,0,23.8,,,,,
2018-01-24T00:26:33.974Z,0,23.8,,,,,
2018-01-24T00:26:49.707Z,0,23.8,,,,,
2018-01-24T00:26:54.212Z,0,23.8,,,,,
2018-01-24T00:27:03.993Z,0,23.8,,,,,31.1
2018-01-24T00:27:13.975Z,0,23.8,,,,,30.9
2018-01-24T00:27:24.469Z,0,23.8,,,,,30.9
2018-01-24T00:27:33.974Z,0,23.8,,,,,
2018-01-24T00:27:43.974Z,0,23.8,,,,,30.9
2018-01-24T00:27:54.062Z,0,23.8,,,,,
2018-01-24T00:28:03.964Z,0,23.8,,,,,
2018-01-24T00:28:13.964Z,0,23.8,,,,,
2018-01-24T00:28:23.972Z,0,23.8,,,,,
2018-01-24T00:28:33.963Z,0,23.8,,,,,
2018-01-24T00:28:43.966Z,0,23.8,,,,,
2018-01-24T00:28:54.055Z,0,23.8,,,,,
2018-01-24T00:29:03.965Z,0,23.8,,,,,
2018-01-24T00:29:13.964Z,0,23.8,,,,,
2018-01-24T00:29:23.963Z,0,23.8,,,,,
2018-01-24T00:29:33.969Z,0,23.8,,,,,
2018-01-24T00:29:43.963Z,0,23.8,,,,,
2018-01-24T00:29:54.054Z,0,23.8,,,,,
2018-01-24T00:30:03.964Z,0,23.8,,,,,
2018-01-24T00:30:13.965Z,0,23.8,,,,,30.8
2018-01-24T00:30:23.967Z,0,23.8,,,,,
2018-01-24T00:30:33.993Z,0,23.7,,,,,
2018-01-24T00:30:43.964Z,0,23.7,,,,,
2018-01-24T00:30:54.053Z,0,23.7,,,,,
2018-01-24T00:31:03.971Z,0,23.7,,,,,
2018-01-24T00:31:13.964Z,0,23.7,,,,,
2018-01-24T00:31:23.964Z,0,23.7,,,,,
2018-01-24T00:31:34.169Z,0,23.7,,,,,
2018-01-24T00:31:43.964Z,0,23.7,,,,,
2018-01-24T00:31:54.054Z,0,23.7,,,,,
2018-01-24T00:32:03.963Z,0,23.7,,,,,
2018-01-24T00:32:13.965Z,0,23.7,,,,,
2018-01-24T00:32:23.964Z,0,23.7,,,,,
2018-01-24T00:32:33.964Z,0,23.7,,,,,
2018-01-24T00:32:43.966Z,0,23.7,,,,,
2018-01-24T00:32:59.104Z,0,23.7,,,,,
2018-01-24T00:33:03.966Z,0,23.7,,,,,30.7
2018-01-24T00:33:13.966Z,0,23.7,,,,,30.8
2018-01-24T00:33:23.964Z,0,23.7,,,,,30.7
2018-01-24T00:33:33.964Z,0,23.7,,,,,
2018-01-24T00:33:43.964Z,0,23.7,,,,,
2018-01-24T00:33:54.054Z,0,23.7,,,,,
2018-01-24T00:34:03.964Z,0,23.7,,,,,
2018-01-24T00:34:13.964Z,0,23.7,,,,,
2018-01-24T00:34:23.964Z,0,23.7,,,,,
2018-01-24T00:34:34.124Z,0,23.7,,,,,
2018-01-24T00:34:43.974Z,0,23.7,,,,,
2018-01-24T00:34:54.236Z,0,23.7,,,,,
2018-01-24T00:35:03.967Z,0,23.7,,,,,
2018-01-24T00:35:13.971Z,0,23.7,,,,,
2018-01-24T00:35:23.964Z,0,23.7,,,,,
2018-01-24T00:35:33.964Z,0,23.6,,,,,
2018-01-24T00:35:43.977Z,0,23.6,,,,,
2018-01-24T00:35:54.055Z,0,23.6,,,,,
2018-01-24T00:36:03.964Z,0,23.6,,,,,
2018-01-24T00:36:13.972Z,0,23.6,,,,,
2018-01-24T00:36:23.964Z,0,23.6,,,,,30.6
2018-01-24T00:36:33.965Z,0,23.6,,,,,
2018-01-24T00:36:44.163Z,0,23.6,,,,,
2018-01-24T00:36:54.162Z,0,23.6,,,,,
2018-01-24T00:37:03.965Z,0,23.6,,,,,
2018-01-24T00:37:14.406Z,0,23.6,,,,,
2018-01-24T00:37:23.965Z,0,23.6,,,,,
2018-01-24T00:37:33.964Z,0,23.6,,,,,
2018-01-24T00:37:43.966Z,0,23.6,,,,,
2018-01-24T00:37:54.201Z,0,23.6,,,,,
2018-01-24T00:38:03.965Z,0,23.6,,,,,
2018-01-24T00:38:13.968Z,0,23.6,,,,,
2018-01-24T00:38:23.965Z,0,23.6,,,,,
2018-01-24T00:38:33.971Z,0,23.6,,,,,
2018-01-24T00:38:49.218Z,0,23.6,,,,,
2018-01-24T00:38:54.632Z,0,23.6,,,,,
2018-01-24T00:39:03.965Z,0,23.6,,,,,
2018-01-24T00:39:13.968Z,0,23.6,,,,,
2018-01-24T00:39:23.965Z,0,23.6,,,,,30.5
2018-01-24T00:39:33.965Z,0,23.6,,,,,
2018-01-24T00:39:43.965Z,0,23.4,,,,,
2018-01-24T00:39:54.055Z,0,23.4,,,,,
2018-01-24T00:40:09.103Z,0,23.4,,,,,
2018-01-24T00:40:14.125Z,0,23.4,,,,,
2018-01-24T00:40:24.104Z,0,23.4,,,,,
2018-01-24T00:40:33.972Z,0,23.4,,,,,
2018-01-24T00:40:44.000Z,0,23.4,,,,,
2018-01-24T00:40:54.059Z,0,23.4,,,,,
2018-01-24T00:41:03.968Z,0,23.4,,,,,
2018-01-24T00:41:13.971Z,0,23.4,,,,,
2018-01-24T00:41:23.980Z,0,23.4,,,,,
2018-01-24T00:41:33.966Z,0,23.4,,,,,
2018-01-24T00:41:43.967Z,0,23.4,,,,,
2018-01-24T00:41:54.061Z,0,23.4,,,,,
2018-01-24T00:42:03.967Z,0,23.4,,,,,
2018-01-24T00:42:13.971Z,0,23.4,,,,,
2018-01-24T00:42:28.985Z,0,23.4,,,,,30.4
2018-01-24T00:42:33.968Z,0,23.4,,,,,
2018-01-24T00:42:43.973Z,0,23.4,,,,,
2018-01-24T00:42:54.055Z,0,23.4,,,,,
2018-01-24T00:43:03.988Z,0,23.4,,,,,
2018-01-24T00:43:13.965Z,0,23.4,,,,,
2018-01-24T00:43:23.969Z,0,23.4,,,,,
2018-01-24T00:43:33.967Z,0,23.4,,,,,
2018-01-24T00:43:43.995Z,0,23.3,,,,,
2018-01-24T00:43:54.129Z,0,23.3,,,,,
2018-01-24T00:44:03.971Z,0,23.3,,,,,
2018-01-24T00:44:13.970Z,0,23.3,,,,,
2018-01-24T00:44:23.967Z,0,23.3,,,,,
2018-01-24T00:44:33.990Z,0,23.3,,,,,
2018-01-24T00:44:43.974Z,0,23.3,,,,,
2018-01-24T00:44:54.245Z,0,23.3,,,,,
2018-01-24T00:45:04.478Z,0,23.3,,,,,
2018-01-24T00:45:13.984Z,0,23.3,,,,,
2018-01-24T00:45:23.969Z,0,23.3,,,,,
2018-01-24T00:45:34.012Z,0,23.3,,,,,30.3
2018-01-24T00:45:43.970Z,0,23.3,,,,,
2018-01-24T00:45:54.058Z,0,23.3,,,,,
2018-01-24T00:46:03.965Z,0,23.3,,,,,
2018-01-24T00:46:14.144Z,0,23.3,,,,,
2018-01-24T00:46:23.966Z,0,23.3,,,,,
2018-01-24T00:46:33.966Z,0,23.3,,,,,
