Time,ChActive,ActPow,HwActive,PrimT,HwTOutlet,PrimTSet,HwTSet
2017-12-19T00:21:09.490Z,,,,,48.9,,0
2017-12-19T00:21:19.495Z,,,,,48.6,,0
2017-12-19T00:21:29.490Z,,,,,48.3,,0
2017-12-19T00:21:39.491Z,,,,,48,,0
2017-12-19T00:21:49.577Z,,,,,47.8,,0
2017-12-19T00:21:59.490Z,,,,,47.5,,0
2017-12-19T00:22:09.490Z,,,,53.3,47.3,,0
2017-12-19T00:22:19.490Z,,,,,47,,0
2017-12-19T00:22:29.491Z,,,,,46.7,,0
2017-12-19T00:22:39.495Z,,,,,46.5,,0
2017-12-19T00:22:49.571Z,,,,53.2,46.2,,0
2017-12-19T00:22:59.491Z,,,,,46,,0
2017-12-19T00:23:09.490Z,,,,,45.8,,0
2017-12-19T00:23:19.491Z,,,,,45.5,,0
2017-12-19T00:23:29.491Z,,,,53.1,45.3,,0
2017-12-19T00:23:39.492Z,,,,,45.1,,0
2017-12-19T00:23:49.570Z,,,,,44.9,,0
2017-12-19T00:23:59.497Z,,,,53,44.7,,0
2017-12-19T00:24:09.493Z,,,,52.9,44.3,,0
2017-12-19T00:24:19.491Z,,,,,44.1,,0
2017-12-19T00:24:29.491Z,,,,,43.9,,0
2017-12-19T00:24:39.490Z,,,,,43.7,,0
2017-12-19T00:24:49.570Z,,,,52.8,43.5,,0
2017-12-19T00:24:59.493Z,,,,,43.3,,0
2017-12-19T00:25:09.491Z,,,,52.7,43.1,,0
2017-12-19T00:25:19.491Z,,,,,42.9,,0
2017-12-19T00:25:29.491Z,,,,52.6,42.7,,0
2017-12-19T00:25:39.491Z,,,,,42.5,,0
2017-12-19T00:25:49.571Z,,,,52.4,42.3,,0
2017-12-19T00:25:59.491Z,,,,,42.2,,0
2017-12-19T00:26:09.491Z,,,,52.3,42,,0
2017-12-19T00:26:19.491Z,,,,,41.8,,0
2017-12-19T00:26:29.493Z,,,,52.2,41.6,,0
2017-12-19T00:26:39.492Z,,,,,41.4,,0
2017-12-19T00:26:49.572Z,,,,52.1,41.3,,0
2017-12-19T00:26:59.491Z,,,,,41.1,,0
2017-12-19T00:27:09.491Z,,,,52,40.8,,0
2017-12-19T00:27:19.491Z,,,,51.9,40.6,,0
2017-12-19T00:27:29.492Z,,,,,40.5,,0
2017-12-19T00:27:39.491Z,,,,,40.3,,0
2017-12-19T00:27:49.571Z,,,,51.8,40.2,,0
2017-12-19T00:27:59.492Z,,,,,40,,0
2017-12-19T00:28:09.491Z,,,,,39.8,,0
2017-12-19T00:28:19.492Z,,,,51.7,39.7,,0
2017-12-19T00:28:29.492Z,,,,,39.5,,0
2017-12-19T00:28:39.491Z,,,,51.6,39.4,,0
2017-12-19T00:28:49.571Z,,,,,39.2,,0
2017-12-19T00:28:59.494Z,,,,51.5,39.1,,0
2017-12-19T00:29:09.491Z,,,,,38.8,,0
2017-12-19T00:29:19.492Z,,,,51.4,38.7,,0
2017-12-19T00:29:29.492Z,,,,,38.6,,0
2017-12-19T00:29:39.492Z,,,,,38.4,,0
2017-12-19T00:29:49.572Z,,,,51.3,38.3,,0
2017-12-19T00:29:59.498Z,,,,,38.2,,0
2017-12-19T00:30:09.491Z,,,,51.2,38,,0
2017-12-19T00:30:19.492Z,,,,,37.9,,0
2017-12-19T00:30:29.492Z,,,,51.1,37.7,,0
2017-12-19T00:30:39.492Z,,,,,37.6,,0
2017-12-19T00:30:49.577Z,,,,,37.5,,0
2017-12-19T00:30:59.492Z,,,,51,37.4,,0
2017-12-19T00:31:09.491Z,,,,50.9,37.2,,0
2017-12-19T00:31:19.492Z,,,,,37.1,,0
2017-12-19T00:31:29.491Z,,,,,36.9,,0
2017-12-19T00:31:39.492Z,,,,,36.8,,0
2017-12-19T00:31:49.572Z,,,,50.7,36.6,,0
2017-12-19T00:31:59.494Z,,,,,36.5,,0
2017-12-19T00:32:09.491Z,,,,50.6,36.4,,0
2017-12-19T00:32:19.492Z,,,,,36.3,,0
2017-12-19T00:32:29.492Z,,,,,36.2,,0
2017-12-19T00:32:39.492Z,,,,50.5,36.1,,0
2017-12-19T00:32:49.572Z,,,,,36,,0
2017-12-19T00:32:59.492Z,,,,,35.9,,0
2017-12-19T00:33:09.492Z,,,,50.4,35.7,,0
2017-12-19T00:33:19.492Z,,,,,35.6,,0
2017-12-19T00:33:29.492Z,,,,,35.5,,0
2017-12-19T00:33:39.492Z,,,,50.3,35.4,,0
2017-12-19T00:33:49.582Z,,,,,35.3,,0
2017-12-19T00:33:59.492Z,,,,,35.2,,0
2017-12-19T00:34:09.493Z,,,,,35.1,,0
2017-12-19T00:34:19.495Z,,,,50.2,34.9,,0
2017-12-19T00:34:29.492Z,,,,,34.8,,0
2017-12-19T00:34:39.492Z,,,,,34.7,,0
2017-12-19T00:34:49.572Z,,,,50.1,34.6,,0
2017-12-19T00:34:59.492Z,,,,,34.5,,0
2017-12-19T00:35:09.492Z,,,,,34.4,,0
2017-12-19T00:35:19.493Z,,,,50,34.3,,0
2017-12-19T00:35:29.493Z,,,,,34.2,,0
2017-12-19T00:35:39.492Z,,,,,34.1,,0
2017-12-19T00:35:49.572Z,,,,49.9,34,,0
2017-12-19T00:35:59.492Z,,,,,33.9,,0
2017-12-19T00:36:09.494Z,,,,,33.8,,0
2017-12-19T00:36:19.494Z,,,,,33.7,,0
2017-12-19T00:36:29.492Z,,,,49.8,33.7,,0
2017-12-19T00:36:39.493Z,,,,,33.6,,0
2017-12-19T00:36:49.573Z,,,,,33.5,,0
2017-12-19T00:36:59.492Z,,,,,33.4,,0
2017-12-19T00:37:09.493Z,,,,49.7,33.3,,0
2017-12-19T00:37:19.493Z,,,,,33.2,,0
2017-12-19T00:37:29.493Z,,,,,33.1,,0
2017-12-19T00:37:39.492Z,,,,49.6,33.1,,0
2017-12-19T00:37:49.572Z,,,,,32.9,,0
2017-12-19T00:37:59.493Z,,,,,32.8,,0
2017-12-19T00:38:09.493Z,,,,,32.7,,0
2017-12-19T00:38:19.493Z,,,,49.6,32.6,,0
2017-12-19T00:38:29.493Z,,,,49.5,32.5,,0
2017-12-19T00:38:39.493Z,,,,,32.4,,0
2017-12-19T00:38:49.573Z,,,,,32.4,,0
2017-12-19T00:38:59.493Z,,,,49.4,32.3,,0
2017-12-19T00:39:09.493Z,,,,,32.2,,0
2017-12-19T00:39:19.493Z,,,,,32.2,,0
2017-12-19T00:39:29.492Z,,,,,32.1,,0
2017-12-19T00:39:39.501Z,,,,49.3,32,,0
2017-12-19T00:39:49.572Z,,,,,31.9,,0
2017-12-19T00:39:59.492Z,,,,,31.9,,0
2017-12-19T00:40:09.493Z,,,,,31.8,,0
2017-12-19T00:40:19.493Z,,,,49.2,31.6,,0
2017-12-19T00:40:29.493Z,,,,,31.5,,0
2017-12-19T00:40:39.493Z,,,,,31.5,,0
2017-12-19T00:40:49.573Z,,,,,31.4,,0
2017-12-19T00:40:59.493Z,,,,,31.3,,0
2017-12-19T00:41:09.493Z,,,,49.1,31.3,,0
2017-12-19T00:41:19.494Z,,,,,31.2,,0
2017-12-19T00:41:29.494Z,,,,,31,,0
2017-12-19T00:41:39.493Z,,,,,31,,0
2017-12-19T00:41:49.583Z,,,,49,30.9,,0
2017-12-19T00:41:59.493Z,,,,,30.8,,0
2017-12-19T00:42:09.493Z,,,,,30.8,,0
2017-12-19T00:42:19.494Z,,,,,30.7,,0
2017-12-19T00:42:29.498Z,,,,48.9,30.6,,0
2017-12-19T00:42:39.493Z,,,,,30.6,,0
2017-12-19T00:42:49.574Z,,,,,30.4,,0
2017-12-19T00:42:59.493Z,,,,,30.3,,0
2017-12-19T00:43:09.494Z,,,,,30.3,,0
2017-12-19T00:43:19.494Z,,,,48.8,30.2,,0
2017-12-19T00:43:29.493Z,,,,,30.2,,0
2017-12-19T00:43:39.494Z,,,,,30.1,,0
2017-12-19T00:43:49.574Z,,,,,30,,0
2017-12-19T00:43:59.493Z,,,,,30,,0
2017-12-19T00:44:09.494Z,,,,48.7,29.8,,0
2017-12-19T00:44:19.493Z,,,,,29.8,,0
2017-12-19T00:44:29.494Z,,,,,29.7,,0
2017-12-19T00:44:39.493Z,,,,,29.6,,0
2017-12-19T00:44:49.573Z,,,,48.6,29.6,,0
2017-12-19T00:44:59.494Z,,,,,29.5,,0
2017-12-19T00:45:09.494Z,,,,,29.5,,0
2017-12-19T00:45:19.494Z,,,,,29.3,,0
2017-12-19T00:45:29.494Z,,,,,29.3,,0
2017-12-19T00:45:39.494Z,,,,,29.2,,0
2017-12-19T00:45:49.574Z,,,,48.5,29.2,,0
2017-12-19T00:45:59.494Z,,,,,29.1,,0
2017-12-19T00:46:09.494Z,,,,,29,,0
2017-12-19T00:46:19.494Z,,,,,29,,0
2017-12-19T00:46:29.494Z,,,,,29,,0
2017-12-19T00:46:39.494Z,,,,48.4,28.9,,0
2017-12-19T00:46:49.574Z,,,,,28.9,,0
2017-12-19T00:46:59.495Z,,,,,28.7,,0
2017-12-19T00:47:09.494Z,,,,,28.6,,0
2017-12-19T00:47:19.494Z,,,,48.3,28.6,,0
2017-12-19T00:47:29.500Z,,,,,28.5,,0
2017-12-19T00:47:39.494Z,,,,,28.5,,0
2017-12-19T00:47:49.574Z,,,,,28.5,,0
2017-12-19T00:47:59.494Z,,,,,28.4,,0
2017-12-19T00:48:09.494Z,,,,48.2,28.4,,0
2017-12-19T00:48:19.494Z,,,,,28.3,,0
2017-12-19T00:48:29.496Z,,,,,28.3,,0
2017-12-19T00:48:39.494Z,,,,,28.1,,0
2017-12-19T00:48:49.574Z,,,,,28.1,,0
2017-12-19T00:48:59.494Z,,,,,28,,0
2017-12-19T00:49:09.495Z,,,,48.1,28,,0
2017-12-19T00:49:19.494Z,,,,,27.9,,0
2017-12-19T00:49:29.494Z,,,,,27.9,,0
2017-12-19T00:49:39.495Z,,,,,27.8,,0
2017-12-19T00:49:49.575Z,,,,48,27.8,,0
2017-12-19T00:49:59.494Z,,,,,27.8,,0
2017-12-19T00:50:09.494Z,,,,,27.7,,0
2017-12-19T00:50:19.495Z,,,,,27.7,,0
2017-12-19T00:50:29.494Z,,,,,27.5,,0
2017-12-19T00:50:39.495Z,,,,47.9,27.5,,0
2017-12-19T00:50:49.574Z,,,,,27.4,,0
