Time,HwTSet,ActPow,ChActive,PrimT,HwTOutlet,PrimTSet,HwActive
2017-11-29T00:17:07.186Z,0,,,61.4,31,,
2017-11-29T00:17:17.189Z,0,30,,61.1,31,,
2017-11-29T00:17:27.186Z,0,29,,60.8,31,,
2017-11-29T00:17:37.186Z,0,30,,60.8,31.2,,
2017-11-29T00:17:47.186Z,0,,,,31.2,,
2017-11-29T00:17:57.187Z,0,,,60.5,31.2,,
2017-11-29T00:18:07.186Z,0,31,,60.2,31.2,,
2017-11-29T00:18:17.190Z,0,,,,31.2,,
2017-11-29T00:18:27.187Z,0,32,,60.5,31.3,,
2017-11-29T00:18:37.215Z,0,31,,60.9,31.3,,
2017-11-29T00:18:47.188Z,0,32,,60.9,31.3,,
2017-11-29T00:18:57.186Z,0,31,,61.2,31.3,,
2017-11-29T00:19:07.193Z,0,31,,61.2,31.3,,
2017-11-29T00:19:17.190Z,0,32,,61.1,31.4,,
2017-11-29T00:19:27.189Z,0,,,,31.4,,
2017-11-29T00:19:37.193Z,0,,,60.9,31.4,,
2017-11-29T00:19:47.188Z,0,,,60.9,31.4,,
2017-11-29T00:19:57.191Z,0,31,,61.3,31.4,,
2017-11-29T00:20:07.189Z,0,32,,61.2,31.5,,
2017-11-29T00:20:17.194Z,0,31,,61.1,31.5,,
2017-11-29T00:20:27.188Z,0,,,60.9,31.5,,
2017-11-29T00:20:37.187Z,0,,,60.7,31.5,,
2017-11-29T00:20:47.187Z,0,,,61.1,31.5,,
2017-11-29T00:20:57.190Z,0,,,61.4,31.6,,
2017-11-29T00:21:07.187Z,0,32,,,31.6,,
2017-11-29T00:21:17.189Z,0,31,,61.5,31.6,,
2017-11-29T00:21:27.186Z,0,,,61.6,31.6,,
2017-11-29T00:21:37.188Z,0,32,,62,31.6,,
2017-11-29T00:21:47.266Z,0,32,,62,31.8,,
2017-11-29T00:21:57.187Z,0,31,,,31.8,,
2017-11-29T00:22:07.191Z,0,,,62.1,31.8,,
2017-11-29T00:22:17.187Z,0,30,,,31.9,,
2017-11-29T00:22:27.187Z,0,,,62,31.9,,
