Time,ActPow,HwTOutlet,HwActive,PrimTSet,ChActive,HwTSet,PrimT
2017-11-17T00:00:07.385Z,,28,,,,0,
2017-11-17T00:00:17.385Z,,28,,,,0,
2017-11-17T00:00:27.385Z,,27.9,,,,0,
2017-11-17T00:00:37.409Z,,27.9,,,,0,
2017-11-17T00:00:47.386Z,,27.9,,,,0,35.1
2017-11-17T00:00:57.512Z,,27.9,,,,0,35.2
2017-11-17T00:01:07.386Z,,27.8,,,,0,35.1
2017-11-17T00:01:17.385Z,,27.8,,,,0,
2017-11-17T00:01:27.389Z,,27.8,,,,0,
2017-11-17T00:01:37.385Z,,27.8,,,,0,
2017-11-17T00:01:47.385Z,,27.7,,,,0,
2017-11-17T00:01:57.385Z,,27.7,,,,0,
2017-11-17T00:02:07.385Z,,27.7,,,,0,
2017-11-17T00:02:17.386Z,,27.5,,,,0,
2017-11-17T00:02:27.385Z,,27.5,,,,0,
2017-11-17T00:02:37.390Z,,27.5,,,,0,
2017-11-17T00:02:47.385Z,,27.5,,,,0,
2017-11-17T00:02:57.386Z,,27.4,,,,0,34.9
2017-11-17T00:03:07.385Z,,27.4,,,,0,34.9
2017-11-17T00:03:17.385Z,,27.4,,,,0,
2017-11-17T00:03:27.386Z,,27.4,,,,0,
2017-11-17T00:03:37.385Z,,27.3,,,,0,
2017-11-17T00:03:47.385Z,,27.3,,,,0,
2017-11-17T00:03:57.386Z,,27.3,,,,0,
2017-11-17T00:04:07.386Z,,27.3,,,,0,
2017-11-17T00:04:17.385Z,,27.2,,,,0,
2017-11-17T00:04:27.386Z,,27.2,,,,0,
2017-11-17T00:04:37.385Z,,27.2,,,,0,
2017-11-17T00:04:47.387Z,,27.2,,,,0,
2017-11-17T00:04:57.386Z,,27.2,,,,0,
2017-11-17T00:05:07.385Z,,27.1,,,,0,34.8
2017-11-17T00:05:17.415Z,,27.1,,,,0,34.9
2017-11-17T00:05:27.387Z,,27.1,,,,0,34.8
2017-11-17T00:05:37.660Z,,27.1,,,,0,
2017-11-17T00:05:47.385Z,,26.9,,,,0,
2017-11-17T00:05:57.385Z,,26.9,,,,0,
2017-11-17T00:06:07.388Z,,26.9,,,,0,
2017-11-17T00:06:17.386Z,,26.9,,,,0,
2017-11-17T00:06:27.386Z,,26.8,,,,0,
2017-11-17T00:06:37.386Z,,26.8,,,,0,
2017-11-17T00:06:47.386Z,,26.8,,,,0,
2017-11-17T00:06:57.390Z,,26.8,,,,0,
2017-11-17T00:07:07.385Z,,26.7,,,,0,
2017-11-17T00:07:17.386Z,,26.7,,,,0,
2017-11-17T00:07:27.385Z,,26.7,,,,0,
2017-11-17T00:07:37.385Z,,26.7,,,,0,34.7
2017-11-17T00:07:47.386Z,,26.7,,,,0,
2017-11-17T00:07:57.387Z,,26.6,,,,0,
2017-11-17T00:08:07.386Z,,26.6,,,,0,
2017-11-17T00:08:17.386Z,,26.6,,,,0,
2017-11-17T00:08:27.386Z,,26.6,,,,0,
2017-11-17T00:08:37.385Z,,26.6,,,,0,
2017-11-17T00:08:47.403Z,,26.6,,,,0,
2017-11-17T00:08:57.386Z,,26.5,,,,0,
2017-11-17T00:09:07.390Z,,26.5,,,,0,
2017-11-17T00:09:17.387Z,,26.5,,,,0,
2017-11-17T00:09:27.387Z,,26.5,,,,0,
2017-11-17T00:09:37.394Z,,26.5,,,,0,
2017-11-17T00:09:47.386Z,,26.3,,,,0,
2017-11-17T00:09:57.387Z,,26.3,,,,0,
2017-11-17T00:10:07.387Z,,26.3,,,,0,34.6
2017-11-17T00:10:17.386Z,,26.3,,,,0,
2017-11-17T00:10:27.387Z,,26.3,,,,0,
2017-11-17T00:10:37.386Z,,26.2,,,,0,
2017-11-17T00:10:47.386Z,,26.2,,,,0,
2017-11-17T00:10:57.386Z,,26.2,,,,0,
2017-11-17T00:11:07.387Z,,26.2,,,,0,
2017-11-17T00:11:17.386Z,,26.2,,,,0,
2017-11-17T00:11:27.387Z,,26.2,,,,0,
2017-11-17T00:11:37.386Z,,26.1,,,,0,
2017-11-17T00:11:47.387Z,,26.1,,,,0,
2017-11-17T00:11:57.386Z,,26.1,,,,0,
2017-11-17T00:12:07.387Z,,26.1,,,,0,
2017-11-17T00:12:17.672Z,,26.1,,,,0,
2017-11-17T00:12:27.387Z,,26.1,,,,0,34.5
2017-11-17T00:12:37.387Z,,26,,,,0,
2017-11-17T00:12:47.387Z,,26,,,,0,
2017-11-17T00:12:57.386Z,,26,,,,0,
2017-11-17T00:13:07.387Z,,26,,,,0,
2017-11-17T00:13:17.386Z,,26,,,,0,
2017-11-17T00:13:27.387Z,,26,,,,0,
2017-11-17T00:13:37.387Z,,26,,,,0,
2017-11-17T00:13:47.391Z,,25.9,,,,0,
2017-11-17T00:13:57.388Z,,25.9,,,,0,
2017-11-17T00:14:07.387Z,,25.9,,,,0,
2017-11-17T00:14:17.387Z,,25.9,,,,0,
2017-11-17T00:14:27.387Z,,25.9,,,,0,
2017-11-17T00:14:37.388Z,,25.9,,,,0,34.4
2017-11-17T00:14:47.390Z,,25.7,,,,0,
2017-11-17T00:14:57.388Z,,25.7,,,,0,
2017-11-17T00:15:07.395Z,,25.7,,,,0,
2017-11-17T00:15:17.387Z,,25.7,,,,0,
2017-11-17T00:15:27.401Z,,25.7,,,,0,
2017-11-17T00:15:37.387Z,,25.7,,,,0,
2017-11-17T00:15:47.387Z,,25.7,,,,0,
2017-11-17T00:15:57.672Z,,25.6,,,,0,
2017-11-17T00:16:07.387Z,,25.6,,,,0,
2017-11-17T00:16:17.391Z,,25.6,,,,0,
2017-11-17T00:16:27.390Z,,25.6,,,,0,
2017-11-17T00:16:37.387Z,,25.6,,,,0,
2017-11-17T00:16:47.387Z,,25.6,,,,0,
2017-11-17T00:16:57.388Z,,25.5,,,,0,
2017-11-17T00:17:07.387Z,,25.5,,,,0,34.3
2017-11-17T00:17:17.387Z,,25.5,,,,0,
2017-11-17T00:17:27.389Z,,25.5,,,,0,
2017-11-17T00:17:37.387Z,,25.5,,,,0,
2017-11-17T00:17:47.387Z,0,25.5,0,5,0,0,34.3
2017-11-17T00:17:57.387Z,,25.5,,,,0,
2017-11-17T00:18:07.387Z,,25.5,,,,0,
2017-11-17T00:18:17.448Z,,25.4,,,,0,
2017-11-17T00:18:27.387Z,,25.4,,,,0,
2017-11-17T00:18:37.387Z,,25.4,,,,0,
2017-11-17T00:18:47.387Z,,25.4,,,,0,
2017-11-17T00:18:57.388Z,,25.4,,,,0,
2017-11-17T00:19:07.388Z,,25.4,,,,0,
2017-11-17T00:19:17.390Z,,25.4,,,,0,34.2
2017-11-17T00:19:27.387Z,,25.4,,,,0,
