Time,PrimT,HwTSet,HwActive,ChActive,HwTOutlet,ActPow,PrimTSet
2018-01-01T00:27:13.017Z,17,0,,,16.8,,
2018-01-01T00:27:23.015Z,,0,,,16.8,,
2018-01-01T00:27:33.017Z,17,0,0,0,16.8,0,5
2018-01-01T00:27:43.017Z,17,0,,,16.8,,
2018-01-01T00:27:53.017Z,17,0,,,16.8,,
2018-01-01T00:28:03.015Z,16.9,0,,,16.8,,
2018-01-01T00:28:13.016Z,16.9,0,,,16.8,,
2018-01-01T00:28:23.015Z,16.9,0,,,16.8,,
2018-01-01T00:28:33.016Z,16.9,0,,,16.8,,
2018-01-01T00:28:43.016Z,16.9,0,,,16.8,,
2018-01-01T00:28:53.015Z,16.9,0,,,16.8,,
2018-01-01T00:29:03.015Z,16.9,0,,,16.8,,
2018-01-01T00:29:13.016Z,16.9,0,,,16.8,,
2018-01-01T00:29:23.017Z,16.9,0,,,16.8,,
2018-01-01T00:29:38.065Z,16.9,0,,,16.8,,
2018-01-01T00:29:43.028Z,16.9,0,,,16.8,,
2018-01-01T00:29:53.016Z,16.9,0,,,16.7,,
2018-01-01T00:30:03.017Z,16.9,0,,,16.8,,
2018-01-01T00:30:13.017Z,17,0,,,16.7,,
2018-01-01T00:30:23.020Z,17,0,,,16.8,,
2018-01-01T00:30:33.019Z,16.9,0,,,16.7,,
2018-01-01T00:30:43.016Z,,0,,,16.7,,
2018-01-01T00:30:53.017Z,,0,,,16.7,,
2018-01-01T00:31:03.018Z,16.9,0,,,16.7,,
2018-01-01T00:31:13.016Z,,0,,,16.7,,
2018-01-01T00:31:23.016Z,16.9,0,,,16.7,,
2018-01-01T00:31:33.016Z,17,0,,,16.7,,
2018-01-01T00:31:43.016Z,16.9,0,,,16.7,,
2018-01-01T00:31:53.016Z,,0,,,16.7,,
2018-01-01T00:32:03.016Z,,0,,,16.7,,
2018-01-01T00:32:13.016Z,,0,,,16.7,,
2018-01-01T00:32:23.016Z,,0,,,16.7,,
2018-01-01T00:32:33.016Z,,0,,,16.7,,
2018-01-01T00:32:43.016Z,,0,,,16.7,,
2018-01-01T00:32:53.018Z,,0,,,16.7,,
2018-01-01T00:33:03.016Z,,0,,,16.7,,
2018-01-01T00:33:13.019Z,,0,,,16.7,,
2018-01-01T00:33:23.016Z,,0,,,16.7,,
2018-01-01T00:33:33.017Z,,0,,,16.7,,
2018-01-01T00:33:43.016Z,,0,,,16.7,,
2018-01-01T00:33:53.021Z,,0,,,16.7,,
2018-01-01T00:34:03.018Z,,0,,,16.7,,
2018-01-01T00:34:13.016Z,,0,,,16.7,,
2018-01-01T00:34:23.016Z,,0,,,16.7,,
2018-01-01T00:34:33.023Z,,0,,,16.7,,
2018-01-01T00:34:43.016Z,,0,,,16.7,,
2018-01-01T00:34:53.020Z,,0,,,16.7,,
2018-01-01T00:35:03.018Z,,0,,,16.7,,
2018-01-01T00:35:13.016Z,,0,,,16.7,,
2018-01-01T00:35:23.020Z,,0,,,16.7,,
2018-01-01T00:35:33.017Z,,0,,,16.7,,
2018-01-01T00:35:43.017Z,,0,,,16.7,,
