Time,ActPow,HwTOutlet,HwActive,ChActive,PrimT,HwTSet,PrimTSet
2017-11-04T00:00:07.534Z,,24.5,,,,0,
2017-11-04T00:00:17.534Z,,24.5,,,,0,
2017-11-04T00:00:27.535Z,,24.5,,,,0,
2017-11-04T00:00:37.535Z,,24.5,,,,0,
2017-11-04T00:00:47.535Z,,24.5,,,40.6,0,
2017-11-04T00:00:57.536Z,,24.5,,,,0,
2017-11-04T00:01:07.541Z,,24.7,,,,0,
2017-11-04T00:01:22.562Z,,24.7,,,,0,
2017-11-04T00:01:27.537Z,,24.7,,,,0,
2017-11-04T00:01:37.538Z,,24.7,,,,0,
2017-11-04T00:01:47.534Z,,24.7,,,,0,
2017-11-04T00:01:57.535Z,,24.7,,,,0,
2017-11-04T00:02:07.535Z,,24.7,,,,0,
2017-11-04T00:02:17.535Z,,24.7,,,40.5,0,
2017-11-04T00:02:27.548Z,,24.8,,,,0,
2017-11-04T00:02:37.535Z,,24.7,,,,0,
2017-11-04T00:02:47.548Z,,24.8,,,,0,
2017-11-04T00:02:57.535Z,,24.8,,,,0,
2017-11-04T00:03:07.535Z,,24.8,,,,0,
2017-11-04T00:03:17.535Z,,24.8,,,,0,
2017-11-04T00:03:27.535Z,,24.8,,,,0,
2017-11-04T00:03:37.546Z,,24.8,,,,0,
2017-11-04T00:03:47.688Z,,24.8,,,40.4,0,
2017-11-04T00:03:57.536Z,,24.8,,,,0,
2017-11-04T00:04:07.535Z,,24.8,,,,0,
2017-11-04T00:04:17.540Z,,24.8,,,,0,
2017-11-04T00:04:27.539Z,,24.8,,,,0,
2017-11-04T00:04:37.544Z,,24.8,,,,0,
2017-11-04T00:04:47.555Z,,24.8,,,,0,
2017-11-04T00:04:57.535Z,,24.8,,,,0,
2017-11-04T00:05:07.535Z,,24.8,,,,0,
2017-11-04T00:05:17.535Z,,24.8,,,,0,
2017-11-04T00:05:27.535Z,,24.8,,,40.3,0,
2017-11-04T00:05:37.536Z,,24.8,,,,0,
2017-11-04T00:05:48.388Z,,24.8,,,,0,
2017-11-04T00:05:57.540Z,,24.8,,,,0,
2017-11-04T00:06:07.538Z,,24.7,,,,0,
2017-11-04T00:06:17.536Z,,24.7,,,,0,
2017-11-04T00:06:27.536Z,,24.7,,,,0,
2017-11-04T00:06:37.537Z,,24.7,,,,0,
2017-11-04T00:06:47.554Z,,24.7,,,40.2,0,
2017-11-04T00:06:57.544Z,,24.7,,,,0,
2017-11-04T00:07:07.535Z,,24.7,,,,0,
2017-11-04T00:07:17.538Z,,24.7,,,,0,
2017-11-04T00:07:27.536Z,,24.7,,,,0,
2017-11-04T00:07:37.535Z,,24.7,,,,0,
2017-11-04T00:07:47.536Z,,24.7,,,,0,
2017-11-04T00:07:57.548Z,,24.7,,,,0,
2017-11-04T00:08:07.542Z,,24.7,,,40.1,0,
2017-11-04T00:08:17.536Z,,24.7,,,40.2,0,
2017-11-04T00:08:32.752Z,,24.5,,,40.1,0,
