Time,HwActive,ChActive,HwTSet,ActPow,PrimTSet,HwTOutlet,PrimT
2017-12-30T00:06:22.698Z,,,0,,,14.8,
2017-12-30T00:06:32.698Z,,,0,,,14.8,
2017-12-30T00:06:42.703Z,,,0,,,14.8,
2017-12-30T00:06:52.699Z,,,0,,,14.8,
2017-12-30T00:07:02.698Z,,,0,,,14.8,
2017-12-30T00:07:12.699Z,,,0,,,14.8,
2017-12-30T00:07:22.699Z,,,0,,,14.8,
2017-12-30T00:07:32.700Z,,,0,,,14.8,
2017-12-30T00:07:42.701Z,,,0,,,14.8,
2017-12-30T00:07:52.699Z,,,0,,,14.8,
2017-12-30T00:08:02.699Z,,,0,,,14.8,
2017-12-30T00:08:12.699Z,,,0,,,14.8,
2017-12-30T00:08:22.699Z,,,0,,,14.8,
2017-12-30T00:08:32.699Z,,,0,,,14.8,
2017-12-30T00:08:42.713Z,,,0,,,14.8,
2017-12-30T00:08:52.699Z,,,0,,,14.8,
2017-12-30T00:09:02.699Z,,,0,,,14.8,
2017-12-30T00:09:12.699Z,,,0,,,14.8,
2017-12-30T00:09:22.699Z,,,0,,,14.8,
2017-12-30T00:09:32.699Z,,,0,,,14.8,
2017-12-30T00:09:42.699Z,,,0,,,14.8,
2017-12-30T00:09:52.700Z,,,0,,,14.8,
2017-12-30T00:10:02.831Z,,,0,,,14.8,
2017-12-30T00:10:12.699Z,,,0,,,14.8,
2017-12-30T00:10:22.699Z,,,0,,,14.8,
2017-12-30T00:10:32.874Z,,,0,,,14.8,
2017-12-30T00:10:42.701Z,,,0,,,14.8,
2017-12-30T00:10:52.699Z,,,0,,,14.8,
2017-12-30T00:11:02.699Z,,,0,,,14.8,
2017-12-30T00:11:12.700Z,,,0,,,14.8,
2017-12-30T00:11:22.699Z,,,0,,,14.8,
2017-12-30T00:11:32.703Z,,,0,,,14.8,
2017-12-30T00:11:42.699Z,,,0,,,14.8,
2017-12-30T00:11:52.699Z,,,0,,,14.8,
2017-12-30T00:12:02.827Z,,,0,,,14.8,
2017-12-30T00:12:12.699Z,,,0,,,14.8,
2017-12-30T00:12:22.699Z,,,0,,,14.8,
2017-12-30T00:12:32.699Z,,,0,,,14.8,
2017-12-30T00:12:42.700Z,,,0,,,14.8,
2017-12-30T00:12:52.699Z,,,0,,,14.8,
2017-12-30T00:13:02.698Z,,,0,,,14.8,
2017-12-30T00:13:12.701Z,,,0,,,14.8,
2017-12-30T00:13:22.699Z,,,0,,,14.8,
2017-12-30T00:13:32.700Z,,,0,,,14.8,
2017-12-30T00:13:42.699Z,,,0,,,14.8,
2017-12-30T00:13:52.699Z,,,0,,,14.8,
2017-12-30T00:14:02.700Z,,,0,,,14.8,
2017-12-30T00:14:12.699Z,,,0,,,14.8,
2017-12-30T00:14:22.700Z,,,0,,,14.8,
2017-12-30T00:14:32.700Z,,,0,,,14.8,16.2
2017-12-30T00:14:42.699Z,,,0,,,14.7,16.4
2017-12-30T00:14:52.864Z,,,0,,,14.7,
2017-12-30T00:15:02.699Z,,,0,,,14.7,16.2
2017-12-30T00:15:12.701Z,,,0,,,14.7,16.4
2017-12-30T00:15:22.700Z,,,0,,,14.7,
2017-12-30T00:15:32.701Z,,,0,,,14.7,
2017-12-30T00:15:42.702Z,,,0,,,14.7,
2017-12-30T00:15:52.702Z,,,0,,,14.8,
2017-12-30T00:16:02.700Z,,,0,,,14.7,16.2
2017-12-30T00:16:12.700Z,,,0,,,14.8,
2017-12-30T00:16:22.700Z,,,0,,,14.7,
2017-12-30T00:16:32.700Z,,,0,,,14.7,
2017-12-30T00:16:42.699Z,,,0,,,14.8,
2017-12-30T00:16:52.701Z,,,0,,,14.7,
2017-12-30T00:17:02.700Z,,,0,,,14.7,
2017-12-30T00:17:12.700Z,,,0,,,14.7,
2017-12-30T00:17:22.699Z,,,0,,,14.7,
