Time,PrimTSet,ActPow,ChActive,PrimT,HwTOutlet,HwTSet,HwActive
2017-12-01T00:16:57.672Z,,30,,63.9,49.4,0,
2017-12-01T00:17:07.682Z,,29,,63.4,49.1,0,
2017-12-01T00:17:17.672Z,,30,,62.9,48.9,0,
2017-12-01T00:17:27.769Z,,,,62.7,48.7,0,
2017-12-01T00:17:37.678Z,,,,62.5,48.5,0,
2017-12-01T00:17:47.671Z,,29,,,48.2,0,
2017-12-01T00:17:57.671Z,,,,62.7,48,0,
2017-12-01T00:18:07.676Z,,29,,63.3,47.8,0,
2017-12-01T00:18:17.670Z,,29,,64,47.6,0,
2017-12-01T00:18:27.884Z,,29,,65.1,47.4,0,
2017-12-01T00:18:37.676Z,,30,,65.3,47.2,0,
2017-12-01T00:18:47.703Z,,0,1,64.7,47.1,0,0
2017-12-01T00:18:57.670Z,,,,60.7,46.9,0,
2017-12-01T00:19:07.672Z,,,,58.8,46.7,0,
2017-12-01T00:19:17.709Z,,,,56.9,46.5,0,
2017-12-01T00:19:28.185Z,,,,56.4,46.4,0,
2017-12-01T00:19:37.676Z,,,,55.7,46.2,0,
2017-12-01T00:19:47.700Z,,,,55.3,46,0,
2017-12-01T00:19:57.679Z,,,,54.9,45.9,0,
2017-12-01T00:20:07.678Z,,,,54.8,45.7,0,
2017-12-01T00:20:17.678Z,,,,54.7,45.6,0,
2017-12-01T00:20:28.375Z,,42,1,56.4,45.4,0,0
2017-12-01T00:20:37.700Z,,29,,63.4,45.3,0,
2017-12-01T00:20:47.717Z,,,,65.1,45.1,0,
2017-12-01T00:21:03.960Z,,0,1,66.1,45,0,0
2017-12-01T00:21:07.670Z,,,,62.9,44.8,0,
2017-12-01T00:21:17.679Z,,,,58.8,44.7,0,
2017-12-01T00:21:29.352Z,,,,57.3,44.6,0,
2017-12-01T00:21:37.675Z,,,,55.9,44.4,0,
2017-12-01T00:21:47.731Z,,,,54.9,44.2,0,
2017-12-01T00:21:57.726Z,,,,53.9,44.1,0,
2017-12-01T00:22:07.675Z,,,,52.9,44,0,
2017-12-01T00:22:17.683Z,,,,52.7,43.9,0,
2017-12-01T00:22:28.697Z,,,,51.9,43.7,0,
2017-12-01T00:22:37.675Z,,,,51.7,43.6,0,
2017-12-01T00:22:47.685Z,,,,51.6,43.4,0,
2017-12-01T00:22:57.672Z,,,,52,43.3,0,
2017-12-01T00:23:07.670Z,,,,52.3,43.2,0,
2017-12-01T00:23:17.691Z,,,,53,43.1,0,
2017-12-01T00:23:27.769Z,,,,53.3,43,0,
2017-12-01T00:23:37.678Z,,,,53.5,42.9,0,
2017-12-01T00:23:47.685Z,,,,53.4,42.8,0,
2017-12-01T00:23:57.671Z,,,,52.9,42.7,0,
2017-12-01T00:24:07.674Z,,,,52.7,42.6,0,
2017-12-01T00:24:17.751Z,,,,51.9,42.5,0,
2017-12-01T00:24:28.411Z,,,,51.5,42.3,0,
2017-12-01T00:24:37.684Z,,,,50.9,42.3,0,
2017-12-01T00:24:47.808Z,,,,50.3,42.2,0,
2017-12-01T00:24:57.672Z,,,,49.9,42,0,
2017-12-01T00:25:07.679Z,,,,49.5,41.9,0,
2017-12-01T00:25:17.782Z,,,,49.3,41.8,0,
2017-12-01T00:25:27.966Z,,44,1,50,41.7,0,0
2017-12-01T00:25:37.686Z,,32,,57,41.6,0,
2017-12-01T00:25:47.696Z,,30,,59.3,41.5,0,
2017-12-01T00:25:57.672Z,,,,60.2,41.4,0,
2017-12-01T00:26:07.677Z,,30,,61.3,41.3,0,
2017-12-01T00:26:17.845Z,,30,,62,41.3,0,
2017-12-01T00:26:27.764Z,,,,62.4,41.1,0,
2017-12-01T00:26:37.673Z,,,,62.6,41.1,0,
2017-12-01T00:26:47.676Z,,,,62.7,40.9,0,
2017-12-01T00:26:57.674Z,,,,,40.8,0,
2017-12-01T00:27:07.671Z,,29,,,40.7,0,
2017-12-01T00:27:17.679Z,,,,62.6,40.6,0,
2017-12-01T00:27:28.172Z,,,,62.5,40.5,0,
2017-12-01T00:27:37.676Z,,,,62.2,40.4,0,
2017-12-01T00:27:47.727Z,,,,62.1,40.4,0,
2017-12-01T00:27:57.699Z,,,,62.6,40.3,0,
2017-12-01T00:28:07.684Z,,29,,63.2,40.2,0,
2017-12-01T00:28:17.691Z,,30,,64,40.1,0,
2017-12-01T00:28:27.781Z,,,,64.6,40,0,
2017-12-01T00:28:37.725Z,,,,65.4,40,0,
2017-12-01T00:28:47.681Z,,0,1,64.7,39.9,0,0
2017-12-01T00:28:57.676Z,,,,59.9,39.8,0,
2017-12-01T00:29:07.702Z,,,,57.8,39.8,0,
2017-12-01T00:29:17.680Z,,,,56.9,39.7,0,
2017-12-01T00:29:27.890Z,,,,56.3,39.6,0,
2017-12-01T00:29:37.680Z,,,,55.7,39.6,0,
2017-12-01T00:29:47.676Z,,,,55.5,39.5,0,
2017-12-01T00:29:57.674Z,,,,55.4,39.4,0,
2017-12-01T00:30:07.675Z,,,,55.3,39.4,0,
2017-12-01T00:30:17.678Z,,,,,39.3,0,
2017-12-01T00:30:29.888Z,,45,1,56,39.2,0,0
2017-12-01T00:30:37.692Z,,31,,64.1,39.2,0,
2017-12-01T00:30:47.676Z,,0,1,66.4,39.1,0,0
2017-12-01T00:30:57.688Z,,,,62.7,38.9,0,
2017-12-01T00:31:07.689Z,,,,59.9,38.9,0,
2017-12-01T00:31:17.674Z,,,,58.7,38.8,0,
2017-12-01T00:31:27.836Z,,,,57.8,38.8,0,
2017-12-01T00:31:37.685Z,,,,56.6,38.7,0,
2017-12-01T00:31:47.674Z,,,,55.5,38.7,0,
2017-12-01T00:31:57.713Z,,,,54.7,38.6,0,
2017-12-01T00:32:07.831Z,,,,53.9,38.6,0,
2017-12-01T00:32:17.671Z,,,,53.2,38.5,0,
2017-12-01T00:32:29.364Z,,,,52.8,38.5,0,
2017-12-01T00:32:37.673Z,,,,52.3,38.4,0,
2017-12-01T00:32:47.677Z,,,,52.1,38.4,0,
2017-12-01T00:32:57.678Z,,,,52.3,38.3,0,
2017-12-01T00:33:07.705Z,,,,53,38.2,0,
2017-12-01T00:33:17.699Z,,,,53.3,38.2,0,
2017-12-01T00:33:30.022Z,,,,53.6,38.1,0,
2017-12-01T00:33:37.680Z,,,,53.7,38.1,0,
2017-12-01T00:33:47.692Z,,,,53.6,38,0,
2017-12-01T00:33:57.679Z,,,,53.4,38,0,
2017-12-01T00:34:07.677Z,,,,52.9,37.9,0,
2017-12-01T00:34:17.671Z,,,,52.6,37.9,0,
2017-12-01T00:34:28.043Z,,,,51.9,37.8,0,
2017-12-01T00:34:37.678Z,,,,51.5,37.8,0,
2017-12-01T00:34:47.675Z,,,,50.9,37.7,0,
2017-12-01T00:34:57.751Z,,,,50.5,37.7,0,
2017-12-01T00:35:07.679Z,,,,50.1,37.6,0,
2017-12-01T00:35:17.674Z,,,,49.8,37.6,0,
2017-12-01T00:35:29.499Z,,45,1,50,37.5,0,0
2017-12-01T00:35:37.694Z,,32,,57.4,37.5,0,
2017-12-01T00:35:47.676Z,,29,,60,37.4,0,
2017-12-01T00:35:57.676Z,,30,,61.2,37.4,0,
2017-12-01T00:36:07.675Z,,29,,62,37.3,0,
2017-12-01T00:36:17.822Z,,29,,63.1,37.3,0,
2017-12-01T00:36:31.684Z,,,,63.3,37.2,0,
2017-12-01T00:36:37.673Z,,30,,63.4,37.2,0,
2017-12-01T00:36:47.677Z,,,,63.5,37.2,0,
2017-12-01T00:36:57.684Z,,29,,63.6,37.1,0,
2017-12-01T00:37:07.683Z,,,,,37.1,0,
