Time,ChActive,ActPow,HwTOutlet,HwActive,PrimT,HwTSet,PrimTSet
2017-12-22T00:00:00.103Z,,,38.4,,,0,
2017-12-22T00:00:10.105Z,,,38.3,,,0,
2017-12-22T00:00:20.103Z,,,38.1,,,0,
2017-12-22T00:00:30.107Z,,,38,,48.5,0,
2017-12-22T00:00:40.102Z,,,37.9,,,0,
2017-12-22T00:00:50.104Z,,,37.7,,,0,
2017-12-22T00:01:00.102Z,,,37.6,,48.4,0,
2017-12-22T00:01:10.104Z,,,37.4,,,0,
2017-12-22T00:01:20.115Z,,,37.3,,,0,
2017-12-22T00:01:30.103Z,,,37.2,,,0,
2017-12-22T00:01:40.102Z,,,37.1,,48.3,0,
2017-12-22T00:01:50.103Z,,,36.8,,,0,
2017-12-22T00:02:00.102Z,,,36.7,,,0,
2017-12-22T00:02:10.104Z,,,36.6,,48.2,0,
2017-12-22T00:02:20.103Z,,,36.5,,,0,
2017-12-22T00:02:30.102Z,,,36.4,,,0,
2017-12-22T00:02:40.114Z,,,36.3,,,0,
2017-12-22T00:02:50.104Z,,,36.1,,48.1,0,
2017-12-22T00:03:00.102Z,,,36,,,0,
2017-12-22T00:03:10.102Z,,,35.9,,,0,
2017-12-22T00:03:20.102Z,,,35.8,,,0,
2017-12-22T00:03:30.102Z,,,35.7,,48,0,
2017-12-22T00:03:40.102Z,,,35.6,,,0,
2017-12-22T00:03:50.105Z,,,35.5,,,0,
2017-12-22T00:04:00.103Z,,,35.4,,,0,
2017-12-22T00:04:10.104Z,,,35.3,,47.9,0,
2017-12-22T00:04:20.103Z,,,35.2,,,0,
2017-12-22T00:04:30.103Z,,,35.1,,,0,
2017-12-22T00:04:40.105Z,,,34.9,,,0,
2017-12-22T00:04:50.103Z,,,34.8,,,0,
2017-12-22T00:05:00.104Z,,,34.7,,47.8,0,
2017-12-22T00:05:10.103Z,,,34.6,,,0,
2017-12-22T00:05:20.103Z,,,34.5,,,0,
2017-12-22T00:05:30.102Z,,,34.4,,,0,
2017-12-22T00:05:40.108Z,,,34.3,,,0,
2017-12-22T00:05:50.103Z,,,34.2,,47.7,0,
2017-12-22T00:06:00.103Z,,,34.1,,,0,
2017-12-22T00:06:10.104Z,,,34,,,0,
2017-12-22T00:06:20.108Z,,,33.9,,,0,
2017-12-22T00:06:30.106Z,,,33.9,,47.6,0,
2017-12-22T00:06:40.106Z,,,33.8,,,0,
2017-12-22T00:06:50.104Z,,,33.7,,,0,
2017-12-22T00:07:00.110Z,,,33.6,,,0,
2017-12-22T00:07:10.103Z,,,33.5,,,0,
2017-12-22T00:07:20.103Z,,,33.5,,47.4,0,
2017-12-22T00:07:30.103Z,,,33.4,,,0,
2017-12-22T00:07:40.104Z,,,33.3,,,0,
2017-12-22T00:07:50.104Z,,,33.2,,,0,
2017-12-22T00:08:00.103Z,,,33.1,,,0,
2017-12-22T00:08:10.114Z,,,33.1,,47.3,0,
2017-12-22T00:08:20.105Z,,,32.9,,,0,
2017-12-22T00:08:30.104Z,,,32.8,,,0,
2017-12-22T00:08:40.104Z,,,32.8,,,0,
2017-12-22T00:08:50.109Z,,,32.7,,,0,
2017-12-22T00:09:00.105Z,,,32.6,,47.2,0,
2017-12-22T00:09:10.131Z,,,32.5,,,0,
2017-12-22T00:09:20.104Z,,,32.5,,,0,
2017-12-22T00:09:30.108Z,,,32.4,,,0,
2017-12-22T00:09:40.109Z,,,32.3,,,0,
2017-12-22T00:09:50.104Z,,,32.2,,47.1,0,
2017-12-22T00:10:00.104Z,,,32.2,,,0,
2017-12-22T00:10:10.106Z,,,32.1,,,0,
2017-12-22T00:10:20.106Z,,,32,,,0,
2017-12-22T00:10:30.104Z,,,32,,,0,
2017-12-22T00:10:40.104Z,,,31.9,,47,0,
2017-12-22T00:10:50.104Z,,,31.9,,,0,
2017-12-22T00:11:00.110Z,,,31.8,,,0,
2017-12-22T00:11:10.104Z,,,31.6,,,0,
2017-12-22T00:11:20.112Z,,,31.6,,,0,
2017-12-22T00:11:30.106Z,,,31.5,,46.9,0,
2017-12-22T00:11:40.104Z,,,31.4,,,0,
2017-12-22T00:11:50.104Z,,,31.4,,,0,
2017-12-22T00:12:00.104Z,,,31.3,,,0,
2017-12-22T00:12:10.105Z,,,31.3,,,0,
2017-12-22T00:12:20.124Z,0,0,31.2,0,46.9,0,5
2017-12-22T00:12:30.104Z,,,31,,46.8,0,
2017-12-22T00:12:40.104Z,,,31,,,0,
2017-12-22T00:12:50.104Z,,,30.9,,,0,
2017-12-22T00:13:00.103Z,,,30.9,,,0,
2017-12-22T00:13:10.105Z,,,30.8,,,0,
2017-12-22T00:13:20.104Z,,,30.8,,,0,
2017-12-22T00:13:30.104Z,,,30.7,,46.7,0,
2017-12-22T00:13:40.110Z,,,30.7,,,0,
2017-12-22T00:13:50.104Z,,,30.6,,,0,
2017-12-22T00:14:00.106Z,,,30.6,,,0,
2017-12-22T00:14:10.104Z,,,30.4,,,0,
2017-12-22T00:14:20.104Z,,,30.4,,46.6,0,
2017-12-22T00:14:30.104Z,,,30.3,,,0,
2017-12-22T00:14:40.104Z,,,30.3,,,0,
2017-12-22T00:14:50.104Z,,,30.2,,,0,
2017-12-22T00:15:00.104Z,,,30.2,,,0,
2017-12-22T00:15:10.104Z,,,30.1,,46.5,0,
2017-12-22T00:15:20.104Z,,,30.1,,,0,
2017-12-22T00:15:30.104Z,,,30,,,0,
2017-12-22T00:15:40.104Z,,,30,,,0,
2017-12-22T00:15:50.104Z,,,29.8,,,0,
2017-12-22T00:16:00.104Z,,,29.8,,,0,
2017-12-22T00:16:10.104Z,,,29.7,,46.4,0,
2017-12-22T00:16:20.105Z,,,29.7,,,0,
2017-12-22T00:16:30.104Z,,,29.6,,,0,
2017-12-22T00:16:40.105Z,,,29.6,,,0,
2017-12-22T00:16:50.106Z,,,29.6,,,0,
2017-12-22T00:17:00.104Z,,,29.5,,,0,
2017-12-22T00:17:10.105Z,,,29.5,,46.3,0,
2017-12-22T00:17:20.104Z,,,29.3,,,0,
2017-12-22T00:17:30.104Z,,,29.3,,,0,
2017-12-22T00:17:40.104Z,,,29.2,,,0,
2017-12-22T00:17:50.105Z,,,29.2,,,0,
2017-12-22T00:18:00.104Z,,,29.1,,,0,
2017-12-22T00:18:10.104Z,,,29.1,,,0,
2017-12-22T00:18:20.104Z,,,29.1,,46.2,0,
2017-12-22T00:18:30.104Z,,,29,,,0,
2017-12-22T00:18:40.104Z,,,29,,,0,
2017-12-22T00:18:50.105Z,,,28.9,,,0,
2017-12-22T00:19:00.105Z,,,28.9,,,0,
2017-12-22T00:19:10.106Z,,,28.9,,46.1,0,
2017-12-22T00:19:20.105Z,,,28.7,,,0,
2017-12-22T00:19:30.105Z,,,28.7,,,0,
2017-12-22T00:19:40.105Z,,,28.6,,,0,
2017-12-22T00:19:50.105Z,,,28.6,,,0,
2017-12-22T00:20:00.105Z,,,28.6,,,0,
2017-12-22T00:20:10.105Z,,,28.5,,46,0,
2017-12-22T00:20:20.105Z,,,28.5,,,0,
2017-12-22T00:20:30.105Z,,,28.5,,,0,
2017-12-22T00:20:40.107Z,,,28.4,,,0,
2017-12-22T00:20:50.105Z,,,28.4,,,0,
2017-12-22T00:21:00.104Z,,,28.4,,,0,
2017-12-22T00:21:10.106Z,,,28.3,,45.9,0,
2017-12-22T00:21:20.105Z,,,28.3,,,0,
2017-12-22T00:21:30.105Z,,,28.3,,,0,
2017-12-22T00:21:40.105Z,,,28.1,,,0,
2017-12-22T00:21:50.114Z,,,28.1,,,0,
2017-12-22T00:22:00.105Z,,,28.1,,,0,
2017-12-22T00:22:10.106Z,,,28,,45.8,0,
2017-12-22T00:22:20.105Z,,,28,,,0,
2017-12-22T00:22:30.105Z,,,28,,,0,
