Time,HwActive,HwTSet,ActPow,HwTOutlet,PrimT,PrimTSet,ChActive
2018-01-22T00:18:33.534Z,,0,,28.3,,,
2018-01-22T00:18:43.559Z,,0,,28.1,,,
2018-01-22T00:18:53.548Z,,0,,28.1,,,
2018-01-22T00:19:03.541Z,,0,,28.1,44.4,,
2018-01-22T00:19:13.748Z,,0,,28.1,,,
2018-01-22T00:19:23.537Z,,0,,28.1,,,
2018-01-22T00:19:33.541Z,,0,,28,,,
2018-01-22T00:19:43.535Z,,0,,28,,,
2018-01-22T00:19:53.536Z,,0,,28,,,
2018-01-22T00:20:03.561Z,,0,,28,,,
2018-01-22T00:20:13.583Z,,0,,28,44.3,,
2018-01-22T00:20:23.534Z,,0,,27.9,,,
2018-01-22T00:20:33.535Z,,0,,27.9,,,
2018-01-22T00:20:43.536Z,,0,,27.9,,,
2018-01-22T00:20:53.660Z,,0,,27.9,,,
2018-01-22T00:21:03.551Z,,0,,27.9,,,
2018-01-22T00:21:18.747Z,,0,,27.8,44.2,,
2018-01-22T00:21:23.545Z,,0,,27.8,,,
2018-01-22T00:21:33.540Z,,0,,27.8,,,
2018-01-22T00:21:43.541Z,,0,,27.8,,,
2018-01-22T00:21:53.549Z,,0,,27.8,,,
2018-01-22T00:22:04.421Z,,0,,27.8,,,
2018-01-22T00:22:18.785Z,,0,,27.7,,,
2018-01-22T00:22:23.644Z,,0,,27.7,,,
2018-01-22T00:22:33.538Z,,0,,27.7,44.1,,
2018-01-22T00:22:43.538Z,,0,,27.7,,,
2018-01-22T00:22:53.535Z,,0,,27.7,,,
2018-01-22T00:23:03.541Z,,0,,27.5,,,
2018-01-22T00:23:13.555Z,,0,,27.5,,,
2018-01-22T00:23:23.546Z,,0,,27.5,,,
2018-01-22T00:23:40.407Z,,0,,27.5,,,
2018-01-22T00:23:43.541Z,,0,,27.5,,,
2018-01-22T00:23:53.538Z,,0,,27.4,44,,
2018-01-22T00:24:03.543Z,,0,,27.4,,,
2018-01-22T00:24:13.535Z,,0,,27.4,,,
2018-01-22T00:24:23.535Z,,0,,27.4,,,
2018-01-22T00:24:33.535Z,,0,,27.4,,,
2018-01-22T00:24:43.544Z,,0,,27.4,,,
2018-01-22T00:24:53.546Z,,0,,27.4,44,,
2018-01-22T00:25:03.544Z,,0,,27.3,43.9,,
2018-01-22T00:25:13.538Z,,0,,27.3,,,
2018-01-22T00:25:23.561Z,,0,,27.3,,,
2018-01-22T00:25:33.544Z,,0,,27.3,,,
2018-01-22T00:25:43.542Z,,0,,27.3,,,
2018-01-22T00:25:53.672Z,,0,,27.2,,,
2018-01-22T00:26:03.544Z,,0,,27.2,,,
2018-01-22T00:26:13.540Z,,0,,27.2,,,
2018-01-22T00:26:23.542Z,,0,,27.2,43.8,,
2018-01-22T00:26:38.738Z,,0,,27.2,,,
2018-01-22T00:26:43.541Z,,0,,27.2,,,
2018-01-22T00:26:53.567Z,,0,,27.1,,,
2018-01-22T00:27:03.537Z,,0,,27.1,,,
2018-01-22T00:27:13.989Z,,0,,27.1,,,
2018-01-22T00:27:23.553Z,,0,,27.1,,,
2018-01-22T00:27:33.543Z,,0,,27.1,43.7,,
2018-01-22T00:27:43.569Z,,0,,27.1,,,
2018-01-22T00:27:53.549Z,,0,,27.1,,,
2018-01-22T00:28:03.536Z,,0,,26.9,,,
