Time,PrimT,HwActive,PrimTSet,HwTOutlet,ActPow,ChActive,HwTSet
2017-12-20T00:18:39.693Z,,,,23,,,0
2017-12-20T00:18:49.694Z,,,,23,,,0
2017-12-20T00:18:59.693Z,,,,23,,,0
2017-12-20T00:19:09.783Z,,,,23,,,0
2017-12-20T00:19:19.694Z,,,,23,,,0
2017-12-20T00:19:29.694Z,,,,23,,,0
2017-12-20T00:19:39.695Z,,,,22.8,,,0
2017-12-20T00:19:49.694Z,41.1,,,22.8,,,0
2017-12-20T00:19:59.693Z,,,,22.8,,,0
2017-12-20T00:20:09.773Z,,,,22.8,,,0
2017-12-20T00:20:19.694Z,,,,22.8,,,0
2017-12-20T00:20:29.693Z,,,,22.8,,,0
2017-12-20T00:20:39.701Z,,,,22.8,,,0
2017-12-20T00:20:49.694Z,,,,22.8,,,0
2017-12-20T00:20:59.695Z,41,,,22.8,,,0
2017-12-20T00:21:09.774Z,,,,22.8,,,0
2017-12-20T00:21:19.693Z,,,,22.8,,,0
2017-12-20T00:21:29.694Z,,,,22.8,,,0
2017-12-20T00:21:39.694Z,,,,22.8,,,0
2017-12-20T00:21:49.694Z,,,,22.8,,,0
2017-12-20T00:21:59.694Z,,,,22.7,,,0
2017-12-20T00:22:09.817Z,40.9,,,22.7,,,0
2017-12-20T00:22:19.694Z,40.9,,,22.7,,,0
2017-12-20T00:22:29.694Z,,,,22.7,,,0
2017-12-20T00:22:39.772Z,,,,22.7,,,0
2017-12-20T00:22:49.694Z,,,,22.7,,,0
2017-12-20T00:22:59.694Z,,,,22.7,,,0
2017-12-20T00:23:09.784Z,,,,22.7,,,0
2017-12-20T00:23:19.694Z,,,,22.7,,,0
2017-12-20T00:23:29.694Z,,,,22.7,,,0
2017-12-20T00:23:39.694Z,40.8,,,22.7,,,0
2017-12-20T00:23:49.694Z,,,,22.7,,,0
2017-12-20T00:23:59.694Z,,,,22.7,,,0
2017-12-20T00:24:09.774Z,,,,22.7,,,0
2017-12-20T00:24:19.694Z,,,,22.7,,,0
2017-12-20T00:24:29.694Z,,,,22.6,,,0
2017-12-20T00:24:39.695Z,,,,22.6,,,0
2017-12-20T00:24:49.695Z,40.7,,,22.6,,,0
2017-12-20T00:24:59.694Z,,,,22.6,,,0
2017-12-20T00:25:09.774Z,,,,22.6,,,0
2017-12-20T00:25:19.695Z,,,,22.6,,,0
