Time,ActPow,ChActive,HwTSet,PrimT,HwActive,HwTOutlet,PrimTSet
2018-01-20T00:18:33.115Z,,,0,,,24.2,
2018-01-20T00:18:43.320Z,,,0,,,24.2,
2018-01-20T00:18:53.117Z,,,0,39.8,,24.2,
2018-01-20T00:19:03.113Z,,,0,,,24.2,
2018-01-20T00:19:13.113Z,,,0,,,24,
2018-01-20T00:19:23.113Z,,,0,,,24,
2018-01-20T00:19:33.114Z,,,0,,,24,
2018-01-20T00:19:43.173Z,,,0,,,24,
2018-01-20T00:19:53.113Z,,,0,,,24,
2018-01-20T00:20:03.113Z,,,0,,,24,
2018-01-20T00:20:13.113Z,,,0,,,24,
2018-01-20T00:20:23.114Z,,,0,,,24,
2018-01-20T00:20:33.114Z,,,0,39.7,,24,
2018-01-20T00:20:43.114Z,,,0,,,24,
2018-01-20T00:20:53.117Z,,,0,,,24,
2018-01-20T00:21:03.113Z,,,0,,,24,
2018-01-20T00:21:13.113Z,,,0,,,23.9,
2018-01-20T00:21:23.115Z,,,0,,,23.9,
2018-01-20T00:21:33.114Z,,,0,,,23.9,
2018-01-20T00:21:43.113Z,,,0,,,23.9,
2018-01-20T00:21:53.309Z,,,0,,,23.9,
2018-01-20T00:22:03.114Z,,,0,39.6,,23.9,
2018-01-20T00:22:13.116Z,,,0,,,23.9,
2018-01-20T00:22:23.113Z,,,0,,,23.9,
2018-01-20T00:22:33.114Z,,,0,,,23.9,
2018-01-20T00:22:43.114Z,,,0,,,23.9,
2018-01-20T00:22:53.114Z,,,0,,,23.8,
2018-01-20T00:23:03.114Z,,,0,,,23.8,
2018-01-20T00:23:13.184Z,,,0,,,23.8,
2018-01-20T00:23:23.114Z,,,0,39.5,,23.8,
2018-01-20T00:23:33.114Z,,,0,,,23.8,
2018-01-20T00:23:43.114Z,,,0,,,23.8,
2018-01-20T00:23:53.113Z,,,0,,,23.8,
2018-01-20T00:24:03.114Z,,,0,,,23.8,
2018-01-20T00:24:13.114Z,,,0,,,23.8,
2018-01-20T00:24:23.114Z,,,0,,,23.8,
2018-01-20T00:24:33.114Z,,,0,,,23.8,
2018-01-20T00:24:43.115Z,,,0,,,23.8,
2018-01-20T00:24:53.114Z,,,0,,,23.8,
2018-01-20T00:25:03.116Z,,,0,39.4,,23.7,
2018-01-20T00:25:13.114Z,,,0,,,23.7,
2018-01-20T00:25:23.114Z,,,0,,,23.7,
2018-01-20T00:25:33.115Z,,,0,,,23.7,
2018-01-20T00:25:43.114Z,,,0,,,23.7,
2018-01-20T00:25:53.114Z,,,0,,,23.7,
2018-01-20T00:26:03.117Z,,,0,,,23.7,
2018-01-20T00:26:13.114Z,,,0,,,23.7,
2018-01-20T00:26:23.114Z,,,0,,,23.7,
2018-01-20T00:26:33.115Z,,,0,,,23.7,
2018-01-20T00:26:43.114Z,,,0,39.3,,23.7,
2018-01-20T00:26:53.115Z,,,0,,,23.7,
2018-01-20T00:27:03.115Z,,,0,,,23.7,
2018-01-20T00:27:13.114Z,,,0,,,23.6,
2018-01-20T00:27:23.114Z,,,0,,,23.6,
2018-01-20T00:27:33.115Z,,,0,,,23.6,
2018-01-20T00:27:43.114Z,,,0,,,23.6,
2018-01-20T00:27:53.118Z,,,0,,,23.6,
2018-01-20T00:28:03.115Z,,,0,39.2,,23.6,
2018-01-20T00:28:13.114Z,,,0,,,23.6,
2018-01-20T00:28:23.119Z,,,0,,,23.6,
2018-01-20T00:28:33.114Z,,,0,,,23.6,
2018-01-20T00:28:43.115Z,,,0,,,23.6,
2018-01-20T00:28:58.210Z,,,0,,,23.6,
2018-01-20T00:29:03.115Z,,,0,,,23.6,
2018-01-20T00:29:13.114Z,,,0,,,23.4,
2018-01-20T00:29:23.115Z,,,0,39.1,,23.4,
2018-01-20T00:29:33.115Z,,,0,,,23.4,
2018-01-20T00:29:43.115Z,,,0,,,23.4,
2018-01-20T00:29:53.114Z,,,0,,,23.4,
2018-01-20T00:30:03.115Z,,,0,,,23.4,
2018-01-20T00:30:13.114Z,,,0,,,23.4,
2018-01-20T00:30:23.114Z,,,0,,,23.4,
2018-01-20T00:30:33.115Z,,,0,,,23.4,
2018-01-20T00:30:43.115Z,,,0,,,23.4,
2018-01-20T00:30:53.115Z,,,0,,,23.4,
2018-01-20T00:31:03.115Z,,,0,38.9,,23.4,
2018-01-20T00:31:13.115Z,,,0,,,23.3,
2018-01-20T00:31:23.115Z,,,0,,,23.3,
2018-01-20T00:31:33.115Z,,,0,,,23.3,
2018-01-20T00:31:43.115Z,,,0,,,23.3,
2018-01-20T00:31:53.116Z,,,0,,,23.3,
2018-01-20T00:32:03.117Z,,,0,,,23.3,
2018-01-20T00:32:13.116Z,,,0,,,23.3,
2018-01-20T00:32:23.115Z,,,0,,,23.3,
2018-01-20T00:32:33.115Z,,,0,,,23.3,
2018-01-20T00:32:43.116Z,,,0,38.8,,23.3,
2018-01-20T00:32:53.116Z,,,0,,,23.3,
2018-01-20T00:33:03.115Z,,,0,,,23.3,
2018-01-20T00:33:13.116Z,,,0,,,23.3,
2018-01-20T00:33:23.119Z,,,0,,,23.3,
2018-01-20T00:33:33.115Z,,,0,,,23.2,
2018-01-20T00:33:43.116Z,,,0,,,23.2,
2018-01-20T00:33:53.121Z,,,0,,,23.2,
2018-01-20T00:34:03.116Z,,,0,,,23.2,
2018-01-20T00:34:13.118Z,,,0,38.7,,23.2,
2018-01-20T00:34:23.115Z,,,0,,,23.2,
2018-01-20T00:34:33.115Z,,,0,,,23.2,
2018-01-20T00:34:43.115Z,,,0,,,23.2,
2018-01-20T00:34:53.116Z,,,0,,,23.2,
2018-01-20T00:35:03.115Z,,,0,,,23.2,
2018-01-20T00:35:13.117Z,,,0,,,23.2,
2018-01-20T00:35:23.115Z,,,0,,,23.2,
2018-01-20T00:35:33.116Z,,,0,,,23.2,
2018-01-20T00:35:43.116Z,,,0,,,23.2,
2018-01-20T00:35:53.115Z,,,0,38.6,,23.2,
2018-01-20T00:36:03.115Z,,,0,,,23.2,
2018-01-20T00:36:13.116Z,,,0,,,23.2,
2018-01-20T00:36:23.115Z,,,0,,,23.2,
2018-01-20T00:36:33.116Z,,,0,,,23.1,
2018-01-20T00:36:43.116Z,,,0,,,23.1,
2018-01-20T00:36:53.116Z,,,0,,,23.1,
2018-01-20T00:37:03.115Z,,,0,,,23.1,
2018-01-20T00:37:13.117Z,,,0,,,23.1,
2018-01-20T00:37:23.116Z,,,0,38.5,,23.1,
2018-01-20T00:37:33.116Z,,,0,,,23.1,
2018-01-20T00:37:43.120Z,,,0,,,23.1,
2018-01-20T00:37:53.116Z,,,0,,,23.1,
2018-01-20T00:38:03.116Z,,,0,,,23.1,
2018-01-20T00:38:13.120Z,,,0,,,23.1,
2018-01-20T00:38:23.117Z,,,0,,,23.1,
2018-01-20T00:38:33.118Z,,,0,,,23.1,
2018-01-20T00:38:43.121Z,,,0,,,23.1,
2018-01-20T00:38:53.116Z,,,0,38.4,,23.1,
2018-01-20T00:39:03.116Z,,,0,,,23,
2018-01-20T00:39:13.119Z,,,0,,,23,
2018-01-20T00:39:23.116Z,,,0,,,23,
2018-01-20T00:39:33.116Z,,,0,,,23,
2018-01-20T00:39:43.116Z,,,0,,,23,
2018-01-20T00:39:53.116Z,,,0,,,23,
2018-01-20T00:40:03.115Z,,,0,,,23,
2018-01-20T00:40:13.116Z,,,0,38.3,,23,
2018-01-20T00:40:23.116Z,,,0,,,23,
2018-01-20T00:40:33.116Z,,,0,,,23,
2018-01-20T00:40:43.117Z,,,0,,,23,
2018-01-20T00:40:53.116Z,,,0,,,23,
2018-01-20T00:41:03.116Z,,,0,,,23,
2018-01-20T00:41:13.118Z,,,0,,,23,
2018-01-20T00:41:23.120Z,,,0,,,23,
2018-01-20T00:41:33.219Z,,,0,,,22.8,
2018-01-20T00:41:43.116Z,,,0,,,22.8,
2018-01-20T00:41:53.117Z,,,0,,,22.8,
2018-01-20T00:42:03.117Z,,,0,,,22.8,
2018-01-20T00:42:13.116Z,,,0,38.2,,22.8,
2018-01-20T00:42:33.117Z,,,0,,,22.8,
2018-01-20T00:42:43.118Z,,,0,,,22.8,
2018-01-20T00:42:53.117Z,,,0,,,22.8,
2018-01-20T00:43:03.117Z,,,0,,,22.8,
2018-01-20T00:43:13.117Z,,,0,,,22.8,
2018-01-20T00:43:23.124Z,,,0,,,22.8,
2018-01-20T00:43:33.119Z,,,0,,,22.8,
2018-01-20T00:43:43.122Z,,,0,38.1,,22.8,
2018-01-20T00:43:53.116Z,,,0,,,22.8,
2018-01-20T00:44:03.117Z,,,0,,,22.8,
2018-01-20T00:44:13.118Z,,,0,,,22.8,
2018-01-20T00:44:23.117Z,,,0,,,22.8,
2018-01-20T00:44:33.117Z,,,0,,,22.7,
2018-01-20T00:44:43.117Z,,,0,,,22.7,
2018-01-20T00:44:53.117Z,,,0,,,22.7,
2018-01-20T00:45:03.117Z,,,0,,,22.7,
2018-01-20T00:45:13.118Z,,,0,,,22.7,
2018-01-20T00:45:23.117Z,,,0,38,,22.7,
2018-01-20T00:45:33.119Z,,,0,,,22.7,
2018-01-20T00:45:43.117Z,,,0,,,22.7,
2018-01-20T00:45:53.117Z,,,0,,,22.7,
2018-01-20T00:46:03.117Z,,,0,,,22.7,
2018-01-20T00:46:13.117Z,,,0,,,22.7,
2018-01-20T00:46:23.120Z,,,0,,,22.7,
2018-01-20T00:46:33.117Z,,,0,,,22.7,
2018-01-20T00:46:43.119Z,,,0,38,,22.7,
2018-01-20T00:46:53.117Z,,,0,37.9,,22.7,
2018-01-20T00:47:03.117Z,,,0,,,22.7,
2018-01-20T00:47:13.119Z,,,0,,,22.7,
2018-01-20T00:47:23.118Z,,,0,,,22.7,
2018-01-20T00:47:33.117Z,,,0,,,22.6,
2018-01-20T00:47:43.123Z,,,0,,,22.7,
2018-01-20T00:47:53.117Z,,,0,,,22.6,
2018-01-20T00:48:03.117Z,,,0,,,22.6,
2018-01-20T00:48:13.129Z,,,0,,,22.6,
2018-01-20T00:48:23.124Z,,,0,,,22.6,
2018-01-20T00:48:33.131Z,,,0,37.8,,22.6,
2018-01-20T00:48:43.118Z,,,0,,,22.6,
2018-01-20T00:48:53.119Z,,,0,,,22.6,
2018-01-20T00:49:03.118Z,,,0,,,22.6,
2018-01-20T00:49:13.118Z,,,0,,,22.6,
2018-01-20T00:49:23.118Z,,,0,,,22.6,
2018-01-20T00:49:33.119Z,,,0,,,22.6,
2018-01-20T00:49:43.118Z,,,0,,,22.6,
2018-01-20T00:49:53.119Z,,,0,,,22.6,
