Time,HwTOutlet,PrimTSet,HwActive,HwTSet,ChActive,ActPow,PrimT
2018-01-27T00:22:56.616Z,23.2,,,0,,,
2018-01-27T00:23:06.619Z,23.2,,,0,,,
2018-01-27T00:23:16.685Z,23.2,,,0,,,
2018-01-27T00:23:26.616Z,23.2,,,0,,,
2018-01-27T00:23:36.645Z,23.2,,,0,,,
2018-01-27T00:23:46.654Z,23.2,,,0,,,
2018-01-27T00:23:56.653Z,23.2,,,0,,,39.2
2018-01-27T00:24:06.616Z,23.2,,,0,,,
2018-01-27T00:24:16.617Z,23.2,,,0,,,
2018-01-27T00:24:26.619Z,23.2,,,0,,,
2018-01-27T00:24:36.619Z,23.2,,,0,,,
2018-01-27T00:24:56.618Z,23.2,,,0,,,
2018-01-27T00:25:06.617Z,23.2,,,0,,,
2018-01-27T00:25:16.795Z,23.2,,,0,,,
2018-01-27T00:25:26.617Z,23.2,,,0,,,39.1
2018-01-27T00:25:36.795Z,23.2,,,0,,,
2018-01-27T00:25:56.619Z,23.1,,,0,,,
2018-01-27T00:26:06.617Z,23.2,,,0,,,
2018-01-27T00:26:16.617Z,23.1,,,0,,,
2018-01-27T00:26:26.617Z,23.1,,,0,,,
2018-01-27T00:26:36.617Z,23.1,,,0,,,
2018-01-27T00:26:46.621Z,23.1,,,0,,,39.1
2018-01-27T00:26:56.617Z,23.1,,,0,,,38.9
2018-01-27T00:27:06.617Z,23.1,,,0,,,
2018-01-27T00:27:16.617Z,23.1,,,0,,,
2018-01-27T00:27:26.617Z,23.1,,,0,,,
2018-01-27T00:27:36.617Z,23.1,,,0,,,
2018-01-27T00:27:46.619Z,23.1,,,0,,,
2018-01-27T00:27:56.617Z,23.1,,,0,,,
2018-01-27T00:28:06.617Z,23.1,,,0,,,
2018-01-27T00:28:16.617Z,23.1,,,0,,,
2018-01-27T00:28:26.617Z,23.1,,,0,,,
2018-01-27T00:28:36.617Z,23.1,,,0,,,38.8
2018-01-27T00:28:46.617Z,23.1,,,0,,,
2018-01-27T00:28:56.619Z,23.1,,,0,,,
2018-01-27T00:29:06.617Z,23,,,0,,,
2018-01-27T00:29:16.618Z,23,,,0,,,
2018-01-27T00:29:26.617Z,23.1,,,0,,,
2018-01-27T00:29:36.617Z,23,,,0,,,
2018-01-27T00:29:46.617Z,23,,,0,,,
2018-01-27T00:29:56.623Z,23,,,0,,,
2018-01-27T00:30:06.617Z,23,,,0,,,38.7
2018-01-27T00:30:16.624Z,23,,,0,,,
2018-01-27T00:30:26.619Z,23,,,0,,,
2018-01-27T00:30:36.618Z,23,,,0,,,
2018-01-27T00:30:46.620Z,23,,,0,,,
2018-01-27T00:30:56.618Z,23,,,0,,,
2018-01-27T00:31:06.621Z,23,,,0,,,
2018-01-27T00:31:16.619Z,23,,,0,,,
2018-01-27T00:31:26.618Z,23,,,0,,,
2018-01-27T00:31:36.617Z,23,,,0,,,
2018-01-27T00:31:46.618Z,23,,,0,,,38.6
2018-01-27T00:31:56.618Z,23,,,0,,,
2018-01-27T00:32:06.731Z,23,,,0,,,
2018-01-27T00:32:16.673Z,23,,,0,,,
2018-01-27T00:32:26.618Z,23,,,0,,,
2018-01-27T00:32:36.619Z,22.8,,,0,,,
2018-01-27T00:32:46.621Z,22.8,,,0,,,
2018-01-27T00:32:56.618Z,22.8,,,0,,,
2018-01-27T00:33:06.618Z,22.8,,,0,,,
2018-01-27T00:33:16.618Z,22.8,,,0,,,
2018-01-27T00:33:26.618Z,22.8,,,0,,,38.5
2018-01-27T00:33:36.621Z,22.8,,,0,,,
2018-01-27T00:33:46.618Z,22.8,,,0,,,
2018-01-27T00:33:56.618Z,22.8,,,0,,,
2018-01-27T00:34:06.619Z,22.8,,,0,,,
2018-01-27T00:34:16.618Z,22.8,,,0,,,
2018-01-27T00:34:26.620Z,22.8,,,0,,,
2018-01-27T00:34:36.618Z,22.8,,,0,,,
2018-01-27T00:34:51.708Z,22.8,,,0,,,38.4
2018-01-27T00:34:56.618Z,22.8,,,0,,,
2018-01-27T00:35:06.618Z,22.8,,,0,,,
2018-01-27T00:35:16.620Z,22.8,,,0,,,
2018-01-27T00:35:26.621Z,22.8,,,0,,,
2018-01-27T00:35:36.618Z,22.7,,,0,,,
2018-01-27T00:35:46.618Z,22.7,,,0,,,
2018-01-27T00:35:56.623Z,22.7,,,0,,,
2018-01-27T00:36:06.619Z,22.7,,,0,,,
2018-01-27T00:36:16.629Z,22.7,,,0,,,38.3
2018-01-27T00:36:26.619Z,22.7,,,0,,,
2018-01-27T00:36:36.620Z,22.7,,,0,,,
2018-01-27T00:36:46.619Z,22.7,,,0,,,
2018-01-27T00:36:56.618Z,22.7,,,0,,,
2018-01-27T00:37:06.618Z,22.7,,,0,,,
2018-01-27T00:37:16.621Z,22.7,,,0,,,
2018-01-27T00:37:26.619Z,22.7,,,0,,,
