Time,ActPow,HwActive,HwTOutlet,PrimT,HwTSet,PrimTSet,ChActive
2018-02-14T00:00:09.516Z,,,31.5,,0,,
2018-02-14T00:00:19.515Z,,,31.4,,0,,
2018-02-14T00:00:29.516Z,,,31.3,,0,,
2018-02-14T00:00:39.516Z,,,31.3,47.4,0,,
2018-02-14T00:00:49.525Z,,,31.2,,0,,
2018-02-14T00:00:59.516Z,,,31.2,,0,,
2018-02-14T00:01:09.521Z,,,31.2,,0,,
2018-02-14T00:01:19.516Z,,,31,,0,,
2018-02-14T00:01:29.516Z,,,30.9,47.3,0,,
2018-02-14T00:01:39.517Z,,,30.9,,0,,
2018-02-14T00:01:49.576Z,,,30.8,,0,,
2018-02-14T00:01:59.516Z,,,30.8,,0,,
2018-02-14T00:02:09.516Z,,,30.7,47.2,0,,
2018-02-14T00:02:19.517Z,,,30.7,,0,,
2018-02-14T00:02:29.516Z,,,30.6,,0,,
2018-02-14T00:02:39.517Z,,,30.6,,0,,
2018-02-14T00:02:49.517Z,,,30.4,,0,,
2018-02-14T00:02:59.516Z,,,30.4,,0,,
2018-02-14T00:03:09.582Z,,,30.3,47.1,0,,
2018-02-14T00:03:19.516Z,,,30.3,,0,,
2018-02-14T00:03:29.547Z,,,30.2,,0,,
2018-02-14T00:03:39.518Z,,,30.2,,0,,
2018-02-14T00:03:49.558Z,,,30.2,,0,,
2018-02-14T00:03:59.579Z,,,30.1,47,0,,
2018-02-14T00:04:09.517Z,,,30.1,,0,,
2018-02-14T00:04:19.517Z,,,30,,0,,
2018-02-14T00:04:29.528Z,,,30,,0,,
2018-02-14T00:04:39.517Z,,,,47,,,
2018-02-14T00:04:49.522Z,,,29.8,46.9,0,,
2018-02-14T00:04:59.691Z,,,29.8,,0,,
2018-02-14T00:05:09.517Z,,,29.7,,0,,
2018-02-14T00:05:19.516Z,,,29.7,,0,,
2018-02-14T00:05:29.518Z,,,29.6,,0,,
2018-02-14T00:05:39.517Z,,,29.6,46.8,0,,
2018-02-14T00:05:49.517Z,,,29.5,,0,,
2018-02-14T00:05:59.521Z,,,29.5,,0,,
2018-02-14T00:06:09.517Z,,,29.5,,0,,
2018-02-14T00:06:19.542Z,,,29.3,,0,,
2018-02-14T00:06:29.520Z,,,29.3,,0,,
2018-02-14T00:06:39.522Z,,,29.3,46.7,0,,
2018-02-14T00:06:49.522Z,,,29.2,,0,,
2018-02-14T00:06:59.518Z,,,29.2,,0,,
2018-02-14T00:07:09.517Z,,,29.1,,0,,
2018-02-14T00:07:19.517Z,,,29.1,,0,,
2018-02-14T00:07:29.518Z,,,29.1,46.6,0,,
2018-02-14T00:07:39.545Z,,,29,,0,,
2018-02-14T00:07:49.519Z,,,29,,0,,
2018-02-14T00:07:59.518Z,,,28.9,,0,,
2018-02-14T00:08:09.517Z,,,28.9,,0,,
2018-02-14T00:08:19.553Z,,,28.9,,0,,
2018-02-14T00:08:29.517Z,,,28.7,46.5,0,,
2018-02-14T00:08:49.520Z,,,28.6,,0,,
2018-02-14T00:08:59.518Z,,,28.6,,0,,
2018-02-14T00:09:09.517Z,,,28.6,,0,,
2018-02-14T00:09:19.520Z,,,28.6,,0,,
2018-02-14T00:09:29.522Z,,,28.5,,0,,
2018-02-14T00:09:39.519Z,,,28.5,46.4,0,,
2018-02-14T00:09:49.685Z,,,28.5,,0,,
2018-02-14T00:09:59.517Z,,,28.4,,0,,
2018-02-14T00:10:09.518Z,,,28.4,,0,,
2018-02-14T00:10:19.517Z,,,28.3,,0,,
2018-02-14T00:10:29.553Z,,,28.3,46.3,0,,
2018-02-14T00:10:39.517Z,,,28.3,,0,,
2018-02-14T00:10:49.638Z,,,28.3,,0,,
2018-02-14T00:10:59.525Z,,,28.1,,0,,
2018-02-14T00:11:09.522Z,,,28.1,,0,,
2018-02-14T00:11:19.518Z,,,28.1,,0,,
2018-02-14T00:11:29.517Z,,,28,,0,,
2018-02-14T00:11:39.549Z,,,28,,0,,
2018-02-14T00:11:49.522Z,,,28,46.2,0,,
2018-02-14T00:11:59.520Z,,,27.9,,0,,
2018-02-14T00:12:09.527Z,,,27.9,,0,,
2018-02-14T00:12:19.545Z,,,27.9,,0,,
2018-02-14T00:12:29.521Z,,,27.9,,0,,
2018-02-14T00:12:39.519Z,,,27.8,46.1,0,,
2018-02-14T00:12:49.519Z,,,27.8,,0,,
2018-02-14T00:12:59.517Z,,,27.8,,0,,
2018-02-14T00:13:09.683Z,,,27.7,,0,,
2018-02-14T00:13:19.518Z,,,27.7,,0,,
2018-02-14T00:13:29.518Z,,,27.7,,0,,
2018-02-14T00:13:39.518Z,,,27.7,46,0,,
2018-02-14T00:13:49.518Z,,,27.5,,0,,
2018-02-14T00:13:59.518Z,,,27.5,,0,,
2018-02-14T00:14:09.518Z,,,27.5,,0,,
2018-02-14T00:14:19.518Z,,,27.5,,0,,
2018-02-14T00:14:29.518Z,,,27.4,,0,,
