Time,HwTOutlet,HwActive,ChActive,PrimTSet,HwTSet,ActPow,PrimT
2017-12-27T00:00:01.386Z,24.2,,,,0,,
2017-12-27T00:00:11.171Z,24.2,,,,0,,
2017-12-27T00:00:21.176Z,24.2,,,,0,,44.1
2017-12-27T00:00:31.172Z,24.2,,,,0,,
2017-12-27T00:00:41.171Z,24.2,,,,0,,
2017-12-27T00:00:51.171Z,24.2,,,,0,,
2017-12-27T00:01:01.212Z,24.2,,,,0,,
2017-12-27T00:01:11.172Z,24.2,,,,0,,
2017-12-27T00:01:21.172Z,24.2,,,,0,,44
2017-12-27T00:01:31.381Z,24.2,,,,0,,
2017-12-27T00:01:41.171Z,24.2,,,,0,,
2017-12-27T00:01:51.171Z,24.2,,,,0,,
2017-12-27T00:02:01.171Z,24,,,,0,,
2017-12-27T00:02:11.172Z,24,,,,0,,
2017-12-27T00:02:21.171Z,24,,,,0,,44
2017-12-27T00:02:36.225Z,24,,,,0,,43.9
2017-12-27T00:02:41.173Z,24,,,,0,,
2017-12-27T00:02:51.174Z,24,,,,0,,
2017-12-27T00:03:01.174Z,24,,,,0,,
2017-12-27T00:03:11.171Z,24,,,,0,,
2017-12-27T00:03:21.172Z,24,,,,0,,
2017-12-27T00:03:31.172Z,24,,,,0,,
2017-12-27T00:03:41.175Z,23.9,,,,0,,43.8
2017-12-27T00:03:51.175Z,24,,,,0,,
2017-12-27T00:04:01.172Z,23.9,,,,0,,
2017-12-27T00:04:11.171Z,23.9,,,,0,,
2017-12-27T00:04:21.172Z,23.9,,,,0,,
2017-12-27T00:04:31.173Z,23.9,,,,0,,
2017-12-27T00:04:41.173Z,23.9,,,,0,,
2017-12-27T00:04:51.176Z,23.9,,,,0,,
2017-12-27T00:05:01.175Z,23.9,,,,0,,43.7
2017-12-27T00:05:11.172Z,23.9,,,,0,,
2017-12-27T00:05:21.176Z,23.9,,,,0,,
2017-12-27T00:05:31.172Z,23.9,,,,0,,
2017-12-27T00:05:41.172Z,23.9,,,,0,,
2017-12-27T00:05:51.172Z,23.9,,,,0,,
2017-12-27T00:06:01.172Z,23.8,,,,0,,43.6
2017-12-27T00:06:11.172Z,23.8,,,,0,,
2017-12-27T00:06:21.174Z,23.8,,,,0,,
2017-12-27T00:06:31.172Z,23.8,,,,0,,
2017-12-27T00:06:41.172Z,23.8,,,,0,,
2017-12-27T00:06:51.175Z,23.8,,,,0,,
2017-12-27T00:07:01.172Z,23.8,,,,0,,
2017-12-27T00:07:11.172Z,23.8,,,,0,,
2017-12-27T00:07:21.172Z,23.8,,,,0,,43.5
2017-12-27T00:07:31.172Z,23.8,,,,0,,
2017-12-27T00:07:41.172Z,23.8,,,,0,,
2017-12-27T00:07:51.172Z,23.8,,,,0,,
2017-12-27T00:08:01.172Z,23.8,,,,0,,
2017-12-27T00:08:11.177Z,23.8,,,,0,,
2017-12-27T00:08:21.173Z,23.8,,,,0,,43.4
2017-12-27T00:08:31.173Z,23.7,,,,0,,
2017-12-27T00:08:41.178Z,23.7,,,,0,,
2017-12-27T00:08:51.172Z,23.7,,,,0,,
2017-12-27T00:09:01.176Z,23.7,,,,0,,
2017-12-27T00:09:11.172Z,23.7,,,,0,,
2017-12-27T00:09:21.174Z,23.7,,,,0,,
2017-12-27T00:09:31.176Z,23.7,,,,0,,
2017-12-27T00:09:41.172Z,23.7,,,,0,,43.3
2017-12-27T00:09:51.172Z,23.7,,,,0,,
2017-12-27T00:10:01.172Z,23.7,,,,0,,
2017-12-27T00:10:11.174Z,23.7,,,,0,,
2017-12-27T00:10:21.174Z,23.7,,,,0,,
2017-12-27T00:10:31.173Z,23.7,,,,0,,
2017-12-27T00:10:41.173Z,23.7,,,,0,,
2017-12-27T00:10:51.173Z,23.7,,,,0,,43.2
2017-12-27T00:11:01.174Z,23.6,,,,0,,
2017-12-27T00:11:11.173Z,23.6,,,,0,,
2017-12-27T00:11:21.173Z,23.6,,,,0,,
2017-12-27T00:11:31.173Z,23.6,,,,0,,
2017-12-27T00:11:41.172Z,23.6,,,,0,,
2017-12-27T00:11:51.186Z,23.6,,,,0,,43.1
2017-12-27T00:12:01.173Z,23.6,,,,0,,43.2
2017-12-27T00:12:11.173Z,23.6,,,,0,,43.1
2017-12-27T00:12:21.178Z,23.6,,,,0,,
2017-12-27T00:12:31.173Z,23.6,,,,0,,
2017-12-27T00:12:41.173Z,23.6,,,,0,,
2017-12-27T00:12:51.174Z,23.6,,,,0,,
2017-12-27T00:13:01.179Z,23.6,,,,0,,
2017-12-27T00:13:11.176Z,23.6,,,,0,,43
2017-12-27T00:13:21.173Z,23.4,,,,0,,
2017-12-27T00:13:31.173Z,23.4,,,,0,,
2017-12-27T00:13:41.174Z,23.4,,,,0,,
2017-12-27T00:13:51.176Z,23.4,,,,0,,
2017-12-27T00:14:01.173Z,23.4,,,,0,,
2017-12-27T00:14:11.173Z,23.4,,,,0,,
2017-12-27T00:14:21.173Z,23.4,,,,0,,42.9
2017-12-27T00:14:31.173Z,23.4,,,,0,,
2017-12-27T00:14:41.173Z,23.4,,,,0,,
2017-12-27T00:14:51.173Z,23.4,,,,0,,
2017-12-27T00:15:01.173Z,23.4,,,,0,,
