Time,PrimTSet,PrimT,HwTOutlet,ActPow,HwActive,ChActive,HwTSet
2017-11-13T00:18:46.492Z,,44.4,27.7,,,,0
2017-11-13T00:18:56.582Z,,,27.7,,,,0
2017-11-13T00:19:06.491Z,,,27.7,,,,0
2017-11-13T00:19:16.533Z,,,27.7,,,,0
2017-11-13T00:19:26.492Z,,,27.7,,,,0
2017-11-13T00:19:36.497Z,,,27.5,,,,0
2017-11-13T00:19:46.529Z,,,27.5,,,,0
2017-11-13T00:19:56.613Z,,,27.5,,,,0
2017-11-13T00:20:06.492Z,,44.3,27.5,,,,0
2017-11-13T00:20:16.493Z,,,27.5,,,,0
2017-11-13T00:20:26.495Z,,,27.5,,,,0
2017-11-13T00:20:36.493Z,,,27.4,,,,0
2017-11-13T00:20:46.503Z,,,27.4,,,,0
2017-11-13T00:20:56.663Z,,,27.4,,,,0
2017-11-13T00:21:06.495Z,,,27.4,,,,0
2017-11-13T00:21:16.492Z,,,27.4,,,,0
2017-11-13T00:21:26.497Z,,44.2,27.4,,,,0
2017-11-13T00:21:36.491Z,,,27.3,,,,0
2017-11-13T00:21:46.495Z,,,27.3,,,,0
2017-11-13T00:21:56.619Z,,,27.3,,,,0
2017-11-13T00:22:06.492Z,,,27.3,,,,0
2017-11-13T00:22:16.492Z,,,27.3,,,,0
2017-11-13T00:22:26.492Z,,,27.3,,,,0
2017-11-13T00:22:36.493Z,,44.1,27.2,,,,0
2017-11-13T00:22:46.710Z,,,27.2,,,,0
2017-11-13T00:22:56.582Z,,,27.2,,,,0
2017-11-13T00:23:06.495Z,,,27.2,,,,0
2017-11-13T00:23:16.493Z,,,27.2,,,,0
2017-11-13T00:23:26.494Z,,,27.2,,,,0
2017-11-13T00:23:36.493Z,,,27.1,,,,0
2017-11-13T00:23:46.496Z,,,27.1,,,,0
2017-11-13T00:23:56.583Z,,44,27.1,,,,0
2017-11-13T00:24:06.496Z,,,27.1,,,,0
2017-11-13T00:24:16.496Z,,,27.1,,,,0
2017-11-13T00:24:26.493Z,,,27.1,,,,0
2017-11-13T00:24:36.493Z,,,27.1,,,,0
2017-11-13T00:24:46.494Z,,,26.9,,,,0
2017-11-13T00:24:56.613Z,,,26.9,,,,0
2017-11-13T00:25:06.506Z,,,26.9,,,,0
2017-11-13T00:25:16.494Z,,43.9,26.9,,,,0
2017-11-13T00:25:26.493Z,,,26.9,,,,0
2017-11-13T00:25:36.493Z,,,26.9,,,,0
2017-11-13T00:25:46.493Z,,,26.9,,,,0
2017-11-13T00:25:56.978Z,,,26.8,,,,0
2017-11-13T00:26:06.496Z,,,26.8,,,,0
2017-11-13T00:26:16.493Z,,,26.8,,,,0
2017-11-13T00:26:26.495Z,,,26.8,,,,0
2017-11-13T00:26:36.499Z,,43.8,26.8,,,,0
2017-11-13T00:26:46.495Z,,,26.8,,,,0
2017-11-13T00:26:56.600Z,,,26.7,,,,0
2017-11-13T00:27:06.494Z,,,26.7,,,,0
2017-11-13T00:27:16.493Z,,,26.7,,,,0
2017-11-13T00:27:26.493Z,,,26.7,,,,0
2017-11-13T00:27:36.495Z,,,26.7,,,,0
2017-11-13T00:27:46.495Z,,,26.7,,,,0
2017-11-13T00:27:56.583Z,,43.7,26.7,,,,0
2017-11-13T00:28:06.511Z,,,26.6,,,,0
2017-11-13T00:28:16.493Z,,,26.6,,,,0
2017-11-13T00:28:26.740Z,,,26.6,,,,0
2017-11-13T00:28:36.493Z,,,26.6,,,,0
2017-11-13T00:28:46.495Z,,,26.6,,,,0
2017-11-13T00:28:56.574Z,,,26.6,,,,0
2017-11-13T00:29:06.499Z,,,26.6,,,,0
2017-11-13T00:29:16.496Z,,43.6,26.6,,,,0
2017-11-13T00:29:26.493Z,,,26.5,,,,0
2017-11-13T00:29:36.494Z,,,26.5,,,,0
2017-11-13T00:29:46.494Z,,,26.5,,,,0
2017-11-13T00:29:56.584Z,,,26.5,,,,0
2017-11-13T00:30:06.494Z,,,26.5,,,,0
2017-11-13T00:30:16.494Z,,,26.5,,,,0
2017-11-13T00:30:26.503Z,,,26.5,,,,0
2017-11-13T00:30:36.494Z,,43.5,26.5,,,,0
2017-11-13T00:30:46.496Z,,,26.3,,,,0
2017-11-13T00:30:56.608Z,,,26.3,,,,0
2017-11-13T00:31:06.494Z,,,26.3,,,,0
2017-11-13T00:31:16.494Z,,,26.3,,,,0
2017-11-13T00:31:31.624Z,,,26.3,,,,0
2017-11-13T00:31:36.494Z,,,26.3,,,,0
2017-11-13T00:31:46.496Z,,43.4,26.3,,,,0
2017-11-13T00:31:56.614Z,,,26.2,,,,0
2017-11-13T00:32:06.494Z,,,26.2,,,,0
2017-11-13T00:32:16.501Z,,,26.2,,,,0
2017-11-13T00:32:26.495Z,,,26.2,,,,0
2017-11-13T00:32:36.495Z,,,26.2,,,,0
2017-11-13T00:32:46.495Z,,,26.2,,,,0
2017-11-13T00:32:56.584Z,,,26.2,,,,0
2017-11-13T00:33:06.496Z,,,26.2,,,,0
2017-11-13T00:33:16.495Z,,43.3,26.2,,,,0
2017-11-13T00:33:26.503Z,,,26.1,,,,0
2017-11-13T00:33:36.494Z,,,26.1,,,,0
2017-11-13T00:33:46.496Z,,,26.1,,,,0
2017-11-13T00:33:56.574Z,,,26.1,,,,0
2017-11-13T00:34:06.494Z,,,26.1,,,,0
2017-11-13T00:34:16.495Z,,,26.1,,,,0
2017-11-13T00:34:26.499Z,,,26.1,,,,0
2017-11-13T00:34:36.500Z,,43.2,26.1,,,,0
2017-11-13T00:34:46.498Z,,,26,,,,0
2017-11-13T00:34:56.614Z,,,26,,,,0
2017-11-13T00:35:06.494Z,,,26,,,,0
2017-11-13T00:35:16.745Z,,,26,,,,0
2017-11-13T00:35:26.495Z,,,26,,,,0
2017-11-13T00:35:36.499Z,,,26,,,,0
2017-11-13T00:35:46.505Z,,,26,,,,0
2017-11-13T00:35:56.589Z,,43.1,26,,,,0
2017-11-13T00:36:06.495Z,,,25.9,,,,0
2017-11-13T00:36:16.497Z,,,25.9,,,,0
2017-11-13T00:36:26.494Z,,,25.9,,,,0
2017-11-13T00:36:36.495Z,,,25.9,,,,0
2017-11-13T00:36:46.502Z,,,25.9,,,,0
2017-11-13T00:36:56.617Z,,,25.9,,,,0
2017-11-13T00:37:06.497Z,,,25.9,,,,0
2017-11-13T00:37:16.495Z,,43,25.9,,,,0
2017-11-13T00:37:26.494Z,,,25.7,,,,0
2017-11-13T00:37:36.526Z,,,25.7,,,,0
2017-11-13T00:37:46.499Z,,,25.7,,,,0
2017-11-13T00:37:56.646Z,,,25.7,,,,0
2017-11-13T00:38:06.498Z,,,25.7,,,,0
2017-11-13T00:38:16.711Z,,,25.7,,,,0
2017-11-13T00:38:26.498Z,,42.9,25.7,,,,0
2017-11-13T00:38:36.499Z,,42.9,25.7,,,,0
2017-11-13T00:38:46.496Z,,,25.7,,,,0
2017-11-13T00:38:56.648Z,,,25.6,,,,0
2017-11-13T00:39:06.498Z,,,25.6,,,,0
2017-11-13T00:39:16.498Z,,,25.6,,,,0
2017-11-13T00:39:26.498Z,,,25.6,,,,0
2017-11-13T00:39:36.497Z,,,25.6,,,,0
2017-11-13T00:39:46.499Z,,42.8,25.6,,,,0
2017-11-13T00:39:56.616Z,,,25.6,,,,0
2017-11-13T00:40:06.499Z,,,25.6,,,,0
2017-11-13T00:40:16.495Z,,,25.6,,,,0
2017-11-13T00:40:26.499Z,,,25.5,,,,0
2017-11-13T00:40:36.498Z,,,25.5,,,,0
2017-11-13T00:40:46.496Z,,,25.5,,,,0
2017-11-13T00:40:56.606Z,,,25.5,,,,0
2017-11-13T00:41:06.501Z,,,25.5,,,,0
2017-11-13T00:41:16.499Z,,42.7,25.5,,,,0
2017-11-13T00:41:26.501Z,,,25.5,,,,0
2017-11-13T00:41:36.500Z,,,25.5,,,,0
2017-11-13T00:41:46.496Z,,,25.5,,,,0
2017-11-13T00:41:56.675Z,,,25.4,,,,0
2017-11-13T00:42:06.501Z,,,25.4,,,,0
2017-11-13T00:42:16.496Z,,,25.4,,,,0
2017-11-13T00:42:26.496Z,,,25.4,,,,0
2017-11-13T00:42:36.502Z,,,25.4,,,,0
2017-11-13T00:42:46.501Z,,42.6,25.4,,,,0
2017-11-13T00:42:56.622Z,,,25.4,,,,0
2017-11-13T00:43:06.498Z,,,25.4,,,,0
2017-11-13T00:43:16.501Z,,,25.4,,,,0
2017-11-13T00:43:26.503Z,,,25.3,,,,0
2017-11-13T00:43:36.501Z,,,25.3,,,,0
2017-11-13T00:43:46.498Z,,,25.3,,,,0
2017-11-13T00:43:56.583Z,,42.4,25.3,,,,0
2017-11-13T00:44:06.497Z,,,25.3,,,,0
2017-11-13T00:44:16.500Z,,,25.3,,,,0
2017-11-13T00:44:26.496Z,,,25.3,,,,0
2017-11-13T00:44:36.502Z,,,25.3,,,,0
2017-11-13T00:44:46.497Z,,,25.3,,,,0
2017-11-13T00:44:56.601Z,,,25.1,,,,0
2017-11-13T00:45:06.496Z,,,25.1,,,,0
2017-11-13T00:45:16.496Z,,42.3,25.1,,,,0
2017-11-13T00:45:26.497Z,,,25.1,,,,0
2017-11-13T00:45:36.496Z,,,25.1,,,,0
2017-11-13T00:45:46.497Z,,,25.1,,,,0
2017-11-13T00:45:56.581Z,,,25.1,,,,0
2017-11-13T00:46:06.496Z,,,25.1,,,,0
2017-11-13T00:46:16.503Z,,,25.1,,,,0
2017-11-13T00:46:26.497Z,,,25.1,,,,0
2017-11-13T00:46:36.528Z,,,25,,,,0
2017-11-13T00:46:46.501Z,,42.2,25,,,,0
2017-11-13T00:46:56.894Z,,,25,,,,0
2017-11-13T00:47:06.504Z,,,25,,,,0
2017-11-13T00:47:16.507Z,,,25,,,,0
2017-11-13T00:47:26.505Z,,,25,,,,0
2017-11-13T00:47:36.497Z,,,25,,,,0
2017-11-13T00:47:46.499Z,,,25,,,,0
2017-11-13T00:47:56.667Z,,,25,,,,0
2017-11-13T00:48:06.497Z,,42.1,25,,,,0
2017-11-13T00:48:16.498Z,,,25,,,,0
2017-11-13T00:48:26.662Z,,,24.9,,,,0
2017-11-13T00:48:36.501Z,,,24.9,,,,0
2017-11-13T00:48:46.497Z,,,24.9,,,,0
2017-11-13T00:48:56.724Z,,,24.9,,,,0
2017-11-13T00:49:06.497Z,,,24.9,,,,0
2017-11-13T00:49:16.497Z,,,24.9,,,,0
2017-11-13T00:49:26.497Z,,,24.9,,,,0
2017-11-13T00:49:36.503Z,,42,24.9,,,,0
2017-11-13T00:49:46.507Z,,,24.9,,,,0
2017-11-13T00:49:56.659Z,,,24.9,,,,0
2017-11-13T00:50:06.497Z,,,24.8,,,,0
2017-11-13T00:50:16.498Z,,,24.8,,,,0
2017-11-13T00:50:26.497Z,,,24.8,,,,0
2017-11-13T00:50:36.499Z,,,24.8,,,,0
2017-11-13T00:50:46.497Z,,41.9,24.8,,,,0
2017-11-13T00:50:56.610Z,,41.9,24.8,,,,0
2017-11-13T00:51:06.498Z,,,24.8,,,,0
2017-11-13T00:51:16.502Z,,,24.8,,,,0
2017-11-13T00:51:26.499Z,,,24.8,,,,0
2017-11-13T00:51:36.497Z,,,24.8,,,,0
2017-11-13T00:51:46.498Z,,,24.8,,,,0
2017-11-13T00:51:56.617Z,,,24.7,,,,0
2017-11-13T00:52:06.498Z,,,24.7,,,,0
2017-11-13T00:52:16.500Z,,41.8,24.7,,,,0
2017-11-13T00:52:26.497Z,,,24.7,,,,0
2017-11-13T00:52:36.499Z,,,24.7,,,,0
2017-11-13T00:52:46.756Z,,,24.7,,,,0
2017-11-13T00:52:56.577Z,,,24.7,,,,0
2017-11-13T00:53:06.497Z,,,24.7,,,,0
2017-11-13T00:53:16.501Z,,,24.7,,,,0
2017-11-13T00:53:26.498Z,,,24.7,,,,0
2017-11-13T00:53:36.497Z,,41.7,24.7,,,,0
2017-11-13T00:53:46.601Z,,,24.7,,,,0
2017-11-13T00:53:56.548Z,,,24.5,,,,0
2017-11-13T00:54:06.499Z,,,24.5,,,,0
2017-11-13T00:54:16.498Z,,,24.5,,,,0
2017-11-13T00:54:26.498Z,,,24.5,,,,0
2017-11-13T00:54:36.498Z,,,24.5,,,,0
2017-11-13T00:54:46.498Z,,,24.5,,,,0
2017-11-13T00:54:56.618Z,,41.6,24.5,,,,0
2017-11-13T00:55:06.833Z,,,24.5,,,,0
2017-11-13T00:55:16.502Z,,,24.5,,,,0
2017-11-13T00:55:26.498Z,,,24.5,,,,0
2017-11-13T00:55:36.500Z,,,24.5,,,,0
2017-11-13T00:55:46.498Z,,,24.5,,,,0
2017-11-13T00:55:56.620Z,,,24.4,,,,0
2017-11-13T00:56:06.501Z,,,24.4,,,,0
2017-11-13T00:56:16.498Z,,41.5,24.4,,,,0
2017-11-13T00:56:26.499Z,,,24.4,,,,0
2017-11-13T00:56:36.498Z,,,24.4,,,,0
2017-11-13T00:56:46.498Z,,,24.4,,,,0
2017-11-13T00:56:56.608Z,,,24.4,,,,0
