Time,PrimTSet,ActPow,HwTSet,PrimT,HwTOutlet,HwActive,ChActive
2017-11-22T00:00:05.535Z,,,0,,28.4,,
2017-11-22T00:00:15.536Z,,,0,,28.4,,
2017-11-22T00:00:25.536Z,,,0,,28.3,,
2017-11-22T00:00:35.538Z,,,0,,28.3,,
2017-11-22T00:00:45.537Z,,,0,48,28.3,,
2017-11-22T00:00:55.740Z,,,0,,28.3,,
2017-11-22T00:01:05.535Z,,,0,,28.1,,
2017-11-22T00:01:15.746Z,,,0,,28.1,,
2017-11-22T00:01:25.535Z,,,0,,28.1,,
2017-11-22T00:01:35.536Z,,,0,,28.1,,
2017-11-22T00:01:45.535Z,,,0,47.9,28.1,,
2017-11-22T00:01:55.535Z,,,0,,28,,
2017-11-22T00:02:05.540Z,,,0,,28,,
2017-11-22T00:02:15.535Z,,,0,,28,,
2017-11-22T00:02:25.537Z,,,0,,28,,
2017-11-22T00:02:35.540Z,,,0,,28,,
2017-11-22T00:02:45.536Z,,,0,,27.9,,
2017-11-22T00:02:55.536Z,,,0,47.8,27.9,,
2017-11-22T00:03:05.536Z,,,0,,27.9,,
2017-11-22T00:03:15.535Z,,,0,,27.9,,
2017-11-22T00:03:25.538Z,,,0,,27.9,,
2017-11-22T00:03:35.543Z,,,0,,27.9,,
2017-11-22T00:03:45.535Z,,,0,,27.8,,
2017-11-22T00:03:55.536Z,,,0,47.7,27.8,,
2017-11-22T00:04:05.536Z,,,0,,27.8,,
2017-11-22T00:04:15.536Z,,,0,,27.8,,
2017-11-22T00:04:25.740Z,,,0,,27.7,,
2017-11-22T00:04:35.538Z,,,0,,27.7,,
2017-11-22T00:04:45.538Z,,,0,,27.7,,
2017-11-22T00:04:55.537Z,,,0,47.6,27.7,,
2017-11-22T00:05:05.541Z,,,0,,27.7,,
2017-11-22T00:05:15.542Z,,,0,,27.5,,
2017-11-22T00:05:25.539Z,,,0,,27.5,,
2017-11-22T00:05:35.538Z,,,0,,27.5,,
2017-11-22T00:05:45.539Z,,,0,,27.5,,
2017-11-22T00:05:55.540Z,,,0,47.4,27.5,,
2017-11-22T00:06:05.547Z,,,0,,27.4,,
2017-11-22T00:06:15.541Z,,,0,,27.4,,
2017-11-22T00:06:25.536Z,,,0,,27.4,,
2017-11-22T00:06:35.536Z,,,0,,27.4,,
2017-11-22T00:06:45.536Z,,,0,,27.4,,
2017-11-22T00:06:55.542Z,,,0,,27.3,,
2017-11-22T00:07:05.537Z,,,0,47.3,27.3,,
2017-11-22T00:07:15.538Z,,,0,,27.3,,
2017-11-22T00:07:25.742Z,,,0,,27.3,,
2017-11-22T00:07:35.538Z,,,0,,27.3,,
2017-11-22T00:07:45.540Z,,,0,,27.2,,
2017-11-22T00:07:55.536Z,,,0,,27.2,,
2017-11-22T00:08:05.542Z,,,0,47.2,27.2,,
2017-11-22T00:08:15.571Z,,,0,,27.2,,
2017-11-22T00:08:25.542Z,,,0,,27.2,,
2017-11-22T00:08:35.537Z,,,0,,27.2,,
2017-11-22T00:08:45.536Z,,,0,,27.1,,
2017-11-22T00:08:55.578Z,,,0,,27.1,,
2017-11-22T00:09:05.542Z,,,0,,27.1,,
2017-11-22T00:09:15.546Z,,,0,47.1,27.1,,
