Time,PrimTSet,ChActive,ActPow,PrimT,HwActive,HwTSet,HwTOutlet
2017-11-05T00:18:37.756Z,,,,40.7,,0,33.1
2017-11-05T00:18:47.760Z,,,,,,0,33.1
2017-11-05T00:18:57.756Z,,,,,,0,32.9
2017-11-05T00:19:07.755Z,,,,,,0,32.8
2017-11-05T00:19:17.756Z,,,,,,0,32.8
2017-11-05T00:19:27.758Z,,,,,,0,32.7
2017-11-05T00:19:37.756Z,,,,,,0,32.6
2017-11-05T00:19:47.756Z,,,,,,0,32.6
2017-11-05T00:19:57.756Z,,,,,,0,32.5
2017-11-05T00:20:07.760Z,,,,,,0,32.4
2017-11-05T00:20:17.755Z,,,,,,0,32.4
2017-11-05T00:20:27.757Z,,,,,,0,32.3
2017-11-05T00:20:37.781Z,,,,40.6,,0,32.2
2017-11-05T00:20:47.756Z,,,,,,0,32.2
2017-11-05T00:20:57.761Z,,,,,,0,32.1
2017-11-05T00:21:07.756Z,,,,,,0,32.1
2017-11-05T00:21:17.761Z,,,,,,0,32
2017-11-05T00:21:27.825Z,,,,,,0,31.9
2017-11-05T00:21:37.756Z,,,,,,0,31.9
2017-11-05T00:21:47.758Z,,,,40.5,,0,31.8
2017-11-05T00:21:57.759Z,,,,,,0,31.8
2017-11-05T00:22:07.756Z,,,,,,0,31.6
2017-11-05T00:22:17.758Z,,,,,,0,31.6
2017-11-05T00:22:27.761Z,,,,,,0,31.5
2017-11-05T00:22:37.758Z,,,,,,0,31.4
2017-11-05T00:22:47.759Z,0,0,,40.5,2,0,31.4
2017-11-05T00:22:57.756Z,,0,30,40.2,2,54,40.7
2017-11-05T00:23:07.759Z,,,57,42.3,,54,41.6
2017-11-05T00:23:17.756Z,,,58,46,,54,44.6
2017-11-05T00:23:27.756Z,,,58,49,,54,48
2017-11-05T00:23:37.757Z,,,56,51.3,,54,51.2
2017-11-05T00:23:47.759Z,,,49,53.2,,54,53.1
2017-11-05T00:23:57.757Z,,,,54.3,,54,54.2
2017-11-05T00:24:07.757Z,,,36,54.6,,54,54.9
2017-11-05T00:24:17.760Z,,0,0,53.8,0,0,54.4
2017-11-05T00:24:27.756Z,,,,52.9,,0,53.9
2017-11-05T00:24:37.780Z,,,,52.8,,0,53.6
2017-11-05T00:24:47.756Z,,,,52.7,,0,53.3
2017-11-05T00:24:57.756Z,,,,,,0,53.1
2017-11-05T00:25:07.756Z,,,,52.6,,0,52.9
2017-11-05T00:25:17.756Z,5,,,,,0,52.5
2017-11-05T00:25:27.757Z,,,,52.4,,0,52.2
2017-11-05T00:25:37.756Z,,,,52.3,,0,52
2017-11-05T00:25:47.756Z,,,,,,0,51.7
2017-11-05T00:25:57.756Z,,,,,,0,51.5
2017-11-05T00:26:07.759Z,,,,52.2,,0,51.2
2017-11-05T00:26:17.757Z,,,,,,0,51
2017-11-05T00:26:27.761Z,,,,,,0,50.7
2017-11-05T00:26:37.757Z,,,,52.1,,0,50.4
2017-11-05T00:26:47.762Z,,,,,,0,50.2
2017-11-05T00:26:57.756Z,,,,,,0,49.9
2017-11-05T00:27:07.757Z,0,0,44,52.6,2,54,51.1
2017-11-05T00:27:17.757Z,,,53,51.2,,54,50
2017-11-05T00:27:27.757Z,,,52,51.7,,54,50.9
2017-11-05T00:27:37.758Z,,0,0,51.3,0,0,50.9
2017-11-05T00:27:47.757Z,,,,51.1,,0,50.6
2017-11-05T00:27:57.756Z,,,,,,0,50.3
2017-11-05T00:28:07.762Z,,,,51,,0,50.1
2017-11-05T00:28:17.757Z,,,,,,0,49.9
2017-11-05T00:28:27.757Z,,,,50.9,,0,49.7
2017-11-05T00:28:37.757Z,5,,,50.7,,0,49.3
2017-11-05T00:28:47.757Z,,,,,,0,49.1
2017-11-05T00:28:57.758Z,,,,50.6,,0,48.9
2017-11-05T00:29:07.757Z,,,,,,0,48.7
2017-11-05T00:29:17.757Z,,,,,,0,48.5
2017-11-05T00:29:27.763Z,,,,50.5,,0,48.3
2017-11-05T00:29:37.758Z,,,,,,0,48
2017-11-05T00:29:47.757Z,,,,,,0,47.8
2017-11-05T00:29:57.757Z,,,,,,0,47.6
2017-11-05T00:30:07.758Z,,,,,,0,47.4
2017-11-05T00:30:17.757Z,,,,50.4,,0,47.2
2017-11-05T00:30:27.757Z,,,,50.5,,0,47
2017-11-05T00:30:37.773Z,,,,50.4,,0,46.7
2017-11-05T00:30:47.758Z,,,,,,0,46.5
2017-11-05T00:30:57.759Z,,,,50.5,,0,46.4
2017-11-05T00:31:07.758Z,,,,,,0,46.2
2017-11-05T00:31:17.757Z,,,,,,0,45.9
2017-11-05T00:31:27.757Z,,,,,,0,45.7
2017-11-05T00:31:37.782Z,,,,,,0,45.6
2017-11-05T00:31:47.781Z,,,,,,0,45.4
2017-11-05T00:31:57.757Z,,,,,,0,45.2
2017-11-05T00:32:07.774Z,,,,50.4,,0,45.1
2017-11-05T00:32:17.758Z,,,,,,0,44.9
2017-11-05T00:32:27.758Z,,,,,,0,44.7
2017-11-05T00:32:37.758Z,,,,,,0,44.6
2017-11-05T00:32:47.771Z,,,,,,0,44.3
2017-11-05T00:32:57.758Z,,,,,,0,44.1
2017-11-05T00:33:07.757Z,,,,50.3,,0,44
2017-11-05T00:33:17.760Z,,,,,,0,43.8
2017-11-05T00:33:27.767Z,,,,,,0,43.6
2017-11-05T00:33:37.758Z,,,,,,0,43.5
2017-11-05T00:33:47.758Z,,,,50.2,,0,43.3
2017-11-05T00:33:57.758Z,,,,,,0,43.1
2017-11-05T00:34:07.758Z,,,,,,0,43
2017-11-05T00:34:17.758Z,,,,,,0,42.8
2017-11-05T00:34:27.758Z,,,,50.1,,0,42.7
2017-11-05T00:34:37.758Z,,,,,,0,42.5
2017-11-05T00:34:47.758Z,,,,,,0,42.4
2017-11-05T00:34:57.758Z,,,,50,,0,42.2
2017-11-05T00:35:07.758Z,,,,,,0,42
2017-11-05T00:35:17.758Z,,,,49.9,,0,41.9
2017-11-05T00:35:27.978Z,,,,,,0,41.8
2017-11-05T00:35:37.761Z,,,,,,0,41.6
2017-11-05T00:35:47.758Z,,,,49.8,,0,41.5
2017-11-05T00:35:57.758Z,,,,,,0,41.3
2017-11-05T00:36:07.761Z,,,,,,0,41.2
2017-11-05T00:36:17.760Z,,,,49.7,,0,40.9
2017-11-05T00:36:27.759Z,,,,,,0,40.8
2017-11-05T00:36:37.766Z,,,,,,0,40.7
2017-11-05T00:36:47.758Z,,,,49.6,,0,40.5
2017-11-05T00:36:57.758Z,,,,,,0,40.4
2017-11-05T00:37:07.759Z,,,,49.5,,0,40.3
2017-11-05T00:37:18.073Z,,,,,,0,40.1
2017-11-05T00:37:27.759Z,,,,,,0,40
2017-11-05T00:37:37.763Z,,,,49.4,,0,39.9
2017-11-05T00:37:47.759Z,,,,,,0,39.7
2017-11-05T00:37:57.758Z,,,,,,0,39.6
2017-11-05T00:38:07.758Z,,,,49.3,,0,39.5
2017-11-05T00:38:17.760Z,,,,,,0,39.4
2017-11-05T00:38:27.764Z,,,,,,0,39.2
2017-11-05T00:38:37.760Z,,,,49.2,,0,39.1
2017-11-05T00:38:47.762Z,,,,,,0,38.9
2017-11-05T00:38:57.759Z,,,,49.1,,0,38.8
2017-11-05T00:39:07.759Z,,,,,,0,38.7
2017-11-05T00:39:17.760Z,,,,,,0,38.6
2017-11-05T00:39:27.759Z,,,,49,,0,38.5
2017-11-05T00:39:37.759Z,,,,,,0,38.3
2017-11-05T00:39:47.760Z,,,,49,,0,38.2
2017-11-05T00:39:57.760Z,,,,48.9,,0,38.1
2017-11-05T00:40:07.759Z,,,,,,0,38
2017-11-05T00:40:17.758Z,,,,,,0,37.9
2017-11-05T00:40:27.762Z,,,,48.8,,0,37.8
2017-11-05T00:40:37.761Z,,,,,,0,37.7
2017-11-05T00:40:47.759Z,,,,,,0,37.6
2017-11-05T00:40:57.759Z,,,,48.7,,0,37.5
2017-11-05T00:41:07.759Z,,,,,,0,37.4
2017-11-05T00:41:17.760Z,,,,,,0,37.3
2017-11-05T00:41:27.759Z,,,,48.6,,0,37.2
2017-11-05T00:41:37.760Z,,,,,,0,37.1
2017-11-05T00:41:47.759Z,,,,,,0,36.9
2017-11-05T00:41:57.760Z,,,,,,0,36.8
2017-11-05T00:42:07.759Z,,,,48.5,,0,36.7
2017-11-05T00:42:17.760Z,,,,,,0,36.6
2017-11-05T00:42:27.759Z,,,,,,0,36.5
2017-11-05T00:42:37.760Z,,,,48.4,,0,36.5
2017-11-05T00:42:47.759Z,,,,,,0,36.4
2017-11-05T00:42:57.762Z,,,,,,0,36.3
2017-11-05T00:43:07.761Z,,,,,,0,36.3
2017-11-05T00:43:17.761Z,,,,48.3,,0,36.2
2017-11-05T00:43:27.759Z,,,,,,0,36.1
2017-11-05T00:43:37.765Z,,,,,,0,35.9
2017-11-05T00:43:47.764Z,,,,48.2,,0,35.9
2017-11-05T00:43:57.759Z,,,,,,0,35.8
2017-11-05T00:44:07.769Z,,,,,,0,35.7
2017-11-05T00:44:17.762Z,,,,,,0,35.6
2017-11-05T00:44:27.760Z,,,,,,0,35.5
2017-11-05T00:44:37.761Z,,,,48.1,,0,35.4
2017-11-05T00:44:47.763Z,,,,,,0,35.4
2017-11-05T00:44:57.768Z,,,,,,0,35.3
2017-11-05T00:45:07.760Z,,,,48,,0,35.2
2017-11-05T00:45:17.760Z,,,,,,0,35.1
2017-11-05T00:45:27.760Z,,,,,,0,34.9
2017-11-05T00:45:37.763Z,,,,,,0,34.9
2017-11-05T00:45:47.760Z,,,,47.9,,0,34.8
2017-11-05T00:45:57.760Z,,,,47.9,,0,34.8
2017-11-05T00:46:07.759Z,,,,,,0,34.7
2017-11-05T00:46:17.760Z,,,,,,0,34.7
2017-11-05T00:46:27.763Z,,,,,,0,34.6
2017-11-05T00:46:37.761Z,,,,47.8,,0,34.5
2017-11-05T00:46:47.759Z,,,,,,0,34.5
2017-11-05T00:46:57.760Z,,,,,,0,34.4
2017-11-05T00:47:07.760Z,,,,,,0,34.3
2017-11-05T00:47:17.765Z,,,,,,0,34.3
2017-11-05T00:47:27.766Z,,,,47.7,,0,34.2
2017-11-05T00:47:37.835Z,,,,,,0,34.1
2017-11-05T00:47:47.764Z,,,,,,0,34.1
2017-11-05T00:47:57.760Z,,,,,,0,34
2017-11-05T00:48:07.764Z,,,,,,0,33.9
2017-11-05T00:48:17.770Z,,,,47.6,,0,33.9
2017-11-05T00:48:27.760Z,,,,,,0,33.8
2017-11-05T00:48:37.766Z,,,,,,0,33.7
2017-11-05T00:48:48.055Z,,,,,,0,33.7
2017-11-05T00:48:57.762Z,,,,,,0,33.6
2017-11-05T00:49:08.187Z,,,,47.4,,0,33.5
2017-11-05T00:49:17.766Z,,,,,,0,33.5
2017-11-05T00:49:27.775Z,,,,,,0,33.4
2017-11-05T00:49:37.760Z,,,,,,0,33.3
2017-11-05T00:49:47.760Z,,,,,,0,33.3
2017-11-05T00:49:57.761Z,,,,47.3,,0,33.2
2017-11-05T00:50:07.760Z,,,,,,0,33.1
2017-11-05T00:50:17.773Z,,,,,,0,33.1
2017-11-05T00:50:27.768Z,,,,,,0,32.9
2017-11-05T00:50:37.793Z,,,,,,0,32.8
2017-11-05T00:50:47.761Z,,,,47.2,,0,32.8
2017-11-05T00:50:57.760Z,,,,,,0,32.7
2017-11-05T00:51:07.765Z,,,,,,0,32.7
2017-11-05T00:51:17.761Z,,,,,,0,32.6
2017-11-05T00:51:27.761Z,,,,,,0,32.5
2017-11-05T00:51:37.761Z,,,,,,0,32.5
2017-11-05T00:51:47.761Z,,,,47.1,,0,32.4
2017-11-05T00:51:57.760Z,,,,,,0,32.4
2017-11-05T00:52:07.761Z,,,,,,0,32.3
2017-11-05T00:52:17.763Z,,,,,,0,32.3
2017-11-05T00:52:27.762Z,,,,,,0,32.2
2017-11-05T00:52:37.761Z,,,,,,0,32.1
2017-11-05T00:52:47.761Z,,,,47,,0,32.1
2017-11-05T00:52:57.760Z,,,,,,0,32
2017-11-05T00:53:07.760Z,,,,,,0,32
2017-11-05T00:53:17.761Z,,,,,,0,31.9
2017-11-05T00:53:27.761Z,,,,46.9,,0,31.9
2017-11-05T00:53:37.761Z,,,,46.9,,0,31.8
2017-11-05T00:53:47.762Z,,,,,,0,31.8
2017-11-05T00:53:57.766Z,,,,,,0,31.6
2017-11-05T00:54:07.761Z,,,,,,0,31.6
2017-11-05T00:54:17.764Z,,,,,,0,31.5
2017-11-05T00:54:27.762Z,,,,,,0,31.5
2017-11-05T00:54:37.762Z,,,,46.8,,0,31.4
2017-11-05T00:54:47.762Z,,,,,,0,31.4
2017-11-05T00:54:57.761Z,,,,,,0,31.3
2017-11-05T00:55:07.761Z,,,,,,0,31.3
2017-11-05T00:55:17.765Z,,,,,,0,31.2
2017-11-05T00:55:27.761Z,,,,,,0,31.2
2017-11-05T00:55:37.763Z,,,,46.7,,0,31
2017-11-05T00:55:47.768Z,,,,,,0,31
2017-11-05T00:55:57.761Z,,,,,,0,30.9
2017-11-05T00:56:07.766Z,,,,,,0,30.9
2017-11-05T00:56:17.762Z,,,,,,0,30.8
2017-11-05T00:56:27.761Z,,,,,,0,30.8
2017-11-05T00:56:37.763Z,,,,46.6,,0,30.8
2017-11-05T00:56:47.762Z,,,,,,0,30.7
2017-11-05T00:56:57.761Z,,,,,,0,30.7
2017-11-05T00:57:07.761Z,,,,,,0,30.6
2017-11-05T00:57:17.761Z,,,,,,0,30.6
2017-11-05T00:57:27.761Z,,,,46.5,,0,30.4
2017-11-05T00:57:37.761Z,,,,,,0,30.4
2017-11-05T00:57:47.761Z,,,,,,0,30.4
2017-11-05T00:57:57.763Z,,,,,,0,30.3
2017-11-05T00:58:07.764Z,,,,,,0,30.3
