Time,HwTOutlet,PrimT,HwTSet,ChActive,ActPow,PrimTSet,HwActive
2018-01-30T00:18:37.264Z,27.4,,0,,,,
2018-01-30T00:18:47.355Z,27.3,43.2,0,,,,
2018-01-30T00:18:57.265Z,27.3,,0,,,,
2018-01-30T00:19:07.267Z,27.3,,0,,,,
2018-01-30T00:19:17.265Z,27.3,,0,,,,
2018-01-30T00:19:27.264Z,27.2,,0,,,,
2018-01-30T00:19:37.265Z,27.2,,0,,,,
2018-01-30T00:19:47.356Z,27.2,,0,,,,
2018-01-30T00:19:57.264Z,27.2,,0,,,,
2018-01-30T00:20:07.264Z,27.2,43.1,0,,,,
2018-01-30T00:20:17.266Z,27.1,,0,,,,
2018-01-30T00:20:27.264Z,27.1,,0,,,,
2018-01-30T00:20:37.265Z,27.1,,0,,,,
2018-01-30T00:20:47.355Z,26.9,,0,,,,
2018-01-30T00:20:57.265Z,26.9,,0,,,,
2018-01-30T00:21:07.270Z,26.9,,0,,,,
2018-01-30T00:21:17.265Z,26.9,43,0,,,,
2018-01-30T00:21:27.265Z,26.9,,0,,,,
2018-01-30T00:21:37.264Z,26.8,,0,,,,
2018-01-30T00:21:47.396Z,26.8,,0,,,,
2018-01-30T00:21:57.265Z,26.8,,0,,,,
2018-01-30T00:22:07.274Z,26.8,,0,,,,
2018-01-30T00:22:17.265Z,26.7,,0,,,,
2018-01-30T00:22:27.271Z,26.7,42.9,0,,,,
2018-01-30T00:22:37.268Z,26.7,42.9,0,,,,
2018-01-30T00:22:47.387Z,26.7,,0,,,,
2018-01-30T00:22:57.265Z,26.7,,0,,,,
2018-01-30T00:23:07.266Z,26.6,,0,,,,
2018-01-30T00:23:17.265Z,26.6,,0,,,,
2018-01-30T00:23:27.265Z,26.6,,0,,,,
2018-01-30T00:23:37.265Z,26.6,,0,,,,
2018-01-30T00:23:47.356Z,26.6,,0,,,,
2018-01-30T00:23:57.265Z,26.6,42.8,0,,,,
2018-01-30T00:24:07.280Z,26.5,,0,,,,
2018-01-30T00:24:17.557Z,26.5,,0,,,,
2018-01-30T00:24:27.271Z,26.5,,0,,,,
2018-01-30T00:24:37.266Z,26.5,,0,,,,
2018-01-30T00:24:47.386Z,26.3,,0,,,,
2018-01-30T00:24:57.268Z,26.3,,0,,,,
2018-01-30T00:25:07.266Z,26.3,,0,,,,
2018-01-30T00:25:17.266Z,26.3,42.7,0,,,,
2018-01-30T00:25:27.280Z,26.3,,0,,,,
2018-01-30T00:25:37.266Z,26.2,,0,,,,
2018-01-30T00:25:47.355Z,26.2,,0,,,,
