Time,PrimTSet,ChActive,HwTSet,PrimT,HwTOutlet,ActPow,HwActive
2017-11-12T00:00:06.264Z,,,0,,27.8,,
2017-11-12T00:00:16.262Z,,,0,,27.8,,
2017-11-12T00:00:26.262Z,,,0,,27.8,,
2017-11-12T00:00:36.270Z,,,0,,27.8,,
2017-11-12T00:00:46.269Z,,,0,,27.8,,
2017-11-12T00:00:56.388Z,,,0,39.5,27.7,,
2017-11-12T00:01:06.266Z,,,0,,27.7,,
2017-11-12T00:01:16.267Z,,,0,,27.7,,
2017-11-12T00:01:26.268Z,,,0,,27.7,,
2017-11-12T00:01:36.268Z,,,0,,27.7,,
2017-11-12T00:01:46.263Z,,,0,,27.7,,
2017-11-12T00:02:01.445Z,,,0,,27.7,,
2017-11-12T00:02:06.389Z,,,0,,27.7,,
2017-11-12T00:02:16.263Z,,,0,,27.7,,
2017-11-12T00:02:26.270Z,,,0,,27.5,,
2017-11-12T00:02:36.264Z,,,0,,27.5,,
2017-11-12T00:02:46.264Z,,,0,39.4,27.5,,
2017-11-12T00:02:56.266Z,,,0,,27.5,,
2017-11-12T00:03:06.266Z,,,0,,27.5,,
2017-11-12T00:03:16.267Z,,,0,,27.5,,
2017-11-12T00:03:26.271Z,,,0,,27.5,,
2017-11-12T00:03:36.264Z,,,0,,27.5,,
2017-11-12T00:03:46.277Z,,,0,,27.5,,
2017-11-12T00:03:56.267Z,,,0,,27.4,,
2017-11-12T00:04:06.273Z,,,0,,27.4,,
2017-11-12T00:04:16.272Z,,,0,,27.4,,
2017-11-12T00:04:26.265Z,,,0,,27.4,,
2017-11-12T00:04:36.264Z,,,0,39.3,27.4,,
2017-11-12T00:04:46.266Z,,,0,,27.4,,
2017-11-12T00:04:56.264Z,,,0,,27.4,,
2017-11-12T00:05:06.271Z,,,0,,27.3,,
2017-11-12T00:05:16.266Z,,,0,,27.3,,
2017-11-12T00:05:26.264Z,,,0,,27.3,,
2017-11-12T00:05:36.271Z,,,0,,27.3,,
2017-11-12T00:05:46.265Z,,,0,,27.3,,
2017-11-12T00:05:56.264Z,,,0,,27.3,,
2017-11-12T00:06:06.269Z,,,0,39.2,27.3,,
2017-11-12T00:06:16.268Z,,,0,39.3,27.3,,
2017-11-12T00:06:26.378Z,,,0,,27.3,,
2017-11-12T00:06:36.263Z,,,0,39.2,27.3,,
2017-11-12T00:06:46.562Z,,,0,,27.3,,
2017-11-12T00:06:56.264Z,,,0,,27.2,,
2017-11-12T00:07:06.266Z,,,0,,27.2,,
2017-11-12T00:07:16.266Z,,,0,,27.2,,
2017-11-12T00:07:26.423Z,,,0,,27.2,,
2017-11-12T00:07:36.270Z,,,0,,27.2,,
2017-11-12T00:07:46.264Z,,,0,,27.2,,
2017-11-12T00:07:56.266Z,,,0,,27.2,,
2017-11-12T00:08:06.492Z,,,0,,27.2,,
2017-11-12T00:08:16.269Z,,,0,,27.1,,
2017-11-12T00:08:26.268Z,,,0,39.1,27.1,,
2017-11-12T00:08:36.264Z,,,0,,27.1,,
2017-11-12T00:08:46.265Z,,,0,,27.1,,
2017-11-12T00:08:56.265Z,,,0,,27.1,,
2017-11-12T00:09:06.265Z,,,0,,27.1,,
2017-11-12T00:09:16.266Z,,,0,,27.1,,
2017-11-12T00:09:26.265Z,,,0,,27.1,,
2017-11-12T00:09:36.268Z,,,0,,27.1,,
2017-11-12T00:09:46.265Z,,,0,,27.1,,
2017-11-12T00:09:56.269Z,,,0,39.1,26.9,,
2017-11-12T00:10:06.279Z,5,0,0,38.9,26.9,0,0
2017-11-12T00:10:16.264Z,,,0,,26.9,,
2017-11-12T00:10:26.267Z,,,0,,26.9,,
2017-11-12T00:10:36.265Z,,,0,,26.9,,
2017-11-12T00:10:46.269Z,,,0,,26.9,,
2017-11-12T00:10:56.266Z,,,0,,26.9,,
2017-11-12T00:11:06.270Z,,,0,,26.9,,
2017-11-12T00:11:16.267Z,,,0,,26.8,,
2017-11-12T00:11:26.270Z,,,0,,26.9,,
2017-11-12T00:11:36.265Z,,,0,38.8,26.8,,
2017-11-12T00:11:46.267Z,,,0,,26.8,,
2017-11-12T00:11:56.271Z,,,0,,26.8,,
2017-11-12T00:12:06.603Z,,,0,,26.8,,
2017-11-12T00:12:16.265Z,,,0,,26.8,,
2017-11-12T00:12:26.265Z,,,0,,26.8,,
2017-11-12T00:12:36.265Z,,,0,,26.8,,
2017-11-12T00:12:46.264Z,,,0,,26.8,,
2017-11-12T00:12:56.265Z,,,0,,26.8,,
2017-11-12T00:13:06.267Z,,,0,,26.8,,
2017-11-12T00:13:16.271Z,,,0,,26.7,,
2017-11-12T00:13:26.273Z,,,0,,26.7,,
2017-11-12T00:13:36.272Z,,,0,,26.7,,
2017-11-12T00:13:46.265Z,,,0,38.7,26.7,,
2017-11-12T00:13:56.266Z,,,0,,26.7,,
2017-11-12T00:14:06.272Z,,,0,,26.7,,
2017-11-12T00:14:16.265Z,,,0,,26.7,,
2017-11-12T00:14:26.265Z,,,0,,26.7,,
