Time,HwTSet,ActPow,PrimT,ChActive,HwTOutlet,PrimTSet,HwActive
2018-01-19T00:22:48.893Z,0,,,,23.6,,
2018-01-19T00:22:58.894Z,0,,,,23.6,,
2018-01-19T00:23:08.896Z,,,40.5,,,,
2018-01-19T00:23:18.894Z,0,,,,23.6,,
2018-01-19T00:23:28.894Z,0,,,,23.6,,
2018-01-19T00:23:39.059Z,0,,,,23.6,,
2018-01-19T00:23:58.894Z,0,,,,23.6,,
2018-01-19T00:24:08.894Z,0,,,,23.6,,
2018-01-19T00:24:18.894Z,0,,40.4,,23.6,,
2018-01-19T00:24:28.894Z,0,,,,23.6,,
2018-01-19T00:24:38.894Z,0,,,,23.6,,
2018-01-19T00:24:48.894Z,0,,,,23.6,,
2018-01-19T00:24:58.896Z,0,,,,23.4,,
2018-01-19T00:25:08.894Z,0,,,,23.4,,
2018-01-19T00:25:18.894Z,0,,,,23.4,,
2018-01-19T00:25:28.894Z,0,,,,23.6,,
2018-01-19T00:25:38.894Z,0,,,,23.4,,
2018-01-19T00:25:48.894Z,0,,,,23.4,,
2018-01-19T00:26:08.900Z,0,,40.3,,23.4,,
2018-01-19T00:26:18.894Z,0,,,,23.4,,
2018-01-19T00:26:28.895Z,0,,,,23.4,,
2018-01-19T00:26:48.895Z,0,,,,23.4,,
2018-01-19T00:26:58.895Z,0,,,,23.4,,
2018-01-19T00:27:08.894Z,0,,,,23.4,,
2018-01-19T00:27:18.894Z,0,,,,23.4,,
2018-01-19T00:27:28.894Z,0,,40.2,,23.4,,
2018-01-19T00:27:38.894Z,0,,,,23.3,,
2018-01-19T00:27:48.894Z,0,,,,23.4,,
2018-01-19T00:27:58.895Z,0,,,,23.3,,
2018-01-19T00:28:08.895Z,0,,,,23.3,,
2018-01-19T00:28:18.895Z,0,,,,23.3,,
2018-01-19T00:28:28.894Z,0,,,,23.3,,
2018-01-19T00:28:38.895Z,0,,,,23.3,,
2018-01-19T00:28:48.895Z,0,,,,23.3,,
2018-01-19T00:28:58.894Z,0,,40.1,,23.3,,
2018-01-19T00:29:08.895Z,0,,,,23.3,,
2018-01-19T00:29:18.895Z,0,,,,23.3,,
2018-01-19T00:29:28.895Z,0,,,,23.3,,
2018-01-19T00:29:48.897Z,0,,,,23.3,,
2018-01-19T00:29:58.895Z,0,,,,23.3,,
2018-01-19T00:30:08.896Z,0,,,,23.3,,
2018-01-19T00:30:18.902Z,0,,40,,23.3,,
2018-01-19T00:30:28.896Z,0,,,,23.3,,
2018-01-19T00:30:38.895Z,0,,,,23.2,,
2018-01-19T00:30:48.895Z,0,,,,23.2,,
2018-01-19T00:30:58.895Z,0,,,,23.2,,
2018-01-19T00:31:18.895Z,0,,,,23.2,,
2018-01-19T00:31:28.895Z,0,,,,23.2,,
2018-01-19T00:31:38.895Z,0,,,,23.2,,
2018-01-19T00:31:48.895Z,0,,39.9,,23.2,,
2018-01-19T00:31:58.895Z,0,,39.9,,23.2,,
2018-01-19T00:32:08.895Z,0,,,,23.2,,
2018-01-19T00:32:18.897Z,0,,,,23.2,,
2018-01-19T00:32:28.899Z,0,,,,23.2,,
2018-01-19T00:32:38.909Z,0,,,,23.2,,
2018-01-19T00:32:48.898Z,0,,,,23.2,,
2018-01-19T00:32:58.901Z,0,,,,23.1,,
2018-01-19T00:33:08.897Z,0,,,,23.1,,
2018-01-19T00:33:18.897Z,0,,39.8,,23.1,,
2018-01-19T00:33:28.898Z,0,,,,23.1,,
2018-01-19T00:33:38.898Z,0,,,,23.1,,
2018-01-19T00:33:49.171Z,0,,,,23.1,,
2018-01-19T00:33:58.895Z,0,,,,23.1,,
2018-01-19T00:34:08.896Z,0,,,,23.1,,
2018-01-19T00:34:18.896Z,0,,,,23.1,,
