Time,HwTSet,ActPow,PrimT,ChActive,HwActive,HwTOutlet,PrimTSet
2017-11-11T00:00:05.046Z,0,,,,,50.9,
2017-11-11T00:00:15.175Z,,102,54,0,2,,
2017-11-11T00:00:25.047Z,54,0,53.6,0,0,49.6,
2017-11-11T00:00:35.067Z,0,,53.7,,,49.1,
2017-11-11T00:00:45.296Z,0,,,,,48.6,
2017-11-11T00:00:55.047Z,0,,53.6,,,48.4,
2017-11-11T00:01:05.048Z,0,,,,,48.2,
2017-11-11T00:01:15.222Z,0,,53.5,,,48,
2017-11-11T00:01:25.048Z,,,53.4,,,,5
2017-11-11T00:01:35.064Z,0,125,49.9,0,0,47.8,0
2017-11-11T00:01:45.238Z,0,0,49.8,0,0,46.4,
2017-11-11T00:01:55.047Z,0,,49.3,,,49.6,
2017-11-11T00:02:05.047Z,0,,,,,49.1,
2017-11-11T00:02:15.048Z,,,49.2,,,,
2017-11-11T00:02:25.049Z,0,,,,,48.6,
2017-11-11T00:02:45.258Z,0,,49.1,,,48.4,5
2017-11-11T00:02:55.062Z,0,0,46,0,0,48.2,0
2017-11-11T00:03:05.053Z,0,,46.6,,,43.5,
2017-11-11T00:03:15.049Z,0,,,,,43.4,
2017-11-11T00:03:25.054Z,0,,46.5,,,43.2,
2017-11-11T00:03:35.064Z,0,0,45.1,0,0,43,
2017-11-11T00:03:45.279Z,0,,45.3,,,36.8,
2017-11-11T00:03:55.047Z,0,,,,,36.5,
2017-11-11T00:04:15.062Z,0,,45.2,,,36.5,
2017-11-11T00:04:35.048Z,0,,45.1,,,36.4,
2017-11-11T00:04:45.257Z,0,,,,,36.4,5
2017-11-11T00:04:55.049Z,0,,,,,36.3,
2017-11-11T00:05:05.047Z,0,,45,,,36.2,
2017-11-11T00:05:25.047Z,0,,,,,36.1,
2017-11-11T00:05:35.047Z,,,44.9,,,,
2017-11-11T00:05:45.259Z,0,,,,,36,
2017-11-11T00:05:55.048Z,0,,,,,36,
2017-11-11T00:06:15.060Z,0,,,,,35.8,
2017-11-11T00:06:35.052Z,0,,,,,35.7,
2017-11-11T00:06:55.051Z,0,,,,,35.5,
2017-11-11T00:07:05.048Z,,,45,,,,
2017-11-11T00:07:15.047Z,0,,,,,35.4,
2017-11-11T00:07:25.054Z,0,,,,,35.3,
2017-11-11T00:07:45.291Z,0,,,,,35.3,
2017-11-11T00:07:55.047Z,0,,,,,35.1,
2017-11-11T00:08:05.048Z,0,,,,,34.9,
2017-11-11T00:08:25.072Z,0,0,45,0,0,34.7,5
2017-11-11T00:08:35.076Z,0,,44.9,,,34.7,
2017-11-11T00:08:45.336Z,0,,,,,34.7,
2017-11-11T00:08:55.047Z,0,,,,,34.6,
2017-11-11T00:09:05.108Z,0,,,,,34.4,
2017-11-11T00:09:25.053Z,0,,44.8,,,34.3,
2017-11-11T00:09:35.050Z,0,,44.8,,,34.3,
2017-11-11T00:09:50.348Z,0,,,,,34.1,
2017-11-11T00:09:55.106Z,0,,,,,34,
2017-11-11T00:10:15.051Z,0,,,,,33.9,
2017-11-11T00:10:25.048Z,,,44.7,,,,
2017-11-11T00:10:35.050Z,0,,,,,33.8,
2017-11-11T00:10:45.258Z,0,,,,,33.7,
2017-11-11T00:10:55.047Z,0,,,,,33.6,
2017-11-11T00:11:05.050Z,0,,44.6,,,33.6,
2017-11-11T00:11:15.085Z,0,,,,,33.5,
2017-11-11T00:11:25.048Z,0,,,,,33.4,
2017-11-11T00:11:35.052Z,0,,44.5,,,33.4,
2017-11-11T00:11:45.218Z,0,,,,,33.3,
2017-11-11T00:11:55.050Z,0,,,,,33.1,
2017-11-11T00:12:15.050Z,0,,44.4,,,32.9,
2017-11-11T00:12:25.048Z,0,,,,,32.9,
2017-11-11T00:12:35.049Z,0,,,,,32.8,
2017-11-11T00:12:45.198Z,0,,44.3,,,32.7,
2017-11-11T00:12:55.048Z,0,,,,,32.6,
2017-11-11T00:13:15.109Z,0,,44.2,,,32.5,
2017-11-11T00:13:30.268Z,0,,,,,32.4,
2017-11-11T00:13:35.051Z,0,,,,,32.4,
2017-11-11T00:13:45.348Z,0,,,,,32.3,
2017-11-11T00:13:55.048Z,0,,,,,32.3,
2017-11-11T00:14:05.051Z,0,,44.1,,,32.2,
2017-11-11T00:14:15.116Z,0,,,,,32.1,
2017-11-11T00:14:25.053Z,0,,,,,32.1,
2017-11-11T00:14:35.050Z,0,,,,,32,
2017-11-11T00:14:45.399Z,0,,44,,,32,
2017-11-11T00:14:55.048Z,0,,,,,31.8,
2017-11-11T00:15:15.053Z,0,,43.9,,,31.8,
2017-11-11T00:15:25.050Z,0,,,,,31.6,
2017-11-11T00:15:45.279Z,0,,,,,31.5,
2017-11-11T00:15:55.129Z,0,,,,,31.4,
2017-11-11T00:16:05.048Z,0,,43.8,,,31.4,
2017-11-11T00:16:15.048Z,0,,,,,31.3,
2017-11-11T00:16:25.051Z,0,,,,,31.3,
2017-11-11T00:16:35.052Z,0,,,,,31.2,
2017-11-11T00:16:45.234Z,0,,,,,31,
2017-11-11T00:16:55.050Z,0,,43.7,,,31,
2017-11-11T00:17:05.050Z,0,,,,,30.9,
2017-11-11T00:17:15.049Z,0,,,,,30.9,
2017-11-11T00:17:25.049Z,0,,,,,30.8,
2017-11-11T00:17:35.050Z,0,,,,,30.8,
2017-11-11T00:17:45.513Z,0,,43.6,,,30.7,
2017-11-11T00:17:55.051Z,0,,,,,30.7,
