Time,PrimTSet,ActPow,HwTSet,HwActive,HwTOutlet,PrimT,ChActive
2018-01-31T00:18:37.640Z,,,0,,23.1,,
2018-01-31T00:18:47.576Z,,,0,,23.1,,
2018-01-31T00:18:57.489Z,,,0,,23.1,,
2018-01-31T00:19:07.485Z,,,0,,23.1,,
2018-01-31T00:19:17.485Z,,,0,,23.1,,
2018-01-31T00:19:27.662Z,,,0,,23.1,,
2018-01-31T00:19:42.576Z,,,0,,23.1,,
2018-01-31T00:19:47.576Z,,,0,,23.1,33.2,
2018-01-31T00:19:57.486Z,,,0,,23.1,,
2018-01-31T00:20:07.487Z,,,0,,23.1,,
2018-01-31T00:20:17.487Z,,,0,,23.1,,
2018-01-31T00:20:27.490Z,,,0,,23.1,,
2018-01-31T00:20:37.486Z,,,0,,23.1,,
2018-01-31T00:20:47.575Z,,,0,,23.1,,
2018-01-31T00:20:57.487Z,,,0,,23,,
2018-01-31T00:21:07.487Z,,,0,,23,,
2018-01-31T00:21:17.486Z,,,0,,23,,
2018-01-31T00:21:27.487Z,,,0,,23.1,,
2018-01-31T00:21:37.486Z,,,0,,23,,
2018-01-31T00:21:47.576Z,,,0,,23,,
2018-01-31T00:21:57.486Z,,,0,,23,,
2018-01-31T00:22:07.486Z,,,0,,23,,
2018-01-31T00:22:17.493Z,,,0,,23,,
2018-01-31T00:22:27.486Z,,,0,,23,33.1,
2018-01-31T00:22:37.486Z,,,0,,23,,
2018-01-31T00:22:47.590Z,,,0,,23,,
2018-01-31T00:22:57.497Z,,,0,,23,,
2018-01-31T00:23:07.486Z,,,0,,23,,
2018-01-31T00:23:17.493Z,,,0,,23,,
2018-01-31T00:23:27.490Z,,,0,,23,,
2018-01-31T00:23:37.487Z,,,0,,23,,
2018-01-31T00:23:47.577Z,,,0,,23,,
2018-01-31T00:23:57.486Z,,,0,,23,,
2018-01-31T00:24:07.487Z,,,0,,23,,
2018-01-31T00:24:17.486Z,,,0,,23,,
2018-01-31T00:24:27.487Z,,,0,,23,,
2018-01-31T00:24:37.493Z,,,0,,23,33.1,
2018-01-31T00:24:47.577Z,,,0,,23,32.9,
2018-01-31T00:24:57.492Z,,,0,,23,,
2018-01-31T00:25:07.486Z,,,0,,23,,
2018-01-31T00:25:17.486Z,,,0,,23,,
2018-01-31T00:25:27.486Z,,,0,,23,,
2018-01-31T00:25:37.489Z,,,0,,23,,
2018-01-31T00:25:47.617Z,,,0,,23,,
2018-01-31T00:25:57.487Z,,,0,,22.8,,
2018-01-31T00:26:07.486Z,,,0,,22.8,,
2018-01-31T00:26:17.494Z,,,0,,22.8,,
2018-01-31T00:26:27.555Z,,,0,,22.8,,
2018-01-31T00:26:37.507Z,,,0,,22.8,,
2018-01-31T00:26:47.587Z,,,0,,22.8,,
2018-01-31T00:26:57.741Z,,,0,,22.8,,
2018-01-31T00:27:07.510Z,,,0,,22.8,32.8,
2018-01-31T00:27:17.489Z,,,0,,22.8,,
2018-01-31T00:27:27.488Z,,,0,,22.8,,
2018-01-31T00:27:37.487Z,,,0,,22.8,,
2018-01-31T00:27:47.577Z,,,0,,22.8,,
2018-01-31T00:27:57.487Z,,,0,,22.8,,
2018-01-31T00:28:07.486Z,,,0,,22.8,,
2018-01-31T00:28:17.487Z,,,0,,22.8,,
2018-01-31T00:28:27.489Z,,,0,,22.8,,
2018-01-31T00:28:37.743Z,,,0,,22.8,,
2018-01-31T00:28:47.578Z,,,0,,22.8,,
2018-01-31T00:28:57.491Z,,,0,,22.8,,
2018-01-31T00:29:07.489Z,,,0,,22.8,,
2018-01-31T00:29:17.487Z,,,0,,22.8,,
2018-01-31T00:29:27.487Z,,,0,,22.8,,
2018-01-31T00:29:37.488Z,,,0,,22.8,,
2018-01-31T00:29:47.577Z,,,0,,22.7,32.7,
2018-01-31T00:29:57.489Z,,,0,,22.7,,
2018-01-31T00:30:07.487Z,,,0,,22.7,,
2018-01-31T00:30:17.487Z,,,0,,22.7,,
2018-01-31T00:30:27.488Z,,,0,,22.7,,
2018-01-31T00:30:37.486Z,,,0,,22.7,,
2018-01-31T00:30:47.577Z,,,0,,22.7,,
2018-01-31T00:30:57.489Z,,,0,,22.7,,
2018-01-31T00:31:07.492Z,,,0,,22.7,,
2018-01-31T00:31:17.487Z,,,0,,22.7,,
2018-01-31T00:31:27.500Z,,,0,,22.7,,
2018-01-31T00:31:37.487Z,,,0,,22.7,,
2018-01-31T00:31:47.577Z,,,0,,22.7,,
2018-01-31T00:31:57.488Z,,,0,,22.7,,
2018-01-31T00:32:07.491Z,,,0,,22.7,,
2018-01-31T00:32:17.488Z,,,0,,22.7,32.6,
2018-01-31T00:32:27.488Z,,,0,,22.7,,
2018-01-31T00:32:37.490Z,,,0,,22.7,,
2018-01-31T00:32:47.581Z,,,0,,22.7,,
2018-01-31T00:32:57.488Z,,,0,,22.7,,
2018-01-31T00:33:07.487Z,,,0,,22.7,,
2018-01-31T00:33:17.487Z,,,0,,22.7,,
2018-01-31T00:33:27.488Z,,,0,,22.7,,
2018-01-31T00:33:37.488Z,,,0,,22.7,,
2018-01-31T00:33:47.579Z,,,0,,22.7,,
2018-01-31T00:33:57.712Z,,,0,,22.7,,
2018-01-31T00:34:07.488Z,,,0,,22.7,,
2018-01-31T00:34:17.488Z,,,0,,22.7,,
2018-01-31T00:34:27.488Z,,,0,,22.6,,
2018-01-31T00:34:37.488Z,,,0,,22.7,,
2018-01-31T00:34:47.635Z,,,0,,22.6,32.5,
2018-01-31T00:34:57.503Z,,,0,,22.6,,
2018-01-31T00:35:07.489Z,,,0,,22.6,,
2018-01-31T00:35:17.489Z,,,0,,22.6,,
2018-01-31T00:35:27.491Z,,,0,,22.6,,
2018-01-31T00:35:37.488Z,,,0,,22.6,,
2018-01-31T00:35:47.579Z,,,0,,22.6,,
2018-01-31T00:35:57.489Z,,,0,,22.6,,
2018-01-31T00:36:07.487Z,,,0,,22.6,,
2018-01-31T00:36:17.488Z,,,0,,22.6,,
2018-01-31T00:36:27.488Z,,,0,,22.6,,
2018-01-31T00:36:37.488Z,,,0,,22.6,,
2018-01-31T00:36:47.591Z,,,0,,22.6,,
2018-01-31T00:36:57.488Z,,,0,,22.6,,
2018-01-31T00:37:07.488Z,,,0,,22.6,32.4,
2018-01-31T00:37:17.488Z,,,0,,22.6,,
2018-01-31T00:37:27.489Z,,,0,,22.6,,
2018-01-31T00:37:37.499Z,,,0,,22.6,,
2018-01-31T00:37:47.578Z,,,0,,22.6,,
2018-01-31T00:37:57.489Z,,,0,,22.6,,
2018-01-31T00:38:07.488Z,,,0,,22.6,,
2018-01-31T00:38:17.488Z,,,0,,22.6,,
2018-01-31T00:38:27.509Z,,,0,,22.6,,
2018-01-31T00:38:37.489Z,,,0,,22.5,,
2018-01-31T00:38:47.580Z,,,0,,22.5,,
2018-01-31T00:38:57.488Z,,,0,,22.5,,
2018-01-31T00:39:07.488Z,,,0,,22.5,,
2018-01-31T00:39:17.510Z,,,0,,22.5,,
2018-01-31T00:39:27.488Z,,,0,,22.5,32.3,
2018-01-31T00:39:37.488Z,,,0,,22.5,,
2018-01-31T00:39:47.578Z,,,0,,22.5,,
2018-01-31T00:39:57.489Z,,,0,,22.5,,
2018-01-31T00:40:07.488Z,,,0,,22.5,,
2018-01-31T00:40:17.491Z,,,0,,22.5,,
2018-01-31T00:40:27.489Z,,,0,,22.5,,
2018-01-31T00:40:37.488Z,,,0,,22.5,,
2018-01-31T00:40:47.579Z,,,0,,22.5,,
2018-01-31T00:40:57.490Z,,,0,,22.5,,
2018-01-31T00:41:07.491Z,,,0,,22.5,,
2018-01-31T00:41:17.496Z,,,0,,22.5,,
2018-01-31T00:41:27.489Z,,,0,,22.5,,
2018-01-31T00:41:37.489Z,,,0,,22.5,,
2018-01-31T00:41:47.580Z,,,0,,22.5,,
2018-01-31T00:41:57.489Z,,,0,,22.5,,
2018-01-31T00:42:07.490Z,,,0,,22.5,,
2018-01-31T00:42:17.488Z,,,0,,22.5,32.2,
2018-01-31T00:42:27.489Z,,,0,,22.5,,
2018-01-31T00:42:37.489Z,,,0,,22.5,,
2018-01-31T00:42:47.579Z,,,0,,22.5,,
2018-01-31T00:42:57.504Z,,,0,,22.4,,
2018-01-31T00:43:07.514Z,,,0,,22.5,,
2018-01-31T00:43:17.508Z,,,0,,22.5,,
2018-01-31T00:43:27.490Z,,,0,,22.4,,
2018-01-31T00:43:37.490Z,,,0,,22.5,,
2018-01-31T00:43:47.587Z,,,0,,22.4,,
2018-01-31T00:43:57.489Z,,,0,,22.4,,
2018-01-31T00:44:07.491Z,,,0,,22.4,,
2018-01-31T00:44:17.490Z,,,0,,22.4,,
2018-01-31T00:44:27.490Z,,,0,,22.4,,
2018-01-31T00:44:37.489Z,,,0,,22.4,,
2018-01-31T00:44:47.580Z,,,0,,22.4,32.1,
2018-01-31T00:44:57.492Z,,,0,,22.4,,
2018-01-31T00:45:07.489Z,,,0,,22.4,,
2018-01-31T00:45:17.490Z,,,0,,22.4,,
2018-01-31T00:45:27.490Z,,,0,,22.4,,
2018-01-31T00:45:37.499Z,,,0,,22.4,,
2018-01-31T00:45:47.580Z,,,0,,22.4,,
2018-01-31T00:45:57.498Z,,,0,,22.4,,
2018-01-31T00:46:07.491Z,,,0,,22.4,,
2018-01-31T00:46:17.490Z,,,0,,22.4,,
2018-01-31T00:46:27.492Z,,,0,,22.4,,
2018-01-31T00:46:37.493Z,,,0,,22.4,,
2018-01-31T00:46:47.579Z,,,0,,22.4,,
2018-01-31T00:46:57.489Z,,,0,,22.4,,
2018-01-31T00:47:07.491Z,,,0,,22.4,,
2018-01-31T00:47:17.490Z,,,0,,22.4,,
2018-01-31T00:47:27.492Z,,,0,,22.4,32,
2018-01-31T00:47:37.491Z,,,0,,22.2,,
2018-01-31T00:47:47.580Z,,,0,,22.2,,
2018-01-31T00:47:57.490Z,,,0,,22.2,,
2018-01-31T00:48:07.490Z,,,0,,22.2,,
2018-01-31T00:48:17.490Z,,,0,,22.2,,
2018-01-31T00:48:27.493Z,,,0,,22.2,,
