Time,PrimTSet,HwTOutlet,HwTSet,HwActive,ActPow,PrimT,ChActive
2017-11-01T00:18:34.837Z,,25.1,0,,,,
2017-11-01T00:18:44.837Z,,25.1,0,,,,
2017-11-01T00:18:54.841Z,,25.1,0,,,,
2017-11-01T00:19:04.837Z,,25.1,0,,,,
2017-11-01T00:19:14.837Z,,25.1,0,,,,
2017-11-01T00:19:24.839Z,,25.1,0,,,,
2017-11-01T00:19:34.837Z,,25.1,0,,,,
2017-11-01T00:19:44.837Z,,25.1,0,,,42.6,
2017-11-01T00:19:54.837Z,,25.1,0,,,,
2017-11-01T00:20:04.838Z,,25.1,0,,,,
2017-11-01T00:20:14.837Z,,25.1,0,,,,
2017-11-01T00:20:24.837Z,,25.1,0,,,,
2017-11-01T00:20:34.837Z,,25,0,,,,
2017-11-01T00:20:44.843Z,,25,0,,,,
2017-11-01T00:20:54.838Z,,25,0,,,,
2017-11-01T00:21:04.838Z,,25,0,,,42.4,
2017-11-01T00:21:14.837Z,,25,0,,,,
2017-11-01T00:21:24.837Z,,25,0,,,,
2017-11-01T00:21:34.837Z,,25,0,,,,
2017-11-01T00:21:44.838Z,,25,0,,,,
2017-11-01T00:21:54.838Z,,25,0,,,,
2017-11-01T00:22:04.838Z,,25,0,,,,
2017-11-01T00:22:15.012Z,,25,0,,,,
2017-11-01T00:22:24.839Z,,25,0,,,42.3,
2017-11-01T00:22:34.839Z,,25,0,,,,
2017-11-01T00:22:44.839Z,,25,0,,,,
2017-11-01T00:22:54.838Z,,25,0,,,,
2017-11-01T00:23:04.839Z,,25,0,,,,
2017-11-01T00:23:14.838Z,,25,0,,,,
2017-11-01T00:23:24.842Z,,24.9,0,,,,
2017-11-01T00:23:34.837Z,,24.9,0,,,,
2017-11-01T00:23:44.837Z,,24.9,0,,,,
2017-11-01T00:23:54.843Z,,24.9,0,,,42.2,
2017-11-01T00:24:04.838Z,,24.9,0,,,,
2017-11-01T00:24:14.840Z,,24.9,0,,,,
2017-11-01T00:24:24.838Z,,24.9,0,,,,
2017-11-01T00:24:34.842Z,,24.9,0,,,,
2017-11-01T00:24:44.838Z,,24.9,0,,,,
2017-11-01T00:24:54.838Z,,24.9,0,,,,
2017-11-01T00:25:04.840Z,,24.9,0,,,,
2017-11-01T00:25:14.840Z,,24.9,0,,,42.1,
2017-11-01T00:25:24.838Z,,24.9,0,,,,
2017-11-01T00:25:34.838Z,,24.9,0,,,,
2017-11-01T00:25:44.838Z,,24.8,0,,,,
2017-11-01T00:25:54.841Z,,24.9,0,,,,
2017-11-01T00:26:04.838Z,,24.9,0,,,,
2017-11-01T00:26:14.838Z,,24.8,0,,,,
2017-11-01T00:26:24.843Z,,24.8,0,,,,
2017-11-01T00:26:34.841Z,,24.8,0,,,42,
2017-11-01T00:26:44.842Z,,24.8,0,,,,
2017-11-01T00:26:54.838Z,,24.8,0,,,,
2017-11-01T00:27:04.838Z,,24.8,0,,,,
2017-11-01T00:27:14.838Z,,24.8,0,,,,
2017-11-01T00:27:24.843Z,,24.8,0,,,,
2017-11-01T00:27:34.838Z,,24.8,0,,,,
2017-11-01T00:27:44.838Z,,24.8,0,,,,
2017-11-01T00:27:54.842Z,,24.8,0,,,41.9,
2017-11-01T00:28:04.838Z,,24.8,0,,,,
2017-11-01T00:28:14.843Z,,24.8,0,,,,
2017-11-01T00:28:24.843Z,,24.8,0,,,,
2017-11-01T00:28:34.838Z,,24.8,0,,,,
2017-11-01T00:28:44.838Z,,24.7,0,,,,
2017-11-01T00:28:54.838Z,,24.7,0,,,,
2017-11-01T00:29:04.844Z,,24.7,0,,,,
2017-11-01T00:29:14.838Z,,24.7,0,,,,
2017-11-01T00:29:24.838Z,,24.7,0,,,41.8,
2017-11-01T00:29:34.861Z,,24.7,0,,,,
2017-11-01T00:29:44.838Z,,24.7,0,,,,
2017-11-01T00:29:54.847Z,,24.7,0,,,,
2017-11-01T00:30:04.839Z,,24.7,0,,,,
2017-11-01T00:30:14.839Z,,24.7,0,,,,
2017-11-01T00:30:24.839Z,,24.7,0,,,,
2017-11-01T00:30:34.839Z,,24.7,0,,,,
2017-11-01T00:30:44.838Z,,24.7,0,,,41.7,
2017-11-01T00:30:54.839Z,,24.7,0,,,,
2017-11-01T00:31:04.839Z,,24.7,0,,,,
2017-11-01T00:31:14.842Z,,24.7,0,,,,
2017-11-01T00:31:24.838Z,,24.7,0,,,,
2017-11-01T00:31:34.839Z,,24.7,0,,,,
2017-11-01T00:31:44.839Z,,24.7,0,,,,
2017-11-01T00:31:54.839Z,,24.5,0,,,,
2017-11-01T00:32:04.839Z,,24.5,0,,,41.6,
2017-11-01T00:32:14.839Z,,24.5,0,,,,
2017-11-01T00:32:24.839Z,,24.5,0,,,,
2017-11-01T00:32:34.844Z,,24.5,0,,,,
2017-11-01T00:32:44.839Z,,24.5,0,,,,
2017-11-01T00:32:54.839Z,,24.5,0,,,,
2017-11-01T00:33:04.839Z,,24.5,0,,,,
2017-11-01T00:33:14.839Z,,24.5,0,,,,
2017-11-01T00:33:24.839Z,,24.5,0,,,,
2017-11-01T00:33:34.840Z,,24.5,0,,,,
2017-11-01T00:33:44.839Z,,24.5,0,,,41.5,
2017-11-01T00:33:54.840Z,,24.5,0,,,,
2017-11-01T00:34:04.839Z,,24.5,0,,,,
2017-11-01T00:34:14.840Z,,24.5,0,,,,
2017-11-01T00:34:24.840Z,,24.5,0,,,,
2017-11-01T00:34:34.840Z,,24.5,0,,,,
2017-11-01T00:34:45.084Z,,24.4,0,,,,
2017-11-01T00:34:54.840Z,,24.4,0,,,,
2017-11-01T00:35:04.841Z,,24.4,0,,,41.4,
2017-11-01T00:35:14.839Z,,24.4,0,,,,
2017-11-01T00:35:24.840Z,,24.4,0,,,,
2017-11-01T00:35:34.839Z,,24.4,0,,,,
2017-11-01T00:35:44.840Z,,24.4,0,,,,
2017-11-01T00:35:54.840Z,,24.4,0,,,,
2017-11-01T00:36:04.839Z,,24.4,0,,,,
2017-11-01T00:36:14.840Z,,24.4,0,,,,
2017-11-01T00:36:24.840Z,,24.4,0,,,,
2017-11-01T00:36:34.840Z,,24.4,0,,,41.3,
2017-11-01T00:36:44.840Z,,24.4,0,,,,
2017-11-01T00:36:54.840Z,,24.4,0,,,,
2017-11-01T00:37:04.840Z,,24.4,0,,,,
2017-11-01T00:37:14.845Z,,24.4,0,,,,
2017-11-01T00:37:24.840Z,,24.4,0,,,,
2017-11-01T00:37:34.840Z,,24.4,0,,,,
2017-11-01T00:37:44.840Z,,24.4,0,,,41.2,
2017-11-01T00:37:54.840Z,,24.4,0,,,41.3,
2017-11-01T00:38:04.840Z,,24.4,0,,,41.2,
2017-11-01T00:38:14.840Z,,24.4,0,,,,
2017-11-01T00:38:24.840Z,,24.3,0,,,,
2017-11-01T00:38:34.842Z,,24.3,0,,,,
2017-11-01T00:38:44.840Z,,24.4,0,,,,
2017-11-01T00:38:54.840Z,,24.3,0,,,,
2017-11-01T00:39:04.840Z,,24.3,0,,,,
2017-11-01T00:39:14.840Z,,24.3,0,,,,
2017-11-01T00:39:24.840Z,,24.3,0,,,41.1,
2017-11-01T00:39:34.844Z,,24.3,0,,,,
2017-11-01T00:39:44.840Z,,24.3,0,,,,
2017-11-01T00:39:54.841Z,,24.3,0,,,,
2017-11-01T00:40:04.840Z,,24.3,0,,,,
2017-11-01T00:40:14.841Z,,24.3,0,,,,
2017-11-01T00:40:24.840Z,,24.3,0,,,,
2017-11-01T00:40:34.841Z,,24.3,0,,,,
2017-11-01T00:40:44.840Z,,24.3,0,,,41,
2017-11-01T00:40:54.840Z,,24.3,0,,,41.1,
2017-11-01T00:41:04.840Z,,24.3,0,,,41,
2017-11-01T00:41:14.841Z,,24.3,0,,,,
2017-11-01T00:41:24.841Z,,24.3,0,,,,
2017-11-01T00:41:34.844Z,,24.3,0,,,,
2017-11-01T00:41:44.842Z,,24.3,0,,,,
2017-11-01T00:41:54.841Z,,24.2,0,,,,
2017-11-01T00:42:04.847Z,,24.2,0,,,,
2017-11-01T00:42:14.841Z,,24.2,0,,,41,
2017-11-01T00:42:24.841Z,,24.2,0,,,40.9,
2017-11-01T00:42:34.841Z,,24.2,0,,,,
2017-11-01T00:42:44.840Z,,24.2,0,,,,
2017-11-01T00:42:54.842Z,,24.2,0,,,,
2017-11-01T00:43:04.841Z,,24.2,0,,,,
2017-11-01T00:43:14.841Z,,24.2,0,,,,
2017-11-01T00:43:24.841Z,,24.2,0,,,,
2017-11-01T00:43:34.840Z,,24.2,0,,,,
2017-11-01T00:43:44.841Z,,24.2,0,,,,
2017-11-01T00:43:54.841Z,,24.2,0,,,40.8,
2017-11-01T00:44:04.841Z,,24.2,0,,,,
2017-11-01T00:44:14.841Z,,24.2,0,,,,
2017-11-01T00:44:24.846Z,,24.2,0,,,,
2017-11-01T00:44:34.841Z,,24.2,0,,,,
2017-11-01T00:44:44.841Z,,24.2,0,,,,
2017-11-01T00:44:54.841Z,,24.2,0,,,,
2017-11-01T00:45:04.842Z,,24.2,0,,,,
2017-11-01T00:45:14.846Z,,24.2,0,,,,
2017-11-01T00:45:24.842Z,,24.2,0,,,40.7,
2017-11-01T00:45:34.841Z,,24.2,0,,,,
2017-11-01T00:45:44.841Z,,24,0,,,,
2017-11-01T00:45:54.841Z,,24,0,,,,
2017-11-01T00:46:04.842Z,,24,0,,,,
2017-11-01T00:46:14.841Z,,24,0,,,,
2017-11-01T00:46:24.841Z,,24,0,,,,
2017-11-01T00:46:34.841Z,,24,0,,,,
2017-11-01T00:46:44.842Z,,24,0,,,,
2017-11-01T00:46:54.843Z,,24,0,,,40.6,
2017-11-01T00:47:04.843Z,,24,0,,,,
2017-11-01T00:47:14.843Z,,24,0,,,,
2017-11-01T00:47:24.841Z,,24,0,,,,
2017-11-01T00:47:34.841Z,,24,0,,,,
2017-11-01T00:47:44.842Z,,24,0,,,,
2017-11-01T00:47:54.842Z,,24,0,,,,
2017-11-01T00:48:04.844Z,,24,0,,,,
2017-11-01T00:48:14.845Z,,24,0,,,,
2017-11-01T00:48:24.844Z,,24,0,,,,
2017-11-01T00:48:34.842Z,,24,0,,,40.5,
2017-11-01T00:48:44.842Z,,24,0,,,,
2017-11-01T00:48:54.844Z,,24,0,,,,
2017-11-01T00:49:04.842Z,,24,0,,,,
2017-11-01T00:49:14.845Z,,24,0,,,,
