Time,HwActive,PrimTSet,HwTSet,HwTOutlet,ChActive,ActPow,PrimT
2018-02-12T00:00:09.088Z,,,0,32.5,,,
2018-02-12T00:00:19.088Z,,,0,32.5,,,
2018-02-12T00:00:29.088Z,,,0,32.5,,,51.1
2018-02-12T00:00:39.089Z,,,0,32.5,,,
2018-02-12T00:00:49.088Z,,,0,32.4,,,
2018-02-12T00:00:59.089Z,,,0,32.4,,,
2018-02-12T00:01:09.088Z,,,0,32.4,,,
2018-02-12T00:01:19.088Z,,,0,32.4,,,
2018-02-12T00:01:29.088Z,,,0,32.3,,,
2018-02-12T00:01:39.090Z,,,0,32.3,,,51
2018-02-12T00:01:49.088Z,,,0,32.3,,,
2018-02-12T00:01:59.089Z,,,0,32.3,,,
2018-02-12T00:02:09.088Z,,,0,32.2,,,
2018-02-12T00:02:19.089Z,,,0,32.2,,,
2018-02-12T00:02:29.088Z,,,0,32.2,,,
2018-02-12T00:02:39.089Z,,,0,32.2,,,50.9
2018-02-12T00:02:49.088Z,,,0,32.1,,,
2018-02-12T00:02:59.088Z,,,0,32.1,,,
2018-02-12T00:03:09.088Z,,,0,32.1,,,
2018-02-12T00:03:19.088Z,,,0,32.1,,,
2018-02-12T00:03:29.213Z,,,0,32,,,
2018-02-12T00:03:39.088Z,,,0,32,,,50.7
2018-02-12T00:03:49.091Z,,,0,32,,,
2018-02-12T00:03:59.090Z,,,0,32,,,
2018-02-12T00:04:09.091Z,,,0,31.9,,,
2018-02-12T00:04:19.093Z,,,0,31.9,,,
2018-02-12T00:04:29.093Z,,,0,31.9,,,50.6
2018-02-12T00:04:39.088Z,,,0,31.9,,,
2018-02-12T00:04:49.089Z,,,0,31.8,,,
2018-02-12T00:04:59.089Z,,,0,31.8,,,
2018-02-12T00:05:09.088Z,,,0,31.8,,,
2018-02-12T00:05:19.092Z,,,0,31.8,,,
2018-02-12T00:05:29.260Z,,,0,31.8,,,
2018-02-12T00:05:39.088Z,,,0,31.6,,,50.5
2018-02-12T00:05:49.090Z,,,0,31.6,,,
2018-02-12T00:05:59.090Z,,,0,31.6,,,
2018-02-12T00:06:09.088Z,,,0,31.5,,,
2018-02-12T00:06:19.089Z,,,0,31.5,,,
2018-02-12T00:06:29.092Z,,,0,31.5,,,
2018-02-12T00:06:39.091Z,,,0,31.5,,,50.4
2018-02-12T00:06:49.090Z,,,0,31.5,,,
2018-02-12T00:06:59.092Z,,,0,31.4,,,
2018-02-12T00:07:09.088Z,,,0,31.4,,,
2018-02-12T00:07:19.090Z,,,0,31.4,,,
2018-02-12T00:07:29.091Z,,,0,31.4,,,
2018-02-12T00:07:39.089Z,,,0,31.3,,,50.3
2018-02-12T00:07:49.092Z,,,0,31.3,,,
2018-02-12T00:07:59.090Z,,,0,31.3,,,
2018-02-12T00:08:09.091Z,,,0,31.3,,,
2018-02-12T00:08:19.088Z,,,0,31.2,,,
2018-02-12T00:08:29.089Z,,,0,31.2,,,
2018-02-12T00:08:39.090Z,,,0,31.2,,,
2018-02-12T00:08:49.089Z,,,0,31.2,,,50.2
2018-02-12T00:08:59.090Z,,,0,31,,,
2018-02-12T00:09:09.089Z,,,0,31,,,
2018-02-12T00:09:19.089Z,,,0,31,,,
2018-02-12T00:09:29.090Z,,,0,31,,,
2018-02-12T00:09:39.089Z,,,0,30.9,,,50.1
2018-02-12T00:09:49.089Z,,,0,30.9,,,
2018-02-12T00:09:59.089Z,,,0,30.9,,,
2018-02-12T00:10:09.090Z,,,0,30.9,,,
2018-02-12T00:10:19.088Z,,,0,30.8,,,
2018-02-12T00:10:29.089Z,,,0,30.8,,,
2018-02-12T00:10:39.090Z,,,0,30.8,,,
2018-02-12T00:10:49.089Z,,,0,30.8,,,50
2018-02-12T00:10:59.089Z,,,0,30.8,,,
2018-02-12T00:11:09.089Z,,,0,30.7,,,
2018-02-12T00:11:19.089Z,,,0,30.7,,,
2018-02-12T00:11:29.126Z,,,0,30.7,,,
2018-02-12T00:11:39.089Z,,,0,30.7,,,
2018-02-12T00:11:49.089Z,,,0,30.6,,,49.9
2018-02-12T00:11:59.090Z,,,0,30.6,,,
2018-02-12T00:12:09.196Z,,,0,30.6,,,
2018-02-12T00:12:19.090Z,,,0,30.6,,,
2018-02-12T00:12:29.094Z,,,0,30.4,,,
2018-02-12T00:12:39.089Z,,,0,30.4,,,
2018-02-12T00:12:54.140Z,,,0,30.4,,,
2018-02-12T00:12:59.090Z,,,0,30.4,,,49.8
2018-02-12T00:13:09.090Z,,,0,30.4,,,
2018-02-12T00:13:19.090Z,,,0,30.3,,,
2018-02-12T00:13:29.091Z,,,0,30.3,,,
2018-02-12T00:13:39.090Z,,,0,30.3,,,
2018-02-12T00:13:49.094Z,,,0,30.3,,,
2018-02-12T00:13:59.092Z,,,0,30.3,,,
2018-02-12T00:14:09.091Z,,,0,30.2,,,49.7
2018-02-12T00:14:19.093Z,,,0,30.2,,,
2018-02-12T00:14:29.090Z,,,0,30.2,,,
2018-02-12T00:14:39.099Z,,,0,30.2,,,
2018-02-12T00:14:49.191Z,,,0,30.1,,,
2018-02-12T00:14:59.092Z,,,0,30.1,,,
