Time,HwTSet,HwActive,PrimTSet,ChActive,PrimT,ActPow,HwTOutlet
2017-11-02T00:17:02.069Z,0,0,,2,51.3,41,34.8
2017-11-02T00:17:12.069Z,0,,,,55,29,34.8
2017-11-02T00:17:22.068Z,0,,,,55.5,,34.8
2017-11-02T00:17:32.071Z,0,,,,56,,34.8
2017-11-02T00:17:42.069Z,0,,,,56.1,,34.8
2017-11-02T00:17:52.069Z,0,,,,,30,34.8
2017-11-02T00:18:02.069Z,0,,,,,,34.8
2017-11-02T00:18:12.069Z,0,,,,,,34.8
2017-11-02T00:18:22.069Z,0,,,,,29,34.7
2017-11-02T00:18:32.069Z,0,,,,56,,34.7
2017-11-02T00:18:42.071Z,0,,,,,,34.7
2017-11-02T00:18:52.069Z,0,,,,56.1,,34.7
2017-11-02T00:19:02.072Z,0,,,,56.3,30,34.7
2017-11-02T00:19:12.069Z,0,,,,56.7,,34.7
2017-11-02T00:19:22.069Z,0,,,,57,,34.7
2017-11-02T00:19:32.069Z,0,,,,57.3,,34.7
2017-11-02T00:19:42.070Z,0,,,,57.7,,34.7
2017-11-02T00:19:52.069Z,0,0,,2,56.9,0,34.6
2017-11-02T00:20:02.070Z,0,,,,53.8,,34.6
2017-11-02T00:20:12.069Z,0,,,,51.9,,34.6
2017-11-02T00:20:22.069Z,0,,,,51.6,,34.6
2017-11-02T00:20:32.070Z,0,,,,51.3,,34.6
2017-11-02T00:20:42.070Z,0,,,,,,34.6
2017-11-02T00:20:52.069Z,0,,,,,,34.5
2017-11-02T00:21:02.069Z,0,,,,51.4,,34.5
2017-11-02T00:21:12.070Z,0,,,,51.5,,34.5
2017-11-02T00:21:22.070Z,0,,,,51.6,,34.5
2017-11-02T00:21:32.074Z,0,,,,51.8,,34.5
2017-11-02T00:21:42.070Z,0,,,,,,34.5
2017-11-02T00:21:52.071Z,0,,,,51.7,,34.5
2017-11-02T00:22:02.069Z,0,,,,51.5,,34.4
2017-11-02T00:22:12.071Z,0,,,,51.2,,34.4
2017-11-02T00:22:22.070Z,0,,,,50.9,,34.4
2017-11-02T00:22:32.070Z,0,,,,50.7,,34.4
2017-11-02T00:22:42.070Z,0,,,,50.5,,34.4
2017-11-02T00:22:52.070Z,0,,,,50.2,,34.4
2017-11-02T00:23:02.070Z,0,,,,49.9,,34.4
2017-11-02T00:23:12.070Z,0,,,,49.6,,34.3
2017-11-02T00:23:22.071Z,0,,,,49.4,,34.3
2017-11-02T00:23:32.070Z,0,,,,49.2,,34.3
2017-11-02T00:23:42.070Z,0,,,,49,,34.3
2017-11-02T00:23:52.071Z,0,,,,48.9,,34.3
2017-11-02T00:24:02.070Z,0,,,,48.8,,34.3
2017-11-02T00:24:12.070Z,0,,,,48.6,,34.3
2017-11-02T00:24:22.075Z,0,,,,48.5,,34.2
2017-11-02T00:24:32.070Z,0,,,,48.4,,34.2
2017-11-02T00:24:42.073Z,0,,,,48.3,,34.2
2017-11-02T00:24:52.070Z,0,,,,48.1,,34.2
2017-11-02T00:25:02.070Z,0,,,,47.9,,34.2
2017-11-02T00:25:12.071Z,0,0,,2,51.4,40,34.1
2017-11-02T00:25:22.071Z,0,,,,55.1,29,34.1
2017-11-02T00:25:32.071Z,0,,,,55.6,,34.1
2017-11-02T00:25:42.072Z,0,,,,56,30,34.1
2017-11-02T00:25:52.070Z,0,,,,56.2,29,34.1
2017-11-02T00:26:02.070Z,0,,,,56.3,,34.1
2017-11-02T00:26:12.070Z,0,,,,,,34.1
2017-11-02T00:26:22.071Z,0,,,,56.2,30,34.1
2017-11-02T00:26:32.077Z,0,,,,,29,34
2017-11-02T00:26:42.071Z,0,,,,56.1,30,34
2017-11-02T00:26:52.070Z,0,,,,,29,34
2017-11-02T00:27:02.070Z,0,,,,,,34
2017-11-02T00:27:12.073Z,0,,,,56.4,30,34
2017-11-02T00:27:22.070Z,0,,,,56.8,29,34
2017-11-02T00:27:32.071Z,0,,,,57.1,30,34
2017-11-02T00:27:42.071Z,0,,,,57.4,29,33.9
2017-11-02T00:27:52.071Z,0,,,,57.8,30,33.9
2017-11-02T00:28:02.075Z,0,0,,2,56.7,0,33.9
2017-11-02T00:28:12.071Z,0,,,,53.7,,33.9
2017-11-02T00:28:22.075Z,0,,,,51.9,,33.9
