Time,ChActive,HwTSet,HwTOutlet,PrimTSet,HwActive,ActPow,PrimT
2017-12-08T09:49:27.313Z,,0,23.4,,,,23.7
2017-12-08T09:49:37.310Z,,0,23.4,,,,
2017-12-08T09:49:47.316Z,,0,23.4,,,,
2017-12-08T09:49:57.319Z,,0,23.4,,,,
2017-12-08T09:50:07.310Z,,0,23.4,,,,
2017-12-08T09:50:17.310Z,,0,23.4,,,,
2017-12-08T09:50:27.316Z,,0,23.4,,,,
2017-12-08T09:50:37.317Z,,0,23.4,,,,
2017-12-08T09:50:47.316Z,,0,23.4,,,,23.6
2017-12-08T09:50:57.324Z,,0,23.3,,,,
2017-12-08T09:51:07.317Z,1,0,23.3,20,0,0,23.6
2017-12-08T09:51:17.308Z,,0,23.3,,,,23.5
2017-12-08T09:51:27.313Z,,0,23.3,,,,
2017-12-08T09:51:37.308Z,,0,23.3,,,,
2017-12-08T09:51:47.342Z,,0,23.3,,,,
2017-12-08T09:51:57.308Z,,0,23.3,,,,23.4
2017-12-08T09:52:07.309Z,,0,23.3,,,,23.5
2017-12-08T09:52:17.308Z,,0,23.3,,,,
2017-12-08T09:52:27.317Z,,0,23.3,,,,
2017-12-08T09:52:37.328Z,,0,23.2,,,,
2017-12-08T09:52:47.318Z,,0,23.2,,,,
2017-12-08T09:52:57.309Z,,0,23.2,,,,
2017-12-08T09:53:07.321Z,,0,23.2,,,,
2017-12-08T09:53:17.308Z,,0,23.2,,,,
2017-12-08T09:53:27.309Z,,0,23.2,,,,
2017-12-08T09:53:37.323Z,,0,23.2,,,,
2017-12-08T09:53:47.309Z,,0,23.2,,,,
2017-12-08T09:53:57.310Z,,0,23.2,,,,
2017-12-08T09:54:07.311Z,,0,23.1,,,,
2017-12-08T09:54:17.316Z,,0,23.1,,,,
2017-12-08T09:54:27.342Z,,0,23.1,,,,
2017-12-08T09:54:37.345Z,,0,23.1,,,,
2017-12-08T09:54:47.319Z,,0,23.1,,,,
2017-12-08T09:54:57.334Z,,0,23.1,,,,
2017-12-08T09:55:07.322Z,,0,23.1,,,,
2017-12-08T09:55:17.326Z,,0,23.1,,,,
2017-12-08T09:55:27.311Z,,0,23.1,,,,
2017-12-08T09:55:37.310Z,,0,23.1,,,,
2017-12-08T09:55:47.327Z,,0,23.1,,,,
2017-12-08T09:55:57.336Z,,0,23,,,,
2017-12-08T09:56:07.328Z,,0,23,,,,
