Time,HwTSet,ActPow,HwTOutlet,HwActive,PrimTSet,ChActive,PrimT
2017-11-21T00:00:05.318Z,0,,24.5,,,,
2017-11-21T00:00:15.317Z,0,,24.5,,,,
2017-11-21T00:00:25.338Z,0,,24.4,,,,
2017-11-21T00:00:35.319Z,0,,24.4,,,,
2017-11-21T00:00:45.319Z,0,,24.4,,,,
2017-11-21T00:00:55.318Z,0,,24.4,,,,
2017-11-21T00:01:05.318Z,0,,24.4,,,,
2017-11-21T00:01:15.317Z,0,,24.4,,,,
2017-11-21T00:01:25.334Z,0,,24.4,,,,
2017-11-21T00:01:35.328Z,0,,24.4,,,,
2017-11-21T00:01:45.321Z,0,,24.4,,,,
2017-11-21T00:01:55.318Z,0,,24.4,,,,
2017-11-21T00:02:05.318Z,0,,24.4,,,,
2017-11-21T00:02:15.317Z,0,,24.4,,,,
2017-11-21T00:02:25.318Z,0,,24.4,,,,
2017-11-21T00:02:35.318Z,0,,24.4,,,,
2017-11-21T00:02:45.320Z,0,,24.4,,,,
2017-11-21T00:02:55.319Z,0,,24.4,,,,
2017-11-21T00:03:05.318Z,0,,24.4,,,,
2017-11-21T00:03:15.321Z,0,,24.4,,,,
2017-11-21T00:03:25.318Z,0,,24.3,,,,
2017-11-21T00:03:35.322Z,0,,24.3,,,,
2017-11-21T00:03:45.318Z,0,,24.3,,,,
2017-11-21T00:03:55.322Z,0,,24.3,,,,
2017-11-21T00:04:05.322Z,0,,24.3,,,,28.8
2017-11-21T00:04:15.318Z,0,,24.3,,,,
2017-11-21T00:04:25.318Z,0,,24.3,,,,
2017-11-21T00:04:35.325Z,0,,24.3,,,,
2017-11-21T00:04:45.318Z,0,,24.3,,,,
2017-11-21T00:04:55.322Z,0,,24.3,,,,
2017-11-21T00:05:05.321Z,0,,24.3,,,,
2017-11-21T00:05:15.322Z,0,,24.3,,,,
2017-11-21T00:05:25.323Z,0,,24.3,,,,
2017-11-21T00:05:35.318Z,0,,24.3,,,,
2017-11-21T00:05:45.344Z,0,,24.3,,,,
2017-11-21T00:05:55.319Z,0,,24.3,,,,
2017-11-21T00:06:05.324Z,0,,24.3,,,,
2017-11-21T00:06:15.324Z,0,,24.3,,,,
2017-11-21T00:06:25.320Z,0,,24.3,,,,
2017-11-21T00:06:35.341Z,0,,24.2,,,,
2017-11-21T00:06:45.318Z,0,,24.2,,,,
2017-11-21T00:06:55.319Z,0,,24.2,,,,
2017-11-21T00:07:05.319Z,0,,24.2,,,,
