Time,PrimT,ChActive,HwTOutlet,PrimTSet,HwActive,HwTSet,ActPow
2017-11-27T00:16:56.730Z,49.1,,33.6,,,0,30
2017-11-27T00:17:06.744Z,49.2,,33.7,,,0,
2017-11-27T00:17:17.049Z,49.5,,33.7,,,0,
2017-11-27T00:17:26.723Z,49.7,,33.7,,,0,
2017-11-27T00:17:36.723Z,,,33.7,,,0,
2017-11-27T00:17:46.726Z,,,33.7,,,0,
2017-11-27T00:17:56.744Z,,,33.7,,,0,
2017-11-27T00:18:06.722Z,49.9,,33.7,,,0,
2017-11-27T00:18:16.723Z,50.1,,33.7,,,0,30
2017-11-27T00:18:26.731Z,50.3,,33.7,,,0,
2017-11-27T00:18:36.728Z,50.6,,33.7,,,0,
2017-11-27T00:18:46.722Z,,,33.7,,,0,29
2017-11-27T00:18:56.722Z,50.4,,33.7,47,,0,30
2017-11-27T00:19:06.725Z,50.3,,33.6,,,0,29
2017-11-27T00:19:16.722Z,50.4,,33.6,48,,0,
2017-11-27T00:19:26.722Z,50.5,,33.6,,,0,30
2017-11-27T00:19:36.722Z,50.9,,33.6,,,0,
2017-11-27T00:19:46.722Z,51,,33.6,,,0,30
2017-11-27T00:19:56.727Z,49.9,1,33.6,47,0,0,0
2017-11-27T00:20:06.723Z,47.4,,33.6,,,0,
2017-11-27T00:20:16.723Z,46.2,,33.6,48,,0,
2017-11-27T00:20:26.723Z,45.6,,33.5,47,,0,
2017-11-27T00:20:36.725Z,45.3,,33.5,48,,0,
2017-11-27T00:20:46.723Z,,,33.5,47,,0,
2017-11-27T00:21:06.722Z,,,33.5,,,0,
2017-11-27T00:21:16.722Z,45.4,,33.5,,,0,
2017-11-27T00:21:26.722Z,,,33.4,,,0,
2017-11-27T00:21:36.722Z,45.3,,33.4,,,0,
2017-11-27T00:21:46.724Z,45.1,,33.4,,,0,
2017-11-27T00:21:56.731Z,44.8,,33.4,,,0,
2017-11-27T00:22:06.723Z,44.6,,33.4,,,0,
2017-11-27T00:22:16.884Z,44.3,,33.4,,,0,
2017-11-27T00:22:26.725Z,44.2,,33.4,,,0,
2017-11-27T00:22:36.729Z,44.1,,33.3,,,0,
2017-11-27T00:22:46.729Z,43.9,,33.3,,,0,
2017-11-27T00:22:56.767Z,43.8,,33.3,,,0,
2017-11-27T00:23:06.722Z,43.6,,33.3,,,0,
2017-11-27T00:23:16.727Z,43.4,,33.3,,,0,
2017-11-27T00:23:26.725Z,43.2,,33.2,,,0,
2017-11-27T00:23:36.724Z,43,,33.2,,,0,
2017-11-27T00:23:46.723Z,42.9,,33.2,,,0,
2017-11-27T00:23:56.725Z,42.8,,33.2,,,0,
2017-11-27T00:24:06.724Z,42.7,,33.2,,,0,
2017-11-27T00:24:16.958Z,42.6,,33.1,,,0,
2017-11-27T00:24:26.723Z,42.4,,33.1,,,0,
2017-11-27T00:24:36.723Z,42.2,,33.1,,,0,
2017-11-27T00:24:46.723Z,42.1,,33.1,,,0,
2017-11-27T00:24:56.723Z,42,,33.1,,,0,
2017-11-27T00:25:06.722Z,41.9,,32.9,,,0,
2017-11-27T00:25:16.962Z,41.7,,32.9,,,0,
2017-11-27T00:25:26.725Z,41.6,,32.9,,,0,
2017-11-27T00:25:36.723Z,41.5,,32.9,,,0,
2017-11-27T00:25:46.723Z,41.4,,32.9,,,0,
2017-11-27T00:25:56.733Z,41.2,,32.8,,,0,
2017-11-27T00:26:06.723Z,41.1,,32.8,,,0,
2017-11-27T00:26:16.729Z,40.9,,32.8,,,0,
2017-11-27T00:26:26.729Z,44,1,32.8,,0,0,41
2017-11-27T00:26:36.725Z,47.2,,32.8,,,0,31
2017-11-27T00:26:46.723Z,47.8,,32.7,,,0,30
2017-11-27T00:26:56.725Z,48,,32.7,,,0,30
2017-11-27T00:27:06.948Z,48.1,,32.7,,,0,29
2017-11-27T00:27:16.723Z,48.2,,32.7,,,0,
2017-11-27T00:27:26.723Z,48.1,,32.7,,,0,30
2017-11-27T00:27:36.723Z,,,32.6,,,0,
2017-11-27T00:27:46.724Z,48,,32.6,,,0,
2017-11-27T00:27:56.730Z,48.1,,32.6,,,0,29
2017-11-27T00:28:06.726Z,48.2,,32.6,,,0,
2017-11-27T00:28:16.723Z,48.5,,32.6,,,0,30
2017-11-27T00:28:26.726Z,48.9,,32.6,,,0,29
2017-11-27T00:28:36.723Z,49.1,,32.5,,,0,
2017-11-27T00:28:46.724Z,49.2,,32.5,,,0,
2017-11-27T00:28:56.723Z,,,32.5,,,0,30
2017-11-27T00:29:06.724Z,49,,32.5,,,0,29
2017-11-27T00:29:16.724Z,49.2,,32.5,,,0,30
2017-11-27T00:29:26.724Z,49.4,,32.5,,,0,29
2017-11-27T00:29:36.943Z,49.7,,32.4,,,0,30
2017-11-27T00:29:46.724Z,49.9,,32.4,,,0,29
2017-11-27T00:29:56.723Z,50.1,,32.4,,,0,29
2017-11-27T00:30:06.726Z,50.3,,32.4,,,0,
2017-11-27T00:30:16.728Z,50.5,,32.4,,,0,
2017-11-27T00:30:26.723Z,50.6,,32.4,,,0,
2017-11-27T00:30:36.723Z,50.9,,32.4,,,0,30
2017-11-27T00:30:46.723Z,50.7,1,32.3,,0,0,0
2017-11-27T00:30:56.725Z,47.3,,32.3,,,0,
2017-11-27T00:31:06.725Z,45.9,,32.3,,,0,
2017-11-27T00:31:16.726Z,45.4,,32.3,,,0,
2017-11-27T00:31:26.723Z,45.1,,32.3,,,0,
2017-11-27T00:31:36.726Z,,,32.3,,,0,
2017-11-27T00:31:46.724Z,45.2,,32.3,,,0,
2017-11-27T00:31:56.723Z,45.3,,32.3,,,0,
2017-11-27T00:32:06.727Z,45.4,,32.3,,,0,
2017-11-27T00:32:16.724Z,,,32.3,,,0,
2017-11-27T00:32:26.724Z,,,32.3,,,0,
2017-11-27T00:32:36.724Z,45.3,,32.2,,,0,
2017-11-27T00:32:46.939Z,45.1,,32.2,,,0,
2017-11-27T00:32:56.724Z,44.8,,32.2,,,0,
2017-11-27T00:33:06.726Z,44.6,,32.2,,,0,
2017-11-27T00:33:16.726Z,44.5,,32.2,,,0,
2017-11-27T00:33:26.728Z,44.4,1,32.2,47,0,0,0
2017-11-27T00:33:36.726Z,44.3,,32.2,,,0,
2017-11-27T00:33:46.724Z,44.1,,32.2,,,0,
2017-11-27T00:33:56.725Z,43.9,,32.2,,,0,
2017-11-27T00:34:06.727Z,43.8,,32.1,,,0,
2017-11-27T00:34:16.728Z,43.6,,32.1,,,0,
2017-11-27T00:34:26.728Z,43.4,,32.1,,,0,
2017-11-27T00:34:36.723Z,43.2,,32.1,,,0,
2017-11-27T00:34:46.723Z,43.1,,32.1,,,0,
2017-11-27T00:34:56.728Z,42.9,,32.1,,,0,
2017-11-27T00:35:06.724Z,42.8,,32.1,,,0,
2017-11-27T00:35:16.725Z,42.7,,32.1,,,0,
2017-11-27T00:35:26.728Z,42.6,,32,,,0,
2017-11-27T00:35:36.723Z,42.4,,32,,,0,
2017-11-27T00:35:46.724Z,42.3,,32,48,,0,
2017-11-27T00:35:56.723Z,42.1,,32,,,0,
2017-11-27T00:36:06.727Z,42,,32,,,0,
2017-11-27T00:36:16.736Z,43,1,32,,0,0,45
2017-11-27T00:36:31.814Z,48.1,,32,,,0,31
2017-11-27T00:36:36.732Z,48.7,,31.9,,,0,29
2017-11-27T00:36:46.729Z,49,,31.9,,,0,30
2017-11-27T00:36:56.724Z,,,31.9,,,0,29
2017-11-27T00:37:06.724Z,49.1,,31.9,,,0,30
2017-11-27T00:37:16.729Z,,,31.9,,,0,
2017-11-27T00:37:26.728Z,49,,31.9,,,0,29
2017-11-27T00:37:36.728Z,48.9,,31.9,,,0,30
2017-11-27T00:37:46.724Z,,,31.9,,,0,
2017-11-27T00:37:56.728Z,49,,31.9,,,0,29
2017-11-27T00:38:06.728Z,49.3,,31.9,,,0,
2017-11-27T00:38:16.728Z,49.6,,31.8,,,0,
2017-11-27T00:38:26.727Z,49.9,,31.8,,,0,
2017-11-27T00:38:36.725Z,50,,31.8,,,0,30
2017-11-27T00:38:46.728Z,49.9,,31.8,,,0,30
2017-11-27T00:38:56.724Z,50,,31.8,,,0,29
2017-11-27T00:39:06.725Z,50.2,,31.8,,,0,30
2017-11-27T00:39:16.724Z,50.3,,31.8,,,0,29
2017-11-27T00:39:26.728Z,50.6,,31.8,,,0,
2017-11-27T00:39:36.729Z,51,,31.8,,,0,29
2017-11-27T00:39:46.963Z,51.3,,31.8,,,0,30
2017-11-27T00:39:56.728Z,51.5,,31.8,,,0,
2017-11-27T00:40:06.725Z,51.7,,31.8,,,0,
2017-11-27T00:40:16.956Z,51.9,,31.6,,,0,
2017-11-27T00:40:26.729Z,50.7,1,31.6,,0,0,0
2017-11-27T00:40:36.726Z,47.8,,31.8,,,0,
2017-11-27T00:40:46.724Z,46.6,,31.8,,,0,
2017-11-27T00:40:56.724Z,46.1,,31.8,,,0,
2017-11-27T00:41:06.729Z,45.9,,31.6,,,0,
2017-11-27T00:41:16.724Z,,,31.6,,,0,
2017-11-27T00:41:26.729Z,46,,31.6,,,0,
2017-11-27T00:41:36.729Z,46.1,,31.6,,,0,
2017-11-27T00:41:46.729Z,46.2,,31.6,,,0,
2017-11-27T00:41:56.733Z,46.3,,31.6,,,0,
2017-11-27T00:42:06.725Z,,,31.6,,,0,
2017-11-27T00:42:16.726Z,46.1,,31.6,,,0,
2017-11-27T00:42:26.725Z,45.8,,31.6,,,0,
2017-11-27T00:42:36.725Z,45.5,,31.6,,,0,
2017-11-27T00:42:46.726Z,45.3,,31.6,,,0,
2017-11-27T00:42:56.745Z,45.2,,31.6,,,0,
2017-11-27T00:43:06.729Z,45.1,,31.6,,,0,
2017-11-27T00:43:16.724Z,44.9,,31.6,,,0,
2017-11-27T00:43:26.724Z,44.8,,31.6,49,,0,
2017-11-27T00:43:36.724Z,44.6,,31.6,,,0,
2017-11-27T00:43:46.726Z,44.4,,31.6,,,0,
2017-11-27T00:43:56.730Z,44.2,,31.6,,,0,
2017-11-27T00:44:06.724Z,43.9,,31.6,,,0,
2017-11-27T00:44:16.723Z,43.8,,31.6,,,0,
2017-11-27T00:44:26.724Z,43.7,,31.6,48,,0,
2017-11-27T00:44:36.724Z,43.5,,31.5,49,,0,
2017-11-27T00:44:46.724Z,43.4,,31.5,48,,0,
2017-11-27T00:44:56.752Z,43.3,,31.5,49,,0,
2017-11-27T00:45:06.910Z,43.2,,31.5,,,0,
2017-11-27T00:45:16.729Z,43,,31.5,47,,0,
2017-11-27T00:45:26.870Z,42.9,,31.5,,,0,
2017-11-27T00:45:36.724Z,42.8,,31.5,,,0,
2017-11-27T00:45:46.724Z,42.6,,31.5,46,,0,
2017-11-27T00:45:56.725Z,42.4,,31.5,47,,0,
2017-11-27T00:46:06.725Z,42.3,,31.5,,,0,
2017-11-27T00:46:16.724Z,42.1,,31.5,,,0,
2017-11-27T00:46:26.730Z,42,,31.5,,,0,
2017-11-27T00:46:36.730Z,41.9,,31.4,,,0,
2017-11-27T00:46:46.724Z,41.7,,31.4,,,0,
2017-11-27T00:46:56.730Z,41.6,,31.4,,,0,
2017-11-27T00:47:06.729Z,41.5,,31.4,,,0,
2017-11-27T00:47:16.730Z,41.4,,31.4,,,0,
2017-11-27T00:47:26.725Z,41.2,,31.4,,,0,
2017-11-27T00:47:36.724Z,41.1,,31.4,,,0,
2017-11-27T00:47:46.724Z,41,,31.4,,,0,
2017-11-27T00:47:56.743Z,44.2,1,31.4,,0,0,41
2017-11-27T00:48:06.725Z,47.2,,31.4,,,0,31
2017-11-27T00:48:16.728Z,48.2,,31.4,,,0,29
2017-11-27T00:48:26.727Z,48.5,,31.3,,,0,
2017-11-27T00:48:36.726Z,48.7,,31.3,,,0,
2017-11-27T00:48:46.725Z,,,31.3,,,0,
2017-11-27T00:48:56.724Z,48.8,,31.3,,,0,
2017-11-27T00:49:06.725Z,48.7,,31.3,,,0,30
2017-11-27T00:49:16.726Z,,,31.3,,,0,
2017-11-27T00:49:26.725Z,,,31.3,,,0,
2017-11-27T00:49:36.732Z,48.8,,31.3,,,0,29
2017-11-27T00:49:46.728Z,49,,31.3,,,0,29
2017-11-27T00:49:56.726Z,49.4,,31.3,,,0,
2017-11-27T00:50:06.900Z,49.7,,31.3,,,0,30
2017-11-27T00:50:16.863Z,49.9,,31.2,,,0,
2017-11-27T00:50:26.724Z,,,31.3,,,0,
2017-11-27T00:50:36.725Z,,,31.2,,,0,29
2017-11-27T00:50:46.725Z,50.1,,31.2,,,0,29
2017-11-27T00:50:56.725Z,50.3,,31.2,,,0,30
2017-11-27T00:51:06.729Z,50.6,,31.2,,,0,29
2017-11-27T00:51:16.727Z,50.9,1,31.2,,0,0,0
2017-11-27T00:51:26.728Z,47.7,,31.2,,,0,
2017-11-27T00:51:36.726Z,45.9,,31.2,,,0,
2017-11-27T00:51:46.725Z,45.5,,31.2,,,0,
2017-11-27T00:51:56.734Z,45.2,,31.2,,,0,
2017-11-27T00:52:06.724Z,45.1,,31.2,,,0,
2017-11-27T00:52:16.725Z,45.2,,31.2,,,0,
2017-11-27T00:52:26.905Z,,,31.2,,,0,
2017-11-27T00:52:36.731Z,45.3,,31.2,,,0,
2017-11-27T00:52:46.725Z,45.4,,31.2,,,0,
2017-11-27T00:52:56.725Z,,,31.2,,,0,
2017-11-27T00:53:06.724Z,,,31.2,,,0,
2017-11-27T00:53:16.726Z,45.2,,31.2,,,0,
2017-11-27T00:53:26.724Z,44.9,,31.2,,,0,
2017-11-27T00:53:36.725Z,44.7,,31.2,,,0,
2017-11-27T00:53:46.725Z,44.5,,31.2,,,0,
2017-11-27T00:53:56.725Z,44.4,,31.2,,,0,
2017-11-27T00:54:06.725Z,44.2,,31.2,,,0,
2017-11-27T00:54:16.725Z,44.1,,31.2,,,0,
2017-11-27T00:54:26.726Z,43.9,,31.2,,,0,
2017-11-27T00:54:36.729Z,43.8,,31.2,,,0,
2017-11-27T00:54:46.728Z,43.6,,31.2,,,0,
2017-11-27T00:54:56.725Z,43.4,,31.2,,,0,
2017-11-27T00:55:06.724Z,43.2,,31,,,0,
2017-11-27T00:55:16.727Z,43,,31,,,0,
