Time,HwTOutlet,HwActive,ActPow,PrimTSet,ChActive,PrimT,HwTSet
2018-01-26T00:18:36.398Z,23.1,,,,,,0
2018-01-26T00:18:46.490Z,23.1,,,,,36.2,0
2018-01-26T00:18:56.404Z,23.1,,,,,,0
2018-01-26T00:19:06.398Z,23.1,,,,,,0
2018-01-26T00:19:16.404Z,23.1,,,,,,0
2018-01-26T00:19:26.399Z,23.1,,,,,,0
2018-01-26T00:19:36.402Z,23.1,,,,,,0
2018-01-26T00:19:46.489Z,23.1,,,,,,0
2018-01-26T00:19:56.398Z,23.1,,,,,,0
2018-01-26T00:20:06.399Z,23.1,,,,,,0
2018-01-26T00:20:16.405Z,23.1,,,,,,0
2018-01-26T00:20:26.398Z,23.1,,,,,,0
2018-01-26T00:20:36.399Z,23.1,,,,,36.1,0
2018-01-26T00:20:46.488Z,23.1,,,,,,0
2018-01-26T00:20:56.399Z,23,,,,,,0
2018-01-26T00:21:06.399Z,23,,,,,,0
2018-01-26T00:21:16.401Z,23,,,,,,0
2018-01-26T00:21:26.398Z,23,,,,,,0
2018-01-26T00:21:36.402Z,23,,,,,,0
2018-01-26T00:21:46.491Z,23,,,,,,0
2018-01-26T00:21:56.407Z,23,,,,,,0
2018-01-26T00:22:06.399Z,23,,,,,36,0
2018-01-26T00:22:16.424Z,23,,,,,36.1,0
2018-01-26T00:22:26.398Z,23,,,,,36,0
2018-01-26T00:22:36.414Z,23,,,,,,0
2018-01-26T00:22:46.490Z,23,,,,,,0
2018-01-26T00:22:56.399Z,23,,,,,,0
2018-01-26T00:23:06.399Z,23,,,,,,0
2018-01-26T00:23:21.419Z,23,,,,,,0
2018-01-26T00:23:26.399Z,23,,,,,,0
2018-01-26T00:23:36.406Z,23,,,,,,0
2018-01-26T00:23:46.489Z,23,,,,,,0
2018-01-26T00:23:56.399Z,23,,,,,36,0
2018-01-26T00:24:06.399Z,22.8,,,,,35.9,0
2018-01-26T00:24:16.400Z,22.8,,,,,35.9,0
2018-01-26T00:24:26.400Z,22.8,,,,,,0
2018-01-26T00:24:36.403Z,22.8,,,,,,0
2018-01-26T00:24:46.488Z,22.8,,,,,,0
2018-01-26T00:24:56.403Z,22.8,,,,,,0
2018-01-26T00:25:06.399Z,22.8,,,,,,0
2018-01-26T00:25:16.399Z,22.8,,,,,,0
2018-01-26T00:25:26.400Z,22.8,,,,,,0
2018-01-26T00:25:36.418Z,22.8,,,,,,0
2018-01-26T00:25:46.489Z,22.8,,,,,,0
2018-01-26T00:25:56.404Z,22.8,,,,,,0
2018-01-26T00:26:06.399Z,22.8,,,,,,0
2018-01-26T00:26:16.400Z,22.8,,,,,35.8,0
2018-01-26T00:26:26.402Z,22.8,,,,,,0
2018-01-26T00:26:36.400Z,22.8,,,,,,0
2018-01-26T00:26:46.489Z,22.8,,,,,,0
2018-01-26T00:26:56.400Z,22.8,,,,,,0
2018-01-26T00:27:06.399Z,22.8,,,,,,0
2018-01-26T00:27:16.684Z,22.8,,,,,,0
2018-01-26T00:27:26.399Z,22.8,,,,,,0
2018-01-26T00:27:36.400Z,22.8,,,,,,0
2018-01-26T00:27:46.489Z,22.8,,,,,,0
2018-01-26T00:27:56.399Z,22.8,,,,,,0
2018-01-26T00:28:06.400Z,22.7,,,,,35.7,0
2018-01-26T00:28:16.400Z,22.8,,,,,,0
2018-01-26T00:28:26.644Z,22.7,,,,,,0
2018-01-26T00:28:36.400Z,22.7,,,,,,0
2018-01-26T00:28:46.491Z,22.7,,,,,,0
2018-01-26T00:28:56.400Z,22.7,,,,,,0
2018-01-26T00:29:06.400Z,22.7,,,,,,0
2018-01-26T00:29:16.402Z,22.7,,,,,,0
2018-01-26T00:29:26.405Z,22.7,,,,,,0
2018-01-26T00:29:36.400Z,22.7,,,,,,0
2018-01-26T00:29:46.489Z,22.7,,,,,35.6,0
2018-01-26T00:29:56.776Z,22.7,,,,,,0
2018-01-26T00:30:06.411Z,22.7,,,,,,0
2018-01-26T00:30:16.401Z,22.7,,,,,,0
2018-01-26T00:30:26.402Z,22.7,,,,,,0
2018-01-26T00:30:36.400Z,22.7,,,,,,0
2018-01-26T00:30:46.490Z,22.7,,,,,,0
2018-01-26T00:30:56.400Z,22.7,,,,,,0
2018-01-26T00:31:06.638Z,22.7,,,,,,0
2018-01-26T00:31:16.400Z,22.7,,,,,,0
2018-01-26T00:31:26.409Z,22.7,,,,,,0
2018-01-26T00:31:36.412Z,22.6,,,,,,0
2018-01-26T00:31:46.489Z,22.6,,,,,,0
2018-01-26T00:31:56.401Z,22.7,,,,,35.5,0
2018-01-26T00:32:06.400Z,22.7,,,,,,0
2018-01-26T00:32:16.400Z,22.6,,,,,,0
2018-01-26T00:32:26.403Z,22.6,,,,,,0
2018-01-26T00:32:36.400Z,22.6,,,,,,0
2018-01-26T00:32:46.490Z,22.6,,,,,,0
2018-01-26T00:32:56.400Z,22.6,,,,,,0
2018-01-26T00:33:06.400Z,22.6,,,,,,0
2018-01-26T00:33:16.400Z,22.6,,,,,,0
2018-01-26T00:33:26.400Z,22.6,,,,,,0
2018-01-26T00:33:36.400Z,22.6,,,,,,0
2018-01-26T00:33:46.489Z,22.6,,,,,35.4,0
2018-01-26T00:33:56.400Z,22.6,,,,,,0
2018-01-26T00:34:06.405Z,22.6,,,,,,0
2018-01-26T00:34:16.400Z,22.6,,,,,,0
2018-01-26T00:34:26.401Z,22.6,,,,,,0
2018-01-26T00:34:36.402Z,22.6,,,,,,0
2018-01-26T00:34:46.604Z,22.6,,,,,,0
2018-01-26T00:34:56.418Z,22.6,,,,,,0
2018-01-26T00:35:06.404Z,22.6,,,,,,0
2018-01-26T00:35:16.400Z,22.6,,,,,,0
2018-01-26T00:35:26.400Z,22.6,,,,,,0
2018-01-26T00:35:36.401Z,22.5,,,,,35.3,0
2018-01-26T00:35:46.518Z,22.6,,,,,,0
2018-01-26T00:35:56.401Z,22.6,,,,,,0
2018-01-26T00:36:06.401Z,22.5,,,,,,0
2018-01-26T00:36:16.401Z,22.6,,,,,,0
2018-01-26T00:36:26.400Z,22.5,,,,,,0
2018-01-26T00:36:36.401Z,22.5,,,,,,0
2018-01-26T00:36:46.517Z,22.5,,,,,,0
2018-01-26T00:36:56.400Z,22.5,,,,,,0
2018-01-26T00:37:06.401Z,22.5,,,,,,0
2018-01-26T00:37:16.401Z,22.5,,,,,,0
2018-01-26T00:37:26.401Z,22.5,,,,,,0
2018-01-26T00:37:36.401Z,22.5,,,,,,0
2018-01-26T00:37:46.491Z,22.5,,,,,35.2,0
2018-01-26T00:37:56.401Z,22.5,,,,,,0
2018-01-26T00:38:06.401Z,22.5,,,,,,0
2018-01-26T00:38:16.401Z,22.5,,,,,,0
2018-01-26T00:38:26.401Z,22.5,,,,,,0
2018-01-26T00:38:36.402Z,22.5,,,,,,0
2018-01-26T00:38:46.491Z,22.5,,,,,,0
2018-01-26T00:38:56.402Z,22.5,,,,,,0
2018-01-26T00:39:06.401Z,22.5,,,,,,0
2018-01-26T00:39:16.401Z,22.5,,,,,,0
2018-01-26T00:39:26.401Z,22.5,,,,,,0
2018-01-26T00:39:36.403Z,22.4,,,,,35.1,0
2018-01-26T00:39:46.491Z,22.4,,,,,,0
2018-01-26T00:39:56.404Z,22.4,,,,,,0
2018-01-26T00:40:06.401Z,22.4,,,,,,0
2018-01-26T00:40:16.401Z,22.4,,,,,,0
2018-01-26T00:40:26.412Z,22.4,,,,,,0
2018-01-26T00:40:36.402Z,22.4,,,,,,0
2018-01-26T00:40:46.496Z,22.4,,,,,,0
2018-01-26T00:40:56.629Z,22.4,,,,,,0
2018-01-26T00:41:06.404Z,22.4,,,,,,0
2018-01-26T00:41:21.421Z,22.4,,,,,,0
2018-01-26T00:41:26.401Z,22.4,,,,,34.9,0
2018-01-26T00:41:36.427Z,22.4,,,,,,0
2018-01-26T00:41:46.492Z,22.4,,,,,,0
2018-01-26T00:41:56.423Z,22.4,,,,,,0
2018-01-26T00:42:06.422Z,22.4,,,,,,0
2018-01-26T00:42:16.429Z,22.4,,,,,,0
2018-01-26T00:42:26.422Z,22.4,,,,,,0
2018-01-26T00:42:36.424Z,22.4,,,,,,0
2018-01-26T00:42:46.492Z,22.4,,,,,,0
2018-01-26T00:42:56.423Z,22.4,,,,,,0
2018-01-26T00:43:06.401Z,22.4,,,,,,0
2018-01-26T00:43:16.402Z,22.4,,,,,,0
2018-01-26T00:43:26.401Z,22.4,,,,,,0
2018-01-26T00:43:42.330Z,22.4,,,,,34.8,0
2018-01-26T00:43:46.501Z,22.4,,,,,,0
2018-01-26T00:43:56.405Z,22.4,,,,,,0
2018-01-26T00:44:11.427Z,22.4,,,,,,0
2018-01-26T00:44:16.403Z,22.4,,,,,,0
2018-01-26T00:44:26.402Z,22.2,,,,,,0
2018-01-26T00:44:36.405Z,22.2,,,,,,0
2018-01-26T00:44:46.524Z,22.2,,,,,,0
2018-01-26T00:44:56.402Z,22.2,,,,,,0
2018-01-26T00:45:06.402Z,22.2,,,,,,0
2018-01-26T00:45:16.404Z,22.2,,,,,34.7,0
2018-01-26T00:45:26.402Z,22.2,,,,,,0
2018-01-26T00:45:36.405Z,22.2,,,,,34.8,0
2018-01-26T00:45:46.492Z,22.2,,,,,34.7,0
2018-01-26T00:45:56.410Z,22.2,,,,,,0
2018-01-26T00:46:06.402Z,22.2,,,,,,0
2018-01-26T00:46:16.402Z,22.2,,,,,,0
2018-01-26T00:46:26.401Z,22.2,,,,,,0
2018-01-26T00:46:36.402Z,22.2,,,,,,0
2018-01-26T00:46:46.492Z,22.2,,,,,,0
2018-01-26T00:46:56.402Z,22.2,,,,,,0
2018-01-26T00:47:06.403Z,22.2,,,,,,0
2018-01-26T00:47:16.402Z,22.2,,,,,,0
2018-01-26T00:47:26.402Z,22.2,,,,,,0
2018-01-26T00:47:36.402Z,22.2,,,,,,0
2018-01-26T00:47:46.706Z,22.2,,,,,34.6,0
2018-01-26T00:47:56.402Z,22.2,,,,,,0
2018-01-26T00:48:06.402Z,22.2,,,,,,0
2018-01-26T00:48:16.402Z,22.2,,,,,,0
2018-01-26T00:48:26.402Z,22.2,,,,,,0
2018-01-26T00:48:36.402Z,22.2,,,,,,0
2018-01-26T00:48:46.494Z,22.1,,,,,,0
2018-01-26T00:48:56.403Z,22.1,,,,,,0
2018-01-26T00:49:06.402Z,22.1,,,,,,0
2018-01-26T00:49:16.402Z,22.1,,,,,,0
2018-01-26T00:49:26.403Z,22.1,,,,,,0
2018-01-26T00:49:36.402Z,22.1,,,,,,0
2018-01-26T00:49:46.495Z,22.1,,,,,34.5,0
2018-01-26T00:49:56.402Z,22.1,,,,,,0
2018-01-26T00:50:06.405Z,22.1,,,,,,0
2018-01-26T00:50:16.402Z,22.1,,,,,,0
2018-01-26T00:50:26.406Z,22.1,,,,,,0
2018-01-26T00:50:36.408Z,22.1,,,,,,0
2018-01-26T00:50:46.493Z,22.1,,,,,,0
2018-01-26T00:50:56.402Z,22.1,,,,,,0
2018-01-26T00:51:06.403Z,22.1,,,,,,0
2018-01-26T00:51:16.403Z,22.1,,,,,,0
2018-01-26T00:51:26.404Z,22.1,,,,,,0
2018-01-26T00:51:36.403Z,22.1,,,,,34.4,0
2018-01-26T00:51:46.492Z,22.1,,,,,34.5,0
2018-01-26T00:51:56.403Z,22.1,,,,,34.4,0
2018-01-26T00:52:06.403Z,22.1,,,,,,0
2018-01-26T00:52:16.403Z,22.1,,,,,,0
2018-01-26T00:52:26.403Z,22.1,,,,,,0
2018-01-26T00:52:36.403Z,22.1,,,,,,0
2018-01-26T00:52:46.492Z,22.1,,,,,,0
2018-01-26T00:52:56.405Z,22.1,,,,,,0
2018-01-26T00:53:06.403Z,22,,,,,,0
