Time,ChActive,HwActive,ActPow,PrimTSet,PrimT,HwTSet,HwTOutlet
2017-12-24T00:18:50.529Z,,,,,,0,25.9
2017-12-24T00:19:00.529Z,,,,,,0,25.9
2017-12-24T00:19:10.529Z,,,,,,0,25.9
2017-12-24T00:19:20.528Z,,,,,,0,25.9
2017-12-24T00:19:30.529Z,,,,,,0,25.9
2017-12-24T00:19:40.529Z,,,,,37.4,0,25.9
2017-12-24T00:19:50.528Z,,,,,,0,25.9
2017-12-24T00:20:00.529Z,,,,,,0,25.9
2017-12-24T00:20:10.530Z,,,,,,0,25.7
2017-12-24T00:20:20.529Z,,,,,,0,25.7
2017-12-24T00:20:30.533Z,,,,,,0,25.7
2017-12-24T00:20:40.533Z,,,,,,0,25.7
2017-12-24T00:20:50.529Z,,,,,,0,25.7
2017-12-24T00:21:00.529Z,,,,,,0,25.7
2017-12-24T00:21:10.529Z,,,,,,0,25.7
2017-12-24T00:21:20.529Z,,,,,,0,25.7
2017-12-24T00:21:30.529Z,,,,,37.3,0,25.6
2017-12-24T00:21:40.529Z,,,,,,0,25.6
2017-12-24T00:21:50.529Z,,,,,,0,25.6
2017-12-24T00:22:00.531Z,,,,,,0,25.6
2017-12-24T00:22:10.529Z,,,,,,0,25.6
2017-12-24T00:22:20.530Z,,,,,,0,25.6
2017-12-24T00:22:30.535Z,,,,,,0,25.6
2017-12-24T00:22:40.529Z,,,,,,0,25.6
2017-12-24T00:22:50.531Z,,,,,,0,25.6
2017-12-24T00:23:00.530Z,,,,,,0,25.6
2017-12-24T00:23:10.533Z,,,,,37.2,0,25.5
2017-12-24T00:23:20.535Z,,,,,37.3,0,25.5
2017-12-24T00:23:30.532Z,,,,,37.2,0,25.5
2017-12-24T00:23:40.529Z,,,,,,0,25.5
2017-12-24T00:23:50.536Z,,,,,,0,25.5
2017-12-24T00:24:00.532Z,,,,,,0,25.5
2017-12-24T00:24:10.535Z,,,,,,0,25.5
2017-12-24T00:24:20.531Z,,,,,,0,25.5
2017-12-24T00:24:30.531Z,,,,,,0,25.5
2017-12-24T00:24:40.530Z,,,,,,0,25.4
2017-12-24T00:24:50.533Z,,,,,,0,25.4
2017-12-24T00:25:00.532Z,,,,,,0,25.4
2017-12-24T00:25:10.531Z,,,,,37.1,0,25.4
2017-12-24T00:25:20.532Z,,,,,,0,25.4
2017-12-24T00:25:30.530Z,,,,,,0,25.4
2017-12-24T00:25:40.530Z,,,,,,0,25.4
2017-12-24T00:25:50.532Z,,,,,,0,25.4
2017-12-24T00:26:00.530Z,,,,,,0,25.4
2017-12-24T00:26:10.538Z,,,,,,0,25.4
2017-12-24T00:26:20.530Z,,,,,,0,25.4
2017-12-24T00:26:30.530Z,,,,,,0,25.3
2017-12-24T00:26:40.530Z,,,,,,0,25.3
2017-12-24T00:26:50.533Z,,,,,,0,25.3
2017-12-24T00:27:00.533Z,,,,,,0,25.3
2017-12-24T00:27:10.534Z,,,,,36.9,0,25.3
2017-12-24T00:27:20.533Z,,,,,36.9,0,25.3
2017-12-24T00:27:30.530Z,,,,,,0,25.3
2017-12-24T00:27:40.530Z,,,,,,0,25.3
2017-12-24T00:27:50.535Z,,,,,,0,25.3
2017-12-24T00:28:00.530Z,,,,,,0,25.1
2017-12-24T00:28:10.535Z,,,,,,0,25.1
2017-12-24T00:28:20.530Z,,,,,,0,25.1
2017-12-24T00:28:30.531Z,,,,,,0,25.1
2017-12-24T00:28:40.531Z,,,,,,0,25.1
2017-12-24T00:28:50.530Z,,,,,,0,25.1
2017-12-24T00:29:00.531Z,,,,,,0,25.1
2017-12-24T00:29:10.531Z,,,,,,0,25.1
2017-12-24T00:29:20.530Z,,,,,36.8,0,25.1
2017-12-24T00:29:30.530Z,,,,,,0,25.1
2017-12-24T00:29:40.531Z,,,,,,0,25
2017-12-24T00:29:50.531Z,,,,,,0,25
2017-12-24T00:30:00.532Z,,,,,,0,25
2017-12-24T00:30:10.531Z,,,,,,0,25
2017-12-24T00:30:20.533Z,,,,,,0,25
2017-12-24T00:30:30.533Z,,,,,,0,25
2017-12-24T00:30:40.531Z,,,,,,0,25
2017-12-24T00:30:50.530Z,,,,,,0,25
2017-12-24T00:31:00.530Z,,,,,,0,25
2017-12-24T00:31:10.530Z,,,,,,0,25
2017-12-24T00:31:20.531Z,,,,,36.7,0,25
2017-12-24T00:31:30.534Z,,,,,,0,25
2017-12-24T00:31:40.536Z,,,,,,0,25
2017-12-24T00:31:50.532Z,,,,,,0,24.9
2017-12-24T00:32:00.531Z,,,,,,0,24.9
2017-12-24T00:32:10.530Z,,,,,,0,24.9
2017-12-24T00:32:20.531Z,,,,,,0,24.9
2017-12-24T00:32:30.531Z,,,,,,0,24.9
2017-12-24T00:32:40.535Z,,,,,,0,24.9
2017-12-24T00:32:50.531Z,,,,,,0,24.9
2017-12-24T00:33:00.531Z,,,,,,0,24.9
2017-12-24T00:33:10.531Z,,,,,36.6,0,24.9
2017-12-24T00:33:20.531Z,,,,,,0,24.9
2017-12-24T00:33:30.531Z,,,,,,0,24.8
2017-12-24T00:33:40.534Z,,,,,,0,24.8
2017-12-24T00:33:50.533Z,,,,,,0,24.8
2017-12-24T00:34:00.534Z,,,,,,0,24.8
2017-12-24T00:34:10.531Z,,,,,,0,24.8
2017-12-24T00:34:20.531Z,,,,,,0,24.8
2017-12-24T00:34:30.532Z,,,,,,0,24.8
2017-12-24T00:34:40.530Z,,,,,,0,24.8
2017-12-24T00:34:50.531Z,,,,,,0,24.8
2017-12-24T00:35:00.536Z,,,,,,0,24.8
2017-12-24T00:35:10.532Z,,,,,36.5,0,24.8
2017-12-24T00:35:20.531Z,,,,,,0,24.7
2017-12-24T00:35:30.531Z,,,,,,0,24.7
2017-12-24T00:35:40.532Z,,,,,,0,24.7
2017-12-24T00:35:50.532Z,,,,,,0,24.7
2017-12-24T00:36:00.531Z,,,,,,0,24.7
2017-12-24T00:36:10.531Z,,,,,,0,24.7
2017-12-24T00:36:20.532Z,,,,,,0,24.7
2017-12-24T00:36:30.532Z,,,,,,0,24.7
2017-12-24T00:36:40.532Z,,,,,,0,24.7
2017-12-24T00:36:50.533Z,,,,,,0,24.7
2017-12-24T00:37:00.531Z,,,,,36.4,0,24.7
2017-12-24T00:37:10.767Z,,,,,,0,24.7
2017-12-24T00:37:20.532Z,,,,,,0,24.5
2017-12-24T00:37:30.533Z,,,,,,0,24.5
2017-12-24T00:37:40.532Z,,,,,,0,24.5
2017-12-24T00:37:50.532Z,,,,,,0,24.5
2017-12-24T00:38:00.532Z,,,,,,0,24.5
2017-12-24T00:38:10.531Z,,,,,,0,24.5
2017-12-24T00:38:20.535Z,,,,,,0,24.5
2017-12-24T00:38:30.539Z,,,,,,0,24.5
2017-12-24T00:38:40.539Z,,,,,,0,24.5
2017-12-24T00:38:50.537Z,,,,,,0,24.5
2017-12-24T00:39:00.532Z,,,,,,0,24.5
2017-12-24T00:39:10.532Z,,,,,36.3,0,24.5
2017-12-24T00:39:20.532Z,,,,,,0,24.5
2017-12-24T00:39:30.532Z,,,,,,0,24.4
2017-12-24T00:39:40.532Z,,,,,,0,24.4
2017-12-24T00:39:50.537Z,,,,,,0,24.4
2017-12-24T00:40:00.533Z,,,,,,0,24.4
2017-12-24T00:40:10.532Z,,,,,,0,24.4
2017-12-24T00:40:20.532Z,,,,,,0,24.4
