Time,HwActive,PrimT,ActPow,HwTSet,HwTOutlet,ChActive,PrimTSet
2017-11-08T00:18:38.406Z,,,,0,26,,
2017-11-08T00:18:48.401Z,,,,0,26,,
2017-11-08T00:18:58.402Z,,,,0,26,,
2017-11-08T00:19:08.402Z,,,,0,26,,
2017-11-08T00:19:23.503Z,,,,0,25.9,,
2017-11-08T00:19:28.672Z,,41.6,,0,25.9,,
2017-11-08T00:19:38.404Z,,,,0,25.9,,
2017-11-08T00:19:48.402Z,,,,0,25.9,,
2017-11-08T00:19:58.403Z,,,,0,25.9,,
2017-11-08T00:20:08.402Z,,,,0,25.9,,
2017-11-08T00:20:18.403Z,,,,0,25.7,,
2017-11-08T00:20:28.598Z,,,,0,25.7,,
2017-11-08T00:20:38.628Z,,,,0,25.7,,
2017-11-08T00:20:48.402Z,,,,0,25.7,,
2017-11-08T00:20:58.402Z,,,,0,25.7,,
2017-11-08T00:21:08.571Z,,41.5,,0,25.7,,
2017-11-08T00:21:18.408Z,,,,0,25.7,,
2017-11-08T00:21:28.495Z,,,,0,25.7,,
2017-11-08T00:21:38.403Z,,,,0,25.6,,
2017-11-08T00:21:48.402Z,,,,0,25.6,,
2017-11-08T00:21:58.410Z,,,,0,25.6,,
2017-11-08T00:22:08.405Z,,,,0,25.6,,
2017-11-08T00:22:18.402Z,,,,0,25.6,,
2017-11-08T00:22:28.482Z,,41.4,,0,25.6,,
2017-11-08T00:22:38.403Z,,,,0,25.6,,
2017-11-08T00:22:48.402Z,,,,0,25.6,,
2017-11-08T00:22:58.414Z,,,,0,25.5,,
2017-11-08T00:23:08.402Z,,,,0,25.5,,
2017-11-08T00:23:18.402Z,,,,0,25.5,,
2017-11-08T00:23:28.533Z,,,,0,25.5,,
2017-11-08T00:23:38.405Z,,,,0,25.5,,
2017-11-08T00:23:48.402Z,,,,0,25.5,,
2017-11-08T00:23:58.403Z,,41.3,,0,25.5,,
2017-11-08T00:24:08.402Z,,,,0,25.5,,
2017-11-08T00:24:18.403Z,,,,0,25.4,,
2017-11-08T00:24:28.493Z,,,,0,25.4,,
2017-11-08T00:24:38.404Z,,,,0,25.4,,
2017-11-08T00:24:48.403Z,,,,0,25.4,,
2017-11-08T00:24:58.407Z,,,,0,25.4,,
2017-11-08T00:25:08.407Z,,,,0,25.4,,
2017-11-08T00:25:18.754Z,,,,0,25.4,,
2017-11-08T00:25:28.584Z,,41.2,,0,25.4,,
2017-11-08T00:25:38.403Z,,,,0,25.3,,
2017-11-08T00:25:48.659Z,,,,0,25.3,,
2017-11-08T00:25:58.404Z,,,,0,25.3,,
2017-11-08T00:26:08.403Z,,,,0,25.3,,
2017-11-08T00:26:18.407Z,,,,0,25.3,,
2017-11-08T00:26:28.583Z,,,,0,25.3,,
2017-11-08T00:26:38.415Z,,,,0,25.3,,
2017-11-08T00:26:48.407Z,,,,0,25.1,,
2017-11-08T00:26:58.414Z,,41.1,,0,25.1,,
2017-11-08T00:27:08.415Z,,,,0,25.1,,
2017-11-08T00:27:18.403Z,,,,0,25.1,,
2017-11-08T00:27:28.611Z,,,,0,25.1,,
2017-11-08T00:27:38.498Z,,,,0,25.1,,
2017-11-08T00:27:48.403Z,,,,0,25.1,,
2017-11-08T00:27:58.404Z,,,,0,25.1,,
2017-11-08T00:28:08.403Z,,,,0,25.1,,
2017-11-08T00:28:18.495Z,,41,,0,25,,
2017-11-08T00:28:28.498Z,,,,0,25,,
2017-11-08T00:28:38.409Z,,,,0,25,,
2017-11-08T00:28:48.403Z,,,,0,25,,
2017-11-08T00:28:58.404Z,,,,0,25,,
2017-11-08T00:29:08.403Z,,,,0,25,,
2017-11-08T00:29:18.404Z,,,,0,25,,
2017-11-08T00:29:28.614Z,,41,,0,25,,
2017-11-08T00:29:38.410Z,,40.9,,0,25,,
2017-11-08T00:29:48.410Z,,,,0,25,,
2017-11-08T00:29:58.404Z,,,,0,24.9,,
2017-11-08T00:30:08.404Z,,,,0,24.9,,
2017-11-08T00:30:18.406Z,,,,0,24.9,,
2017-11-08T00:30:28.584Z,,,,0,24.9,,
2017-11-08T00:30:38.404Z,,,,0,24.9,,
2017-11-08T00:30:48.403Z,,,,0,24.9,,
2017-11-08T00:30:58.416Z,,,,0,24.9,,
2017-11-08T00:31:08.404Z,,40.8,,0,24.9,,
2017-11-08T00:31:18.403Z,,,,0,24.9,,
