Time,HwActive,PrimT,ChActive,HwTOutlet,HwTSet,PrimTSet,ActPow
2017-12-07T00:00:01.020Z,,,,24.5,0,,
2017-12-07T00:00:11.028Z,,,,24.5,0,,
2017-12-07T00:00:21.006Z,,,,24.5,0,,
2017-12-07T00:00:31.007Z,,,,24.5,0,,
2017-12-07T00:00:41.006Z,,,,24.5,0,,
2017-12-07T00:00:51.006Z,,,,24.5,0,,
2017-12-07T00:01:01.009Z,,,,24.5,0,,
2017-12-07T00:01:11.007Z,,,,24.5,0,,
2017-12-07T00:01:21.007Z,,,,24.4,0,,
2017-12-07T00:01:31.008Z,,31.4,,24.5,0,,
2017-12-07T00:01:41.006Z,,,,24.4,0,,
2017-12-07T00:01:51.007Z,,31.5,,24.4,0,,
2017-12-07T00:02:01.006Z,,31.4,,24.4,0,,
2017-12-07T00:02:11.008Z,,,,24.4,0,,
2017-12-07T00:02:21.006Z,,,,24.4,0,,
2017-12-07T00:02:31.008Z,,,,24.4,0,,
2017-12-07T00:02:41.007Z,,,,24.4,0,,
2017-12-07T00:02:51.008Z,,,,24.4,0,,
2017-12-07T00:03:01.007Z,,,,24.4,0,,
2017-12-07T00:03:11.008Z,,,,24.4,0,,
2017-12-07T00:03:21.008Z,,,,24.4,0,,
2017-12-07T00:03:31.008Z,,,,24.4,0,,
2017-12-07T00:03:41.007Z,,,,24.3,0,,
2017-12-07T00:03:51.007Z,,,,24.3,0,,
2017-12-07T00:04:01.008Z,,,,24.3,0,,
2017-12-07T00:04:11.008Z,,,,24.3,0,,
2017-12-07T00:04:21.007Z,,,,24.3,0,,
2017-12-07T00:04:31.010Z,,,,24.3,0,,
2017-12-07T00:04:41.008Z,,31.3,,24.3,0,,
2017-12-07T00:04:51.012Z,,31.4,,24.3,0,,
2017-12-07T00:05:01.010Z,,31.3,,24.3,0,,
2017-12-07T00:05:11.009Z,,,,24.3,0,,
2017-12-07T00:05:21.007Z,,,,24.3,0,,
2017-12-07T00:05:31.009Z,,,,24.3,0,,
2017-12-07T00:05:41.007Z,,,,24.3,0,,
2017-12-07T00:05:51.011Z,,,,24.2,0,,
2017-12-07T00:06:01.007Z,,,,24.2,0,,
2017-12-07T00:06:11.010Z,,,,24.2,0,,
2017-12-07T00:06:21.007Z,,,,24.2,0,,
2017-12-07T00:06:31.008Z,,,,24.2,0,,
2017-12-07T00:06:41.010Z,,,,24.2,0,,
2017-12-07T00:06:51.011Z,,,,24.2,0,,
2017-12-07T00:07:01.007Z,,,,24.2,0,,
2017-12-07T00:07:11.011Z,,,,24.2,0,,
2017-12-07T00:07:21.011Z,,,,24.2,0,,
2017-12-07T00:07:31.007Z,,,,24.2,0,,
2017-12-07T00:07:41.008Z,,,,24.2,0,,
2017-12-07T00:07:51.008Z,,,,24.2,0,,
2017-12-07T00:08:01.012Z,,,,24.2,0,,
2017-12-07T00:08:11.008Z,,,,24.2,0,,
2017-12-07T00:08:21.008Z,,,,24.2,0,,
2017-12-07T00:08:36.029Z,,31.2,,24.2,0,,
2017-12-07T00:08:41.007Z,,,,24,0,,
2017-12-07T00:08:51.008Z,,,,24,0,,
2017-12-07T00:09:01.008Z,,,,24,0,,
2017-12-07T00:09:11.013Z,,,,24,0,,
2017-12-07T00:09:21.007Z,,,,24,0,,
2017-12-07T00:09:31.015Z,,,,24,0,,
2017-12-07T00:09:41.013Z,,,,24,0,,
2017-12-07T00:09:51.009Z,,,,24,0,,
2017-12-07T00:10:06.028Z,,,,24,0,,
2017-12-07T00:10:11.013Z,,,,24,0,,
2017-12-07T00:10:21.010Z,,,,24,0,,
2017-12-07T00:10:31.008Z,,,,24,0,,
2017-12-07T00:10:41.016Z,,,,24,0,,
2017-12-07T00:10:51.008Z,,,,24,0,,
2017-12-07T00:11:01.011Z,,,,24,0,,
2017-12-07T00:11:11.008Z,,,,24,0,,
2017-12-07T00:11:21.009Z,,,,24,0,,
2017-12-07T00:11:36.049Z,,31.1,,24,0,,
2017-12-07T00:11:41.008Z,,,,24,0,,
2017-12-07T00:11:51.008Z,,,,24,0,,
2017-12-07T00:12:01.009Z,,,,24,0,,
2017-12-07T00:12:11.008Z,,,,24,0,,
2017-12-07T00:12:21.008Z,,,,24,0,,
2017-12-07T00:12:31.009Z,,,,24,0,,
2017-12-07T00:12:41.010Z,,,,24,0,,
2017-12-07T00:12:51.008Z,,,,24,0,,
2017-12-07T00:13:01.009Z,,,,23.9,0,,
2017-12-07T00:13:11.014Z,,,,23.9,0,,
2017-12-07T00:13:21.009Z,,,,23.9,0,,
2017-12-07T00:13:31.009Z,,,,23.9,0,,
2017-12-07T00:13:41.008Z,,,,23.9,0,,
2017-12-07T00:13:51.008Z,,,,23.9,0,,
2017-12-07T00:14:01.012Z,,,,23.9,0,,
2017-12-07T00:14:11.008Z,,31.1,,23.9,0,,
2017-12-07T00:14:21.008Z,,,,23.9,0,,
2017-12-07T00:14:31.013Z,,30.9,,23.9,0,,
2017-12-07T00:14:41.009Z,,,,23.9,0,,
2017-12-07T00:14:51.010Z,,30.9,,23.9,0,,
2017-12-07T00:15:01.009Z,,30.9,,23.9,0,,
2017-12-07T00:15:11.009Z,,,,23.9,0,,
2017-12-07T00:15:21.014Z,,,,23.9,0,,
2017-12-07T00:15:31.009Z,,,,23.9,0,,
2017-12-07T00:15:41.010Z,,,,23.9,0,,
2017-12-07T00:15:51.014Z,,,,23.9,0,,
2017-12-07T00:16:01.011Z,,,,23.9,0,,
2017-12-07T00:16:11.008Z,,,,23.9,0,,
2017-12-07T00:16:21.009Z,,,,23.9,0,,
2017-12-07T00:16:31.012Z,,,,23.9,0,,
2017-12-07T00:16:41.009Z,,,,23.9,0,,
2017-12-07T00:16:51.025Z,,,,23.8,0,,
2017-12-07T00:17:01.009Z,,,,23.9,0,,
2017-12-07T00:17:11.008Z,,,,23.8,0,,
2017-12-07T00:17:21.008Z,,,,23.9,0,,
2017-12-07T00:17:31.009Z,,,,23.8,0,,
2017-12-07T00:17:41.009Z,,,,23.8,0,,
