Time,ChActive,HwTSet,ActPow,HwTOutlet,HwActive,PrimT,PrimTSet
2018-02-13T00:00:09.301Z,,0,,25,,,
2018-02-13T00:00:19.304Z,,0,,25,,,
2018-02-13T00:00:29.303Z,,0,,25,,,
2018-02-13T00:00:39.302Z,,0,,25,,,
2018-02-13T00:00:49.322Z,,0,,25,,43.8,
2018-02-13T00:00:59.303Z,,0,,25,,,
2018-02-13T00:01:09.302Z,,0,,25,,,
2018-02-13T00:01:19.303Z,,0,,25,,,
2018-02-13T00:01:29.304Z,,0,,25,,,
2018-02-13T00:01:39.302Z,,0,,24.9,,,
2018-02-13T00:01:49.303Z,,0,,24.9,,,
2018-02-13T00:01:59.301Z,,0,,24.9,,43.7,
2018-02-13T00:02:09.304Z,,0,,24.9,,,
2018-02-13T00:02:24.392Z,,0,,24.9,,,
2018-02-13T00:02:29.302Z,,0,,24.9,,,
2018-02-13T00:02:39.302Z,,0,,24.9,,,
2018-02-13T00:02:49.327Z,,0,,24.9,,,
2018-02-13T00:02:59.304Z,,0,,24.9,,,
2018-02-13T00:03:09.302Z,,0,,24.9,,43.6,
2018-02-13T00:03:19.302Z,,0,,24.9,,,
2018-02-13T00:03:29.307Z,,0,,24.8,,,
2018-02-13T00:03:39.302Z,,0,,24.8,,,
2018-02-13T00:03:49.303Z,,0,,24.8,,,
2018-02-13T00:03:59.303Z,,0,,24.8,,,
2018-02-13T00:04:09.302Z,,0,,24.8,,,
2018-02-13T00:04:19.302Z,,0,,24.8,,,
2018-02-13T00:04:29.313Z,,0,,24.8,,,
2018-02-13T00:04:39.302Z,,0,,24.8,,43.5,
2018-02-13T00:04:49.302Z,,0,,24.8,,,
2018-02-13T00:04:59.303Z,,0,,24.8,,,
2018-02-13T00:05:09.306Z,,0,,24.8,,,
2018-02-13T00:05:19.303Z,,0,,24.7,,,
2018-02-13T00:05:29.305Z,,0,,24.7,,,
2018-02-13T00:05:39.302Z,,0,,24.7,,43.4,
2018-02-13T00:05:49.307Z,,0,,24.7,,,
2018-02-13T00:05:59.304Z,,0,,24.7,,,
2018-02-13T00:06:09.419Z,,0,,24.7,,,
2018-02-13T00:06:19.309Z,,0,,24.7,,,
2018-02-13T00:06:29.336Z,,0,,24.7,,,
2018-02-13T00:06:39.303Z,,0,,24.7,,,
2018-02-13T00:06:49.302Z,,0,,24.7,,,
2018-02-13T00:06:59.308Z,,0,,24.7,,43.3,
2018-02-13T00:07:09.315Z,,0,,24.7,,,
2018-02-13T00:07:19.302Z,,0,,24.7,,,
2018-02-13T00:07:29.306Z,,0,,24.8,,,
2018-02-13T00:07:39.340Z,,0,,24.8,,,
2018-02-13T00:07:49.302Z,,0,,24.8,,,
2018-02-13T00:07:59.303Z,,0,,24.8,,,
2018-02-13T00:08:09.425Z,,0,,24.8,,43.2,
2018-02-13T00:08:19.307Z,,0,,24.8,,,
2018-02-13T00:08:29.336Z,,0,,24.8,,,
2018-02-13T00:08:39.302Z,,0,,24.8,,,
2018-02-13T00:08:49.306Z,,0,,24.8,,,
2018-02-13T00:08:59.303Z,,0,,24.8,,,
2018-02-13T00:09:09.303Z,,0,,24.8,,,
2018-02-13T00:09:19.314Z,,0,,24.8,,,
2018-02-13T00:09:29.305Z,,0,,24.8,,43.1,
2018-02-13T00:09:39.309Z,,0,,24.8,,,
2018-02-13T00:09:49.315Z,,0,,24.8,,,
2018-02-13T00:09:59.303Z,,0,,24.8,,,
2018-02-13T00:10:09.303Z,,0,,24.8,,,
2018-02-13T00:10:19.303Z,,0,,24.8,,,
2018-02-13T00:10:29.410Z,,0,,24.8,,,
2018-02-13T00:10:39.309Z,,0,,24.8,,,
2018-02-13T00:10:49.304Z,,0,,24.8,,43,
2018-02-13T00:10:59.303Z,,0,,24.8,,,
2018-02-13T00:11:09.303Z,,0,,24.8,,,
2018-02-13T00:11:19.304Z,,0,,24.8,,,
2018-02-13T00:11:29.308Z,,0,,24.8,,,
2018-02-13T00:11:39.308Z,,0,,24.8,,,
2018-02-13T00:11:49.307Z,,0,,24.8,,42.9,
2018-02-13T00:11:59.303Z,,0,,24.8,,,
2018-02-13T00:12:09.316Z,,0,,24.7,,,
2018-02-13T00:12:19.304Z,,0,,24.7,,,
2018-02-13T00:12:29.303Z,,0,,24.7,,,
