Time,HwTSet,ChActive,HwTOutlet,ActPow,PrimT,HwActive,PrimTSet
2017-11-03T00:18:02.308Z,0,,29,,,,
2017-11-03T00:18:12.309Z,0,,28.9,,,,
2017-11-03T00:18:22.308Z,0,,28.9,,,,
2017-11-03T00:18:32.309Z,0,,28.9,,,,
2017-11-03T00:18:42.311Z,0,,28.9,,,,
2017-11-03T00:18:52.308Z,0,,28.9,,40.1,,
2017-11-03T00:19:02.308Z,0,,28.9,,,,
2017-11-03T00:19:12.312Z,0,,28.9,,,,
2017-11-03T00:19:22.308Z,0,,28.9,,,,
2017-11-03T00:19:32.308Z,0,,28.9,,,,
2017-11-03T00:19:42.308Z,0,,28.9,,,,
2017-11-03T00:19:52.308Z,0,,28.9,,,,
2017-11-03T00:20:02.314Z,0,,28.9,,,,
2017-11-03T00:20:12.308Z,0,,28.9,,40,,
2017-11-03T00:20:22.314Z,0,,28.9,,,,
2017-11-03T00:20:32.309Z,0,,28.9,,,,
2017-11-03T00:20:42.313Z,0,,28.9,,,,
2017-11-03T00:20:52.309Z,0,,28.9,,,,
2017-11-03T00:21:02.309Z,0,,28.9,,,,
2017-11-03T00:21:12.308Z,0,,28.9,,39.9,,
2017-11-03T00:21:22.309Z,0,,28.7,,,,
2017-11-03T00:21:32.313Z,0,,28.7,,,,
2017-11-03T00:21:42.309Z,0,,28.7,,,,
2017-11-03T00:21:52.309Z,0,,28.7,,,,
2017-11-03T00:22:02.309Z,0,,28.7,,,,
2017-11-03T00:22:12.309Z,0,,28.7,,,,
2017-11-03T00:22:22.311Z,0,,28.7,,,,
2017-11-03T00:22:32.310Z,0,,28.7,,39.8,,
2017-11-03T00:22:42.309Z,0,,28.7,,,,
2017-11-03T00:22:52.309Z,0,,28.7,,,,
2017-11-03T00:23:02.310Z,0,,28.7,,,,
2017-11-03T00:23:12.309Z,0,,28.7,,,,
2017-11-03T00:23:22.309Z,0,,28.7,,,,
2017-11-03T00:23:32.310Z,0,,28.7,,,,
2017-11-03T00:23:42.309Z,0,,28.6,,,,
2017-11-03T00:23:52.313Z,0,,28.6,,,,
2017-11-03T00:24:02.309Z,0,,28.6,,39.7,,
2017-11-03T00:24:12.309Z,0,,28.6,,,,
2017-11-03T00:24:22.516Z,0,,28.6,,,,
2017-11-03T00:24:32.309Z,0,,28.6,,,,
2017-11-03T00:24:42.309Z,0,,28.6,,,,
2017-11-03T00:24:52.309Z,0,,28.6,,,,
2017-11-03T00:25:02.309Z,0,,28.6,,,,
2017-11-03T00:25:12.309Z,0,,28.6,,,,
2017-11-03T00:25:22.310Z,0,,28.6,,,,
2017-11-03T00:25:32.310Z,0,,28.6,,39.6,,
2017-11-03T00:25:42.313Z,0,,28.6,,,,
2017-11-03T00:25:52.312Z,0,,28.5,,,,
2017-11-03T00:26:02.309Z,0,,28.5,,,,
2017-11-03T00:26:12.309Z,0,,28.5,,,,
2017-11-03T00:26:27.411Z,0,,28.5,,,,
2017-11-03T00:26:32.313Z,0,,28.5,,,,
2017-11-03T00:26:42.310Z,0,,28.5,,,,
2017-11-03T00:26:52.309Z,0,,28.5,,,,
2017-11-03T00:27:02.309Z,0,,28.5,,39.5,,
2017-11-03T00:27:12.310Z,0,,28.5,,,,
2017-11-03T00:27:22.315Z,0,,28.5,,,,
2017-11-03T00:27:32.309Z,0,,28.4,,,,
2017-11-03T00:27:42.309Z,0,,28.4,,,,
2017-11-03T00:27:52.310Z,0,,28.4,,,,
2017-11-03T00:28:02.311Z,0,,28.4,,,,
2017-11-03T00:28:12.310Z,0,,28.4,,,,
2017-11-03T00:28:22.318Z,0,,28.4,,,,
2017-11-03T00:28:32.310Z,0,,28.4,,39.4,,
2017-11-03T00:28:42.310Z,0,,28.4,,,,
2017-11-03T00:28:52.311Z,0,,28.4,,,,
2017-11-03T00:29:02.309Z,0,,28.4,,,,
2017-11-03T00:29:12.310Z,0,,28.4,,,,
2017-11-03T00:29:22.310Z,0,,28.3,,,,
2017-11-03T00:29:32.310Z,0,,28.3,,,,
2017-11-03T00:29:42.495Z,0,,28.3,,,,
2017-11-03T00:29:52.500Z,0,,28.3,,,,
2017-11-03T00:30:02.310Z,0,,28.3,,,,
2017-11-03T00:30:12.312Z,0,,28.3,,,,
2017-11-03T00:30:22.310Z,0,,28.3,,,,
2017-11-03T00:30:32.310Z,0,,28.3,,39.3,,
2017-11-03T00:30:47.404Z,0,,28.3,,,,
2017-11-03T00:30:52.310Z,0,,28.3,,,,
2017-11-03T00:31:02.311Z,0,,28.1,,,,
2017-11-03T00:31:12.310Z,0,,28.1,,,,
2017-11-03T00:31:22.313Z,0,,28.1,,,,
2017-11-03T00:31:32.310Z,0,1,28.1,,,0,45
2017-11-03T00:31:42.329Z,0,0,28.1,0,44.1,0,5
2017-11-03T00:31:52.316Z,0,,28.1,,38.8,,
2017-11-03T00:32:02.310Z,0,,28.1,,37.9,,
2017-11-03T00:32:12.311Z,0,1,28.1,,35.9,0,45
2017-11-03T00:32:22.325Z,0,1,28.1,39,39.5,0,
2017-11-03T00:32:32.311Z,0,,28.1,30,43.1,,
2017-11-03T00:32:42.311Z,0,,28.1,29,41.9,,
2017-11-03T00:32:52.311Z,0,,28,30,41.8,,
2017-11-03T00:33:02.310Z,0,,28,29,41.6,,
2017-11-03T00:33:12.312Z,0,,28,30,41.5,,
