Time,PrimTSet,PrimT,HwActive,ChActive,HwTSet,ActPow,HwTOutlet
2017-11-06T00:18:36.976Z,,,,,0,,28.3
2017-11-06T00:18:46.976Z,,,,,0,,28.3
2017-11-06T00:18:56.978Z,,,,,0,,28.3
2017-11-06T00:19:07.023Z,,,,,0,,28.3
2017-11-06T00:19:16.989Z,,,,,0,,28.3
2017-11-06T00:19:26.977Z,,,,,0,,28.3
2017-11-06T00:19:36.984Z,,44.4,,,0,,28.1
2017-11-06T00:19:46.978Z,,,,,0,,28.1
2017-11-06T00:19:56.977Z,,,,,0,,28.1
2017-11-06T00:20:07.025Z,,,,,0,,28.1
2017-11-06T00:20:16.977Z,,,,,0,,28.1
2017-11-06T00:20:26.987Z,,,,,0,,28
2017-11-06T00:20:36.977Z,,44.3,,,0,,28
2017-11-06T00:20:46.977Z,,,,,0,,28
2017-11-06T00:20:56.993Z,,,,,0,,28
2017-11-06T00:21:06.977Z,,,,,0,,28
2017-11-06T00:21:17.002Z,,,,,0,,28
2017-11-06T00:21:26.977Z,,,,,0,,28
2017-11-06T00:21:36.987Z,,,,,0,,27.9
2017-11-06T00:21:46.983Z,,,,,0,,27.9
2017-11-06T00:21:56.982Z,,44.2,,,0,,27.9
2017-11-06T00:22:06.984Z,,,,,0,,27.9
2017-11-06T00:22:16.982Z,,,,,0,,27.9
2017-11-06T00:22:27.062Z,,,,,0,,27.9
2017-11-06T00:22:37.057Z,,,,,0,,27.8
2017-11-06T00:22:46.978Z,,,,,0,,27.8
2017-11-06T00:22:56.989Z,,,,,0,,27.8
2017-11-06T00:23:06.978Z,,,,,0,,27.8
2017-11-06T00:23:16.979Z,,44.1,,,0,,27.8
2017-11-06T00:23:27.010Z,,,,,0,,27.7
2017-11-06T00:23:36.978Z,,,,,0,,27.7
2017-11-06T00:23:46.978Z,,,,,0,,27.7
2017-11-06T00:23:56.979Z,,,,,0,,27.7
2017-11-06T00:24:06.977Z,,,,,0,,27.7
2017-11-06T00:24:17.010Z,,,,,0,,27.7
2017-11-06T00:24:26.979Z,,,,,0,,27.5
2017-11-06T00:24:36.985Z,,44,,,0,,27.5
2017-11-06T00:24:46.978Z,,,,,0,,27.5
2017-11-06T00:24:56.978Z,,,,,0,,27.5
2017-11-06T00:25:06.980Z,,,,,0,,27.5
2017-11-06T00:25:16.980Z,,,,,0,,27.5
2017-11-06T00:25:26.978Z,,,,,0,,27.4
2017-11-06T00:25:36.990Z,,,,,0,,27.4
2017-11-06T00:25:47.194Z,,44,,,0,,27.4
2017-11-06T00:25:56.979Z,,43.9,,,0,,27.4
2017-11-06T00:26:06.981Z,,,,,0,,27.4
2017-11-06T00:26:16.986Z,,,,,0,,27.4
2017-11-06T00:26:26.983Z,,,,,0,,27.4
2017-11-06T00:26:36.980Z,,,,,0,,27.3
2017-11-06T00:26:46.999Z,,,,,0,,27.3
2017-11-06T00:26:56.992Z,,,,,0,,27.3
2017-11-06T00:27:06.982Z,,43.8,,,0,,27.3
2017-11-06T00:27:16.998Z,,,,,0,,27.3
2017-11-06T00:27:26.981Z,,,,,0,,27.3
2017-11-06T00:27:36.990Z,,,,,0,,27.2
2017-11-06T00:27:46.983Z,,,,,0,,27.2
2017-11-06T00:27:56.995Z,,,,,0,,27.2
2017-11-06T00:28:06.986Z,,,,,0,,27.2
2017-11-06T00:28:17.209Z,,,,,0,,27.2
2017-11-06T00:28:26.979Z,,43.7,,,0,,27.2
2017-11-06T00:28:36.978Z,,,,,0,,27.1
2017-11-06T00:28:46.983Z,,,,,0,,27.1
2017-11-06T00:28:56.983Z,,,,,0,,27.1
2017-11-06T00:29:06.979Z,,,,,0,,27.1
2017-11-06T00:29:16.982Z,,,,,0,,27.1
2017-11-06T00:29:26.978Z,,,,,0,,27.1
2017-11-06T00:29:36.984Z,,,,,0,,27.1
2017-11-06T00:29:46.994Z,,,,,0,,26.9
2017-11-06T00:29:56.978Z,,43.6,,,0,,26.9
2017-11-06T00:30:06.990Z,,,,,0,,26.9
2017-11-06T00:30:16.988Z,,,,,0,,26.9
2017-11-06T00:30:26.978Z,,,,,0,,26.9
2017-11-06T00:30:36.990Z,,,,,0,,26.9
2017-11-06T00:30:46.986Z,,,,,0,,26.9
2017-11-06T00:30:56.984Z,,,,,0,,26.8
2017-11-06T00:31:06.985Z,,43.5,,,0,,26.8
2017-11-06T00:31:16.978Z,,,,,0,,26.8
2017-11-06T00:31:26.985Z,,,,,0,,26.8
2017-11-06T00:31:36.984Z,,,,,0,,26.8
2017-11-06T00:31:46.985Z,,,,,0,,26.8
2017-11-06T00:31:56.979Z,,,,,0,,26.7
2017-11-06T00:32:06.994Z,,,,,0,,26.7
2017-11-06T00:32:16.986Z,,,,,0,,26.7
2017-11-06T00:32:26.979Z,,43.4,,,0,,26.7
2017-11-06T00:32:36.988Z,,,,,0,,26.7
2017-11-06T00:32:46.982Z,,,,,0,,26.7
2017-11-06T00:32:56.978Z,,,,,0,,26.7
2017-11-06T00:33:06.979Z,,,,,0,,26.7
2017-11-06T00:33:16.979Z,,,,,0,,26.6
2017-11-06T00:33:26.978Z,,,,,0,,26.6
2017-11-06T00:33:36.982Z,,43.3,,,0,,26.6
2017-11-06T00:33:46.979Z,,,,,0,,26.6
2017-11-06T00:33:56.979Z,,,,,0,,26.6
2017-11-06T00:34:06.984Z,,,,,0,,26.6
2017-11-06T00:34:16.988Z,,,,,0,,26.6
2017-11-06T00:34:27.035Z,,,,,0,,26.5
2017-11-06T00:34:36.979Z,,,,,0,,26.5
2017-11-06T00:34:46.979Z,,,,,0,,26.5
2017-11-06T00:34:56.979Z,,,,,0,,26.5
2017-11-06T00:35:06.984Z,,,,,0,,26.5
2017-11-06T00:35:16.980Z,,43.2,,,0,,26.5
2017-11-06T00:35:26.983Z,,,,,0,,26.3
2017-11-06T00:35:36.980Z,,,,,0,,26.3
2017-11-06T00:35:47.109Z,,,,,0,,26.3
2017-11-06T00:35:57.042Z,,,,,0,,26.3
2017-11-06T00:36:06.981Z,,,,,0,,26.3
2017-11-06T00:36:17.053Z,,,,,0,,26.3
2017-11-06T00:36:26.981Z,,43.1,,,0,,26.3
2017-11-06T00:36:36.979Z,,,,,0,,26.3
2017-11-06T00:36:46.985Z,,,,,0,,26.2
2017-11-06T00:36:57.018Z,,,,,0,,26.2
2017-11-06T00:37:06.984Z,,,,,0,,26.2
2017-11-06T00:37:16.981Z,,,,,0,,26.2
2017-11-06T00:37:26.980Z,,,,,0,,26.2
2017-11-06T00:37:36.980Z,,,,,0,,26.2
2017-11-06T00:37:46.979Z,,43,,,0,,26.2
2017-11-06T00:37:56.985Z,,,,,0,,26.2
2017-11-06T00:38:07.000Z,,,,,0,,26.1
2017-11-06T00:38:16.979Z,,,,,0,,26.1
2017-11-06T00:38:27.045Z,,,,,0,,26.1
2017-11-06T00:38:36.981Z,,,,,0,,26.1
2017-11-06T00:38:46.994Z,,,,,0,,26.1
2017-11-06T00:38:57.000Z,,,,,0,,26.1
2017-11-06T00:39:06.986Z,,42.9,,,0,,26.1
2017-11-06T00:39:17.081Z,,,,,0,,26.1
2017-11-06T00:39:26.981Z,,,,,0,,26
2017-11-06T00:39:36.980Z,,,,,0,,26
2017-11-06T00:39:46.987Z,,,,,0,,26
2017-11-06T00:39:56.982Z,,,,,0,,26
2017-11-06T00:40:07.048Z,,,,,0,,26
2017-11-06T00:40:16.980Z,,,,,0,,26
2017-11-06T00:40:26.984Z,,,,,0,,26
2017-11-06T00:40:36.984Z,,42.8,,,0,,26
2017-11-06T00:40:47.006Z,,,,,0,,25.9
2017-11-06T00:40:56.979Z,,,,,0,,25.9
2017-11-06T00:41:06.980Z,,,,,0,,25.9
2017-11-06T00:41:16.981Z,,,,,0,,25.9
2017-11-06T00:41:26.991Z,,,,,0,,25.9
2017-11-06T00:41:36.980Z,,,,,0,,25.9
2017-11-06T00:41:46.980Z,,,,,0,,25.9
2017-11-06T00:41:56.980Z,,42.7,,,0,,25.9
2017-11-06T00:42:06.980Z,,,,,0,,25.7
2017-11-06T00:42:16.984Z,,,,,0,,25.7
2017-11-06T00:42:26.980Z,,,,,0,,25.7
2017-11-06T00:42:36.980Z,,,,,0,,25.7
2017-11-06T00:42:46.981Z,,,,,0,,25.7
2017-11-06T00:42:56.981Z,,,,,0,,25.7
2017-11-06T00:43:06.998Z,,,,,0,,25.7
2017-11-06T00:43:16.980Z,,42.6,,,0,,25.6
2017-11-06T00:43:26.988Z,,,,,0,,25.6
2017-11-06T00:43:36.985Z,,,,,0,,25.6
2017-11-06T00:43:46.983Z,,,,,0,,25.6
2017-11-06T00:43:56.985Z,,,,,0,,25.6
2017-11-06T00:44:06.981Z,,,,,0,,25.6
2017-11-06T00:44:16.981Z,,,,,0,,25.6
2017-11-06T00:44:26.985Z,,,,,0,,25.6
2017-11-06T00:44:36.981Z,,42.4,,,0,,25.6
2017-11-06T00:44:47.009Z,,,,,0,,25.6
2017-11-06T00:44:56.982Z,,,,,0,,25.5
2017-11-06T00:45:06.980Z,,,,,0,,25.5
2017-11-06T00:45:16.984Z,,,,,0,,25.5
2017-11-06T00:45:26.981Z,,,,,0,,25.5
2017-11-06T00:45:36.992Z,,,,,0,,25.5
2017-11-06T00:45:46.980Z,,,,,0,,25.5
2017-11-06T00:45:56.985Z,,42.3,,,0,,25.5
2017-11-06T00:46:06.981Z,,,,,0,,25.5
2017-11-06T00:46:16.981Z,,,,,0,,25.4
2017-11-06T00:46:26.984Z,,,,,0,,25.4
