Time,HwActive,ActPow,ChActive,PrimT,HwTSet,PrimTSet,HwTOutlet
2017-11-25T00:18:16.237Z,,29,,49.8,0,,29.1
2017-11-25T00:18:26.233Z,,,,49.7,0,,29.1
2017-11-25T00:18:36.238Z,,,,50,0,,29.1
2017-11-25T00:18:46.233Z,,,,,0,,29.1
2017-11-25T00:18:56.323Z,,,,50.7,0,,29.1
2017-11-25T00:19:06.233Z,,30,,51.8,0,,29.1
2017-11-25T00:19:16.233Z,,,,52.6,0,,29.1
2017-11-25T00:19:26.237Z,,32,,53.1,0,,29.1
2017-11-25T00:19:36.236Z,,,,53.4,0,,29.1
2017-11-25T00:19:46.235Z,,33,,54,0,,29.1
2017-11-25T00:19:56.313Z,,,,54.6,0,,29.1
2017-11-25T00:20:06.234Z,,34,,55.2,0,,29.1
2017-11-25T00:20:16.233Z,,35,,55.7,0,,29.1
2017-11-25T00:20:26.233Z,,,,55.5,0,,29.1
2017-11-25T00:20:36.234Z,,,,56.4,0,,29.1
2017-11-25T00:20:46.233Z,,,,56.6,0,,29.1
2017-11-25T00:20:56.313Z,,,,57,0,,29.1
2017-11-25T00:21:06.233Z,,34,,57.2,0,,29.1
2017-11-25T00:21:16.234Z,,30,,57.4,0,,29.2
2017-11-25T00:21:26.233Z,,29,,57.3,0,,29.2
2017-11-25T00:21:36.236Z,,30,,57.2,0,,29.2
2017-11-25T00:21:46.233Z,,,,,0,,29.2
2017-11-25T00:21:56.313Z,,29,,57.3,0,,29.2
2017-11-25T00:22:06.235Z,,,,57.7,0,,29.2
2017-11-25T00:22:16.234Z,,30,,58.1,0,,29.2
2017-11-25T00:22:26.233Z,,29,,58.5,0,,29.2
2017-11-25T00:22:36.234Z,,,,58.9,0,,29.3
2017-11-25T00:22:46.233Z,,30,,59,0,,29.3
2017-11-25T00:22:56.329Z,,,,,0,,29.3
2017-11-25T00:23:06.234Z,,29,,59.4,0,,29.3
2017-11-25T00:23:16.234Z,,,,,0,,29.5
2017-11-25T00:23:26.234Z,,30,,59.6,0,,29.5
2017-11-25T00:23:36.235Z,,29,,59.7,0,,29.5
2017-11-25T00:23:46.234Z,,30,,60,0,,29.5
2017-11-25T00:23:56.315Z,,29,,60.1,0,,29.5
2017-11-25T00:24:06.234Z,,,,60.4,0,,29.6
2017-11-25T00:24:16.235Z,,30,,60.5,0,,29.6
2017-11-25T00:24:26.234Z,,29,,60.7,0,,29.6
2017-11-25T00:24:36.234Z,,30,,60.9,0,,29.6
2017-11-25T00:24:46.234Z,0,0,2,58.9,0,,29.7
2017-11-25T00:24:56.315Z,,,,56.4,0,,29.7
2017-11-25T00:25:06.246Z,,,,54.9,0,,29.7
2017-11-25T00:25:16.234Z,,,,54.4,0,,29.8
2017-11-25T00:25:26.239Z,,,,53.9,0,,29.8
2017-11-25T00:25:36.234Z,,,,,0,,29.8
2017-11-25T00:25:46.234Z,,,,,0,,29.8
2017-11-25T00:25:56.314Z,,,,53.8,0,,29.8
2017-11-25T00:26:06.234Z,,,,53.7,0,,30
2017-11-25T00:26:16.234Z,,,,53.5,0,,30
2017-11-25T00:26:26.234Z,,,,53.4,0,,30
2017-11-25T00:26:36.235Z,,,,53.2,0,,30.1
2017-11-25T00:26:46.235Z,,,,52.8,0,,30.1
2017-11-25T00:26:56.315Z,,,,52.3,0,,30.1
2017-11-25T00:27:06.235Z,,,,51.8,0,,30.1
2017-11-25T00:27:16.239Z,,,,51.2,0,,30.1
2017-11-25T00:27:26.234Z,0,,2,50.7,0,,30.2
2017-11-25T00:27:36.247Z,,36,,56.3,0,,30.2
2017-11-25T00:27:46.235Z,,30,,58,0,,30.2
2017-11-25T00:27:56.327Z,,29,,58.3,0,,30.2
2017-11-25T00:28:06.235Z,,,,58.5,0,,30.3
2017-11-25T00:28:16.234Z,,30,,,0,,30.3
2017-11-25T00:28:26.235Z,,,,,0,,30.3
