Time,ChActive,HwTOutlet,PrimTSet,HwTSet,HwActive,PrimT,ActPow
2017-12-26T00:00:00.954Z,,24.7,,0,,,
2017-12-26T00:00:10.955Z,,24.7,,0,,41.4,
2017-12-26T00:00:20.957Z,,24.7,,0,,,
2017-12-26T00:00:30.954Z,,24.7,,0,,,
2017-12-26T00:00:40.956Z,,24.7,,0,,,
2017-12-26T00:00:50.954Z,,24.7,,0,,,
2017-12-26T00:01:00.956Z,,24.7,,0,,,
2017-12-26T00:01:10.954Z,,24.7,,0,,,
2017-12-26T00:01:20.957Z,,24.7,,0,,,
2017-12-26T00:01:30.954Z,,24.7,,0,,41.3,
2017-12-26T00:01:40.955Z,,24.5,,0,,,
2017-12-26T00:01:50.955Z,,24.7,,0,,,
2017-12-26T00:02:00.954Z,,24.5,,0,,,
2017-12-26T00:02:10.954Z,,24.5,,0,,,
2017-12-26T00:02:20.954Z,,24.5,,0,,,
2017-12-26T00:02:30.954Z,,24.5,,0,,,
2017-12-26T00:02:40.956Z,,24.5,,0,,,
2017-12-26T00:02:50.956Z,,24.5,,0,,,
2017-12-26T00:03:00.958Z,,24.5,,0,,,
2017-12-26T00:03:10.955Z,,24.5,,0,,41.2,
2017-12-26T00:03:20.957Z,,24.5,,0,,,
2017-12-26T00:03:30.957Z,,24.5,,0,,,
2017-12-26T00:03:40.954Z,,24.5,,0,,,
2017-12-26T00:03:50.955Z,,24.4,,0,,,
2017-12-26T00:04:00.955Z,,24.4,,0,,,
2017-12-26T00:04:10.954Z,,24.4,,0,,,
2017-12-26T00:04:20.954Z,,24.4,,0,,,
2017-12-26T00:04:30.957Z,,24.4,,0,,41.1,
2017-12-26T00:04:40.956Z,,24.4,,0,,,
2017-12-26T00:04:50.957Z,,24.4,,0,,,
2017-12-26T00:05:00.954Z,,24.4,,0,,,
2017-12-26T00:05:10.955Z,,24.4,,0,,,
2017-12-26T00:05:20.958Z,,24.4,,0,,,
2017-12-26T00:05:30.954Z,,24.3,,0,,,
2017-12-26T00:05:40.954Z,,24.3,,0,,,
2017-12-26T00:05:50.960Z,,24.3,,0,,,
2017-12-26T00:06:00.954Z,,24.3,,0,,41,
2017-12-26T00:06:10.955Z,,24.3,,0,,,
2017-12-26T00:06:20.954Z,,24.3,,0,,,
2017-12-26T00:06:30.955Z,,24.3,,0,,,
2017-12-26T00:06:40.954Z,,24.3,,0,,,
2017-12-26T00:06:50.954Z,,24.3,,0,,,
2017-12-26T00:07:00.954Z,,24.3,,0,,,
2017-12-26T00:07:10.960Z,,24.3,,0,,,
2017-12-26T00:07:21.142Z,,24.3,,0,,40.9,
2017-12-26T00:07:30.958Z,,24.3,,0,,40.9,
2017-12-26T00:07:40.956Z,,24.2,,0,,,
2017-12-26T00:07:50.955Z,,24.2,,0,,,
2017-12-26T00:08:00.955Z,,24.2,,0,,,
2017-12-26T00:08:10.955Z,,24.2,,0,,,
2017-12-26T00:08:20.955Z,,24.2,,0,,,
2017-12-26T00:08:30.955Z,,24.2,,0,,,
2017-12-26T00:08:40.961Z,,24.2,,0,,,
2017-12-26T00:08:50.955Z,,24.2,,0,,40.8,
