Time,ActPow,PrimTSet,HwTSet,HwTOutlet,ChActive,PrimT,HwActive
2017-12-29T00:00:02.555Z,,,0,15.3,,16.4,
2017-12-29T00:00:12.552Z,,,0,15.3,,16.2,
2017-12-29T00:00:22.552Z,,,0,15.3,,,
2017-12-29T00:00:32.552Z,,,0,15.3,,,
2017-12-29T00:00:42.554Z,,,0,15.3,,,
2017-12-29T00:00:52.552Z,,,0,15.3,,,
2017-12-29T00:01:02.552Z,,,0,15.3,,,
2017-12-29T00:01:12.553Z,,,0,15.3,,,
2017-12-29T00:01:22.552Z,,,0,15.3,,,
2017-12-29T00:01:42.553Z,,,0,15.3,,,
2017-12-29T00:01:52.553Z,,,0,15.3,,,
2017-12-29T00:02:02.552Z,,,0,15.3,,,
2017-12-29T00:02:12.552Z,,,0,15.3,,,
2017-12-29T00:02:22.552Z,,,0,15.3,,,
2017-12-29T00:02:32.562Z,,,0,15.3,,,
2017-12-29T00:02:42.556Z,,,0,15.3,,,
2017-12-29T00:02:52.552Z,,,0,15.3,,,
2017-12-29T00:03:02.554Z,,,0,15.3,,,
2017-12-29T00:03:12.552Z,,,0,15.3,,,
2017-12-29T00:03:22.552Z,,,0,15.3,,,
2017-12-29T00:03:32.552Z,,,0,15.3,,,
2017-12-29T00:03:42.553Z,,,0,15.3,,,
2017-12-29T00:03:52.553Z,,,0,15.3,,,
2017-12-29T00:04:02.552Z,,,0,15.3,,,
2017-12-29T00:04:12.552Z,,,0,15.3,,,
2017-12-29T00:04:22.552Z,,,0,15.3,,,
2017-12-29T00:04:32.560Z,,,0,15.3,,,
2017-12-29T00:04:42.552Z,,,0,15.3,,,
2017-12-29T00:04:52.553Z,,,0,15.3,,,
2017-12-29T00:05:02.553Z,,,0,15.3,,,
2017-12-29T00:05:12.554Z,,,0,15.3,,,
2017-12-29T00:05:22.553Z,,,0,15.3,,,
2017-12-29T00:05:32.563Z,,,0,15.3,,,
2017-12-29T00:05:42.554Z,,,0,15.3,,,
2017-12-29T00:05:52.552Z,,,0,15.3,,,
2017-12-29T00:06:02.552Z,,,0,15.1,,,
2017-12-29T00:06:12.552Z,,,0,15.3,,,
2017-12-29T00:06:22.553Z,,,0,15.3,,,
