Time,HwTSet,PrimTSet,ChActive,HwActive,HwTOutlet,ActPow,PrimT
2017-11-18T00:17:27.627Z,0,,,,30,29,
2017-11-18T00:17:37.627Z,0,,,,30,30,52.2
2017-11-18T00:17:47.627Z,0,,,,30.1,29,52.6
2017-11-18T00:17:57.633Z,0,,,,30.1,30,
2017-11-18T00:18:07.628Z,0,,,,30.1,29,53
2017-11-18T00:18:17.627Z,0,,,,30.1,,53.1
2017-11-18T00:18:27.633Z,0,,,,30.1,,53.4
2017-11-18T00:18:37.628Z,0,,,,30.1,,53.5
2017-11-18T00:18:47.628Z,0,,,,30.1,,53.7
2017-11-18T00:18:57.628Z,0,,,,30.2,,54
2017-11-18T00:19:07.628Z,0,,,,30.2,,
2017-11-18T00:19:17.628Z,0,52,1,0,30.2,30,54.3
2017-11-18T00:19:27.634Z,0,,,,30.2,,54.5
2017-11-18T00:19:37.628Z,0,,,,30.2,,54.6
2017-11-18T00:19:47.646Z,0,,,,30.2,29,54.8
2017-11-18T00:19:57.628Z,0,,,,30.3,,55
2017-11-18T00:20:07.637Z,0,,,,30.3,29,55.1
2017-11-18T00:20:17.630Z,0,,,,30.3,,55.2
2017-11-18T00:20:27.646Z,0,,,,30.3,,55.5
2017-11-18T00:20:37.628Z,0,,,,30.4,30,55.7
2017-11-18T00:20:47.630Z,0,,1,0,30.4,0,54.8
2017-11-18T00:20:57.629Z,0,,,,30.4,,52.9
2017-11-18T00:21:07.628Z,0,,,,30.4,,51.7
2017-11-18T00:21:17.628Z,0,,,,30.4,,50.7
2017-11-18T00:21:27.646Z,0,5,0,0,30.4,,50.5
2017-11-18T00:21:37.630Z,0,,,,30.6,,
2017-11-18T00:21:47.630Z,0,,,,30.6,,
2017-11-18T00:21:57.628Z,0,,,,30.6,,
2017-11-18T00:22:07.641Z,0,,,,30.6,,
2017-11-18T00:22:17.629Z,0,,,,30.6,,50.4
2017-11-18T00:22:27.628Z,0,,,,30.7,,50.3
2017-11-18T00:22:37.634Z,0,52,1,0,30.7,43,52
2017-11-18T00:22:47.630Z,0,5,0,0,30.7,0,54.8
2017-11-18T00:22:57.630Z,0,,,,30.7,,51.9
2017-11-18T00:23:07.630Z,0,,,,30.7,,50.7
2017-11-18T00:23:17.628Z,0,52,1,0,30.7,43,51.6
2017-11-18T00:23:27.632Z,0,5,0,0,30.8,0,53.7
2017-11-18T00:23:37.629Z,0,,,,30.8,,50.7
2017-11-18T00:23:47.631Z,0,,,,30.8,,49.9
2017-11-18T00:23:57.632Z,0,,,,30.8,,49.5
2017-11-18T00:24:07.631Z,0,,,,30.8,,48.9
2017-11-18T00:24:17.629Z,0,,,,30.8,,
2017-11-18T00:24:27.635Z,0,,,,30.9,,48.7
2017-11-18T00:24:37.629Z,0,,,,30.9,,48.8
2017-11-18T00:24:47.630Z,0,,,,30.9,,48.7
2017-11-18T00:24:57.628Z,0,,,,30.9,,48.6
2017-11-18T00:25:07.631Z,0,,,,30.9,,48.5
2017-11-18T00:25:17.629Z,0,,,,30.9,,48.3
2017-11-18T00:25:27.629Z,0,,,,30.9,,48.2
2017-11-18T00:25:37.629Z,0,,,,30.9,,47.9
2017-11-18T00:25:47.631Z,0,,,,31,,47.8
2017-11-18T00:25:57.628Z,0,,,,31,,47.4
2017-11-18T00:26:07.633Z,0,,,,31,,47.2
2017-11-18T00:26:17.632Z,0,,,,31,,46.9
2017-11-18T00:26:27.635Z,0,,,,31,,46.8
2017-11-18T00:26:37.635Z,0,,,,31,,
2017-11-18T00:26:47.632Z,0,,,,31,,46.7
2017-11-18T00:26:57.629Z,0,,,,31,,
2017-11-18T00:27:07.638Z,0,,,,31,,
2017-11-18T00:27:17.629Z,0,,,,31,,46.6
2017-11-18T00:27:27.635Z,0,,,,31,,
2017-11-18T00:27:37.634Z,0,,,,31.2,,46.5
2017-11-18T00:27:47.634Z,0,,,,31.2,,
2017-11-18T00:27:57.631Z,0,,,,31.2,,
2017-11-18T00:28:07.629Z,0,,,,31.2,,
2017-11-18T00:28:17.630Z,0,,,,31.2,,46.4
2017-11-18T00:28:27.629Z,0,,,,31.2,,
2017-11-18T00:28:37.634Z,0,,,,31.2,,
2017-11-18T00:28:47.632Z,0,,,,31.2,,
2017-11-18T00:28:57.629Z,0,,,,31.2,,
2017-11-18T00:29:07.629Z,0,,,,31.2,,
2017-11-18T00:29:17.629Z,0,,,,31.2,,
2017-11-18T00:29:27.630Z,0,,,,31.2,,46.5
2017-11-18T00:29:37.635Z,0,,,,31.2,,
2017-11-18T00:29:47.630Z,0,,,,31.2,,
2017-11-18T00:29:57.629Z,0,,,,31.2,,
2017-11-18T00:30:07.630Z,0,,,,31.2,,
2017-11-18T00:30:17.633Z,0,,,,31.2,,
2017-11-18T00:30:27.632Z,0,,,,31.2,,
2017-11-18T00:30:37.640Z,0,,,,31.2,,
2017-11-18T00:30:47.640Z,0,,,,31.2,,
2017-11-18T00:30:57.638Z,0,,,,31.2,,
2017-11-18T00:31:07.633Z,0,,,,31.2,,
2017-11-18T00:31:17.640Z,0,,,,31.2,,
2017-11-18T00:31:27.638Z,0,,,,31.2,,
2017-11-18T00:31:37.639Z,0,,,,31.2,,
2017-11-18T00:31:47.634Z,0,,,,31.2,,
2017-11-18T00:31:57.641Z,0,,,,31.2,,46.4
2017-11-18T00:32:07.634Z,0,,,,31.2,,
2017-11-18T00:32:17.636Z,0,,,,31.2,,
2017-11-18T00:32:27.629Z,0,,,,31.2,,
2017-11-18T00:32:37.634Z,0,,,,31.2,,
2017-11-18T00:32:47.629Z,0,,,,31,,
2017-11-18T00:32:57.635Z,0,,,,31,,46.3
2017-11-18T00:33:07.634Z,0,,,,31,,
2017-11-18T00:33:17.659Z,0,,,,31,,
2017-11-18T00:33:27.638Z,0,,,,31,,
2017-11-18T00:33:37.631Z,0,,,,31,,
2017-11-18T00:33:47.630Z,0,,,,31,,46.2
2017-11-18T00:33:57.631Z,0,,,,31,,
2017-11-18T00:34:07.630Z,0,,,,31,,
2017-11-18T00:34:17.651Z,0,,,,31,,
2017-11-18T00:34:27.630Z,0,,,,31,,
2017-11-18T00:34:37.631Z,0,,,,31,,46.1
2017-11-18T00:34:47.630Z,0,,,,31,,
2017-11-18T00:34:57.633Z,0,,,,31,,
2017-11-18T00:35:07.631Z,0,,,,31,,
2017-11-18T00:35:17.635Z,0,,,,30.9,,
2017-11-18T00:35:27.630Z,0,,,,31,,46
2017-11-18T00:35:37.632Z,0,,,,30.9,,
2017-11-18T00:35:47.637Z,0,,,,30.9,,
2017-11-18T00:35:57.636Z,0,52,1,0,30.9,43,47.2
2017-11-18T00:36:07.645Z,0,,,,30.9,31,54.1
2017-11-18T00:36:17.642Z,0,5,0,0,30.9,0,51.3
2017-11-18T00:36:27.631Z,0,,,,30.9,,47.9
2017-11-18T00:36:37.646Z,0,,,,30.9,,45.8
2017-11-18T00:36:47.633Z,0,52,1,0,30.9,41,46.1
2017-11-18T00:36:57.638Z,0,,,,30.9,30,52.4
2017-11-18T00:37:07.630Z,0,,,,30.9,29,53.4
2017-11-18T00:37:17.633Z,0,,,,30.9,30,53.1
2017-11-18T00:37:27.630Z,0,,,,30.9,29,53.2
2017-11-18T00:37:37.639Z,0,,,,30.9,,53.6
2017-11-18T00:37:47.631Z,0,,,,30.9,30,53.9
2017-11-18T00:37:57.632Z,0,,,,30.8,29,53.6
2017-11-18T00:38:07.631Z,0,,,,30.9,,54
2017-11-18T00:38:17.658Z,0,,,,30.8,30,54.1
2017-11-18T00:38:27.631Z,0,,,,30.8,,55
2017-11-18T00:38:37.630Z,0,,,,30.8,29,55.2
2017-11-18T00:38:47.631Z,0,,,,30.8,30,55.6
2017-11-18T00:38:57.635Z,0,,,,30.8,0,56
2017-11-18T00:39:07.641Z,0,,1,0,30.8,,52.8
2017-11-18T00:39:17.640Z,0,,,,30.8,,49.8
2017-11-18T00:39:27.632Z,0,,,,30.8,,48.6
2017-11-18T00:39:37.631Z,0,,,,30.8,,48.4
2017-11-18T00:39:47.637Z,0,,,,30.9,,48.1
2017-11-18T00:39:57.632Z,0,,,,30.9,,
2017-11-18T00:40:07.631Z,0,,,,30.9,,48.3
2017-11-18T00:40:17.632Z,0,,,,30.9,,48.5
2017-11-18T00:40:27.632Z,0,,,,30.9,,48.6
