Time,HwTSet,HwTOutlet,PrimT,ChActive,ActPow,PrimTSet,HwActive
2017-11-15T00:17:26.924Z,0,41.5,46.1,,36,46,
2017-11-15T00:17:36.918Z,0,41.4,47.2,,30,47,
2017-11-15T00:17:47.237Z,0,41.3,48,,29,,
2017-11-15T00:17:56.922Z,0,41.2,47.9,,30,,
2017-11-15T00:18:06.925Z,0,41.1,47.8,,29,,
2017-11-15T00:18:16.920Z,0,40.9,,,30,,
2017-11-15T00:18:26.919Z,0,40.8,47.7,,,,
2017-11-15T00:18:36.919Z,0,40.7,47.6,,29,,
2017-11-15T00:18:46.924Z,0,40.6,,,,,
2017-11-15T00:18:56.919Z,0,40.5,47.7,,,,
2017-11-15T00:19:06.921Z,0,40.4,48,,,,
2017-11-15T00:19:16.919Z,0,40.3,48.2,,30,,
2017-11-15T00:19:26.922Z,0,40.2,48.5,,29,,
2017-11-15T00:19:36.919Z,0,40.1,49,,,,
2017-11-15T00:19:46.925Z,0,40,49.1,,,,
2017-11-15T00:19:56.921Z,0,40,49.4,,30,,
2017-11-15T00:20:06.920Z,0,39.9,50,,30,,
2017-11-15T00:20:16.919Z,0,39.8,50.3,,,,
2017-11-15T00:20:26.923Z,0,39.7,51,,30,,
2017-11-15T00:20:36.921Z,0,39.6,48.6,1,0,,0
2017-11-15T00:20:46.920Z,0,39.5,46.8,,,,
2017-11-15T00:20:56.920Z,0,39.4,45.6,,,,
2017-11-15T00:21:06.920Z,0,39.4,44.8,,,,
2017-11-15T00:21:16.921Z,0,39.3,44.6,,,,
2017-11-15T00:21:26.922Z,0,39.2,,,,,
2017-11-15T00:21:36.921Z,0,39.1,44.7,,,,
2017-11-15T00:21:46.920Z,0,39.1,44.8,,,,
2017-11-15T00:21:56.921Z,0,38.9,45,,,,
2017-11-15T00:22:06.927Z,0,38.8,45.2,,,,
2017-11-15T00:22:16.921Z,0,38.7,,,,,
2017-11-15T00:22:26.921Z,0,38.7,,,,,
2017-11-15T00:22:36.921Z,0,38.6,45.1,,,,
2017-11-15T00:22:46.930Z,0,38.5,44.9,,,,
2017-11-15T00:22:56.920Z,0,38.5,44.7,,,,
2017-11-15T00:23:06.929Z,0,38.4,44.6,,,,
2017-11-15T00:23:16.920Z,0,38.3,44.4,,,,
2017-11-15T00:23:26.929Z,0,38.3,44.2,,,,
2017-11-15T00:23:36.920Z,0,38.2,43.9,,,,
2017-11-15T00:23:46.922Z,0,38.1,43.7,,,,
2017-11-15T00:23:56.920Z,0,38.1,43.5,,,,
2017-11-15T00:24:06.929Z,0,38,43.4,,,,
2017-11-15T00:24:16.928Z,0,37.9,43.2,,,,
2017-11-15T00:24:26.920Z,0,37.9,43.1,,,,
2017-11-15T00:24:36.920Z,0,37.8,,,,,
2017-11-15T00:24:46.923Z,0,37.8,42.9,,,,
2017-11-15T00:24:56.926Z,0,37.7,,,,,
2017-11-15T00:25:06.921Z,0,37.6,,,,,
2017-11-15T00:25:16.928Z,0,37.6,,,,,
2017-11-15T00:25:26.986Z,0,37.5,,,,,
2017-11-15T00:25:36.923Z,0,37.5,42.8,,,,
2017-11-15T00:25:46.922Z,0,37.4,,,,,
2017-11-15T00:25:57.146Z,0,37.3,,,,,
2017-11-15T00:26:06.923Z,0,37.3,,,,,
2017-11-15T00:26:16.921Z,0,37.2,42.7,,,,
2017-11-15T00:26:26.922Z,0,37.2,,,,,
2017-11-15T00:26:36.920Z,0,37.1,,,,,
2017-11-15T00:26:46.923Z,0,36.9,42.6,,,,
2017-11-15T00:26:56.921Z,0,36.9,,,,,
2017-11-15T00:27:07.102Z,0,36.9,,,,,
2017-11-15T00:27:16.920Z,0,36.8,,,,,
2017-11-15T00:27:26.925Z,0,36.7,,,,,
2017-11-15T00:27:36.921Z,0,36.7,,,,,
2017-11-15T00:27:46.921Z,0,36.7,,0,,0,2
2017-11-15T00:27:56.943Z,54,36.3,46,0,128,,2
2017-11-15T00:28:06.934Z,54,42.2,51.2,,150,,
2017-11-15T00:28:16.922Z,54,46.2,57.1,,110,,
2017-11-15T00:28:26.924Z,54,53,59,,109,,
2017-11-15T00:28:36.937Z,54,54.7,59.5,,107,,
2017-11-15T00:28:46.926Z,0,54.9,58.6,0,0,,0
2017-11-15T00:28:56.921Z,0,54.6,58.5,,,,
2017-11-15T00:29:06.923Z,0,54.3,58.3,,,,
2017-11-15T00:29:16.921Z,0,54,,,,,
2017-11-15T00:29:26.926Z,0,53.8,58.2,,,,
2017-11-15T00:29:36.920Z,0,53.6,58.1,,,,
2017-11-15T00:29:46.927Z,0,53.4,59.1,1,,47,0
2017-11-15T00:29:56.924Z,0,53.2,56.7,,,,
2017-11-15T00:30:06.934Z,0,52.9,49.5,,,,
2017-11-15T00:30:16.925Z,0,52.7,45.8,,,,
2017-11-15T00:30:26.925Z,0,52.4,43.7,,,,
2017-11-15T00:30:42.021Z,0,52.2,42.9,,,,
2017-11-15T00:30:47.039Z,0,52,41.8,,,,
2017-11-15T00:30:56.926Z,0,51.8,40.8,,,,
2017-11-15T00:31:06.934Z,0,51.6,45.2,1,38,,0
2017-11-15T00:31:17.139Z,0,51.4,48,,29,,
2017-11-15T00:31:26.926Z,0,51.2,48.2,,30,,
2017-11-15T00:31:36.921Z,54,48.9,49,0,29,0,2
2017-11-15T00:31:46.935Z,0,20.2,46,0,0,,0
2017-11-15T00:31:56.921Z,0,20.4,46.8,,,,
2017-11-15T00:32:06.924Z,0,20.4,,,,,
2017-11-15T00:32:16.928Z,0,20.5,46.7,,,,
2017-11-15T00:32:26.921Z,0,20.6,,,,,
