Time,HwTOutlet,PrimT,PrimTSet,ChActive,HwTSet,ActPow,HwActive
2017-12-12T00:18:28.051Z,44.6,,,,0,,
2017-12-12T00:18:38.052Z,44.3,49.5,,,0,,
2017-12-12T00:18:48.132Z,44.1,,,,0,,
2017-12-12T00:18:58.052Z,43.9,,,,0,,
2017-12-12T00:19:08.053Z,43.7,49.4,,,0,,
2017-12-12T00:19:18.052Z,43.5,,,,0,,
2017-12-12T00:19:28.053Z,43.3,,,,0,,
2017-12-12T00:19:38.051Z,43.1,49.3,,,0,,
2017-12-12T00:19:48.134Z,42.9,,,,0,,
2017-12-12T00:19:58.052Z,42.7,,,,0,,
2017-12-12T00:20:08.052Z,42.6,49.2,,,0,,
2017-12-12T00:20:18.052Z,42.4,,,,0,,
2017-12-12T00:20:28.052Z,42.2,,,,0,,
2017-12-12T00:20:38.052Z,42,49.1,,,0,,
2017-12-12T00:20:48.142Z,41.9,,,,0,,
2017-12-12T00:20:58.053Z,41.7,,,,0,,
2017-12-12T00:21:08.059Z,41.5,49,,,0,,
2017-12-12T00:21:18.063Z,41.3,48.9,,,0,,
2017-12-12T00:21:28.056Z,41.2,,,,0,,
2017-12-12T00:21:38.054Z,40.9,,,,0,,
2017-12-12T00:21:48.220Z,40.7,,,,0,,
2017-12-12T00:21:58.052Z,40.6,48.8,,,0,,
2017-12-12T00:22:08.052Z,40.4,,,,0,,
2017-12-12T00:22:18.052Z,40.3,48.7,,,0,,
2017-12-12T00:22:28.052Z,40.1,,,,0,,
2017-12-12T00:22:38.052Z,40,,,,0,,
2017-12-12T00:22:48.133Z,39.8,48.6,,,0,,
2017-12-12T00:22:58.052Z,39.7,,,,0,,
2017-12-12T00:23:08.055Z,39.5,,,,0,,
2017-12-12T00:23:18.052Z,39.4,48.5,,,0,,
2017-12-12T00:23:28.052Z,39.2,,,,0,,
2017-12-12T00:23:38.052Z,39.1,48.4,,,0,,
2017-12-12T00:23:48.142Z,38.9,,,,0,,
2017-12-12T00:23:58.052Z,38.7,,,,0,,
2017-12-12T00:24:08.052Z,38.6,48.3,,,0,,
2017-12-12T00:24:18.053Z,38.5,,,,0,,
2017-12-12T00:24:28.052Z,38.3,,,,0,,
2017-12-12T00:24:38.052Z,38.2,48.2,,,0,,
2017-12-12T00:24:48.132Z,38,,,,0,,
2017-12-12T00:24:58.058Z,37.9,,,,0,,
2017-12-12T00:25:08.052Z,37.8,48.1,,,0,,
2017-12-12T00:25:18.053Z,37.7,,,,0,,
2017-12-12T00:25:28.054Z,37.6,,,,0,,
2017-12-12T00:25:38.053Z,37.5,48,,,0,,
2017-12-12T00:25:48.134Z,37.3,,,,0,,
