Time,ChActive,HwActive,ActPow,HwTSet,PrimT,HwTOutlet,PrimTSet
2017-12-23T00:18:30.317Z,,,,0,,22.2,
2017-12-23T00:18:40.316Z,,,,0,,22.2,
2017-12-23T00:18:50.322Z,,,,0,,22.2,
2017-12-23T00:19:00.321Z,,,,0,,22.1,
2017-12-23T00:19:10.320Z,,,,0,,22.2,
2017-12-23T00:19:20.316Z,,,,0,,22.1,
2017-12-23T00:19:30.316Z,,,,0,,22.1,
2017-12-23T00:19:40.318Z,,,,0,,22.1,
2017-12-23T00:19:50.317Z,,,,0,,22.1,
2017-12-23T00:20:00.316Z,,,,0,,22.1,
2017-12-23T00:20:10.316Z,,,,0,30.5,22.1,
2017-12-23T00:20:20.317Z,,,,0,,22.1,
2017-12-23T00:20:30.319Z,,,,0,,22.1,
2017-12-23T00:20:40.317Z,,,,0,,22.1,
2017-12-23T00:20:50.316Z,,,,0,,22.1,
2017-12-23T00:21:00.323Z,,,,0,,22.1,
2017-12-23T00:21:10.322Z,,,,0,,22.1,
2017-12-23T00:21:20.317Z,,,,0,,22.1,
2017-12-23T00:21:30.317Z,,,,0,,22.1,
2017-12-23T00:21:40.318Z,,,,0,,22.1,
2017-12-23T00:21:50.317Z,,,,0,,22.1,
2017-12-23T00:22:00.318Z,,,,0,,22.1,
2017-12-23T00:22:10.317Z,,,,0,,22.1,
2017-12-23T00:22:20.317Z,,,,0,,22.1,
2017-12-23T00:22:30.317Z,,,,0,,22.1,
2017-12-23T00:22:40.317Z,,,,0,,22.1,
2017-12-23T00:22:50.324Z,,,,0,,22.1,
2017-12-23T00:23:00.317Z,,,,0,,22.1,
2017-12-23T00:23:10.322Z,,,,0,,22.1,
2017-12-23T00:23:20.317Z,,,,0,,22.1,
2017-12-23T00:23:30.503Z,,,,0,,22.1,
2017-12-23T00:23:40.317Z,,,,0,,22.1,
2017-12-23T00:23:50.319Z,,,,0,30.4,22.1,
2017-12-23T00:24:00.318Z,,,,0,,22,
2017-12-23T00:24:10.319Z,,,,0,,22,
2017-12-23T00:24:20.317Z,,,,0,,22,
2017-12-23T00:24:30.317Z,,,,0,,22,
2017-12-23T00:24:40.317Z,,,,0,,22,
2017-12-23T00:24:50.322Z,,,,0,,22,
2017-12-23T00:25:00.319Z,,,,0,,22,
2017-12-23T00:25:10.319Z,,,,0,,22,
2017-12-23T00:25:20.321Z,,,,0,,22,
2017-12-23T00:25:30.317Z,,,,0,,22,
2017-12-23T00:25:40.322Z,,,,0,,22,
2017-12-23T00:25:50.318Z,,,,0,,22,
2017-12-23T00:26:00.318Z,,,,0,,22,
2017-12-23T00:26:10.317Z,,,,0,,22,
2017-12-23T00:26:20.318Z,,,,0,,22,
2017-12-23T00:26:30.317Z,,,,0,30.3,22,
2017-12-23T00:26:40.322Z,,,,0,,22,
2017-12-23T00:26:50.318Z,,,,0,,22,
2017-12-23T00:27:00.318Z,,,,0,,22,
2017-12-23T00:27:10.318Z,,,,0,,22,
2017-12-23T00:27:20.317Z,,,,0,,22,
2017-12-23T00:27:30.318Z,,,,0,,22,
2017-12-23T00:27:40.322Z,,,,0,,22,
2017-12-23T00:27:50.318Z,,,,0,,22,
2017-12-23T00:28:00.318Z,,,,0,,22,
2017-12-23T00:28:10.318Z,,,,0,,22,
2017-12-23T00:28:20.319Z,,,,0,,22,
2017-12-23T00:28:30.320Z,,,,0,,22,
2017-12-23T00:28:40.318Z,,,,0,,22,
2017-12-23T00:28:50.318Z,,,,0,,22,
2017-12-23T00:29:00.318Z,,,,0,,22,
2017-12-23T00:29:10.318Z,,,,0,,21.9,
2017-12-23T00:29:20.318Z,,,,0,,21.9,
2017-12-23T00:29:30.318Z,,,,0,,21.9,
2017-12-23T00:29:40.318Z,,,,0,30.2,21.9,
2017-12-23T00:29:50.323Z,,,,0,,21.9,
2017-12-23T00:30:00.318Z,,,,0,30.3,21.9,
2017-12-23T00:30:10.321Z,,,,0,30.2,21.9,
2017-12-23T00:30:20.330Z,,,,0,,21.9,
2017-12-23T00:30:30.321Z,,,,0,,21.9,
2017-12-23T00:30:40.321Z,,,,0,,21.9,
2017-12-23T00:30:50.320Z,,,,0,,21.9,
2017-12-23T00:31:00.318Z,,,,0,,21.9,
2017-12-23T00:31:10.322Z,,,,0,,21.9,
2017-12-23T00:31:20.322Z,,,,0,,21.9,
2017-12-23T00:31:30.318Z,,,,0,,21.9,
2017-12-23T00:31:40.319Z,,,,0,,21.9,
2017-12-23T00:31:50.319Z,,,,0,,21.9,
2017-12-23T00:32:00.318Z,,,,0,,21.9,
2017-12-23T00:32:10.318Z,,,,0,,21.9,
2017-12-23T00:32:20.320Z,,,,0,,21.9,
2017-12-23T00:32:30.319Z,,,,0,,21.9,
2017-12-23T00:32:40.318Z,,,,0,,21.9,
2017-12-23T00:32:50.318Z,,,,0,,21.9,
2017-12-23T00:33:00.318Z,,,,0,30.1,21.9,
2017-12-23T00:33:10.322Z,,,,0,,21.9,
2017-12-23T00:33:20.324Z,,,,0,,21.9,
2017-12-23T00:33:30.319Z,,,,0,,21.9,
2017-12-23T00:33:40.319Z,,,,0,,21.9,
2017-12-23T00:33:50.319Z,,,,0,,21.9,
2017-12-23T00:34:00.321Z,,,,0,,21.9,
2017-12-23T00:34:10.319Z,,,,0,,21.9,
2017-12-23T00:34:20.320Z,,,,0,,21.9,
2017-12-23T00:34:30.318Z,,,,0,,21.7,
2017-12-23T00:34:40.320Z,,,,0,,21.7,
2017-12-23T00:34:50.319Z,,,,0,,21.9,
2017-12-23T00:35:00.320Z,,,,0,,21.7,
2017-12-23T00:35:10.319Z,,,,0,,21.7,
2017-12-23T00:35:20.320Z,,,,0,,21.7,
2017-12-23T00:35:30.319Z,,,,0,,21.7,
2017-12-23T00:35:40.320Z,,,,0,,21.7,
2017-12-23T00:35:50.319Z,,,,0,,21.7,
2017-12-23T00:36:00.322Z,,,,0,,21.7,
2017-12-23T00:36:10.320Z,,,,0,30,21.7,
2017-12-23T00:36:20.322Z,,,,0,,21.7,
2017-12-23T00:36:30.320Z,,,,0,,21.7,
2017-12-23T00:36:40.321Z,,,,0,,21.7,
2017-12-23T00:36:50.319Z,,,,0,,21.7,
2017-12-23T00:37:00.321Z,,,,0,,21.7,
2017-12-23T00:37:10.319Z,,,,0,,21.7,
2017-12-23T00:37:20.324Z,,,,0,,21.7,
2017-12-23T00:37:30.323Z,,,,0,,21.7,
2017-12-23T00:37:40.322Z,,,,0,,21.7,
2017-12-23T00:37:50.320Z,,,,0,,21.7,
2017-12-23T00:38:00.322Z,,,,0,,21.7,
2017-12-23T00:38:10.323Z,,,,0,,21.7,
2017-12-23T00:38:20.319Z,,,,0,,21.7,
2017-12-23T00:38:30.319Z,,,,0,,21.7,
2017-12-23T00:38:40.324Z,,,,0,,21.7,
2017-12-23T00:38:50.320Z,,,,0,,21.7,
2017-12-23T00:39:00.323Z,,,,0,30,21.7,
2017-12-23T00:39:10.323Z,,,,0,30,21.7,
2017-12-23T00:39:20.320Z,,,,0,29.9,21.7,
2017-12-23T00:39:30.320Z,,,,0,30,21.7,
2017-12-23T00:39:40.324Z,,,,0,29.9,21.7,
2017-12-23T00:39:50.324Z,,,,0,,21.7,
2017-12-23T00:40:00.319Z,,,,0,,21.7,
2017-12-23T00:40:10.320Z,,,,0,,21.7,
2017-12-23T00:40:20.319Z,,,,0,,21.7,
2017-12-23T00:40:30.319Z,,,,0,,21.7,
2017-12-23T00:40:40.320Z,,,,0,,21.6,
2017-12-23T00:40:50.325Z,,,,0,,21.7,
2017-12-23T00:41:00.325Z,,,,0,,21.7,
2017-12-23T00:41:10.319Z,,,,0,,21.6,
2017-12-23T00:41:20.320Z,,,,0,,21.6,
2017-12-23T00:41:30.324Z,,,,0,,21.6,
2017-12-23T00:41:40.319Z,,,,0,,21.6,
2017-12-23T00:41:50.320Z,,,,0,,21.6,
2017-12-23T00:42:00.323Z,,,,0,,21.6,
2017-12-23T00:42:10.319Z,,,,0,,21.6,
2017-12-23T00:42:20.320Z,,,,0,,21.6,
2017-12-23T00:42:30.320Z,,,,0,,21.6,
2017-12-23T00:42:40.322Z,,,,0,,21.6,
2017-12-23T00:42:50.320Z,,,,0,,21.6,
2017-12-23T00:43:00.320Z,,,,0,29.8,21.6,
2017-12-23T00:43:10.319Z,,,,0,,21.6,
2017-12-23T00:43:20.320Z,,,,0,,21.6,
2017-12-23T00:43:30.321Z,,,,0,,21.6,
2017-12-23T00:43:40.320Z,,,,0,,21.6,
2017-12-23T00:43:50.322Z,,,,0,,21.6,
2017-12-23T00:44:00.320Z,,,,0,,21.6,
2017-12-23T00:44:10.325Z,,,,0,,21.6,
2017-12-23T00:44:20.320Z,,,,0,,21.6,
2017-12-23T00:44:30.325Z,,,,0,,21.6,
2017-12-23T00:44:40.320Z,,,,0,,21.6,
2017-12-23T00:44:50.320Z,,,,0,,21.6,
2017-12-23T00:45:00.321Z,,,,0,,21.6,
2017-12-23T00:45:10.320Z,,,,0,,21.6,
2017-12-23T00:45:20.325Z,,,,0,,21.6,
2017-12-23T00:45:30.324Z,,,,0,,21.6,
2017-12-23T00:45:40.320Z,,,,0,,21.6,
2017-12-23T00:45:50.320Z,,,,0,29.8,21.6,
2017-12-23T00:46:00.321Z,,,,0,,21.6,
2017-12-23T00:46:10.320Z,,,,0,29.6,21.6,
2017-12-23T00:46:20.320Z,,,,0,,21.6,
2017-12-23T00:46:30.320Z,,,,0,,21.6,
2017-12-23T00:46:40.320Z,,,,0,,21.6,
2017-12-23T00:46:50.322Z,,,,0,,21.5,
2017-12-23T00:47:00.321Z,,,,0,,21.6,
2017-12-23T00:47:10.320Z,,,,0,,21.6,
2017-12-23T00:47:20.334Z,,,,0,,21.6,
2017-12-23T00:47:30.321Z,,,,0,,21.5,
2017-12-23T00:47:40.320Z,,,,0,,21.5,
2017-12-23T00:47:50.322Z,,,,0,,21.5,
2017-12-23T00:48:00.321Z,,,,0,,21.5,
2017-12-23T00:48:10.320Z,,,,0,,21.5,
2017-12-23T00:48:20.321Z,,,,0,,21.5,
2017-12-23T00:48:30.321Z,,,,0,,21.5,
2017-12-23T00:48:40.321Z,,,,0,,21.5,
2017-12-23T00:48:50.325Z,,,,0,,21.5,
2017-12-23T00:49:00.322Z,,,,0,,21.5,
2017-12-23T00:49:10.321Z,,,,0,,21.5,
2017-12-23T00:49:20.321Z,,,,0,,21.5,
2017-12-23T00:49:30.325Z,,,,0,,21.5,
2017-12-23T00:49:40.321Z,,,,0,29.5,21.5,
2017-12-23T00:49:50.332Z,,,,0,,21.5,
2017-12-23T00:50:00.321Z,,,,0,,21.5,
2017-12-23T00:50:10.321Z,,,,0,,21.5,
2017-12-23T00:50:20.327Z,,,,0,,21.5,
2017-12-23T00:50:30.321Z,,,,0,,21.5,
