Time,HwActive,PrimT,PrimTSet,ActPow,HwTOutlet,ChActive,HwTSet
2018-01-21T00:18:23.326Z,,45,,,35.2,,0
2018-01-21T00:18:33.330Z,,,,,35.1,,0
2018-01-21T00:18:43.427Z,,,,,34.9,,0
2018-01-21T00:18:53.328Z,,,,,34.9,,0
2018-01-21T00:19:03.342Z,,,,,34.8,,0
2018-01-21T00:19:13.326Z,,45,,,34.7,,0
2018-01-21T00:19:28.537Z,,45,,,34.6,,0
2018-01-21T00:19:33.581Z,,44.9,,,34.5,,0
2018-01-21T00:19:43.426Z,,,,,34.5,,0
2018-01-21T00:19:53.570Z,,,,,34.4,,0
2018-01-21T00:20:03.326Z,,,,,34.3,,0
2018-01-21T00:20:13.326Z,,,,,34.2,,0
2018-01-21T00:20:23.326Z,,,,,34.2,,0
2018-01-21T00:20:33.326Z,,44.8,,,34.1,,0
2018-01-21T00:20:43.341Z,,,,,34,,0
2018-01-21T00:20:53.571Z,,,,,33.9,,0
2018-01-21T00:21:09.005Z,,,,,33.9,,0
2018-01-21T00:21:13.583Z,,,,,33.8,,0
2018-01-21T00:21:23.576Z,,,,,33.7,,0
2018-01-21T00:21:33.326Z,,44.7,,,33.6,,0
2018-01-21T00:21:43.326Z,,,,,33.6,,0
2018-01-21T00:21:53.326Z,,,,,33.5,,0
2018-01-21T00:22:03.326Z,,,,,33.4,,0
2018-01-21T00:22:13.328Z,,,,,33.4,,0
2018-01-21T00:22:23.328Z,,,,,33.3,,0
2018-01-21T00:22:33.326Z,,,,,33.2,,0
2018-01-21T00:22:43.327Z,,44.6,,,33.2,,0
2018-01-21T00:22:53.332Z,,,,,33.1,,0
2018-01-21T00:23:03.327Z,,,,,33.1,,0
2018-01-21T00:23:13.327Z,,,,,32.9,,0
2018-01-21T00:23:23.522Z,,,,,32.8,,0
2018-01-21T00:23:33.327Z,,,,,32.8,,0
2018-01-21T00:23:43.328Z,,,,,32.7,,0
2018-01-21T00:23:53.566Z,,44.5,,,32.7,,0
2018-01-21T00:24:03.326Z,,,,,32.6,,0
2018-01-21T00:24:13.327Z,,,,,32.5,,0
2018-01-21T00:24:23.326Z,,,,,32.5,,0
2018-01-21T00:24:33.327Z,,,,,32.4,,0
2018-01-21T00:24:43.327Z,,,,,32.4,,0
2018-01-21T00:24:53.326Z,,,,,32.3,,0
2018-01-21T00:25:03.329Z,,44.4,,,32.2,,0
2018-01-21T00:25:13.327Z,,,,,32.2,,0
2018-01-21T00:25:23.327Z,,,,,32.1,,0
2018-01-21T00:25:33.327Z,,,,,32.1,,0
2018-01-21T00:25:43.329Z,,,,,32,,0
2018-01-21T00:25:53.327Z,,,,,32,,0
2018-01-21T00:26:03.326Z,,,,,31.9,,0
2018-01-21T00:26:13.328Z,,,,,31.9,,0
2018-01-21T00:26:23.327Z,,44.3,,,31.8,,0
2018-01-21T00:26:33.327Z,,,,,31.8,,0
2018-01-21T00:26:43.327Z,,,,,31.6,,0
2018-01-21T00:26:53.327Z,,,,,31.5,,0
2018-01-21T00:27:03.327Z,,,,,31.5,,0
2018-01-21T00:27:13.327Z,,,,,31.4,,0
2018-01-21T00:27:23.333Z,,44.2,,,31.4,,0
2018-01-21T00:27:33.327Z,,,,,31.3,,0
2018-01-21T00:27:43.327Z,,,,,31.3,,0
2018-01-21T00:27:53.327Z,,,,,31.3,,0
2018-01-21T00:28:03.327Z,,,,,31.2,,0
2018-01-21T00:28:13.329Z,,,,,31.2,,0
2018-01-21T00:28:23.327Z,,44.1,,,31,,0
2018-01-21T00:28:33.327Z,,,,,31,,0
2018-01-21T00:28:43.327Z,,,,,30.9,,0
2018-01-21T00:28:53.328Z,,,,,30.9,,0
2018-01-21T00:29:03.788Z,,,,,30.8,,0
2018-01-21T00:29:13.328Z,,,,,30.8,,0
2018-01-21T00:29:23.345Z,,,,,30.7,,0
2018-01-21T00:29:33.330Z,,,,,30.7,,0
2018-01-21T00:29:43.327Z,,,,,30.7,,0
2018-01-21T00:29:53.327Z,,44,,,30.6,,0
2018-01-21T00:30:03.328Z,,,,,30.6,,0
2018-01-21T00:30:13.564Z,,,,,30.4,,0
2018-01-21T00:30:23.565Z,,,,,30.4,,0
2018-01-21T00:30:33.331Z,,,,,30.3,,0
2018-01-21T00:30:43.327Z,,,,,30.3,,0
2018-01-21T00:30:53.328Z,,43.9,,,30.3,,0
2018-01-21T00:31:03.328Z,,43.9,,,30.2,,0
2018-01-21T00:31:13.328Z,,,,,30.2,,0
2018-01-21T00:31:23.330Z,,,,,30.2,,0
2018-01-21T00:31:33.330Z,,,,,30.1,,0
2018-01-21T00:31:43.328Z,,,,,30.1,,0
2018-01-21T00:31:53.328Z,,,,,30,,0
2018-01-21T00:32:03.328Z,,,,,30,,0
2018-01-21T00:32:13.329Z,,,,,30,,0
