Time,PrimTSet,HwTSet,ActPow,HwTOutlet,PrimT,ChActive,HwActive
2018-01-28T00:18:41.917Z,,0,,25.6,,,
2018-01-28T00:18:46.825Z,,0,,25.6,,,
2018-01-28T00:18:56.825Z,,0,,25.5,,,
2018-01-28T00:19:06.828Z,,0,,25.5,,,
2018-01-28T00:19:16.831Z,,0,,25.5,,,
2018-01-28T00:19:26.826Z,,0,,25.5,,,
2018-01-28T00:19:36.826Z,,0,,25.5,,,
2018-01-28T00:19:46.825Z,,0,,25.5,,,
2018-01-28T00:19:56.825Z,,0,,25.5,,,
2018-01-28T00:20:06.825Z,,0,,25.5,,,
2018-01-28T00:20:16.825Z,,0,,25.5,37.3,,
2018-01-28T00:20:26.826Z,,0,,25.5,,,
2018-01-28T00:20:36.826Z,,0,,25.4,,,
2018-01-28T00:20:46.826Z,,0,,25.4,,,
2018-01-28T00:20:56.825Z,,0,,25.4,,,
2018-01-28T00:21:06.826Z,,0,,25.4,,,
2018-01-28T00:21:16.826Z,,0,,25.4,,,
2018-01-28T00:21:26.828Z,,0,,25.4,,,
2018-01-28T00:21:36.827Z,,0,,25.4,,,
2018-01-28T00:21:46.827Z,,0,,25.4,,,
2018-01-28T00:21:56.825Z,,0,,25.4,,,
2018-01-28T00:22:06.829Z,,0,,25.4,37.2,,
2018-01-28T00:22:17.000Z,,0,,25.3,,,
2018-01-28T00:22:27.002Z,,0,,25.3,,,
2018-01-28T00:22:36.829Z,,0,,25.3,,,
2018-01-28T00:22:46.826Z,,0,,25.3,,,
2018-01-28T00:22:56.825Z,,0,,25.3,,,
2018-01-28T00:23:06.829Z,,0,,25.3,,,
2018-01-28T00:23:17.002Z,,0,,25.3,,,
2018-01-28T00:23:26.829Z,,0,,25.3,,,
2018-01-28T00:23:36.826Z,,0,,25.3,,,
2018-01-28T00:23:46.826Z,,0,,25.3,,,
2018-01-28T00:23:56.826Z,,0,,25.1,,,
2018-01-28T00:24:06.826Z,,0,,25.1,,,
2018-01-28T00:24:16.826Z,,0,,25.1,37.1,,
2018-01-28T00:24:26.826Z,,0,,25.1,,,
2018-01-28T00:24:36.826Z,,0,,25.1,,,
2018-01-28T00:24:46.826Z,,0,,25.1,,,
2018-01-28T00:24:56.826Z,,0,,25.1,,,
2018-01-28T00:25:06.830Z,,0,,25.1,,,
2018-01-28T00:25:16.826Z,,0,,25.1,,,
2018-01-28T00:25:26.830Z,,0,,25.1,,,
2018-01-28T00:25:36.826Z,,0,,25.1,,,
2018-01-28T00:25:46.828Z,,0,,25,36.9,,
2018-01-28T00:25:56.826Z,,0,,25,37.1,,
2018-01-28T00:26:06.826Z,,0,,25,36.9,,
2018-01-28T00:26:16.826Z,,0,,25,,,
2018-01-28T00:26:26.826Z,,0,,25,,,
2018-01-28T00:26:36.828Z,,0,,25,,,
2018-01-28T00:26:46.827Z,,0,,25,,,
2018-01-28T00:26:56.826Z,,0,,25,,,
2018-01-28T00:27:06.826Z,,0,,25,,,
2018-01-28T00:27:16.833Z,,0,,25,,,
2018-01-28T00:27:26.836Z,,0,,25,,,
2018-01-28T00:27:36.826Z,,0,,25,,,
2018-01-28T00:27:46.830Z,,0,,24.9,,,
2018-01-28T00:27:56.826Z,,0,,24.9,36.8,,
2018-01-28T00:28:06.826Z,,0,,24.9,,,
2018-01-28T00:28:21.876Z,,0,,24.9,,,
2018-01-28T00:28:26.841Z,,0,,24.9,,,
2018-01-28T00:28:36.827Z,,0,,24.9,,,
2018-01-28T00:28:51.927Z,,0,,24.9,,,
2018-01-28T00:28:56.826Z,,0,,24.9,,,
2018-01-28T00:29:06.827Z,,0,,24.9,,,
2018-01-28T00:29:16.826Z,,0,,24.9,,,
2018-01-28T00:29:26.827Z,,0,,24.8,,,
