Time,ChActive,HwTOutlet,ActPow,HwTSet,PrimT,HwActive,PrimTSet
2017-11-26T00:16:56.475Z,,33.1,,0,53.9,,
2017-11-26T00:17:06.472Z,,33.1,,0,53.2,,
2017-11-26T00:17:16.473Z,,33.1,,0,52.3,,
2017-11-26T00:17:26.473Z,,33.1,,0,51.5,,
2017-11-26T00:17:36.477Z,1,33.1,42,0,52.4,0,
2017-11-26T00:17:46.474Z,,33.1,31,0,58.2,,
2017-11-26T00:17:56.472Z,,33.1,29,0,60.4,,
2017-11-26T00:18:06.472Z,,33.1,29,0,61.4,,
2017-11-26T00:18:16.478Z,,33.1,30,0,62.4,,
2017-11-26T00:18:26.472Z,,33.1,29,0,63.2,,
2017-11-26T00:18:36.472Z,,33.1,29,0,64,,
2017-11-26T00:18:46.472Z,,33.2,30,0,64.4,,
2017-11-26T00:18:56.473Z,,33.2,29,0,64.8,,
2017-11-26T00:19:06.478Z,1,33.2,0,0,61.9,0,
2017-11-26T00:19:16.486Z,,33.2,,0,57.9,,
2017-11-26T00:19:26.476Z,,33.2,,0,55.7,,
2017-11-26T00:19:36.473Z,,33.2,,0,53.9,,
2017-11-26T00:19:46.473Z,,33.2,,0,52.9,,
2017-11-26T00:19:56.477Z,,33.2,,0,51.9,,
2017-11-26T00:20:06.473Z,,33.2,,0,51.6,,
2017-11-26T00:20:16.476Z,,33.2,,0,,,
2017-11-26T00:20:26.473Z,,33.2,,0,52,,
2017-11-26T00:20:36.473Z,,33.2,,0,52.3,,
2017-11-26T00:20:46.473Z,,33.2,,0,53,,
2017-11-26T00:20:56.472Z,,33.2,,0,53.4,,
2017-11-26T00:21:06.473Z,,33.2,,0,54,,
2017-11-26T00:21:16.473Z,,33.2,,0,54.5,,
2017-11-26T00:21:26.474Z,,33.2,,0,55,,
2017-11-26T00:21:36.477Z,,33.2,,0,55.1,,
2017-11-26T00:21:46.476Z,,33.2,,0,54.9,,
2017-11-26T00:21:56.473Z,,33.2,,0,54.5,,
2017-11-26T00:22:06.475Z,,33.2,,0,53.8,,
2017-11-26T00:22:16.474Z,,33.2,,0,52.9,,
2017-11-26T00:22:26.473Z,,33.2,,0,52.2,,
2017-11-26T00:22:36.474Z,1,33.2,42,0,53.3,0,
2017-11-26T00:22:46.488Z,,33.2,29,0,60,,
2017-11-26T00:22:56.473Z,,33.2,,0,61.5,,
2017-11-26T00:23:06.479Z,,33.2,30,0,62.6,,
2017-11-26T00:23:16.479Z,,33.1,29,0,63.5,,
2017-11-26T00:23:26.473Z,,33.1,29,0,64.2,,
2017-11-26T00:23:36.473Z,,33.1,,0,65.1,,
2017-11-26T00:23:46.475Z,1,33.1,0,0,61.6,0,
2017-11-26T00:23:56.474Z,,33.2,,0,57.9,,
2017-11-26T00:24:06.481Z,,33.2,,0,55.9,,
2017-11-26T00:24:16.475Z,,33.1,,0,54.6,,
2017-11-26T00:24:26.475Z,,33.1,,0,53.4,,
2017-11-26T00:24:36.473Z,,33.1,,0,52.7,,
2017-11-26T00:24:46.475Z,,33.2,,0,51.9,,
2017-11-26T00:24:56.694Z,,33.1,,0,51.5,,
2017-11-26T00:25:06.475Z,,33.1,,0,51.3,,
2017-11-26T00:25:16.476Z,,33.1,,0,51.5,,
2017-11-26T00:25:26.476Z,,33.1,,0,52,,
2017-11-26T00:25:36.477Z,,33.1,,0,52.6,,
2017-11-26T00:25:46.474Z,,33.1,,0,53.2,,
2017-11-26T00:25:56.473Z,,33.1,,0,53.7,,
2017-11-26T00:26:06.476Z,,33.1,,0,54.3,,
2017-11-26T00:26:16.476Z,,33.1,,0,54.5,,
2017-11-26T00:26:26.609Z,,33.1,,0,54.4,,
2017-11-26T00:26:36.739Z,,33.1,,0,53.9,,
2017-11-26T00:26:46.479Z,,33.1,,0,53.3,,
2017-11-26T00:26:56.474Z,,33.1,,0,52.7,,
2017-11-26T00:27:06.479Z,,33.2,,0,51.9,,
2017-11-26T00:27:16.474Z,,33.1,,0,51.3,,
2017-11-26T00:27:26.474Z,,33.1,,0,50.7,,
2017-11-26T00:27:36.478Z,1,39.9,43,0,52,0,
2017-11-26T00:27:46.487Z,0,51.4,0,0,58.6,2,0
2017-11-26T00:27:56.477Z,0,31.2,32,54,59.8,2,
2017-11-26T00:28:06.488Z,,53.1,30,54,53.9,,
2017-11-26T00:28:16.474Z,,53.8,31,54,53.6,,
2017-11-26T00:28:26.478Z,,53.6,33,54,53.4,,
2017-11-26T00:28:36.474Z,,53.5,35,54,,,
2017-11-26T00:28:46.474Z,,53.6,36,54,53.5,,
