Time,HwActive,HwTSet,HwTOutlet,PrimT,ActPow,PrimTSet,ChActive
2017-12-18T00:18:39.282Z,,0,26.8,,,,
2017-12-18T00:18:49.361Z,,0,26.8,,,,
2017-12-18T00:18:59.281Z,,0,26.7,46.2,,,
2017-12-18T00:19:09.281Z,,0,26.7,,,,
2017-12-18T00:19:19.281Z,,0,26.7,,,,
2017-12-18T00:19:29.282Z,,0,26.7,,,,
2017-12-18T00:19:39.282Z,,0,26.7,,,,
2017-12-18T00:19:49.371Z,,0,26.7,,,,
2017-12-18T00:19:59.282Z,,0,26.7,,,,
2017-12-18T00:20:09.281Z,,0,26.6,46.1,,,
2017-12-18T00:20:19.281Z,,0,26.6,,,,
2017-12-18T00:20:29.283Z,,0,26.6,,,,
2017-12-18T00:20:39.281Z,,0,26.6,,,,
2017-12-18T00:20:49.361Z,,0,26.6,,,,
2017-12-18T00:20:59.282Z,,0,26.6,,,,
2017-12-18T00:21:09.284Z,,0,26.6,,,,
2017-12-18T00:21:19.281Z,,0,26.5,46,,,
2017-12-18T00:21:29.281Z,,0,26.5,,,,
2017-12-18T00:21:39.282Z,,0,26.5,,,,
2017-12-18T00:21:49.361Z,,0,26.5,,,,
2017-12-18T00:21:59.282Z,,0,26.5,,,,
2017-12-18T00:22:09.282Z,,0,26.5,,,,
2017-12-18T00:22:19.284Z,,0,26.5,46,,,
2017-12-18T00:22:29.281Z,,0,26.3,45.9,,,
2017-12-18T00:22:39.284Z,,0,26.3,,,,
2017-12-18T00:22:49.373Z,,0,26.3,,,,
2017-12-18T00:22:59.285Z,,0,26.3,,,,
2017-12-18T00:23:09.284Z,,0,26.3,,,,
2017-12-18T00:23:19.287Z,,0,26.3,,,,
2017-12-18T00:23:29.283Z,,0,26.2,45.8,,,
2017-12-18T00:23:39.282Z,,0,26.2,,,,
2017-12-18T00:23:49.362Z,,0,26.2,,,,
2017-12-18T00:23:59.282Z,,0,26.2,,,,
2017-12-18T00:24:09.282Z,,0,26.2,,,,
