Time,HwTOutlet,ActPow,PrimTSet,HwActive,PrimT,HwTSet,ChActive
2017-12-06T00:18:30.798Z,36.6,,,,,0,
2017-12-06T00:18:40.795Z,36.5,,,,36.8,0,
2017-12-06T00:18:50.795Z,36.4,,,,,0,
2017-12-06T00:19:00.795Z,36.3,,5,,,0,
2017-12-06T00:19:10.794Z,36.2,,,,,0,
2017-12-06T00:19:20.795Z,36.1,,,,36.7,0,
2017-12-06T00:19:30.796Z,36,,,,,0,
2017-12-06T00:19:40.795Z,35.9,,,,,0,
2017-12-06T00:19:50.799Z,35.8,,,,,0,
2017-12-06T00:20:00.795Z,35.7,,,,,0,
2017-12-06T00:20:10.795Z,35.6,,,,36.6,0,
2017-12-06T00:20:20.948Z,35.5,,,,,0,
2017-12-06T00:20:30.795Z,35.4,,,,,0,
2017-12-06T00:20:40.795Z,35.3,,,,,0,
2017-12-06T00:20:50.797Z,35.2,,0,,,0,
2017-12-06T00:21:00.795Z,37.8,,,,36.1,0,
2017-12-06T00:21:10.795Z,37.7,,,,36.1,0,
2017-12-06T00:21:20.798Z,37.5,,,,,0,
2017-12-06T00:21:30.798Z,37.4,,,,,0,
2017-12-06T00:21:40.798Z,37.3,,,,,0,
2017-12-06T00:21:50.797Z,37.2,,,,36,0,
2017-12-06T00:22:00.798Z,36.9,,5,,,0,
2017-12-06T00:22:10.796Z,36.8,,,,,0,
2017-12-06T00:22:20.799Z,36.7,,,,,0,
2017-12-06T00:22:30.799Z,36.6,,,,36,0,
2017-12-06T00:22:40.798Z,36.5,,,,35.9,0,
2017-12-06T00:22:50.800Z,36.3,,,,,0,
2017-12-06T00:23:00.800Z,36.2,,,,,0,
2017-12-06T00:23:10.796Z,36.1,,,,,0,
2017-12-06T00:23:20.795Z,36,,,,,0,
2017-12-06T00:23:30.795Z,35.9,,,,,0,
2017-12-06T00:23:40.804Z,35.8,,,,,0,
2017-12-06T00:23:50.799Z,35.7,,,,35.8,0,
2017-12-06T00:24:00.795Z,35.6,,,,,0,
2017-12-06T00:24:10.809Z,35.5,,,,,0,
2017-12-06T00:24:20.795Z,35.3,,,,,0,
2017-12-06T00:24:30.799Z,35.2,,,,,0,
2017-12-06T00:24:40.796Z,35.1,,,,,0,
2017-12-06T00:24:50.796Z,34.9,,,,,0,
2017-12-06T00:25:00.800Z,34.8,,,,,0,
2017-12-06T00:25:10.799Z,34.7,,,,,0,
2017-12-06T00:25:20.796Z,34.7,,,,,0,
2017-12-06T00:25:30.796Z,34.5,,,,,0,
2017-12-06T00:25:40.796Z,34.4,,,,,0,
2017-12-06T00:25:50.802Z,34.4,,,,,0,
2017-12-06T00:26:00.799Z,34.2,,,,,0,
2017-12-06T00:26:10.802Z,34.2,,,,,0,
2017-12-06T00:26:20.800Z,34.1,,,,,0,
2017-12-06T00:26:30.796Z,34,,,,,0,
2017-12-06T00:26:40.795Z,34,,,,,0,
2017-12-06T00:26:50.797Z,33.9,,,,,0,
2017-12-06T00:27:00.799Z,33.8,,,,35.7,0,
2017-12-06T00:27:10.795Z,33.7,,,,35.8,0,
2017-12-06T00:27:20.796Z,33.7,,,,,0,
2017-12-06T00:27:30.800Z,33.6,,,,35.7,0,
2017-12-06T00:27:40.796Z,33.5,,,,,0,
2017-12-06T00:27:50.798Z,33.4,,,,,0,
2017-12-06T00:28:00.797Z,33.3,,,,,0,
2017-12-06T00:28:10.796Z,33.3,,,,,0,
2017-12-06T00:28:20.801Z,33.2,,,,,0,
2017-12-06T00:28:30.802Z,33.1,,,,,0,
2017-12-06T00:28:40.796Z,32.9,,,,,0,
2017-12-06T00:28:50.800Z,32.9,,,,,0,
2017-12-06T00:29:00.796Z,32.8,,,,,0,
2017-12-06T00:29:10.801Z,32.7,,,,,0,
2017-12-06T00:29:20.796Z,32.6,,,,,0,
2017-12-06T00:29:30.801Z,32.6,,,,,0,
2017-12-06T00:29:40.796Z,32.5,,,,,0,
2017-12-06T00:29:50.798Z,32.4,,,,,0,
2017-12-06T00:30:00.802Z,32.3,,,,35.6,0,
2017-12-06T00:30:10.796Z,32.3,,,,,0,
2017-12-06T00:30:21.078Z,32.2,,,,,0,
2017-12-06T00:30:30.802Z,32.2,,,,,0,
2017-12-06T00:30:40.796Z,32.1,,,,,0,
2017-12-06T00:30:50.801Z,32,,,,,0,
2017-12-06T00:31:00.797Z,32,,,,,0,
2017-12-06T00:31:10.802Z,31.9,,,,,0,
2017-12-06T00:31:20.797Z,31.8,,,,,0,
2017-12-06T00:31:30.797Z,31.8,,,,,0,
2017-12-06T00:31:40.797Z,31.6,,,,,0,
2017-12-06T00:31:50.797Z,31.6,,,,,0,
2017-12-06T00:32:00.797Z,31.5,,,,,0,
2017-12-06T00:32:10.797Z,31.4,,,,35.5,0,
2017-12-06T00:32:20.797Z,31.4,,,,,0,
2017-12-06T00:32:30.797Z,31.3,,,,,0,
2017-12-06T00:32:40.797Z,31.3,,,,,0,
2017-12-06T00:32:50.803Z,31.2,,,,,0,
2017-12-06T00:33:00.796Z,31,,,,,0,
2017-12-06T00:33:10.867Z,31,,,,,0,
2017-12-06T00:33:20.897Z,30.9,,,,,0,
2017-12-06T00:33:30.797Z,30.9,,,,,0,
2017-12-06T00:33:40.799Z,30.8,,,,,0,
2017-12-06T00:33:50.797Z,30.8,,,,35.4,0,
2017-12-06T00:34:00.797Z,30.7,,,,35.5,0,
2017-12-06T00:34:10.797Z,30.7,,,,35.4,0,
2017-12-06T00:34:20.798Z,30.6,,,,,0,
2017-12-06T00:34:30.796Z,30.6,,,,,0,
2017-12-06T00:34:40.797Z,30.4,,,,,0,
2017-12-06T00:34:50.797Z,30.4,,,,,0,
2017-12-06T00:35:00.798Z,30.3,,,,,0,
2017-12-06T00:35:10.802Z,30.3,,,,,0,
2017-12-06T00:35:20.797Z,30.2,,,,,0,
2017-12-06T00:35:30.802Z,30.2,,,,,0,
2017-12-06T00:35:40.798Z,30.1,,,,,0,
2017-12-06T00:35:50.957Z,30.1,,,,,0,
2017-12-06T00:36:00.798Z,30,,,,,0,
2017-12-06T00:36:10.806Z,30,,,,35.3,0,
2017-12-06T00:36:20.800Z,30,,,,,0,
2017-12-06T00:36:30.797Z,29.8,,,,,0,
2017-12-06T00:36:40.798Z,29.8,,,,,0,
2017-12-06T00:36:50.797Z,29.7,,,,,0,
2017-12-06T00:37:00.801Z,29.7,,,,,0,
2017-12-06T00:37:10.800Z,29.6,,,,,0,
2017-12-06T00:37:20.797Z,29.6,,,,,0,
2017-12-06T00:37:31.276Z,29.6,,,,,0,
2017-12-06T00:37:40.810Z,29.5,,,,,0,
2017-12-06T00:37:50.798Z,29.5,,,,,0,
