Time,HwTSet,HwActive,HwTOutlet,PrimT,ChActive,PrimTSet,ActPow
2018-01-05T00:18:43.808Z,0,,22.7,,,,
2018-01-05T00:18:53.808Z,0,,22.7,39.4,,,
2018-01-05T00:19:03.808Z,0,,22.7,,,,
2018-01-05T00:19:13.808Z,0,,22.7,,,,
2018-01-05T00:19:23.808Z,0,,22.7,,,,
2018-01-05T00:19:33.808Z,0,,22.7,,,,
2018-01-05T00:19:43.810Z,0,,22.7,,,,
2018-01-05T00:19:53.809Z,0,,22.7,,,,
2018-01-05T00:20:03.935Z,0,,22.7,,,,
2018-01-05T00:20:13.813Z,0,,22.7,,,,
2018-01-05T00:20:23.808Z,0,,22.7,39.3,,,
2018-01-05T00:20:33.808Z,0,,22.7,,,,
2018-01-05T00:20:43.809Z,0,,22.7,,,,
2018-01-05T00:20:53.810Z,0,,22.7,,,,
2018-01-05T00:21:03.811Z,0,,22.7,,,,
2018-01-05T00:21:13.811Z,0,,22.6,,,,
2018-01-05T00:21:23.808Z,0,,22.6,,,,
2018-01-05T00:21:33.809Z,0,,22.6,,,,
2018-01-05T00:21:43.809Z,0,,22.6,39.2,,,
2018-01-05T00:21:53.809Z,0,,22.6,,,,
2018-01-05T00:22:03.809Z,0,,22.6,,,,
2018-01-05T00:22:13.812Z,0,,22.6,,,,
2018-01-05T00:22:23.808Z,0,,22.6,,,,
2018-01-05T00:22:33.809Z,0,,22.6,,,,
2018-01-05T00:22:43.809Z,0,,22.6,,,,
2018-01-05T00:22:53.809Z,0,,22.6,,,,
2018-01-05T00:23:03.812Z,0,,22.6,,,,
2018-01-05T00:23:13.809Z,0,,22.6,,,,
2018-01-05T00:23:23.810Z,0,,22.6,39.1,,,
2018-01-05T00:23:33.809Z,0,,22.6,,,,
2018-01-05T00:23:43.811Z,0,,22.5,,,,
2018-01-05T00:23:53.809Z,0,,22.5,,,,
2018-01-05T00:24:03.811Z,0,,22.5,,,,
2018-01-05T00:24:13.809Z,0,,22.6,,,,
2018-01-05T00:24:23.809Z,0,,22.5,,,,
2018-01-05T00:24:33.809Z,0,,22.5,,,,
2018-01-05T00:24:43.809Z,0,,22.5,38.9,,,
2018-01-05T00:24:53.812Z,0,,22.5,38.9,,,
2018-01-05T00:25:03.811Z,0,,22.5,,,,
2018-01-05T00:25:13.810Z,0,,22.5,,,,
2018-01-05T00:25:23.809Z,0,,22.5,,,,
2018-01-05T00:25:33.809Z,0,,22.5,,,,
2018-01-05T00:25:43.809Z,0,,22.5,,,,
2018-01-05T00:25:55.931Z,0,,22.5,,,,
2018-01-05T00:26:03.967Z,0,,22.5,,,,
2018-01-05T00:26:13.810Z,0,,22.5,,,,
2018-01-05T00:26:23.810Z,0,,22.5,38.8,,,
2018-01-05T00:26:33.809Z,0,,22.5,,,,
2018-01-05T00:26:43.809Z,0,,22.5,,,,
2018-01-05T00:26:53.809Z,0,,22.5,,,,
2018-01-05T00:27:03.813Z,0,,22.4,,,,
2018-01-05T00:27:13.809Z,0,,22.4,,,,
2018-01-05T00:27:23.811Z,0,,22.4,,,,
