Time,PrimT,HwTSet,PrimTSet,ChActive,HwTOutlet,ActPow,HwActive
2017-12-11T00:18:47.932Z,,0,,,27.1,,
2017-12-11T00:18:57.852Z,,0,,,27.1,,
2017-12-11T00:19:07.852Z,,0,,,27.1,,
2017-12-11T00:19:17.852Z,49.8,0,,,27.1,,
2017-12-11T00:19:27.854Z,,0,,,26.9,,
2017-12-11T00:19:37.852Z,,0,,,26.9,,
2017-12-11T00:19:48.055Z,,0,,,26.9,,
2017-12-11T00:19:57.852Z,,0,,,26.9,,
2017-12-11T00:20:07.853Z,,0,,,26.9,,
2017-12-11T00:20:17.861Z,49.7,0,,,26.9,,
2017-12-11T00:20:27.855Z,,0,,,26.8,,
2017-12-11T00:20:37.860Z,,0,,,26.8,,
2017-12-11T00:20:48.042Z,,0,,,26.8,,
2017-12-11T00:20:57.852Z,,0,,,26.8,,
2017-12-11T00:21:07.854Z,,0,,,26.7,,
2017-12-11T00:21:17.853Z,49.6,0,,,26.7,,
2017-12-11T00:21:27.853Z,,0,,,26.7,,
2017-12-11T00:21:37.853Z,,0,,,26.7,,
2017-12-11T00:21:47.943Z,,0,,,26.7,,
2017-12-11T00:21:57.854Z,,0,,,26.7,,
2017-12-11T00:22:07.853Z,49.5,0,,,26.6,,
2017-12-11T00:22:17.858Z,,0,,,26.6,,
2017-12-11T00:22:27.852Z,,0,,,26.6,,
2017-12-11T00:22:38.010Z,,0,,,26.6,,
2017-12-11T00:22:47.973Z,,0,,,26.6,,
2017-12-11T00:22:57.856Z,,0,,,26.6,,
2017-12-11T00:23:07.853Z,,0,,,26.5,,
2017-12-11T00:23:17.856Z,49.4,0,,,26.5,,
2017-12-11T00:23:27.860Z,,0,,,26.5,,
2017-12-11T00:23:37.886Z,,0,,,26.5,,
2017-12-11T00:23:47.945Z,,0,,,26.5,,
2017-12-11T00:23:57.852Z,,0,,,26.3,,
2017-12-11T00:24:07.853Z,,0,,,26.3,,
2017-12-11T00:24:17.892Z,49.3,0,,,26.3,,
2017-12-11T00:24:27.854Z,,0,,,26.3,,
2017-12-11T00:24:37.864Z,,0,,,26.3,,
2017-12-11T00:24:48.057Z,,0,,,26.3,,
2017-12-11T00:24:57.854Z,,0,,,26.2,,
2017-12-11T00:25:07.856Z,,0,,,26.2,,
2017-12-11T00:25:17.892Z,49.2,0,,,26.2,,
2017-12-11T00:25:27.853Z,,0,,,26.2,,
2017-12-11T00:25:37.854Z,,0,,,26.2,,
2017-12-11T00:25:48.103Z,,0,,,26.2,,
2017-12-11T00:25:57.853Z,,0,,,26.1,,
2017-12-11T00:26:07.853Z,49.1,0,,,26.1,,
2017-12-11T00:26:17.854Z,,0,,,26.1,,
2017-12-11T00:26:27.854Z,,0,,,26.1,,
2017-12-11T00:26:37.853Z,,0,,,26.1,,
2017-12-11T00:26:48.050Z,,0,,,26,,
2017-12-11T00:26:57.853Z,,0,,,26,,
2017-12-11T00:27:07.855Z,49,0,,,26,,
2017-12-11T00:27:18.189Z,,0,,,26,,
2017-12-11T00:27:27.853Z,,0,,,26,,
2017-12-11T00:27:37.854Z,,0,,,26,,
2017-12-11T00:27:47.933Z,,0,,,26,,
2017-12-11T00:27:57.854Z,,0,,,25.9,,
2017-12-11T00:28:07.854Z,,0,,,25.9,,
2017-12-11T00:28:17.856Z,48.9,0,,,25.9,,
