Time,HwTSet,PrimT,ActPow,HwActive,PrimTSet,ChActive,HwTOutlet
2018-02-07T00:18:58.023Z,0,,,,,,23.2
2018-02-07T00:19:08.020Z,0,,,,,,23.2
2018-02-07T00:19:18.020Z,0,38.8,,,,,23.2
2018-02-07T00:19:28.023Z,0,,,,,,23.2
2018-02-07T00:19:38.020Z,0,,,,,,23.2
2018-02-07T00:19:48.020Z,0,,,,,,23.2
2018-02-07T00:19:58.026Z,0,,,,,,23.2
2018-02-07T00:20:08.022Z,0,,,,,,23.2
2018-02-07T00:20:18.020Z,0,,,,,,23.1
2018-02-07T00:20:28.020Z,0,,,,,,23.1
2018-02-07T00:20:38.021Z,0,,,,,,23.1
2018-02-07T00:20:48.021Z,0,,,,,,23.1
2018-02-07T00:20:58.020Z,0,38.7,,,,,23.1
2018-02-07T00:21:08.020Z,0,,,,,,23.1
2018-02-07T00:21:18.020Z,0,,,,,,23.1
2018-02-07T00:21:28.141Z,0,,,,,,23.1
2018-02-07T00:21:38.021Z,0,,,,,,23.1
2018-02-07T00:21:48.023Z,0,,,,,,23.1
2018-02-07T00:21:58.020Z,0,,,,,,23.1
2018-02-07T00:22:08.020Z,0,,,,,,23.1
2018-02-07T00:22:18.021Z,0,38.6,,,,,23.1
2018-02-07T00:22:28.021Z,0,,,,,,23
2018-02-07T00:22:38.023Z,0,,,,,,23.1
2018-02-07T00:22:48.030Z,0,,,,,,23
2018-02-07T00:22:58.020Z,0,,,,,,23
2018-02-07T00:23:08.024Z,0,,,,,,23
2018-02-07T00:23:18.031Z,0,,,,,,23
2018-02-07T00:23:28.021Z,0,,,,,,23
2018-02-07T00:23:38.020Z,0,,,,,,23
2018-02-07T00:23:48.043Z,0,,,,,,23
2018-02-07T00:23:58.023Z,0,38.5,,,,,23
2018-02-07T00:24:08.021Z,0,,,,,,23
2018-02-07T00:24:23.278Z,0,,,,,,23
2018-02-07T00:24:28.022Z,0,,,,,,23
2018-02-07T00:24:38.021Z,0,,,,,,23
2018-02-07T00:24:48.040Z,0,,,,,,23
2018-02-07T00:24:58.021Z,0,,,,,,23
2018-02-07T00:25:08.025Z,0,,,,,,22.8
2018-02-07T00:25:18.046Z,0,38.4,,,,,22.8
2018-02-07T00:25:28.022Z,0,38.4,0,0,5,0,22.8
2018-02-07T00:25:38.022Z,0,,,,,,22.8
2018-02-07T00:25:48.038Z,0,,,,,,22.8
2018-02-07T00:25:58.021Z,0,,,,,,22.8
2018-02-07T00:26:08.022Z,0,,,,,,22.8
2018-02-07T00:26:18.027Z,0,,,,,,22.8
2018-02-07T00:26:28.021Z,0,,,,,,22.8
2018-02-07T00:26:38.022Z,0,,,,,,22.8
2018-02-07T00:26:48.025Z,0,,,,,,22.8
2018-02-07T00:26:58.021Z,0,38.3,,,,,22.8
2018-02-07T00:27:08.021Z,0,,,,,,22.8
2018-02-07T00:27:18.024Z,0,,,,,,22.8
2018-02-07T00:27:28.022Z,0,,,,,,22.7
2018-02-07T00:27:38.021Z,0,,,,,,22.7
2018-02-07T00:27:48.022Z,0,,,,,,22.7
2018-02-07T00:27:58.021Z,0,,,,,,22.7
2018-02-07T00:28:08.022Z,0,,,,,,22.7
2018-02-07T00:28:18.022Z,0,,,,,,22.7
2018-02-07T00:28:28.022Z,0,,,,,,22.7
2018-02-07T00:28:38.024Z,0,38.2,,,,,22.7
2018-02-07T00:28:48.022Z,0,,,,,,22.7
2018-02-07T00:28:58.021Z,0,,,,,,22.7
2018-02-07T00:29:08.026Z,0,,,,,,22.7
2018-02-07T00:29:18.023Z,0,,,,,,22.7
2018-02-07T00:29:28.024Z,0,,,,,,22.7
2018-02-07T00:29:38.024Z,0,,,,,,22.7
2018-02-07T00:29:48.022Z,0,,,,,,22.7
2018-02-07T00:29:58.022Z,0,,,,,,22.6
2018-02-07T00:30:08.024Z,0,,,,,,22.6
2018-02-07T00:30:18.022Z,0,38.1,,,,,22.6
2018-02-07T00:30:28.022Z,0,,,,,,22.6
2018-02-07T00:30:38.022Z,0,,,,,,22.6
2018-02-07T00:30:48.022Z,0,,,,,,22.6
2018-02-07T00:30:58.021Z,0,,,,,,22.6
2018-02-07T00:31:08.046Z,0,,,,,,22.6
2018-02-07T00:31:18.023Z,0,,,,,,22.6
2018-02-07T00:31:28.022Z,0,,,,,,22.6
2018-02-07T00:31:38.022Z,0,38,,,,,22.6
2018-02-07T00:31:48.022Z,0,,,,,,22.6
2018-02-07T00:31:58.022Z,0,,,,,,22.6
2018-02-07T00:32:08.022Z,0,,,,,,22.6
2018-02-07T00:32:18.028Z,0,,,,,,22.5
2018-02-07T00:32:28.022Z,0,,,,,,22.6
2018-02-07T00:32:38.022Z,0,,,,,,22.5
2018-02-07T00:32:48.023Z,0,,,,,,22.5
2018-02-07T00:32:58.022Z,0,,,,,,22.5
2018-02-07T00:33:08.023Z,0,,,,,,22.5
2018-02-07T00:33:18.023Z,0,38,,,,,22.5
2018-02-07T00:33:28.023Z,0,37.9,,,,,22.5
2018-02-07T00:33:38.022Z,0,,,,,,22.5
2018-02-07T00:33:48.025Z,0,,,,,,22.5
2018-02-07T00:33:58.022Z,0,,,,,,22.5
2018-02-07T00:34:08.022Z,0,,,,,,22.5
2018-02-07T00:34:18.023Z,0,,,,,,22.5
2018-02-07T00:34:28.027Z,0,,,,,,22.5
2018-02-07T00:34:38.022Z,0,,,,,,22.5
2018-02-07T00:34:48.022Z,0,,,,,,22.5
2018-02-07T00:34:58.024Z,0,37.8,,,,,22.5
2018-02-07T00:35:08.024Z,0,,,,,,22.5
2018-02-07T00:35:18.024Z,0,,,,,,22.4
2018-02-07T00:35:28.026Z,0,,,,,,22.4
2018-02-07T00:35:38.022Z,0,,,,,,22.4
2018-02-07T00:35:48.022Z,0,,,,,,22.4
2018-02-07T00:35:58.028Z,0,,,,,,22.4
2018-02-07T00:36:08.022Z,0,,,,,,22.4
2018-02-07T00:36:18.023Z,0,,,,,,22.4
2018-02-07T00:36:28.023Z,0,37.7,,,,,22.4
2018-02-07T00:36:38.053Z,0,37.8,,,,,22.4
2018-02-07T00:36:48.022Z,0,37.7,,,,,22.4
2018-02-07T00:36:58.023Z,0,,,,,,22.4
2018-02-07T00:37:08.023Z,0,,,,,,22.4
2018-02-07T00:37:18.023Z,0,,,,,,22.4
2018-02-07T00:37:28.023Z,0,,,,,,22.4
2018-02-07T00:37:38.023Z,0,,,,,,22.4
2018-02-07T00:37:48.022Z,0,,,,,,22.2
2018-02-07T00:37:58.023Z,0,,,,,,22.4
2018-02-07T00:38:08.023Z,0,37.6,,,,,22.2
2018-02-07T00:38:18.027Z,0,37.7,,,,,22.2
2018-02-07T00:38:28.024Z,0,37.6,,,,,22.2
2018-02-07T00:38:38.024Z,0,,,,,,22.2
2018-02-07T00:38:48.042Z,0,,,,,,22.2
2018-02-07T00:38:58.024Z,0,,,,,,22.2
2018-02-07T00:39:08.025Z,0,,,,,,22.2
2018-02-07T00:39:18.300Z,0,,,,,,22.2
2018-02-07T00:39:28.023Z,0,,,,,,22.2
2018-02-07T00:39:38.023Z,0,,,,,,22.2
2018-02-07T00:39:48.027Z,0,37.5,,,,,22.2
2018-02-07T00:39:58.023Z,0,,,,,,22.2
2018-02-07T00:40:08.023Z,0,,,,,,22.2
2018-02-07T00:40:18.108Z,0,,,,,,22.2
2018-02-07T00:40:28.026Z,0,,,,,,22.2
2018-02-07T00:40:38.029Z,0,,,,,,22.2
2018-02-07T00:40:48.100Z,0,,,,,,22.2
2018-02-07T00:40:58.024Z,0,,,,,,22.1
2018-02-07T00:41:08.035Z,0,,,,,,22.1
2018-02-07T00:41:18.028Z,0,,,,,,22.1
2018-02-07T00:41:28.025Z,0,,,,,,22.1
2018-02-07T00:41:38.027Z,0,37.4,,,,,22.1
2018-02-07T00:41:48.023Z,0,,,,,,22.1
2018-02-07T00:41:58.024Z,0,,,,,,22.1
2018-02-07T00:42:08.024Z,0,,,,,,22.1
2018-02-07T00:42:18.028Z,0,,,,,,22.1
2018-02-07T00:42:28.054Z,0,,,,,,22.1
