Time,HwTOutlet,PrimT,ActPow,PrimTSet,HwActive,ChActive,HwTSet
2018-01-26T00:00:02.668Z,32.6,,,,,,55
2018-01-26T00:00:12.674Z,32.5,37.3,79,,0,2,55
2018-01-26T00:00:22.757Z,32.5,42.4,64,,,,55
2018-01-26T00:00:32.669Z,32.5,43.6,43,,,,55
2018-01-26T00:00:42.668Z,32.5,41.9,29,,,,55
2018-01-26T00:00:52.668Z,32.3,40.8,,,,,55
2018-01-26T00:01:02.673Z,32.3,39.9,,,,,55
2018-01-26T00:01:12.667Z,32.3,39.6,,,,,55
2018-01-26T00:01:22.755Z,32.3,39,,,,,55
2018-01-26T00:01:32.669Z,32.3,39.1,,,,,55
2018-01-26T00:01:42.670Z,32.2,39.2,,,,,55
2018-01-26T00:01:52.668Z,32.2,39.4,,,,,55
2018-01-26T00:02:02.669Z,32.2,39.5,,,,,55
2018-01-26T00:02:12.667Z,32.2,39.7,,,,,55
2018-01-26T00:02:22.783Z,32.2,40,,,,,55
2018-01-26T00:02:32.679Z,32.2,,,,,,55
2018-01-26T00:02:42.667Z,32.1,40.2,,,,,55
2018-01-26T00:02:52.670Z,32.1,40.5,,,,,55
2018-01-26T00:03:02.669Z,32.1,40.6,,,,,55
2018-01-26T00:03:12.667Z,32.1,40.7,,,,,55
2018-01-26T00:03:22.753Z,32.1,40.8,,,,,55
2018-01-26T00:03:32.667Z,32.1,41,,,,,55
2018-01-26T00:03:42.667Z,32.1,,,,,,55
2018-01-26T00:03:52.667Z,32.1,41.2,,,,,55
2018-01-26T00:04:02.667Z,32.1,41.5,,,,,55
2018-01-26T00:04:12.667Z,32.1,,,,,,55
2018-01-26T00:04:22.753Z,32.1,41.7,,,,,55
2018-01-26T00:04:32.669Z,32.1,41.8,,,,,55
2018-01-26T00:04:42.667Z,32.1,42,,,,,55
2018-01-26T00:04:52.667Z,32.1,42.2,,,,,55
2018-01-26T00:05:02.672Z,32.2,42.3,,,,,55
2018-01-26T00:05:12.668Z,32.2,42.4,,,,,55
2018-01-26T00:05:22.759Z,32.2,42.5,,,,,55
2018-01-26T00:05:32.667Z,32.3,42.7,,,,,55
2018-01-26T00:05:42.667Z,32.3,43,,,,,55
2018-01-26T00:05:52.718Z,32.3,,,,,,55
2018-01-26T00:06:02.667Z,32.5,43.1,,,,,55
2018-01-26T00:06:12.667Z,32.5,43.2,,,,,55
2018-01-26T00:06:22.754Z,32.6,43.3,,,,,55
2018-01-26T00:06:32.669Z,32.6,43.5,,,,,55
2018-01-26T00:06:42.667Z,32.6,43.6,,,,,55
2018-01-26T00:06:52.695Z,32.7,43.7,,,,,55
2018-01-26T00:07:02.667Z,32.7,43.9,0,,0,2,55
2018-01-26T00:07:12.668Z,32.8,41.8,,,,,55
2018-01-26T00:07:22.752Z,32.8,40.7,,,,,55
2018-01-26T00:07:32.667Z,33,39.7,,,,,55
2018-01-26T00:07:42.667Z,33,39.5,,,,,55
2018-01-26T00:07:52.667Z,33.1,40,,,,,55
2018-01-26T00:08:02.669Z,33.1,40.3,,,,,55
2018-01-26T00:08:12.669Z,33.2,40.8,,,,,55
2018-01-26T00:08:22.752Z,33.2,40.7,,,,,55
2018-01-26T00:08:32.667Z,33.3,40.5,,,,,55
2018-01-26T00:08:42.672Z,33.3,40.3,,,,,55
2018-01-26T00:08:52.667Z,33.5,40.1,,,,,55
2018-01-26T00:09:02.667Z,33.5,39.9,,,,,55
2018-01-26T00:09:12.682Z,33.6,,,,,,55
2018-01-26T00:09:22.803Z,33.6,39.8,,,,,55
2018-01-26T00:09:32.667Z,33.6,39.6,,,,,55
2018-01-26T00:09:42.666Z,33.6,39.5,,,,,55
2018-01-26T00:09:52.671Z,33.7,39.4,,,,,55
2018-01-26T00:10:02.669Z,33.7,,,,,,55
2018-01-26T00:10:12.668Z,33.7,39.3,,,,,55
2018-01-26T00:10:22.823Z,33.7,39.1,,,,,55
2018-01-26T00:10:32.668Z,33.7,38.9,,,,,55
2018-01-26T00:10:47.747Z,33.7,,,,,,55
2018-01-26T00:10:52.667Z,33.7,,,,,,55
2018-01-26T00:11:02.960Z,33.7,38.8,,,,,55
2018-01-26T00:11:12.667Z,33.7,,,,,,55
2018-01-26T00:11:22.752Z,33.7,39,,,,,55
2018-01-26T00:11:32.666Z,33.7,,,,,,55
2018-01-26T00:11:42.666Z,33.7,39.1,,,,,55
2018-01-26T00:11:52.666Z,33.7,39.3,,,,,55
2018-01-26T00:12:02.667Z,33.7,39.4,,,,,55
2018-01-26T00:12:12.667Z,33.7,39.5,,,,,55
2018-01-26T00:12:22.757Z,33.7,,,,,,55
2018-01-26T00:12:32.668Z,33.7,39.6,,,,,55
2018-01-26T00:12:42.680Z,33.7,39.8,,,,,55
2018-01-26T00:12:52.666Z,33.7,,,,,,55
2018-01-26T00:13:02.667Z,33.7,39.9,,,,,55
2018-01-26T00:13:12.666Z,33.7,,,,,,55
2018-01-26T00:13:22.782Z,33.6,40,,,,,55
2018-01-26T00:13:32.670Z,33.6,,,,,,55
2018-01-26T00:13:42.668Z,33.6,40.1,,,,,55
2018-01-26T00:13:52.666Z,33.6,,,,,,55
2018-01-26T00:14:02.666Z,33.6,40.2,,,,,55
2018-01-26T00:14:12.667Z,33.6,,,,,,55
2018-01-26T00:14:22.756Z,33.6,,,,,,55
2018-01-26T00:14:32.666Z,33.5,40.3,,,,,55
2018-01-26T00:14:42.669Z,33.5,,,,,,55
2018-01-26T00:14:52.666Z,33.5,,,,,,55
2018-01-26T00:15:02.667Z,33.5,40.5,,,,,55
2018-01-26T00:15:12.666Z,33.5,,,,,,55
2018-01-26T00:15:22.756Z,33.5,,,,,,55
2018-01-26T00:15:32.671Z,33.3,,,,,,55
2018-01-26T00:15:42.667Z,33.3,40.6,,,,,55
2018-01-26T00:15:52.666Z,33.3,,,,,,55
2018-01-26T00:16:02.666Z,33.3,,,,,,55
2018-01-26T00:16:12.666Z,33.3,,,,,,55
2018-01-26T00:16:23.006Z,33.2,40.7,,,,,55
2018-01-26T00:16:32.670Z,33.2,,,,,,55
2018-01-26T00:16:42.666Z,33.2,,,,,,55
2018-01-26T00:16:52.666Z,33.2,,,,,,55
2018-01-26T00:17:02.666Z,33.2,,,,,,55
2018-01-26T00:17:12.666Z,33.2,38.8,,,,,55
2018-01-26T00:17:22.756Z,33.1,37.8,,,,,55
