Time,ActPow,PrimT,HwTSet,ChActive,HwTOutlet,PrimTSet,HwActive
2018-02-02T00:00:01.923Z,,41.8,55,,32.3,,
2018-02-02T00:00:11.924Z,,40.6,55,,32.5,,
2018-02-02T00:00:21.923Z,,39.7,55,,32.5,,
2018-02-02T00:00:31.926Z,,39.6,55,,32.6,,
2018-02-02T00:00:41.923Z,,40,55,,32.7,,
2018-02-02T00:00:51.924Z,,40.3,55,,32.7,,
2018-02-02T00:01:01.928Z,,40.9,55,,32.8,,
2018-02-02T00:01:11.923Z,,40.7,55,,32.8,,
2018-02-02T00:01:21.923Z,,40.5,55,,33,,
2018-02-02T00:01:31.923Z,,40.3,55,,33,,
2018-02-02T00:01:41.925Z,,40.1,55,,33.1,,
2018-02-02T00:01:51.923Z,,39.9,55,,33.1,,
2018-02-02T00:02:01.924Z,,,55,,33.2,,
2018-02-02T00:02:11.924Z,,39.8,55,,33.2,,
2018-02-02T00:02:21.924Z,,39.6,55,,33.2,,
2018-02-02T00:02:31.923Z,,39.5,55,,33.3,,
2018-02-02T00:02:41.927Z,,39.4,55,,33.3,,
2018-02-02T00:02:51.923Z,,,55,,33.3,,
2018-02-02T00:03:01.923Z,,39.3,55,,33.3,,
2018-02-02T00:03:11.923Z,,39.1,55,,33.3,,
2018-02-02T00:03:21.951Z,,39,55,,33.3,,
2018-02-02T00:03:31.923Z,,38.9,55,,33.3,,
2018-02-02T00:03:41.923Z,,,55,,33.5,,
2018-02-02T00:03:51.930Z,,38.8,55,,33.5,,
2018-02-02T00:04:01.923Z,,,55,,33.5,,
2018-02-02T00:04:11.923Z,,38.9,55,,33.3,,
2018-02-02T00:04:21.923Z,,39,55,,33.5,,
2018-02-02T00:04:31.923Z,,39.1,55,,33.3,,
2018-02-02T00:04:41.923Z,,39.3,55,,33.5,,
2018-02-02T00:04:51.923Z,,39.4,55,,33.3,,
2018-02-02T00:05:01.926Z,,39.5,55,,33.3,,
2018-02-02T00:05:11.924Z,,39.6,55,,33.3,,
2018-02-02T00:05:21.973Z,,,55,,33.3,,
2018-02-02T00:05:31.923Z,,39.8,55,,33.3,,
2018-02-02T00:05:41.923Z,,,55,,33.3,,
2018-02-02T00:05:51.927Z,,39.9,55,,33.3,,
2018-02-02T00:06:01.923Z,,40,55,,33.3,,
2018-02-02T00:06:11.924Z,,,55,,33.3,,
2018-02-02T00:06:21.931Z,,,55,,33.3,,
2018-02-02T00:06:31.923Z,,40.1,55,,33.2,,
2018-02-02T00:06:41.923Z,,,55,,33.2,,
2018-02-02T00:06:51.923Z,,,55,,33.2,,
2018-02-02T00:07:01.923Z,,40.2,55,,33.2,,
2018-02-02T00:07:11.922Z,,,55,,33.2,,
2018-02-02T00:07:21.923Z,,,55,,33.2,,
2018-02-02T00:07:31.926Z,,40.3,55,,33.2,,
2018-02-02T00:07:41.923Z,,,55,,33.1,,
2018-02-02T00:07:51.922Z,,,55,,33.1,,
2018-02-02T00:08:01.929Z,,40.5,55,,33.1,,
2018-02-02T00:08:11.923Z,,,55,,33.1,,
2018-02-02T00:08:21.922Z,,,55,,33.1,,
