Time,ActPow,HwActive,ChActive,PrimT,HwTOutlet,HwTSet,PrimTSet
2018-02-11T00:00:03.879Z,66,,,42.1,32.8,55,
2018-02-11T00:00:13.878Z,32,,,43.7,32.8,55,
2018-02-11T00:00:23.880Z,29,,,41.8,32.8,55,
2018-02-11T00:00:33.878Z,,,,40.6,32.8,55,
2018-02-11T00:00:43.879Z,,,,39.7,32.7,55,
2018-02-11T00:00:53.880Z,,,,38.9,32.7,55,
2018-02-11T00:01:03.878Z,,,,38.7,32.7,55,
2018-02-11T00:01:13.878Z,,,,39,32.7,55,
2018-02-11T00:01:24.013Z,,,,39.1,32.7,55,
2018-02-11T00:01:33.878Z,,,,39.3,32.6,55,
2018-02-11T00:01:43.878Z,,,,39.4,32.6,55,
2018-02-11T00:01:53.879Z,,,,39.5,32.6,55,
2018-02-11T00:02:03.878Z,,,,39.8,32.6,55,
2018-02-11T00:02:13.878Z,,,,40,32.5,55,
2018-02-11T00:02:23.878Z,,,,40.1,32.5,55,
2018-02-11T00:02:33.878Z,,,,40.3,32.5,55,
2018-02-11T00:02:43.878Z,,,,40.5,32.5,55,
2018-02-11T00:02:53.880Z,,,,,32.5,55,
2018-02-11T00:03:03.878Z,,,,40.6,32.5,55,
2018-02-11T00:03:13.878Z,,,,40.8,32.5,55,
2018-02-11T00:03:23.878Z,,,,41,32.5,55,
2018-02-11T00:03:33.879Z,,,,,32.5,55,
2018-02-11T00:03:43.878Z,,,,41.1,32.5,55,
2018-02-11T00:03:53.878Z,,,,41.4,32.5,55,
2018-02-11T00:04:03.878Z,,,,41.5,32.5,55,
2018-02-11T00:04:13.881Z,,,,41.6,32.5,55,
2018-02-11T00:04:24.067Z,,,,41.7,32.5,55,
2018-02-11T00:04:33.877Z,,,,41.8,32.5,55,
2018-02-11T00:04:43.884Z,,,,42,32.5,55,
2018-02-11T00:04:53.879Z,,,,,32.5,55,
2018-02-11T00:05:03.878Z,,,,42.2,32.6,55,
2018-02-11T00:05:13.878Z,,,,42.4,32.6,55,
2018-02-11T00:05:23.878Z,,,,42.5,32.6,55,
2018-02-11T00:05:33.878Z,,,,42.6,32.7,55,
2018-02-11T00:05:43.878Z,,,,,32.7,55,
2018-02-11T00:05:53.879Z,,,,42.8,32.7,55,
2018-02-11T00:06:03.878Z,,,,43,32.8,55,
2018-02-11T00:06:13.881Z,,,,43.1,32.8,55,
2018-02-11T00:06:23.877Z,,,,43.2,32.8,55,
2018-02-11T00:06:33.878Z,,,,43.3,33,55,
2018-02-11T00:06:43.877Z,,,,43.4,33,55,
2018-02-11T00:06:53.878Z,,,,43.6,33.1,55,
2018-02-11T00:07:03.878Z,,,,,33.1,55,
2018-02-11T00:07:13.877Z,,,,43.9,33.1,55,
2018-02-11T00:07:23.878Z,0,0,2,43.8,33.2,55,
2018-02-11T00:07:33.878Z,,,,41.6,33.2,55,
2018-02-11T00:07:43.877Z,,,,40.3,33.3,55,
2018-02-11T00:07:53.879Z,,,,39.8,33.3,55,
2018-02-11T00:08:03.877Z,,,,,33.5,55,
2018-02-11T00:08:13.877Z,,,,40.2,33.5,55,
2018-02-11T00:08:23.880Z,,,,40.6,33.5,55,
2018-02-11T00:08:33.878Z,,,,40.9,33.6,55,
2018-02-11T00:08:43.877Z,,,,40.7,33.7,55,
2018-02-11T00:08:53.878Z,,,,40.5,33.7,55,
2018-02-11T00:09:03.879Z,,,,40.3,33.8,55,
2018-02-11T00:09:13.879Z,,,,40.1,33.8,55,
2018-02-11T00:09:23.878Z,,,,39.9,33.8,55,
2018-02-11T00:09:33.883Z,,,,,34,55,
2018-02-11T00:09:43.878Z,,,,39.8,34,55,
2018-02-11T00:09:53.878Z,,,,39.6,34,55,
2018-02-11T00:10:03.878Z,,,,39.5,34,55,
2018-02-11T00:10:13.877Z,,,,39.4,34,55,
2018-02-11T00:10:23.878Z,,,,,34,55,
2018-02-11T00:10:33.879Z,,,,39.3,34.1,55,
2018-02-11T00:10:43.878Z,,,,39.1,34.1,55,
2018-02-11T00:10:53.878Z,,,,39,34.1,55,
2018-02-11T00:11:03.879Z,,,,38.9,34.1,55,
2018-02-11T00:11:13.877Z,,,,38.8,34.1,55,
2018-02-11T00:11:23.877Z,,,,,34.1,55,
2018-02-11T00:11:33.882Z,,,,,34.1,55,
2018-02-11T00:11:43.877Z,,,,39,34.1,55,
2018-02-11T00:11:53.877Z,,,,39.1,34.1,55,
2018-02-11T00:12:03.881Z,,,,39.3,34.1,55,
2018-02-11T00:12:13.877Z,,,,39.4,34.1,55,
2018-02-11T00:12:23.877Z,,,,39.5,34.1,55,
2018-02-11T00:12:33.877Z,,,,39.6,34,55,
2018-02-11T00:12:43.877Z,,,,,34,55,
2018-02-11T00:12:53.904Z,,,,39.8,34,55,
2018-02-11T00:13:03.881Z,,,,39.9,34,55,
2018-02-11T00:13:13.877Z,,,,40,34,55,
2018-02-11T00:13:23.878Z,,,,,34,55,
2018-02-11T00:13:33.877Z,,,,,34,55,
