Time,HwTOutlet,PrimTSet,PrimT,HwTSet,ActPow,ChActive,HwActive
2018-01-27T00:17:52.552Z,31.2,,,55,,,
2018-01-27T00:18:02.554Z,31.2,,42.2,55,,,
2018-01-27T00:18:12.553Z,31.4,,42.3,55,,,
2018-01-27T00:18:22.645Z,31.4,,42.5,55,,,
2018-01-27T00:18:32.558Z,31.5,,42.6,55,,,
2018-01-27T00:18:42.552Z,31.5,,42.7,55,,,
2018-01-27T00:18:52.552Z,31.6,,43,55,,,
2018-01-27T00:19:02.555Z,31.6,,,55,,,
2018-01-27T00:19:12.552Z,31.6,,43.1,55,,,
2018-01-27T00:19:22.632Z,31.7,,43.3,55,,,
2018-01-27T00:19:32.692Z,31.9,,43.4,55,,,
2018-01-27T00:19:42.552Z,31.9,,43.6,55,,,
2018-01-27T00:19:52.552Z,32,,,55,,,
2018-01-27T00:20:02.552Z,32,,44.1,55,0,1,0
2018-01-27T00:20:12.558Z,32.1,,41.9,55,,,
2018-01-27T00:20:22.634Z,32.1,,40.8,55,,,
2018-01-27T00:20:32.556Z,32.2,,39.6,55,,,
2018-01-27T00:20:42.568Z,32.3,,39.4,55,,,
2018-01-27T00:20:52.552Z,32.3,,39.6,55,,,
2018-01-27T00:21:02.552Z,32.5,,39.9,55,,,
2018-01-27T00:21:12.573Z,32.6,,40.4,55,,,
2018-01-27T00:21:22.648Z,32.6,,40.6,55,,,
2018-01-27T00:21:32.568Z,32.6,,40.3,55,,,
2018-01-27T00:21:42.585Z,32.7,,40.1,55,,,
2018-01-27T00:21:52.552Z,32.7,,39.9,55,,,
2018-01-27T00:22:02.552Z,32.8,,,55,,,
2018-01-27T00:22:12.571Z,32.8,,39.6,55,,,
2018-01-27T00:22:22.643Z,33,,39.5,55,,,
2018-01-27T00:22:32.552Z,33,,39.4,55,,,
2018-01-27T00:22:42.552Z,33,,,55,,,
2018-01-27T00:22:52.554Z,33.1,,39.3,55,,,
2018-01-27T00:23:02.556Z,33.1,,39.1,55,,,
