Time,HwActive,PrimTSet,PrimT,ActPow,HwTSet,HwTOutlet,ChActive
2017-12-16T00:00:02.709Z,,,,,55,52.2,
2017-12-16T00:00:12.710Z,,,,,55,52.2,
2017-12-16T00:00:22.709Z,,,65.2,,55,52.1,
2017-12-16T00:00:32.709Z,,,,,55,52.1,
2017-12-16T00:00:42.709Z,,,,,55,52,
2017-12-16T00:00:52.711Z,,,,,55,51.9,
2017-12-16T00:01:02.712Z,,,,,55,51.9,
2017-12-16T00:01:12.709Z,,,,,55,51.8,
2017-12-16T00:01:22.710Z,,,,,55,51.8,
2017-12-16T00:01:32.709Z,,,65.1,,55,51.7,
2017-12-16T00:01:42.709Z,,,,,55,51.7,
2017-12-16T00:01:52.709Z,,,,,55,51.6,
2017-12-16T00:02:02.709Z,,,,,55,51.4,
2017-12-16T00:02:12.713Z,,,65,,55,51.4,
2017-12-16T00:02:22.715Z,,,,,55,51.3,
2017-12-16T00:02:32.710Z,,,,,55,51.3,
2017-12-16T00:02:42.710Z,,,,,55,51.2,
2017-12-16T00:02:52.709Z,,,,,55,51.2,
2017-12-16T00:03:02.710Z,,,65,,55,51.1,
2017-12-16T00:03:12.710Z,,,64.9,,55,51,
2017-12-16T00:03:22.713Z,,,,,55,51,
2017-12-16T00:03:32.710Z,,,,,55,50.9,
2017-12-16T00:03:42.710Z,,,,,55,50.8,
2017-12-16T00:03:52.710Z,,,64.8,,55,50.8,
2017-12-16T00:04:02.711Z,1,0,,,55,52.2,0
2017-12-16T00:04:12.710Z,0,59,60.4,0,55,55.3,0
2017-12-16T00:04:22.710Z,,,57.7,,55,52.9,
2017-12-16T00:04:32.710Z,,,57.2,,55,52,
2017-12-16T00:04:42.711Z,,,57.6,,55,51.3,
2017-12-16T00:04:52.713Z,,,58,,55,50.9,
2017-12-16T00:05:03.711Z,,,,,55,50.6,
2017-12-16T00:05:12.712Z,,5,58.1,,55,50.3,
2017-12-16T00:05:22.712Z,,,,,55,50.1,
2017-12-16T00:05:32.712Z,,,,,55,50,
2017-12-16T00:05:42.713Z,,,58.2,,55,50.1,
2017-12-16T00:05:52.713Z,,,,,55,50.1,
2017-12-16T00:06:02.713Z,,,,,55,50.1,
2017-12-16T00:06:12.713Z,,,,,55,50.1,
2017-12-16T00:06:22.710Z,,,,,55,50.1,
2017-12-16T00:06:32.711Z,,,58.3,,55,50,
2017-12-16T00:06:42.714Z,,,,,55,50,
2017-12-16T00:06:52.906Z,,,,,55,50,
2017-12-16T00:07:02.710Z,,,,,55,49.9,
2017-12-16T00:07:12.710Z,,,,,55,49.9,
2017-12-16T00:07:22.710Z,,,,,55,49.8,
2017-12-16T00:07:32.710Z,,,,,55,49.8,
2017-12-16T00:07:42.710Z,,,,,55,49.7,
2017-12-16T00:07:53.703Z,,,,,55,49.7,
2017-12-16T00:08:02.711Z,,,,,55,49.5,
2017-12-16T00:08:12.711Z,,,,,55,49.5,
2017-12-16T00:08:22.711Z,,,,,55,49.4,
2017-12-16T00:08:32.710Z,,,,,55,49.4,
2017-12-16T00:08:42.710Z,,,,,55,49.3,
2017-12-16T00:08:52.711Z,,,,,55,49.3,
2017-12-16T00:09:02.710Z,,,,,55,49.2,
2017-12-16T00:09:12.711Z,,,,,55,49.1,
2017-12-16T00:09:22.712Z,,,,,55,49.1,
2017-12-16T00:09:32.710Z,,,,,55,49,
2017-12-16T00:09:42.711Z,,,,,55,49,
2017-12-16T00:09:52.711Z,,,,,55,48.9,
2017-12-16T00:10:02.712Z,,,,,55,48.9,
2017-12-16T00:10:12.711Z,,,,,55,48.7,
2017-12-16T00:10:22.711Z,,,,,55,48.6,
2017-12-16T00:10:32.712Z,,,,,55,48.6,
2017-12-16T00:10:47.731Z,,,,,55,48.5,
2017-12-16T00:10:52.711Z,,,,,55,48.5,
2017-12-16T00:11:02.713Z,,,,,55,48.4,
2017-12-16T00:11:12.711Z,,,,,55,48.3,
2017-12-16T00:11:22.711Z,,,,,55,48.3,
2017-12-16T00:11:32.712Z,,,58.2,,55,48.2,
2017-12-16T00:11:42.711Z,,,,,55,48.2,
2017-12-16T00:11:52.711Z,,,,,55,48.1,
2017-12-16T00:12:02.711Z,,,,,55,48,
2017-12-16T00:12:12.712Z,,,,,55,48,
2017-12-16T00:12:22.711Z,,,,,55,47.8,
2017-12-16T00:12:32.711Z,,,,,55,47.8,
2017-12-16T00:12:42.711Z,,,,,55,47.7,
2017-12-16T00:12:52.711Z,,,58.1,,55,47.6,
2017-12-16T00:13:02.711Z,,,,,55,47.6,
2017-12-16T00:13:12.713Z,,,,,55,47.5,
2017-12-16T00:13:22.711Z,,,,,55,47.5,
2017-12-16T00:13:32.711Z,,,,,55,47.4,
