Time,HwActive,PrimTSet,PrimT,ActPow,HwTSet,HwTOutlet,ChActive
2017-12-16T00:13:42.711Z,,,,,55,47.4,
2017-12-16T00:13:52.711Z,,,,,55,47.3,
2017-12-16T00:14:02.711Z,,,58,,55,47.2,
2017-12-16T00:14:12.711Z,,,,,55,47.2,
2017-12-16T00:14:22.711Z,,,,,55,47,
2017-12-16T00:14:32.712Z,,,,,55,47,
2017-12-16T00:14:42.711Z,,,,,55,46.9,
2017-12-16T00:14:52.712Z,,,,,55,46.8,
2017-12-16T00:15:02.711Z,,,57.8,,55,46.8,
2017-12-16T00:15:12.712Z,,,,,55,46.7,
2017-12-16T00:15:22.712Z,,,,,55,46.7,
2017-12-16T00:15:32.712Z,,,,,55,46.6,
2017-12-16T00:15:42.712Z,,,,,55,46.6,
2017-12-16T00:15:52.712Z,,,57.7,,55,46.5,
2017-12-16T00:16:02.711Z,,,,,55,46.5,
2017-12-16T00:16:12.711Z,,,,,55,46.4,
2017-12-16T00:16:22.712Z,,,,,55,46.4,
2017-12-16T00:16:32.711Z,,,,,55,46.2,
2017-12-16T00:16:42.714Z,,,,,55,46.1,
2017-12-16T00:16:52.713Z,,,57.6,,55,46.1,
2017-12-16T00:17:02.712Z,,,,,55,46,
2017-12-16T00:17:12.712Z,,,,,55,46,
2017-12-16T00:17:22.712Z,,,,,55,45.9,
2017-12-16T00:17:32.711Z,,,,,55,45.9,
2017-12-16T00:17:42.712Z,,,,,55,45.8,
2017-12-16T00:17:52.712Z,,,57.5,,55,45.8,
2017-12-16T00:18:02.712Z,,,,,55,45.7,
2017-12-16T00:18:12.712Z,,,,,55,45.6,
2017-12-16T00:18:22.712Z,,,,,55,45.6,
2017-12-16T00:18:32.711Z,,,57.4,,55,45.5,
2017-12-16T00:18:42.711Z,,,,,55,45.5,
2017-12-16T00:18:52.711Z,,,,,55,45.3,
2017-12-16T00:19:02.712Z,,,,,55,45.3,
2017-12-16T00:19:12.712Z,,,,,55,45.2,
2017-12-16T00:19:22.712Z,,,57.3,,55,45.2,
2017-12-16T00:19:32.713Z,,,,,55,45.1,
2017-12-16T00:19:42.717Z,,,,,55,45.1,
2017-12-16T00:19:52.712Z,,,,,55,45,
2017-12-16T00:20:02.712Z,,,,,55,45,
2017-12-16T00:20:12.712Z,,,,,55,44.9,
2017-12-16T00:20:22.713Z,,,57.2,,55,44.9,
2017-12-16T00:20:32.712Z,,,,,55,44.8,
2017-12-16T00:20:42.712Z,,,,,55,44.8,
2017-12-16T00:20:52.712Z,,,,,55,44.7,
2017-12-16T00:21:02.712Z,,,57,,55,44.7,
2017-12-16T00:21:12.712Z,,,,,55,44.5,
2017-12-16T00:21:22.712Z,,,,,55,44.5,
2017-12-16T00:21:32.713Z,,,,,55,44.4,
2017-12-16T00:21:42.712Z,,,,,55,44.3,
2017-12-16T00:21:52.712Z,,,56.9,,55,44.3,
2017-12-16T00:22:02.712Z,,,,,55,44.2,
2017-12-16T00:22:12.715Z,,,,,55,44.2,
2017-12-16T00:22:22.712Z,,,,,55,44.1,
2017-12-16T00:22:32.712Z,,,,,55,44.1,
2017-12-16T00:22:42.712Z,,,56.8,,55,44,
2017-12-16T00:22:52.712Z,,,,,55,44,
2017-12-16T00:23:02.712Z,,,,,55,43.9,
2017-12-16T00:23:12.713Z,,,,,55,43.9,
2017-12-16T00:23:22.714Z,,,,,55,43.7,
2017-12-16T00:23:33.707Z,,,56.7,,55,43.7,
2017-12-16T00:23:42.712Z,,,,,55,43.6,
2017-12-16T00:23:52.712Z,,,,,55,43.6,
2017-12-16T00:24:02.815Z,,,,,55,43.5,
2017-12-16T00:24:12.712Z,,,56.6,,55,43.5,
2017-12-16T00:24:22.713Z,,,,,55,43.4,
2017-12-16T00:24:32.712Z,,,,,55,43.4,
2017-12-16T00:24:42.713Z,,,,,55,43.3,
2017-12-16T00:24:52.714Z,,,,,55,43.3,
2017-12-16T00:25:02.713Z,,,56.5,,55,43.2,
2017-12-16T00:25:12.712Z,,,,,55,43.2,
2017-12-16T00:25:22.713Z,,,,,55,43.1,
2017-12-16T00:25:32.712Z,,,,,55,43.1,
2017-12-16T00:25:42.712Z,,,,,55,43,
2017-12-16T00:25:52.713Z,,,56.4,,55,43,
2017-12-16T00:26:02.712Z,,,,,55,42.8,
2017-12-16T00:26:12.713Z,,,,,55,42.8,
2017-12-16T00:26:27.733Z,,,,,55,42.7,
2017-12-16T00:26:32.712Z,,,,,55,42.7,
2017-12-16T00:26:42.712Z,,,56.2,,55,42.6,
2017-12-16T00:26:52.713Z,,,,,55,42.6,
2017-12-16T00:27:02.715Z,,,,,55,42.5,
2017-12-16T00:27:12.713Z,,,,,55,42.5,
2017-12-16T00:27:22.712Z,,,56.1,,55,42.4,
2017-12-16T00:27:32.713Z,,,,,55,42.4,
2017-12-16T00:27:42.713Z,,,,,55,42.3,
2017-12-16T00:27:52.712Z,,,,,55,42.3,
2017-12-16T00:28:02.712Z,,,,,55,42.2,
2017-12-16T00:28:12.713Z,,,56,,55,42.2,
2017-12-16T00:28:22.713Z,,,,,55,42.2,
2017-12-16T00:28:32.713Z,,,,,55,42,
2017-12-16T00:28:42.714Z,,,,,55,41.9,
2017-12-16T00:28:52.713Z,,,,,55,41.9,
2017-12-16T00:29:02.713Z,,,55.9,,55,41.8,
2017-12-16T00:29:17.825Z,,,,,55,41.8,
2017-12-16T00:29:22.713Z,,,,,55,41.8,
2017-12-16T00:29:32.713Z,,,,,55,41.7,
2017-12-16T00:29:42.713Z,,,55.8,,55,41.7,
2017-12-16T00:29:52.713Z,,,,,55,41.6,
2017-12-16T00:30:02.726Z,,,,,55,41.6,
2017-12-16T00:30:12.713Z,,,,,55,41.5,
2017-12-16T00:30:22.713Z,,,55.7,,55,41.5,
2017-12-16T00:30:32.713Z,,,,,55,41.4,
2017-12-16T00:30:43.629Z,,,,,55,41.4,
2017-12-16T00:30:52.714Z,,,,,55,41.2,
2017-12-16T00:31:02.713Z,,,,,55,41.2,
2017-12-16T00:31:12.714Z,,,55.6,,55,41.1,
2017-12-16T00:31:22.713Z,,,,,55,41.1,
2017-12-16T00:31:32.713Z,,,,,55,41,
2017-12-16T00:31:42.713Z,,,,,55,41,
2017-12-16T00:31:52.726Z,,,55.5,,55,41,
2017-12-16T00:32:02.713Z,,,,,55,40.9,
2017-12-16T00:32:12.713Z,,,,,55,40.9,
2017-12-16T00:32:22.714Z,,,,,55,40.8,
2017-12-16T00:32:32.713Z,,,,,55,40.8,
2017-12-16T00:32:42.714Z,,,55.3,,55,40.7,
2017-12-16T00:32:52.714Z,,,,,55,40.7,
2017-12-16T00:33:02.714Z,,,,,55,40.6,
2017-12-16T00:33:12.715Z,,,,,55,40.6,
2017-12-16T00:33:22.714Z,,,,,55,40.5,
2017-12-16T00:33:33.717Z,,,55.2,,55,40.5,
2017-12-16T00:33:42.714Z,,,,,55,40.5,
2017-12-16T00:33:52.714Z,,,,,55,40.3,
2017-12-16T00:34:02.714Z,,,,,55,40.3,
2017-12-16T00:34:12.714Z,,,,,55,40.2,
2017-12-16T00:34:22.714Z,,,55.1,,55,40.2,
2017-12-16T00:34:32.714Z,,,,,55,40.1,
2017-12-16T00:34:42.715Z,,,,,55,40.1,
2017-12-16T00:34:52.714Z,,,,,55,40,
2017-12-16T00:35:02.715Z,,,55,,55,40,
2017-12-16T00:35:12.714Z,,,,,55,39.9,
2017-12-16T00:35:22.714Z,,,,,55,39.9,
2017-12-16T00:35:32.713Z,,,,,55,39.9,
2017-12-16T00:35:42.714Z,,,54.9,,55,39.8,
2017-12-16T00:35:52.714Z,,,,,55,39.8,
2017-12-16T00:36:02.714Z,,,,,55,39.6,
2017-12-16T00:36:12.911Z,,,,,55,39.6,
2017-12-16T00:36:22.714Z,,,,,55,39.5,
2017-12-16T00:36:32.714Z,,,54.8,,55,39.5,
2017-12-16T00:36:42.715Z,,,,,55,39.5,
2017-12-16T00:36:52.715Z,,,,,55,39.4,
2017-12-16T00:37:02.714Z,,,,,55,39.4,
2017-12-16T00:37:12.714Z,,,,,55,39.3,
2017-12-16T00:37:22.715Z,,,54.7,,55,39.3,
2017-12-16T00:37:32.714Z,,,,,55,39.3,
2017-12-16T00:37:42.716Z,,,,,55,39.1,
2017-12-16T00:37:52.714Z,,,,,55,39.1,
2017-12-16T00:38:02.715Z,,,54.6,,55,39,
2017-12-16T00:38:12.714Z,,,,,55,39,
2017-12-16T00:38:22.715Z,,,,,55,38.9,
2017-12-16T00:38:32.714Z,,,,,55,38.9,
2017-12-16T00:38:42.715Z,,,,,55,38.8,
2017-12-16T00:38:52.714Z,,,54.4,,55,38.8,
2017-12-16T00:39:02.716Z,,,,,55,38.8,
2017-12-16T00:39:13.711Z,,,,,55,38.6,
2017-12-16T00:39:22.715Z,,,,,55,38.6,
2017-12-16T00:39:32.714Z,,,,,55,38.6,
2017-12-16T00:39:42.714Z,0,5,54.3,0,55,38.5,0
2017-12-16T00:39:52.714Z,,,,,55,38.5,
2017-12-16T00:40:02.715Z,,,,,55,38.4,
2017-12-16T00:40:12.715Z,,,,,55,38.4,
2017-12-16T00:40:22.716Z,,,54.2,,55,38.4,
2017-12-16T00:40:32.714Z,,,,,55,38.3,
2017-12-16T00:40:42.715Z,,,,,55,38.3,
2017-12-16T00:40:52.714Z,,,,,55,38.1,
2017-12-16T00:41:02.725Z,,,,,55,38.1,
2017-12-16T00:41:12.715Z,,,54.1,,55,38,
2017-12-16T00:41:22.715Z,,,,,55,38,
2017-12-16T00:41:32.715Z,,,,,55,38,
2017-12-16T00:41:42.715Z,,,,,55,37.9,
2017-12-16T00:41:52.715Z,,,,,55,37.9,
2017-12-16T00:42:03.715Z,,,54,,55,37.9,
2017-12-16T00:42:12.714Z,,,,,55,37.8,
2017-12-16T00:42:22.715Z,,,,,55,37.8,
2017-12-16T00:42:32.715Z,,,53.9,,55,37.7,
2017-12-16T00:42:42.715Z,,,,,55,37.7,
2017-12-16T00:42:52.715Z,,,,,55,37.7,
2017-12-16T00:43:02.715Z,,,,,55,37.5,
2017-12-16T00:43:12.715Z,,,,,55,37.5,
2017-12-16T00:43:22.715Z,,,53.8,,55,37.4,
2017-12-16T00:43:32.721Z,,,,,55,37.4,
2017-12-16T00:43:42.718Z,,,,,55,37.4,
2017-12-16T00:43:52.716Z,,,,,55,37.3,
2017-12-16T00:44:02.715Z,,,,,55,37.3,
2017-12-16T00:44:12.717Z,,,53.7,,55,37.3,
2017-12-16T00:44:22.715Z,,,,,55,37.2,
2017-12-16T00:44:32.715Z,,,,,55,37.2,
2017-12-16T00:44:42.715Z,,,,,55,37,
2017-12-16T00:44:57.735Z,,,53.6,,55,37,
2017-12-16T00:45:02.715Z,,,,,55,37,
2017-12-16T00:45:12.714Z,,,,,55,36.9,
2017-12-16T00:45:22.716Z,,,,,55,36.9,
2017-12-16T00:45:32.714Z,,,,,55,36.8,
2017-12-16T00:45:42.715Z,,,53.4,,55,36.8,
2017-12-16T00:45:52.715Z,,,,,55,36.8,
2017-12-16T00:46:02.715Z,,,,,55,36.7,
2017-12-16T00:46:12.715Z,,,,,55,36.7,
2017-12-16T00:46:23.815Z,,,,,55,36.7,
2017-12-16T00:46:32.715Z,,,53.3,,55,36.5,
2017-12-16T00:46:42.716Z,,,,,55,36.5,
2017-12-16T00:46:52.715Z,,,,,55,36.5,
2017-12-16T00:47:02.716Z,,,,,55,36.4,
2017-12-16T00:47:12.721Z,,,,,55,36.4,
2017-12-16T00:47:22.716Z,,,53.2,,55,36.3,
2017-12-16T00:47:32.716Z,,,,,55,36.3,
2017-12-16T00:47:42.715Z,,,,,55,36.3,
2017-12-16T00:47:52.716Z,,,,,55,36.2,
2017-12-16T00:48:02.716Z,,,53.1,,55,36.2,
2017-12-16T00:48:12.715Z,,,,,55,36.2,
2017-12-16T00:48:22.717Z,,,,,55,36,
2017-12-16T00:48:32.716Z,,,,,55,36,
2017-12-16T00:48:42.715Z,,,,,55,36,
2017-12-16T00:48:52.715Z,,,53,,55,35.9,
2017-12-16T00:49:02.715Z,,,,,55,35.9,
2017-12-16T00:49:13.635Z,,,,,55,35.8,
2017-12-16T00:49:22.761Z,,,52.9,,55,35.8,
2017-12-16T00:49:32.851Z,,,52.9,,55,35.8,
2017-12-16T00:49:42.717Z,,,,,55,35.8,
2017-12-16T00:49:52.715Z,,,,,55,35.7,
2017-12-16T00:50:02.716Z,,,,,55,35.7,
2017-12-16T00:50:12.761Z,,,,,55,35.6,
2017-12-16T00:50:22.716Z,,,52.8,,55,35.6,
2017-12-16T00:50:32.716Z,,,,,55,35.6,
2017-12-16T00:50:42.715Z,,,,,55,35.4,
2017-12-16T00:50:52.717Z,,,,,55,35.4,
2017-12-16T00:51:02.718Z,,,52.7,,55,35.4,
2017-12-16T00:51:12.716Z,,,,,55,35.3,
2017-12-16T00:51:22.716Z,,,,,55,35.3,
2017-12-16T00:51:32.716Z,,,,,55,35.3,
2017-12-16T00:51:42.718Z,,,,,55,35.2,
2017-12-16T00:51:52.716Z,,,52.6,,55,35.2,
2017-12-16T00:52:02.765Z,,,,,55,35.2,
2017-12-16T00:52:12.716Z,,,,,55,35.1,
2017-12-16T00:52:22.716Z,,,,,55,35.1,
2017-12-16T00:52:32.716Z,,,,,55,35.1,
2017-12-16T00:52:42.716Z,,,52.4,,55,34.9,
2017-12-16T00:52:52.716Z,,,,,55,34.9,
2017-12-16T00:53:02.716Z,,,,,55,34.9,
2017-12-16T00:53:12.717Z,,,,,55,34.8,
2017-12-16T00:53:22.716Z,,,52.3,,55,34.8,
2017-12-16T00:53:32.716Z,,,,,55,34.8,
2017-12-16T00:53:42.717Z,,,,,55,34.7,
2017-12-16T00:53:52.716Z,,,,,55,34.7,
2017-12-16T00:54:02.717Z,,,,,55,34.7,
2017-12-16T00:54:12.717Z,,,52.2,,55,34.6,
2017-12-16T00:54:22.717Z,,,,,55,34.6,
2017-12-16T00:54:32.718Z,,,,,55,34.6,
2017-12-16T00:54:42.717Z,,,,,55,34.4,
2017-12-16T00:54:53.715Z,,,52.1,,55,34.4,
2017-12-16T00:55:02.721Z,,,,,55,34.4,
2017-12-16T00:55:12.716Z,,,,,55,34.3,
2017-12-16T00:55:22.717Z,,,,,55,34.3,
2017-12-16T00:55:32.717Z,,,,,55,34.3,
2017-12-16T00:55:42.717Z,,,52,,55,34.3,
2017-12-16T00:55:52.720Z,,,,,55,34.2,
2017-12-16T00:56:02.717Z,,,,,55,34.2,
2017-12-16T00:56:12.717Z,,,,,55,34.1,
2017-12-16T00:56:22.717Z,,,,,55,34.1,
2017-12-16T00:56:32.718Z,,,51.9,,55,34.1,
2017-12-16T00:56:42.717Z,,,,,55,34.1,
2017-12-16T00:56:52.718Z,,,,,55,34,
2017-12-16T00:57:02.717Z,,,,,55,34,
2017-12-16T00:57:12.716Z,,,51.8,,55,34,
2017-12-16T00:57:22.719Z,,,,,55,33.8,
2017-12-16T00:57:32.744Z,,,,,55,33.8,
2017-12-16T00:57:43.708Z,,,,,55,33.8,
2017-12-16T00:57:52.717Z,,,,,55,33.7,
2017-12-16T00:58:02.717Z,,,51.7,,55,33.7,
2017-12-16T00:58:12.717Z,,,,,55,33.7,
2017-12-16T00:58:22.719Z,,,,,55,33.7,
2017-12-16T00:58:32.718Z,,,,,55,33.6,
2017-12-16T00:58:42.719Z,,,,,55,33.6,
2017-12-16T00:58:54.374Z,,,51.6,,55,33.6,
2017-12-16T00:59:02.717Z,,,,,55,33.5,
2017-12-16T00:59:12.729Z,,,,,55,33.5,
2017-12-16T00:59:22.717Z,,,,,55,33.5,
2017-12-16T00:59:32.717Z,,,51.4,,55,33.3,
2017-12-16T00:59:42.717Z,,,,,55,33.3,
2017-12-16T00:59:52.717Z,,,,,55,33.3,
2017-12-16T01:00:02.720Z,,,,,55,33.3,
2017-12-16T01:00:12.717Z,,,,,55,33.2,
2017-12-16T01:00:22.717Z,,,51.3,,55,33.2,
2017-12-16T01:00:37.740Z,,,,,55,33.2,
2017-12-16T01:00:42.718Z,,,,,55,33.1,
2017-12-16T01:00:52.717Z,,,,,55,33.1,
2017-12-16T01:01:02.717Z,,,,,55,33.1,
2017-12-16T01:01:12.717Z,,,51.2,,55,33.1,
2017-12-16T01:01:22.719Z,,,,,55,33,
2017-12-16T01:01:32.717Z,,,,,55,33,
2017-12-16T01:01:42.718Z,,,,,55,33,
2017-12-16T01:01:52.717Z,,,,,55,32.8,
2017-12-16T01:02:02.718Z,,,51.1,,55,32.8,
2017-12-16T01:02:12.717Z,,,,,55,32.8,
2017-12-16T01:02:22.718Z,,,,,55,32.7,
2017-12-16T01:02:32.717Z,,,,,55,32.7,
2017-12-16T01:02:42.718Z,,,,,55,32.7,
2017-12-16T01:02:52.718Z,,,51,,55,32.7,
2017-12-16T01:03:02.718Z,,,,,55,32.6,
2017-12-16T01:03:12.718Z,,,,,55,32.6,
2017-12-16T01:03:27.995Z,,,,,55,32.6,
2017-12-16T01:03:32.717Z,,,50.9,,55,32.6,
2017-12-16T01:03:42.717Z,,,,,55,32.5,
2017-12-16T01:03:52.717Z,,,,,55,32.5,
2017-12-16T01:04:02.718Z,,,,,55,32.5,
2017-12-16T01:04:12.718Z,,,,,55,32.3,
2017-12-16T01:04:22.717Z,,,50.8,,55,32.3,
2017-12-16T01:04:32.717Z,,,,,55,32.3,
2017-12-16T01:04:42.718Z,,,,,55,32.3,
2017-12-16T01:04:53.709Z,,,,,55,32.2,
2017-12-16T01:05:02.717Z,,,,,55,32.2,
2017-12-16T01:05:12.718Z,,,50.7,,55,32.2,
2017-12-16T01:05:22.718Z,,,,,55,32.2,
2017-12-16T01:05:32.718Z,,,,,55,32.1,
2017-12-16T01:05:42.718Z,,,,,55,32.1,
2017-12-16T01:05:52.718Z,,,,,55,32.1,
2017-12-16T01:06:02.718Z,,,50.6,,55,32.1,
2017-12-16T01:06:12.718Z,,,,,55,32,
2017-12-16T01:06:22.718Z,,,,,55,32,
2017-12-16T01:06:32.717Z,,,,,55,32,
2017-12-16T01:06:42.718Z,,,50.4,,55,31.9,
2017-12-16T01:06:52.718Z,,,,,55,31.9,
2017-12-16T01:07:02.718Z,,,,,55,31.9,
2017-12-16T01:07:12.718Z,,,,,55,31.9,
2017-12-16T01:07:22.719Z,,,50.3,,55,31.9,
2017-12-16T01:07:32.717Z,,,,,55,31.7,
2017-12-16T01:07:43.714Z,,,,,55,31.7,
2017-12-16T01:07:52.718Z,,,,,55,31.7,
2017-12-16T01:08:02.718Z,,,,,55,31.6,
2017-12-16T01:08:12.718Z,,,,,55,31.6,
2017-12-16T01:08:22.719Z,,,50.2,,55,31.6,
2017-12-16T01:08:32.722Z,,,,,55,31.6,
2017-12-16T01:08:42.720Z,,,,,55,31.5,
2017-12-16T01:08:52.720Z,,,,,55,31.5,
2017-12-16T01:09:02.721Z,,,,,55,31.5,
2017-12-16T01:09:12.719Z,,,50.1,,55,31.5,
2017-12-16T01:09:22.723Z,,,,,55,31.4,
2017-12-16T01:09:32.721Z,,,,,55,31.4,
2017-12-16T01:09:42.718Z,,,,,55,31.4,
2017-12-16T01:09:52.718Z,,,,,55,31.4,
2017-12-16T01:10:02.720Z,,,50,,55,31.2,
2017-12-16T01:10:12.724Z,,,,,55,31.2,
2017-12-16T01:10:22.718Z,,,,,55,31.2,
2017-12-16T01:10:33.718Z,,,,,55,31.2,
2017-12-16T01:10:42.719Z,,,49.9,,55,31.1,
2017-12-16T01:10:52.718Z,,,,,55,31.1,
2017-12-16T01:11:02.719Z,,,,,55,31.1,
2017-12-16T01:11:12.719Z,,,,,55,31.1,
2017-12-16T01:11:22.720Z,,,,,55,31,
2017-12-16T01:11:32.719Z,,,49.8,,55,31,
2017-12-16T01:11:42.725Z,,,,,55,31,
2017-12-16T01:11:52.718Z,,,,,55,31,
2017-12-16T01:12:02.719Z,,,,,55,30.9,
2017-12-16T01:12:12.721Z,,,,,55,30.9,
2017-12-16T01:12:22.719Z,,,49.7,,55,30.9,
2017-12-16T01:12:32.718Z,,,,,55,30.9,
2017-12-16T01:12:42.719Z,,,,,55,30.7,
2017-12-16T01:12:52.719Z,,,,,55,30.7,
2017-12-16T01:13:02.719Z,,,,,55,30.7,
2017-12-16T01:13:12.719Z,,,49.5,,55,30.7,
2017-12-16T01:13:23.712Z,,,,,55,30.7,
2017-12-16T01:13:32.719Z,,,,,55,30.6,
2017-12-16T01:13:42.719Z,,,,,55,30.6,
2017-12-16T01:13:52.720Z,,,49.4,,55,30.6,
2017-12-16T01:14:02.721Z,,,,,55,30.6,
2017-12-16T01:14:12.719Z,,,,,55,30.5,
2017-12-16T01:14:22.720Z,,,,,55,30.5,
2017-12-16T01:14:32.719Z,,,,,55,30.5,
2017-12-16T01:14:42.719Z,,,,,55,30.5,
2017-12-16T01:14:52.719Z,,,,,55,30.4,
2017-12-16T01:15:02.719Z,,,49.3,,55,30.4,
2017-12-16T01:15:12.719Z,,,,,55,30.4,
2017-12-16T01:15:22.721Z,,,,,55,30.4,
2017-12-16T01:15:32.719Z,,,,,55,30.2,
2017-12-16T01:15:42.722Z,,,49.2,,55,30.2,
2017-12-16T01:15:52.719Z,,,,,55,30.2,
2017-12-16T01:16:02.719Z,,,,,55,30.2,
2017-12-16T01:16:13.716Z,,,,,55,30.2,
2017-12-16T01:16:22.725Z,,,,,55,30.1,
2017-12-16T01:16:32.719Z,,,49.1,,55,30.1,
2017-12-16T01:16:42.720Z,,,,,55,30.1,
2017-12-16T01:16:52.719Z,,,,,55,30.1,
2017-12-16T01:17:02.720Z,,,,,55,30,
2017-12-16T01:17:12.720Z,,,,,55,30,
2017-12-16T01:17:22.720Z,,,49,,55,30,
2017-12-16T01:17:32.719Z,,,,,55,30,
2017-12-16T01:17:42.720Z,,,,,55,30,
2017-12-16T01:17:52.720Z,,,,,55,29.9,
2017-12-16T01:18:02.720Z,,,,,55,29.9,
2017-12-16T01:18:12.720Z,,,48.9,,55,29.9,
2017-12-16T01:18:22.719Z,,,,,55,29.9,
2017-12-16T01:18:32.719Z,,,,,55,29.9,
2017-12-16T01:18:42.720Z,,,,,55,29.7,
2017-12-16T01:18:52.720Z,,,,,55,29.7,
2017-12-16T01:19:07.782Z,,,48.7,,55,29.7,
2017-12-16T01:19:12.719Z,,,,,55,29.7,
2017-12-16T01:19:22.720Z,,,,,55,29.6,
2017-12-16T01:19:32.720Z,,,,,55,29.6,
2017-12-16T01:19:42.721Z,,,,,55,29.6,
2017-12-16T01:19:52.720Z,,,48.6,,55,29.6,
2017-12-16T01:20:02.720Z,,,,,55,29.4,
2017-12-16T01:20:12.719Z,,,,,55,29.4,
2017-12-16T01:20:22.722Z,,,,,55,29.4,
2017-12-16T01:20:33.147Z,,,48.5,,55,29.4,
2017-12-16T01:20:42.720Z,,,,,55,29.4,
2017-12-16T01:20:52.720Z,,,,,55,29.4,
2017-12-16T01:21:02.719Z,,,,,55,29.3,
2017-12-16T01:25:02.771Z,,,48.2,,55,29,
2017-12-16T01:25:13.764Z,,,48.1,,,,
2017-12-16T01:25:52.720Z,,,47.8,,55,28.6,
