Time,PrimT,PrimTSet,HwActive,HwTOutlet,ChActive,ActPow,HwTSet
2017-11-26T00:18:00.063Z,,,,46.9,,,55
2017-11-26T00:18:10.063Z,,,,46.9,,,55
2017-11-26T00:18:20.064Z,61.4,,,46.8,,,55
2017-11-26T00:18:30.063Z,,,,46.7,,,55
2017-11-26T00:18:41.055Z,,,,46.7,,,55
2017-11-26T00:18:50.063Z,,,,46.6,,,55
2017-11-26T00:19:00.064Z,,,,46.6,,,55
2017-11-26T00:19:10.063Z,61.3,,,46.5,,,55
2017-11-26T00:19:20.064Z,,,,46.5,,,55
2017-11-26T00:19:30.064Z,,,,46.4,,,55
2017-11-26T00:19:40.063Z,,,,46.4,,,55
2017-11-26T00:19:50.063Z,,,,46.2,,,55
2017-11-26T00:20:00.063Z,,,,46.2,,,55
2017-11-26T00:20:10.063Z,61.2,,,46.1,,,55
2017-11-26T00:20:20.064Z,,,,46.1,,,55
2017-11-26T00:20:30.064Z,,,,46,,,55
2017-11-26T00:20:40.063Z,,,,46,,,55
2017-11-26T00:20:50.064Z,,,,45.9,,,55
2017-11-26T00:21:00.064Z,61,,,45.8,,,55
2017-11-26T00:21:10.064Z,,,,45.8,,,55
2017-11-26T00:21:20.064Z,,,,45.7,,,55
2017-11-26T00:21:31.059Z,,,,45.7,,,55
2017-11-26T00:21:40.065Z,,,,45.6,,,55
2017-11-26T00:21:50.064Z,60.9,,,45.6,,,55
2017-11-26T00:22:00.064Z,,,,45.5,,,55
2017-11-26T00:22:10.064Z,,,,45.5,,,55
2017-11-26T00:22:20.064Z,,,,45.3,,,55
2017-11-26T00:22:30.064Z,,,,45.3,,,55
2017-11-26T00:22:40.067Z,60.8,,,45.2,,,55
2017-11-26T00:22:50.064Z,,,,45.2,,,55
2017-11-26T00:23:00.064Z,,,,45.1,,,55
2017-11-26T00:23:10.068Z,,,,45.1,,,55
2017-11-26T00:23:20.070Z,,,,45,,,55
