Time,HwActive,PrimT,PrimTSet,HwTSet,ChActive,ActPow,HwTOutlet
2017-11-22T00:18:39.300Z,,,,55,,,32.8
2017-11-22T00:18:49.300Z,,,,55,,,32.8
2017-11-22T00:18:59.303Z,,,,55,,,32.8
2017-11-22T00:19:09.302Z,,,,55,,,32.8
2017-11-22T00:19:19.301Z,,,,55,,,32.8
2017-11-22T00:19:29.301Z,,41.2,,55,,,32.7
2017-11-22T00:19:39.300Z,,,,55,,,32.7
2017-11-22T00:19:49.300Z,,,,55,,,32.7
2017-11-22T00:19:59.300Z,,,,55,,,32.7
2017-11-22T00:20:09.305Z,,,,55,,,32.7
2017-11-22T00:20:20.295Z,,,,55,,,32.7
2017-11-22T00:20:29.304Z,,,,55,,,32.6
2017-11-22T00:20:39.304Z,,,,55,,,32.6
2017-11-22T00:20:49.301Z,,,,55,,,32.6
2017-11-22T00:20:59.301Z,,,,55,,,32.6
2017-11-22T00:21:09.301Z,,41.1,,55,,,32.6
2017-11-22T00:21:19.305Z,,,,55,,,32.5
2017-11-22T00:21:29.301Z,,,,55,,,32.5
2017-11-22T00:21:39.301Z,,,,55,,,32.5
2017-11-22T00:21:49.306Z,,,,55,,,32.5
2017-11-22T00:21:59.301Z,,,,55,,,32.5
2017-11-22T00:22:09.301Z,,,,55,,,32.5
2017-11-22T00:22:19.301Z,,41,,55,,,32.3
2017-11-22T00:22:29.301Z,,,,55,,,32.3
2017-11-22T00:22:39.305Z,,,,55,,,32.3
2017-11-22T00:22:49.301Z,,,,55,,,32.3
2017-11-22T00:22:59.306Z,,,,55,,,32.3
2017-11-22T00:23:10.299Z,,,,55,,,32.2
2017-11-22T00:23:19.301Z,,,,55,,,32.2
2017-11-22T00:23:29.301Z,,41,,55,,,32.2
2017-11-22T00:23:39.307Z,,40.9,,55,,,32.2
2017-11-22T00:23:49.301Z,,,,55,,,32.2
2017-11-22T00:23:59.301Z,,,,55,,,32.2
2017-11-22T00:24:09.301Z,,,,55,,,32.1
2017-11-22T00:24:19.302Z,,,,55,,,32.1
2017-11-22T00:24:29.301Z,,,,55,,,32.1
2017-11-22T00:24:39.302Z,,,,55,,,32.1
2017-11-22T00:24:49.301Z,,,,55,,,32.1
2017-11-22T00:24:59.302Z,,,,55,,,32
2017-11-22T00:25:09.301Z,,40.8,,55,,,32
2017-11-22T00:25:19.301Z,,,,55,,,32
2017-11-22T00:25:29.303Z,,,,55,,,32
2017-11-22T00:25:39.375Z,,,,55,,,32
2017-11-22T00:25:49.301Z,,,,55,,,31.9
2017-11-22T00:25:59.301Z,,,,55,,,31.9
2017-11-22T00:26:09.302Z,,,,55,,,31.9
2017-11-22T00:26:19.302Z,,40.7,,55,,,31.9
2017-11-22T00:26:29.302Z,,,,55,,,31.9
2017-11-22T00:26:39.301Z,,,,55,,,31.9
2017-11-22T00:26:49.301Z,,,,55,,,31.7
2017-11-22T00:26:59.301Z,,,,55,,,31.7
2017-11-22T00:27:09.301Z,0,42,59,55,0,,32.8
2017-11-22T00:27:19.302Z,,41.9,,55,,,33.3
2017-11-22T00:27:29.301Z,,41.5,,55,,,33
2017-11-22T00:27:39.301Z,1,41.6,0,55,0,0,32.7
2017-11-22T00:27:49.303Z,1,45,,55,0,124,37
2017-11-22T00:27:59.312Z,0,53,59,55,0,0,40.2
2017-11-22T00:28:09.305Z,,56,,55,,,43.3
2017-11-22T00:28:19.310Z,,58,,55,,,41.7
2017-11-22T00:28:29.302Z,,59.1,,55,,,42.7
2017-11-22T00:28:39.302Z,,59.3,,55,,,43.3
2017-11-22T00:28:50.298Z,0,60.1,59,55,0,44,43.6
2017-11-22T00:28:59.302Z,0,60.6,,55,0,0,51
2017-11-22T00:29:09.301Z,,60.2,,55,,,49.5
2017-11-22T00:29:19.301Z,,,,55,,,49.2
2017-11-22T00:29:29.307Z,1,60.3,0,55,0,,49.1
2017-11-22T00:29:39.304Z,0,59.8,59,55,0,0,55.2
2017-11-22T00:29:49.302Z,1,56.7,0,55,0,,54
2017-11-22T00:29:59.302Z,1,51.8,,55,0,59,50.6
2017-11-22T00:30:09.302Z,0,52.2,59,55,0,50,45.7
2017-11-22T00:30:19.302Z,0,52.4,,55,0,0,47
2017-11-22T00:30:29.302Z,,53,,55,,,46.4
2017-11-22T00:30:39.302Z,,54.4,,55,,,45.7
2017-11-22T00:30:49.301Z,,54.6,,55,,,45.3
2017-11-22T00:30:59.302Z,,55,,55,,,45.1
2017-11-22T00:31:09.301Z,,55.2,5,55,,,44.9
2017-11-22T00:31:19.302Z,,,,55,,,44.9
2017-11-22T00:31:29.302Z,,,,55,,,46.6
2017-11-22T00:31:44.323Z,,,,55,,,46.8
2017-11-22T00:31:49.306Z,,,,55,,,46.8
2017-11-22T00:31:59.302Z,,,,55,,,46.8
2017-11-22T00:32:09.307Z,,,,55,,,46.7
2017-11-22T00:32:19.302Z,,,,55,,,46.7
2017-11-22T00:32:29.315Z,0,56.1,59,55,0,0,46.6
2017-11-22T00:32:39.302Z,0,55.9,,55,0,,49.3
2017-11-22T00:32:49.306Z,,55.7,,55,,,48.3
2017-11-22T00:32:59.302Z,,55.9,,55,,,48
2017-11-22T00:33:09.305Z,1,56,0,55,0,,47.7
2017-11-22T00:33:19.302Z,0,57.1,59,55,0,0,51.6
2017-11-22T00:33:29.302Z,,55.8,,55,,,51.7
2017-11-22T00:33:39.307Z,,55.3,,55,,,50.2
2017-11-22T00:33:50.334Z,,55.7,,55,,,49.5
2017-11-22T00:33:59.303Z,,55.8,,55,,,49.1
2017-11-22T00:34:09.304Z,,56,,55,,,49
2017-11-22T00:34:19.307Z,,,5,55,,,48.7
2017-11-22T00:34:34.376Z,,,,55,,,48.5
2017-11-22T00:34:39.305Z,,55.9,,55,,,48.4
2017-11-22T00:34:49.307Z,,,,55,,,48.3
2017-11-22T00:34:59.302Z,,,,55,,,48.3
2017-11-22T00:35:09.305Z,,55.8,,55,,,48.2
2017-11-22T00:35:19.302Z,,,,55,,,48.2
2017-11-22T00:35:29.302Z,,,,55,,,48.1
2017-11-22T00:35:39.306Z,,55.7,,55,,,48.1
2017-11-22T00:35:49.308Z,,,,55,,,48.1
2017-11-22T00:36:00.304Z,,,,55,,,48
2017-11-22T00:36:09.303Z,,,,55,,,48
2017-11-22T00:36:19.307Z,,,,55,,,47.8
2017-11-22T00:36:29.303Z,,55.6,,55,,,47.8
2017-11-22T00:36:39.303Z,,,,55,,,47.7
2017-11-22T00:36:49.306Z,,,,55,,,47.7
2017-11-22T00:36:59.308Z,,,,55,,,47.7
2017-11-22T00:37:09.303Z,,,,55,,,47.6
2017-11-22T00:37:19.303Z,,,,55,,,47.6
2017-11-22T00:37:29.309Z,,,,55,,,47.5
2017-11-22T00:37:39.302Z,,,,55,,,47.5
2017-11-22T00:37:49.303Z,,,,55,,,47.5
2017-11-22T00:37:59.306Z,,,,55,,,47.4
2017-11-22T00:38:09.306Z,,,,55,,,47.4
2017-11-22T00:38:19.303Z,,,,55,,,47.3
2017-11-22T00:38:29.305Z,,,,55,,,47.3
2017-11-22T00:38:39.303Z,,,,55,,,47.2
2017-11-22T00:38:51.823Z,,,,55,,,47.2
2017-11-22T00:38:59.308Z,,,,55,,,47
2017-11-22T00:39:09.303Z,,,,55,,,47
2017-11-22T00:39:19.308Z,,,,55,,,46.9
2017-11-22T00:39:29.306Z,,,,55,,,46.9
2017-11-22T00:39:39.303Z,,,,55,,,46.8
2017-11-22T00:39:49.310Z,,,,55,,,46.8
2017-11-22T00:39:59.303Z,,,,55,,,46.7
2017-11-22T00:40:09.309Z,,55.5,,55,,,46.7
2017-11-22T00:40:19.303Z,,,,55,,,46.6
2017-11-22T00:40:29.308Z,,,,55,,,46.6
2017-11-22T00:40:39.303Z,,,,55,,,46.5
2017-11-22T00:40:49.324Z,,,,55,,,46.5
2017-11-22T00:40:59.303Z,,,,55,,,46.4
2017-11-22T00:41:09.305Z,,,,55,,,46.4
2017-11-22T00:41:19.303Z,,,,55,,,46.2
2017-11-22T00:41:29.306Z,,,,55,,,46.2
2017-11-22T00:41:39.306Z,,,,55,,,46.1
2017-11-22T00:41:49.303Z,,55.3,,55,,,46.1
2017-11-22T00:41:59.303Z,,,,55,,,46
2017-11-22T00:42:09.303Z,,,,55,,,46
2017-11-22T00:42:19.303Z,,,,55,,,45.9
